panel,arm,conv,f,cad,be_H1,be_H2,be_OOS,be_DD,be_CAGR,binding,be_joint
u56,S4,g1.00,0.0,M,30.0,30.0,30.0,,30.0,DD (never),
u56,S4,g1.00,0.0,D,8.5,16.5,17.5,,20.0,DD (never),
u56,S4,g1.00,0.25,W,23.0,30.0,30.0,30.0,30.0,H1,23.0
u56,S4,g1.00,0.25,M,30.0,30.0,30.0,30.0,30.0,H1,30.0
u56,S4,g1.00,0.25,D,9.5,17.0,17.5,29.0,14.5,H1,9.5
u56,S4,g1.00,0.5,W,20.5,30.0,30.0,30.0,17.5,CAGR,17.5
u56,S4,g1.00,0.5,M,30.0,30.0,30.0,30.0,30.0,H1,30.0
u56,S4,g1.00,0.5,D,9.0,17.0,16.5,30.0,7.5,CAGR,7.5
u56,S4,g1.00,0.75,W,7.5,30.0,30.0,30.0,,CAGR (never),
u56,S4,g1.00,0.75,M,11.0,30.0,30.0,30.0,,CAGR (never),
u56,S4,g1.00,0.75,D,5.0,14.5,13.5,27.5,,CAGR (never),
u56,S4,g1.00,1.0,W,,9.5,,,,CAGR|DD|H1|OOS (never),
u56,S4,g1.00,1.0,M,,15.5,,,,CAGR|DD|H1|OOS (never),
u56,S4,g1.00,1.0,D,,3.0,0.0,,,CAGR|DD|H1 (never),
u56,S4,natural,0.0,W,24.5,30.0,30.0,30.0,28.5,H1,24.5
u56,S4,natural,0.0,M,30.0,30.0,30.0,30.0,30.0,H1,30.0
u56,S4,natural,0.0,D,9.0,19.5,20.0,30.0,10.5,H1,9.0
u56,S4,natural,0.25,W,25.0,30.0,30.0,30.0,5.0,CAGR,5.0
u56,S4,natural,0.25,M,30.0,30.0,30.0,30.0,30.0,H1,30.0
u56,S4,natural,0.25,D,10.0,21.5,21.5,30.0,1.5,CAGR,1.5
u56,S4,natural,0.5,W,22.0,30.0,30.0,30.0,,CAGR (never),
u56,S4,natural,0.5,M,30.0,30.0,30.0,30.0,,CAGR (never),
u56,S4,natural,0.5,D,10.0,23.0,22.5,30.0,,CAGR (never),
u56,S4,natural,0.75,W,5.5,30.0,30.0,30.0,,CAGR (never),
u56,S4,natural,0.75,M,2.0,30.0,30.0,30.0,,CAGR (never),
u56,S4,natural,0.75,D,5.0,22.0,20.5,30.0,,CAGR (never),
u56,S4,natural,1.0,W,,18.0,5.0,30.0,,CAGR|H1 (never),
u56,S4,natural,1.0,M,,30.0,7.0,30.0,,CAGR|H1 (never),
u56,S4,natural,1.0,D,,9.0,4.5,30.0,,CAGR|H1 (never),
broad,S3,g1.00,0.0,W,24.5,7.0,10.0,,30.0,DD (never),
broad,S3,g1.00,0.0,M,30.0,30.0,30.0,,30.0,DD (never),
broad,S3,g1.00,0.0,D,8.0,0.5,2.0,,14.0,DD (never),
broad,S3,g1.00,0.25,W,28.5,12.5,15.0,,30.0,DD (never),
broad,S3,g1.00,0.25,M,30.0,30.0,30.0,,30.0,DD (never),
broad,S3,g1.00,0.25,D,11.0,2.0,3.5,,10.5,DD (never),
broad,S3,g1.00,0.5,W,29.0,16.5,17.5,30.0,17.5,H2,16.5
broad,S3,g1.00,0.5,M,30.0,30.0,30.0,30.0,30.0,H1,30.0
broad,S3,g1.00,0.5,D,12.0,3.5,4.5,21.0,5.5,H2,3.5
broad,S3,g1.00,0.75,W,19.5,17.0,15.5,30.0,,CAGR (never),
broad,S3,g1.00,0.75,M,30.0,30.0,30.0,30.0,2.5,CAGR,2.5
broad,S3,g1.00,0.75,D,9.0,3.5,4.0,19.5,,CAGR (never),
broad,S3,g1.00,1.0,W,,,,,,CAGR|DD|H1|H2|OOS (never),
broad,S3,g1.00,1.0,M,,,,,,CAGR|DD|H1|H2|OOS (never),
broad,S3,g1.00,1.0,D,,,,,,CAGR|DD|H1|H2|OOS (never),
broad,S3,natural,0.0,W,26.5,7.5,10.5,30.0,25.5,H2,7.5
broad,S3,natural,0.0,M,30.0,30.0,30.0,,30.0,DD (never),
broad,S3,natural,0.0,D,9.5,,1.5,20.0,7.5,H2 (never),
broad,S3,natural,0.25,W,30.0,14.5,17.0,30.0,9.0,CAGR,9.0
broad,S3,natural,0.25,M,30.0,30.0,30.0,30.0,30.0,H1,30.0
broad,S3,natural,0.25,D,11.5,3.0,4.5,29.0,1.5,CAGR,1.5
broad,S3,natural,0.5,W,30.0,24.5,25.0,30.0,,CAGR (never),
broad,S3,natural,0.5,M,30.0,30.0,30.0,30.0,,CAGR (never),
broad,S3,natural,0.5,D,13.5,8.0,8.5,30.0,,CAGR (never),
broad,S3,natural,0.75,W,19.5,30.0,30.0,30.0,,CAGR (never),
broad,S3,natural,0.75,M,30.0,30.0,30.0,30.0,,CAGR (never),
broad,S3,natural,0.75,D,10.0,13.0,12.5,30.0,,CAGR (never),
broad,S3,natural,1.0,W,,13.5,1.0,30.0,,CAGR|H1 (never),
broad,S3,natural,1.0,M,,15.0,,30.0,,CAGR|H1|OOS (never),
broad,S3,natural,1.0,D,,6.5,2.0,30.0,,CAGR|H1 (never),
broad,S4,g1.00,0.0,W,24.5,7.0,10.0,,30.0,DD (never),
broad,S4,g1.00,0.0,M,30.0,30.0,30.0,,30.0,DD (never),
broad,S4,g1.00,0.0,D,8.0,0.5,2.0,,14.0,DD (never),
broad,S4,g1.00,0.25,W,26.0,13.5,16.0,,30.0,DD (never),
broad,S4,g1.00,0.25,M,30.0,30.0,30.0,,30.0,DD (never),
broad,S4,g1.00,0.25,D,10.0,2.5,4.0,,11.0,DD (never),
broad,S4,g1.00,0.5,W,25.0,20.0,20.5,30.0,18.5,CAGR,18.5
broad,S4,g1.00,0.5,M,30.0,30.0,30.0,30.0,30.0,H1,30.0
broad,S4,g1.00,0.5,D,10.5,5.0,6.0,25.5,6.0,H2,5.0
broad,S4,g1.00,0.75,W,14.0,25.0,22.5,30.0,,CAGR (never),
broad,S4,g1.00,0.75,M,30.0,30.0,30.0,30.0,0.0,CAGR,0.0
broad,S4,g1.00,0.75,D,7.5,7.5,7.0,29.0,,CAGR (never),
broad,S4,g1.00,1.0,W,,9.5,,,,CAGR|DD|H1|OOS (never),
broad,S4,g1.00,1.0,M,,15.5,,,,CAGR|DD|H1|OOS (never),
broad,S4,g1.00,1.0,D,,3.0,0.0,,,CAGR|DD|H1 (never),
broad,S4,natural,0.0,W,26.5,7.5,10.5,30.0,25.5,H2,7.5
broad,S4,natural,0.0,M,30.0,30.0,30.0,,30.0,DD (never),
broad,S4,natural,0.0,D,9.5,,1.5,20.0,7.5,H2 (never),
broad,S4,natural,0.25,W,27.5,14.5,16.5,30.0,9.0,CAGR,9.0
broad,S4,natural,0.25,M,30.0,30.0,30.0,30.0,30.0,H1,30.0
broad,S4,natural,0.25,D,10.5,3.0,4.5,29.0,1.0,CAGR,1.0
broad,S4,natural,0.5,W,26.5,23.5,23.5,30.0,,CAGR (never),
broad,S4,natural,0.5,M,30.0,30.0,30.0,30.0,,CAGR (never),
broad,S4,natural,0.5,D,11.5,8.0,8.5,30.0,,CAGR (never),
broad,S4,natural,0.75,W,15.0,30.0,29.0,30.0,,CAGR (never),
broad,S4,natural,0.75,M,30.0,30.0,30.0,30.0,,CAGR (never),
broad,S4,natural,0.75,D,8.5,13.0,12.0,30.0,,CAGR (never),
broad,S4,natural,1.0,W,,18.0,5.0,30.0,,CAGR|H1 (never),
broad,S4,natural,1.0,M,,30.0,7.0,30.0,,CAGR|H1 (never),
broad,S4,natural,1.0,D,,9.0,4.5,30.0,,CAGR|H1 (never),
