panel,arm,gross,slope_H1,slope_H2,turn_H1,turn_H2,margin_H1,margin_H2,be_H1,be_H2
SMALL,CAND20_VS,0.75,-0.3011588665152327,-0.20596305456168665,26.210568115613555,26.31078896428989,0.06800301273250753,-0.5667351371425703,12.258044517147495,-17.51634939327583
SMALL,CAND20_VS,0.8,-0.3011603654314549,-0.20585890712061244,27.959190063701982,28.066063242258174,0.06800559864389555,-0.5672094707543782,12.258119143482507,-17.553312056691865
SMALL,CAND20_VS,0.85,-0.3011665167950286,-0.2057596034061536,29.708521128772414,29.82261081618059,0.06800306438730963,-0.5676836665852976,12.257988873098796,-17.589655947418102
SMALL,CAND20_VS,0.9,-0.30117572312195495,-0.20566479923671094,31.458474120397852,31.580566643949094,0.06799726306807663,-0.5681570403052942,12.257727228583512,-17.625390558516095
SMALL,CAND20_VS,0.95,-0.30118856957801665,-0.20557303253128903,33.20918372866233,33.339849573720294,0.06798757638602282,-0.5686276048774708,12.257309315598448,-17.660612769864326
SMALL,CAND20_VS,1.0,-0.3012068710245107,-0.20548440238868598,34.96094176749475,35.100657609161125,0.067972173091853,-0.5690954445884069,12.25666077472455,-17.695311078255415
SMALL,CAND20_VS,1.05,-0.30123056592937314,-0.20540089060373584,36.71385971926758,36.8634930839563,0.06795100348155436,-0.5695622653515611,12.255780493985004,-17.72929872297262
SMALL,CAND20_VS,1.1,-0.30125790131422736,-0.2053206986933104,38.46780351648743,38.62823252956065,0.0679260384590934,-0.5700260006811289,12.254747117428899,-17.76271483142488
SMALL,CAND20_VS,1.15,-0.3012885749423477,-0.20524317642388798,40.222808003758544,40.39491927170654,0.06789758804211277,-0.5704857579922457,12.253573274562607,-17.79560168246585
SMALL,CAND20_VS,1.2,-0.30132365242974973,-0.20516915566115895,41.97911234337132,42.16388870935967,0.06786438752458468,-0.5709421901387054,12.25220911061426,-17.827876383213667
SMALL,CAND20_VS,1.25,-0.30136241547978937,-0.20509793581174623,43.736707674270484,43.93518914685027,0.06782711293531507,-0.5713944193416707,12.25068254869572,-17.85958898514405
SMALL,CAND20_VS,1.3,-0.3014049774121377,-0.2050293739688206,45.49567682004832,45.708948733114234,0.06778581226560165,-0.5718419891235867,12.248994454159664,-17.890734778839462
SMALL,CAND20_VS,1.35,-0.3014505239500833,-0.20496157841975343,47.25597243201267,47.48492822104627,0.067741299102837,-0.5722828630191603,12.24717801830904,-17.92147032782637
SMALL,CAND20_VS,1.4,-0.3014996445843863,-0.20489484941373137,49.017758381796924,49.26327564476297,0.06769298270626345,-0.5727168206693634,12.245209369967167,-17.951743165242387
SMALL,CAND20_VS,1.45,-0.30155113088274615,-0.20482956500360605,50.780880455199615,51.04425562255314,0.06764230970360685,-0.5731441404944075,12.243145615325469,-17.981514313342277
SMALL,CAND20_VS,1.5,-0.3016052504175571,-0.20476457585850535,52.545452834769016,52.82768133697609,0.06758889613177077,-0.5735631596991579,12.240972132885531,-18.010858679750182
SMALL,EWELIG,0.05,-0.10047538605788572,-0.10120296415853558,0.6542379566345312,0.9639634890132862,-0.27204731056145814,-0.5277816350415917,-17.076015453648186,-42.150807975823305
SMALL,EWELIG,0.1,-0.10027316107588102,-0.10099778802739533,1.3059059075429762,1.924783991418402,-0.27167237637701525,-0.5278421129793112,-17.093229480561508,-42.26273993606035
SMALL,EWELIG,0.15,-0.10007152135249203,-0.10079295478548302,1.955017961969512,2.8824935851747857,-0.27129661861136456,-0.5279017771335663,-17.11027222777488,-42.37486868572275
SMALL,EWELIG,0.2,-0.09987054217713598,-0.10058843102299755,2.6015902208755683,3.8371237286102886,-0.2709201129912594,-0.5279604707819501,-17.127129490369676,-42.48719613304659
SMALL,EWELIG,0.25,-0.09967021749964348,-0.10038408963410383,3.245638119443957,4.788700660249168,-0.2705428554338035,-0.5280179328331068,-17.14380104917211,-42.599763045888245
SMALL,EWELIG,0.3,-0.09947050833202331,-0.10017996000891338,3.8871755617491703,5.737255272093266,-0.27016479986012887,-0.5280740522638822,-17.160291466325262,-42.712543727996845
SMALL,EWELIG,0.35,-0.09927140221065589,-0.09997615586941178,4.526216589873123,6.682825888296026,-0.2697859253298488,-0.5281287986526432,-17.176600644499583,-42.825475640659924
SMALL,EWELIG,0.4,-0.09907290923534129,-0.0997725468883514,5.162776147115074,7.625437658095161,-0.2694062396555128,-0.5281818999886687,-17.19272520962877,-42.93860049295131
SMALL,EWELIG,0.45,-0.09887504270967243,-0.09956908634823294,5.79686962031023,8.565118511683693,-0.2690257531650776,-0.5282331552788309,-17.20866113352993,-43.051923508807555
SMALL,EWELIG,0.5,-0.0986778508488469,-0.0993659016729214,6.428515046614572,9.50191151679101,-0.26864451164579617,-0.5282825222137213,-17.224398315818753,-43.16537296190869
SMALL,EWELIG,0.55,-0.09848141424278485,-0.09916300044523632,7.057734084698513,10.435853186199063,-0.26826259377008943,-0.5283298392511367,-17.23992093662926,-43.278928317917504
SMALL,EWELIG,0.6,-0.09828576185924925,-0.0989601500386599,7.6845464374658965,11.366953747435232,-0.2678800261667643,-0.5283746983568542,-17.25522202802717,-43.39267353075341
SMALL,EWELIG,0.65,-0.09809090137330212,-0.0987574863527027,8.30897065682448,12.295261416126118,-0.2674968098482374,-0.5284170538108235,-17.270297866897096,-43.50653133511657
SMALL,EWELIG,0.7,-0.09789693938884647,-0.0985549722583951,8.931034661853177,13.220806456271955,-0.26711304783918577,-0.5284566661403256,-17.285127554214256,-43.62049768070537
SMALL,EWELIG,0.75,-0.09770379537956503,-0.09835258529512084,9.550750868190383,14.143621329493223,-0.2667286622957741,-0.5284933096545492,-17.299723747636623,-43.734562042139544
SMALL,EWELIG,0.8,-0.09751140422328516,-0.09815021352557579,10.168130934654444,15.063724694419566,-0.26634357996850955,-0.5285266571083032,-17.31409542196996,-43.848752654071475
SMALL,EWELIG,0.85,-0.09731978498870081,-0.09794792682708713,10.783194304173906,15.981161236170468,-0.26595781542764985,-0.5285565498787062,-17.328237054626513,-43.96301555333541
SMALL,EWELIG,0.9,-0.09712904766117561,-0.09774565654793652,11.395971706642094,16.895956930597592,-0.2655714749163661,-0.5285826941663005,-17.342126924046866,-44.0773588141047
SMALL,EWELIG,0.95,-0.09693917132646619,-0.09754326993854644,12.006480380278436,17.808123888701736,-0.2651845328546193,-0.52860471304053,-17.35576642815999,-44.1918179873976
SMALL,EWELIG,1.0,-0.09675022685734842,-0.09734084318421848,12.614749088413326,18.717709599486653,-0.26479705540954035,-0.5286224195280326,-17.369140518912218,-44.30633249473806
SMALL,EWELIG,1.05,-0.09656226302235678,-0.09713940933414719,13.220805303731215,19.62496103037639,-0.2644090834173157,-0.5286365923631824,-17.38223765075782,-44.42040424033667
SMALL,EWELIG,1.1,-0.0963751662639466,-0.09693799533768152,13.82465463615583,20.529740099752562,-0.26402050601836957,-0.528645964316972,-17.395076579716175,-44.5344436384768
SMALL,EWELIG,1.15,-0.09618893518070018,-0.09673659565543592,14.42631623913445,21.43208733882906,-0.2636313112144366,-0.528650233096315,-17.407654603846044,-44.64842229711115
SMALL,EWELIG,1.2,-0.0960035509585448,-0.09653520593445651,15.0258065590241,22.332045720440995,-0.263241472546466,-0.5286490888850345,-17.419972482073717,-44.76231016112047
SMALL,EWELIG,1.25,-0.09581900194080138,-0.09633371533765289,15.623142799518462,23.229633549093844,-0.2628509730299188,-0.5286420954070501,-17.432029942486,-44.87612447564614
SMALL,EWELIG,1.3,-0.09563539872783001,-0.09613217011344725,16.218362821810693,24.124905543997222,-0.2624599185776636,-0.5286289545254955,-17.44380449801873,-44.98980766809396
SMALL,EWELIG,1.35,-0.09545277776406665,-0.09593047805061607,16.81149435122084,25.017884587155226,-0.2620683437015404,-0.5286092156278245,-17.455287299160872,-45.10336510039207
SMALL,EWELIG,1.4,-0.09527133797704654,-0.09572869902664671,17.402595973885344,25.908632163784514,-0.2616764432353822,-0.5285825565382218,-17.466439413124142,-45.216728307473126
SMALL,EWELIG,1.45,-0.09509097741431578,-0.09552670270722118,17.991674086904467,26.797162742763394,-0.2612841113330686,-0.5285484557994062,-17.477276860310486,-45.329917271336065
SMALL,EWELIG,1.5,-0.09491158982819949,-0.09532445346201741,18.578731538993573,27.6835146016123,-0.26089123758771815,-0.5285064607635706,-17.487816615437612,-45.44290489681717
SMALL,SPYBH,0.05,-0.0047720804266362885,-0.004760809320829841,0.03369496752090542,0.04579476464865804,-0.009023636780254196,-0.006089823517612447,-8.909230301080058,-2.7915719937948484
SMALL,SPYBH,0.1,-0.004519652157658071,-0.004508187841014642,0.06383650408021628,0.08675740199352872,-0.008556545170749441,-0.005742989345074556,-8.931866595643388,-2.7390196407210965
SMALL,SPYBH,0.15,-0.004267374122908163,-0.004255798091176436,0.09042612840576104,0.12289119101988809,-0.008088649970654282,-0.005399486411002852,-8.954630500364864,-2.6873650848183566
SMALL,SPYBH,0.2,-0.004015244598085497,-0.004003639058578643,0.1134652607359987,0.1541991009454624,-0.007619939655500452,-0.0050592381369634065,-8.97752296120068,-2.6365990113991913
SMALL,SPYBH,0.25,-0.003763261868852944,-0.0037517098067920665,0.13295522275961505,0.1806837899702073,-0.007150402623834151,-0.0047221692799702675,-9.000544934210545,-2.586712520838601
SMALL,SPYBH,0.3,-0.003511424230729246,-0.0035000094800367036,0.14889723753718978,0.2023476038057131,-0.00668002719580274,-0.0043882058728206275,-9.023697385648685,-2.5376971058221525
SMALL,SPYBH,0.35,-0.003259729988986085,-0.003248537307776042,0.16129242940488472,0.2191925739799334,-0.006208801611738646,-0.004057275168166674,-9.046981292060472,-2.4895446281461844
SMALL,SPYBH,0.4,-0.003008177458548619,-0.0029972926095868675,0.1701418238600934,0.23122041591244197,-0.005736714030730838,-0.00372930558636686,-9.070397640366203,-2.4422472949042167
SMALL,SPYBH,0.45,-0.002756764963899683,-0.0027462748003252995,0.17544634742898416,0.23843252675490506,-0.005263752529196752,-0.0034042266672074106,-9.093947427969045,-2.3957976339591944
SMALL,SPYBH,0.5,-0.0025054908389888445,-0.0024954833956141037,0.17720682751586134,0.24082998299092764,-0.004789905099441549,-0.003081969025592879,-9.117631662842715,-2.350188468532963
SMALL,SPYBH,0.55,-0.00225435342714496,-0.002244918017676646,0.17542399223425778,0.23841353778885893,-0.0043151596482123855,-0.0027624643113443037,-9.141451363628224,-2.3054128907713363
SMALL,SPYBH,0.6,-0.002003351080992411,-0.001994578401546035,0.17009847021966157,0.23118361810056007,-0.0038395039952465737,-0.002445645173267841,-9.165407559740238,-2.2614642341066933
SMALL,SPYBH,0.65,-0.001752482162372044,-0.0017444644016783666,0.16123079042377503,0.21914032149852514,-0.003362925871808531,-0.0021314452276927076,-9.189501291452213,-2.2183360442438538
SMALL,SPYBH,0.7,-0.0015017450422654824,-0.0014945759990038648,0.14882138189019167,0.20228341274307152,-0.002885412919224728,-0.0018197990317143642,-9.213733610013392,-2.176022048576055
SMALL,SPYBH,0.75,-0.0012511381007239857,-0.0012449133084502196,0.1328705735113694,0.18061232007066638,-0.002406952687405872,-0.0015106420614151572,-9.238105577738068,-2.1345161238234382
SMALL,SPYBH,0.8,-0.0010006597268007668,-0.0009954765869760033,0.11337859376676149,0.15412613119368015,-0.001927532633364315,-0.0012039106953758427,-9.262618268118732,-2.093812261652557
