uni,q,draw,nkeep,book,arm,dCAGR_full,dMaxDD_full,rate_full,dCAGR_IS,dMaxDD_IS,rate_IS,dCAGR_OOS,dMaxDD_OOS,rate_OOS
universe.json(56),0.05,16,53,TOP40,ebud-0.10,-0.023885470921269913,-1.1102230246251565e-14,,-0.05288172285340398,0.9217909745795616,-0.05736845370776588,0.0002915356988042461,0.0,
universe.json(56),0.05,16,53,TOP40,ebud-0.20,-0.027673683315976305,1.1102230246251565e-14,,-0.060864739810218005,1.1102230246251565e-14,,0.0,0.0,
universe.json(56),0.05,16,53,TOPall,g200-dg,5.187766139745942,10.867189432147716,0.47737882661723946,5.49323971618958,4.366567048488335,1.2580225278096413,4.930782392263855,10.867189432147716,0.45373115312386425
universe.json(56),0.05,16,53,TOPall,g200-rw,2.1319884934902333,3.7880999125397663,0.562812107049421,2.6681068464120994,2.682501257838499,0.9946339591139659,1.6807011107943248,3.788099912539755,0.443679192629185
universe.json(56),0.05,16,53,TOPall,band3-dg,4.698822687089987,10.834034474103493,0.4337094088376353,4.978770127312693,5.125499432462377,0.9713726814170784,4.463387772416416,10.834034474103527,0.4119783616237518
universe.json(56),0.05,16,53,TOPall,band3-rw,1.4000651579391121,5.001699973043971,0.279917861024169,2.272448411742567,3.6612275400287997,0.6206793723956013,0.6638696114602327,5.00169997304395,0.13272879521724149
universe.json(56),0.05,16,53,TOPall,abs12-dg,4.659841093704786,7.879379009875631,0.5913969981472357,4.775932113834469,3.53890609337969,1.349550394334823,4.562203888875649,7.879379009875631,0.5790055133986579
universe.json(56),0.05,16,53,TOPall,abs12-rw,1.9075436797024947,2.9396372243122304,0.6489044511772337,1.8469984791237959,0.9686603716146158,1.906755487524609,1.9581453160626205,2.9396372243122415,0.6661180161510402
universe.json(56),0.05,16,53,TOPall,vol60-dg,1.6640368331336752,5.938982669279658,0.2801888683294486,1.6486688210518574,1.2838965484686882,1.284113445914498,1.676825364058021,5.938982669279658,0.2823421884579104
universe.json(56),0.05,16,53,TOPall,vol60-rw,1.0475988455788565,4.704724695639362,0.2226695318750187,1.1798226209652318,0.4988809671796046,2.364938128698901,0.9366622037868977,4.7047246956393955,0.19908969480298158
universe.json(56),0.05,16,53,TOPall,v1gate-dg,5.998943008611257,12.05861891403438,0.4974817639878651,6.322817751607146,4.197760816458585,1.5062358309736552,5.72636949518579,12.05861891403437,0.47487772322924815
universe.json(56),0.05,16,53,TOPall,v1gate-rw,3.240887679811544,7.046152352223356,0.45995140578941757,3.687867322229166,2.3422972018788735,1.574466006820545,2.864765640667777,7.046152352223379,0.40657162909113287
universe.json(56),0.05,16,53,TOPall,stop15,0.963227645085718,0.01843137455265209,,0.7376788971584336,1.3879781736443442,0.531477303581473,1.1517682006835228,0.01843137455264099,
universe.json(56),0.05,16,53,TOPall,stop25,0.3910918035924249,-1.1525397907359736,,0.30622234311856733,0.3506195684299551,0.8733749359449764,0.46211128163378135,-1.1525397907359403,
universe.json(56),0.05,16,53,TOPall,ddctl-8/.5/recover,3.779247585824108,7.015692724955025,0.5386848788831947,4.93687711918831,2.2811665383388524,2.16418969690102,2.799381957289371,7.015692724955002,0.3990171843376059
universe.json(56),0.05,16,53,TOPall,ddctl-8/.5/high,4.911791600991844,7.015692724955002,0.7001149841583673,5.085614754981349,2.2811665383388857,2.2293921419190306,4.7656292120094035,7.015692724954981,0.6792813480923916
universe.json(56),0.05,16,53,TOPall,ebud-0.10,0.0,0.0,,0.0,0.0,,0.0,0.0,
universe.json(56),0.05,16,53,TOPall,ebud-0.20,0.0,0.0,,0.0,0.0,,0.0,0.0,
universe.json(56),0.05,16,53,V1u,g200-dg,0.16063557659469208,1.0976769550268717,0.14634139476013655,0.15618605709024624,-0.5716185792193906,,0.16433739815484572,1.0976769550268717,0.14971380915145718
universe.json(56),0.05,16,53,V1u,g200-rw,-0.35289996379874733,2.35098975515865,-0.15010697644445195,0.28762792772207835,0.3350998669975347,0.8583349504110499,-0.8891620341288098,2.3509897551587278,-0.37820753245637934
universe.json(56),0.05,16,53,V1u,band3-dg,0.05270738046077028,0.9645616350823838,0.05464386986143038,0.1733820969212596,-0.050244180574887665,,-0.04787666607468655,0.964561635082517,-0.049635673173535205
universe.json(56),0.05,16,53,V1u,band3-rw,-0.21982953992212284,2.365653267132084,-0.09292551151785038,0.46653817769239936,-0.00838148154823637,,-0.7947115152591833,2.3656532671321284,-0.33593744539858483
universe.json(56),0.05,16,53,V1u,abs12-dg,0.10759018224499872,2.2243619878153376,0.048369007757891366,0.5127223124352431,-0.37393209479117395,,-0.2309278056079389,2.224361987815515,-0.10381754717662962
universe.json(56),0.05,16,53,V1u,abs12-rw,-0.10639009277564337,1.933740147668761,-0.05501778142420168,0.5050342838859523,-1.1953074456943602,,-0.6181781020624166,2.241074915324426,-0.27583999884846644
universe.json(56),0.05,16,53,V1u,vol60-dg,0.0,0.0,,0.0,0.0,,0.0,0.0,
universe.json(56),0.05,16,53,V1u,vol60-rw,0.0,0.0,,0.0,0.0,,0.0,0.0,
