book,rung,CAGR,Sharpe,MaxDD,H1,H2,N,ym
LIVE-v2-g075-W,2014-03-03,0.09255406452172266,1.2412716475851462,-0.07887184188036012,1.0876630516934342,1.4800505257048004,1292,2014-03
LIVE-v2-g075-W,2014-03-04,0.09418892068153073,1.2608135140295627,-0.07887184188036012,1.0876630516934342,1.5250734020444108,1293,2014-03
LIVE-v2-g075-W,2014-03-05,0.09410199609218428,1.2601882236622322,-0.07887184188036012,1.0743365150384314,1.5419056874825336,1294,2014-03
LIVE-v2-g075-W,2014-03-06,0.09410797941715665,1.2607214544195717,-0.07887184188036012,1.0743365150384314,1.543135481673729,1295,2014-03
LIVE-v2-g075-W,2014-03-07,0.09351433231149775,1.253623506050737,-0.07887184188036012,1.0248465390762502,1.5972951929235961,1296,2014-03
LIVE-v2-g075-W,2014-03-10,0.0930800022953131,1.2485791427378994,-0.07887184188036012,1.0248465390762502,1.5850676774239547,1297,2014-03
LIVE-v2-g075-W,2014-03-11,0.09248427706557649,1.2414386931907238,-0.07887184188036012,1.0606675678421955,1.5216217793622977,1298,2014-03
LIVE-v2-g075-W,2014-03-12,0.09293623520527095,1.247429901076956,-0.07887184188036012,1.0606675678421955,1.5358051613106807,1299,2014-03
LIVE-v2-g075-W,2014-03-13,0.09137109061113158,1.2272174518736623,-0.07887184188036012,1.0373192751641103,1.518982644346296,1300,2014-03
LIVE-v2-g075-W,2014-03-14,0.09093801358752907,1.2221670289246733,-0.07887184188036012,1.0373192751641103,1.5067686393072914,1301,2014-03
LIVE-v2-g075-W,2014-03-17,0.09153408019289744,1.2298877227347345,-0.07887184188036012,1.0579959195461248,1.4976009636495953,1302,2014-03
LIVE-v2-g075-W,2014-03-18,0.09266933055778548,1.2438930068892013,-0.07887184188036012,1.0579959195461248,1.530337780381059,1303,2014-03
LIVE-v2-g075-W,2014-03-19,0.09189465928861162,1.2343952850284359,-0.07887184188036012,1.06227915098101,1.501536955894458,1304,2014-03
LIVE-v2-g075-W,2014-03-20,0.09226115600704987,1.2393526476535692,-0.07887184188036012,1.06227915098101,1.513279739836452,1305,2014-03
LIVE-v2-g075-W,2014-03-21,0.09128388187458625,1.2271490952674635,-0.07887184188036012,1.0684896273169096,1.4752630634366173,1306,2014-03
LIVE-v2-g075-W,2014-03-24,0.09008965674775271,1.2120048879591057,-0.07887184188036012,1.0684896273169096,1.4384361129364467,1307,2014-03
LIVE-v2-g075-W,2014-03-25,0.09040203074972619,1.2163020085768979,-0.07887184188036012,1.0658003561757396,1.4522974002481581,1308,2014-03
LIVE-v2-g075-W,2014-03-26,0.08889655642228478,1.1968670202187506,-0.07887184188036012,1.0658003561757396,1.4049455711777006,1309,2014-03
LIVE-v2-g075-W,2014-03-27,0.08860588776682787,1.193618479037824,-0.07887184188036012,1.0646955776677067,1.3986639245778487,1310,2014-03
LIVE-v2-g075-W,2014-03-28,0.08890681447463611,1.197773847425785,-0.07887184188036012,1.0646955776677067,1.4085224801900955,1311,2014-03
LIVE-v2-g075-W,2014-03-31,0.08978817968905739,1.2088785109147004,-0.07887184188036012,1.0504295769850007,1.4542044576069664,1312,2014-03
LIVE-v2-g075-W,2014-04-01,0.09089681472059508,1.222603971938333,-0.07887184188036012,1.0504295769850007,1.4861886217252465,1313,2014-04
LIVE-v2-g075-W,2014-04-02,0.09107867271018444,1.2253001509023305,-0.07887184188036012,1.0496402261609568,1.4936793113340545,1314,2014-04
LIVE-v2-g075-W,2014-04-03,0.09031428898471372,1.2159038921044805,-0.07887184188036012,1.0496402261609568,1.4710185162292662,1315,2014-04
LIVE-v2-g075-W,2014-04-04,0.08822269977558861,1.1881566016752683,-0.07887184188036012,1.0551319439127653,1.3957476363508055,1316,2014-04
LIVE-v2-g075-W,2014-04-07,0.08702139171216161,1.1728805093290222,-0.07887184188036012,1.0551319439127653,1.3589836906135369,1317,2014-04
LIVE-v2-g075-W,2014-04-08,0.08805633524877532,1.1857735435694576,-0.07887184188036012,1.0544022296343325,1.3899669445901364,1318,2014-04
LIVE-v2-g075-W,2014-04-09,0.08960599502161659,1.204466513062939,-0.07887184188036012,1.0544022296343325,1.4330069463950559,1319,2014-04
LIVE-v2-g075-W,2014-04-10,0.08658190972886914,1.163035263186963,-0.07887184188036012,1.0491186626514815,1.338759591080431,1320,2014-04
LIVE-v2-g075-W,2014-04-11,0.08503815042812812,1.1431180693941643,-0.07887184188036012,1.0491186626514815,1.291261290899083,1321,2014-04
LIVE-v2-g075-W,2014-04-14,0.08570496502623826,1.1516590589367866,-0.07887184188036012,1.0479601280957527,1.3125832854991393,1322,2014-04
LIVE-v2-g075-W,2014-04-15,0.08613883189332072,1.1574034422265518,-0.07887184188036012,1.0479601280957527,1.3259745099233726,1323,2014-04
LIVE-v2-g075-W,2014-04-16,0.08716961140395663,1.1702062423987087,-0.07887184188036012,1.0561107221676256,1.3448157622029262,1324,2014-04
LIVE-v2-g075-W,2014-04-17,0.08725983517525382,1.1717429755520326,-0.07887184188036012,1.0561107221676256,1.3484228137840686,1325,2014-04
