k,x,stat,n,slope,intercept,R2,t,span,span_over_gap
20,cvol,gate,48,-0.6161219402362625,0.05213792887402266,0.15965956090703926,-2.9563016751775306,-0.20241166490490348,-2.0700510825712914
20,cvol,conc,48,-11.81456508790469,5.6063275587202215,0.029462580484781786,-1.1817025278843354,-3.881383916718028,-0.37559076797260443
20,mean_vol,gate,48,-0.47129368482101575,0.04306873128701083,0.1482032150751078,-2.829044183111533,-0.18902845349142444,-1.93318183994257
20,mean_vol,conc,48,-9.146822546909547,5.4759942521053695,0.028014870120000257,-1.151445566993956,-3.668646061021237,-0.3550047150820762
20,rho_bar,gate,48,0.6746020264929603,-0.28709523576359125,0.10584622651334574,2.333514473254003,0.19614722216620897,2.005985029465939
20,rho_bar,conc,48,6.592667025521521,0.44134012343488765,0.005073131286463584,0.4843077143939057,1.91688324810614,0.18549148105884442
20,small_share,gate,48,-0.1875683822501064,-0.061545065169017345,0.2545664526307222,-3.963465062783982,-0.1875683822501064,-1.9182497852354383
20,small_share,conc,48,-1.8819828062261243,2.667234023062961,0.012861361041867081,-0.7741645935840639,-1.8819828062261243,-0.1821142619922538
36,etf_share,gate,48,0.21513702494837966,-0.15752993158093972,0.2290529407979489,3.6968733611408338,0.1553767402404964,1.5890279322209468
36,etf_share,conc,48,7.20897145294295,0.3765797956522742,0.05181272633875733,1.5854409721418103,5.206479382681019,0.5038165849432918
36,breadth,gate,48,0.4997388647180207,-0.3751495109750657,0.3045690136211091,4.488433089518389,0.17303388683389423,1.7696064351345784
36,breadth,conc,48,0.31483178246946675,1.93006519658941,2.435235018682924e-05,0.03346991767189192,0.10901006678812844,0.010548602143000138
36,cvol,gate,48,-0.5490959585358353,0.0713047433958463,0.2849253307560913,-4.28123186739553,-0.16614344579509094,-1.699138337663666
36,cvol,conc,48,-1.853933022288177,2.6985733234171723,0.0006543452073152212,-0.1735499586420315,-0.560956269679342,-0.05428218404791661
36,mean_vol,gate,48,-0.47436711695443723,0.08056056771700691,0.3128083439851759,-4.575927569818521,-0.17040907286294343,-1.7427626314206586
36,mean_vol,conc,48,-2.5731703002040245,3.112144850073852,0.0018542595127400974,-0.2923258322586235,-0.924371756607966,-0.08944889384973287
36,rho_bar,gate,48,0.7041260282414081,-0.2511208544176431,0.17418582738244626,3.1149003515232963,0.14940875040821022,1.527993683928475
36,rho_bar,conc,48,1.359334596114276,1.8196122096715992,0.00013078232023944203,0.07756786460018884,0.2884376876385713,0.02791131589580485
36,small_share,gate,48,-0.13954622515036644,-0.04433290985425511,0.30833718829920864,-4.528398697784342,-0.13954622515036644,-1.4271302722447758
36,small_share,conc,48,-0.2476503622236234,2.2091942268828935,0.00019563742402983753,-0.0948740346668106,-0.2476503622236234,-0.023964439419565327
50,etf_share,gate,48,0.2100715044283188,-0.15644121342813977,0.32999128593294635,4.759813386620179,0.1386471929226904,1.4179359274571788
50,etf_share,conc,48,8.719204974343048,1.0914235129858156,0.07237271259107081,1.8944344531451012,5.754675283066412,0.5568639834081371
50,breadth,gate,48,0.42524698716370024,-0.3333539483179421,0.35837709861527034,5.068846177247007,0.1411325194022169,1.443353201564894
50,breadth,conc,48,3.94927239654736,1.084098472847591,0.0039350008775155265,0.42629230453695816,1.310698911350072,0.12683270226746635
50,cvol,gate,48,-0.5052436756710018,0.060421321103965635,0.3872351813040825,-5.391621644006748,-0.15787246380818326,-1.614551536680779
50,cvol,conc,48,-0.2074953434471718,3.2667773291394093,8.314624497907097e-06,-0.019556991257438375,-0.06483564797763247,-0.006273966023054837
50,mean_vol,gate,48,-0.41382857397615,0.058955130474408576,0.3730047895562497,-5.231232329951517,-0.1415384648737374,-1.4475047798011615
50,mean_vol,conc,48,-2.8491430554454125,4.33200929329484,0.0022508930826710127,-0.32214075725380364,-0.9744695258685891,-0.09429671618167632
50,rho_bar,gate,48,0.6314176050000094,-0.23374299119948377,0.24544822363599028,3.8682482665488442,0.1471386558919337,1.5047775732702027
50,rho_bar,conc,48,1.1913408891966717,2.9569276365230857,0.00011123757474640339,0.07153668776484752,0.27761705685335897,0.026864233434041467
50,small_share,gate,48,-0.1272203613434775,-0.04953794874848667,0.39028057317186027,-5.42628208210824,-0.1272203613434775,-1.3010744556046419
50,small_share,conc,48,-1.1741238323616825,3.7166468561483126,0.004231987606106213,-0.4421524378397206,-1.1741238323616825,-0.11361671026465958
