panel,source,kind,k,n_elig,rev,rev_eps0,breadth,disp,corr,evol,days
BSTK100~0.70~s0,BSTK100,SUB,70,52.0,0.42857142857142855,0.7142857142857143,0.6854195749961223,0.09215027645892666,0.36847737568076233,0.23714562610676163,921
BSTK100~0.70~s1,BSTK100,SUB,70,51.0,0.7142857142857143,0.7142857142857143,0.671444082519001,0.09931400584996997,0.33885944544318547,0.23928219923994543,921
BSTK100~0.85~s0,BSTK100,SUB,85,62.0,0.7142857142857143,0.7142857142857143,0.6752634604330332,0.09980996958783066,0.3498820485409267,0.23916986540790985,921
BSTK100~0.85~s1,BSTK100,SUB,85,61.0,0.7142857142857143,0.7142857142857143,0.6706904260075366,0.09591307029755322,0.35332845343428365,0.2370769575403625,921
ETF36,ETF36,NAMED,36,27.0,0.2857142857142857,0.2857142857142857,0.6749909518639161,0.06203052121331122,0.343583685263719,0.1578663742872465,921
ETF36~0.40~s0,ETF36,SUB,14,10.0,0.2857142857142857,0.42857142857142855,0.6583682332868,0.055046246024424844,0.43634490481430854,0.1733853562687159,921
ETF36~0.40~s1,ETF36,SUB,14,11.0,0.0,0.0,0.6927252985884907,0.04121870748059312,0.6235839663773783,0.167852825645665,921
ETF36~0.55~s0,ETF36,SUB,20,15.0,0.14285714285714285,0.2857142857142857,0.6662323561346363,0.05615595351104176,0.22515779167492359,0.13533680991770503,921
ETF36~0.55~s1,ETF36,SUB,20,15.0,0.7142857142857143,0.7142857142857143,0.6924538545059717,0.053294885596084994,0.331775177694614,0.1421112504040971,921
ETF36~0.70~s0,ETF36,SUB,25,19.0,0.7142857142857143,0.8571428571428571,0.6845168295331162,0.061914540081820194,0.35839478405035335,0.1568447867629263,921
ETF36~0.70~s1,ETF36,SUB,25,18.0,0.2857142857142857,0.2857142857142857,0.6657980456026059,0.05815440008294477,0.30750572647534435,0.1488789677594419,921
ETF36~0.85~s0,ETF36,SUB,31,24.0,0.5714285714285714,0.7142857142857143,0.6861405905222234,0.05993508531581473,0.4077383252389186,0.16459857521824434,921
ETF36~0.85~s1,ETF36,SUB,31,23.0,0.2857142857142857,0.2857142857142857,0.6745473013204442,0.06201016940795355,0.30619119184808097,0.15804274062394805,921
SMALL439,SMALL439,NAMED,439,148.0,0.0,0.0,0.3220795008127406,0.16785170123992899,0.1760659276513338,0.3394419453599911,817
SMALL439~0.25~s0,SMALL439,SUB,110,37.0,0.0,0.0,0.3223545120729943,0.1570891032213374,0.1673805513055278,0.3372558005356953,817
SMALL439~0.25~s1,SMALL439,SUB,110,37.0,0.0,0.0,0.3193946812061867,0.16275258527292658,0.17668385861398267,0.3366426202955803,817
SMALL439~0.40~s0,SMALL439,SUB,176,61.0,0.0,0.0,0.32903082229887615,0.17065158419467064,0.17517935054935152,0.3489674864769638,817
SMALL439~0.40~s1,SMALL439,SUB,176,57.0,0.0,0.0,0.30740235896294643,0.16340982797175208,0.16751511539668207,0.3409697145811819,817
SMALL439~0.55~s0,SMALL439,SUB,241,78.0,0.14285714285714285,0.14285714285714285,0.3115537565326033,0.16838806069008425,0.1732882488373893,0.34318279747556607,817
SMALL439~0.55~s1,SMALL439,SUB,241,80.0,0.0,0.0,0.3232045180982951,0.16731569915260477,0.18187840133287891,0.34054865829442493,817
SMALL439~0.70~s0,SMALL439,SUB,307,104.0,0.0,0.14285714285714285,0.32574087290037834,0.16617739552813998,0.17495299392945096,0.3376536809033556,817
SMALL439~0.70~s1,SMALL439,SUB,307,102.0,0.2857142857142857,0.42857142857142855,0.31742411858750735,0.16444531921031538,0.17701730926083187,0.3393538770589625,817
SMALL439~0.85~s0,SMALL439,SUB,373,124.0,0.0,0.14285714285714285,0.32094138957344104,0.16701055985768576,0.1739214324614153,0.33949587788114916,817
SMALL439~0.85~s1,SMALL439,SUB,373,124.0,0.14285714285714285,0.14285714285714285,0.31892328239390166,0.16776659043391398,0.17636467404832712,0.3402536679447279,817
U56,U56,NAMED,56,41.0,0.5714285714285714,0.5714285714285714,0.6687800527377075,0.09366953737861075,0.3327819409089491,0.19729143439133345,921
U56~0.25~s0,U56,SUB,14,9.0,0.42857142857142855,0.42857142857142855,0.6195129517605089,0.08786627045222652,0.2515940366540579,0.20158145744982087,921
U56~0.25~s1,U56,SUB,14,11.0,0.7142857142857143,0.7142857142857143,0.7445323406235459,0.07540756093315633,0.3022200919160396,0.18775984249224068,921
U56~0.40~s0,U56,SUB,22,15.0,0.5714285714285714,0.5714285714285714,0.6191392754910671,0.09825866416257001,0.338979621229672,0.22007192086773922,921
U56~0.40~s1,U56,SUB,22,18.0,0.0,0.0,0.7100977198697068,0.06961998876212265,0.4955885268744893,0.16827690982131388,921
U56~0.55~s0,U56,SUB,30,22.0,0.7142857142857143,0.8571428571428571,0.6795150199058995,0.0900070508538421,0.338993856215259,0.20236007574680007,921
U56~0.55~s1,U56,SUB,30,22.0,0.8571428571428571,0.8571428571428571,0.6653275425262396,0.09785171076507763,0.3505096307588586,0.21122879400739336,921
U56~0.70~s0,U56,SUB,38,27.0,0.8571428571428571,0.8571428571428571,0.6520086862106406,0.09820531031582269,0.30012980642535225,0.20501308149379938,921
U56~0.70~s1,U56,SUB,38,26.0,0.5714285714285714,0.5714285714285714,0.6356077490142295,0.1010592363846882,0.2898001133311435,0.20406591636709193,921
U56~0.85~s0,U56,SUB,47,34.0,0.5714285714285714,0.5714285714285714,0.662369764594451,0.09806985971999922,0.3092981961549582,0.2031852680904631,921
U56~0.85~s1,U56,SUB,47,34.0,0.7142857142857143,0.7142857142857143,0.6730427149028576,0.08576727637122332,0.32416232799153716,0.1900038848524545,921
