panel,book,cadence,rung,draws,p_L1_H1,p_L2_H2,p_L3_OOS,p_L4_DD,p_L5_CAGR,base4b
B136,TOP10,M,0.0,100,0.85,0.82,0.86,0.29,0.85,0.2
B136,TOP10,M,10.0,100,0.54,0.47,0.52,0.27,0.43,0.05
B136,TOP10,M,25.0,100,0.04,0.05,0.06,0.19,0.06,0.01
B136,TOP10,Q,0.0,100,0.94,0.44,0.6,0.08,0.61,0.07
B136,TOP10,Q,10.0,100,0.86,0.37,0.44,0.08,0.48,0.05
B136,TOP10,Q,25.0,100,0.71,0.2,0.27,0.08,0.31,0.03
B136,TOP40,D,0.0,100,1.0,1.0,1.0,1.0,0.86,0.86
B136,TOP40,D,10.0,100,0.0,0.0,0.0,0.0,0.0,0.0
B136,TOP40,D,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0
B136,TOP40,W,0.0,100,1.0,0.99,1.0,1.0,0.83,0.83
B136,TOP40,W,10.0,100,0.0,0.0,0.0,1.0,0.0,0.0
B136,TOP40,W,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0
B136,TOP40,M,0.0,100,1.0,1.0,1.0,0.01,0.92,0.01
B136,TOP40,M,10.0,100,1.0,0.69,0.92,0.01,0.4,0.0
B136,TOP40,M,25.0,100,0.53,0.05,0.12,0.01,0.0,0.0
B136,TOP40,Q,0.0,100,1.0,0.48,0.79,0.0,0.33,0.0
B136,TOP40,Q,10.0,100,1.0,0.23,0.59,0.0,0.13,0.0
B136,TOP40,Q,25.0,100,1.0,0.08,0.28,0.0,0.02,0.0
