panel,cadence,scope,leg_set,leg,n_rows,n_all5,n_other4,n_binding,R,leg_pass_rate
SMALL,ALL,panel,LS_ISALL,L3_OOS,900,1,1,0,1.0,0.4211111111111111
SMALL,ALL,panel,LS_ISALL,L4_DD,900,1,121,120,0.008264462809917356,0.12222222222222222
SMALL,ALL,panel,LS_ISALL,L5_CAGR,900,1,90,89,0.011111111111111112,0.6755555555555556
ALL,ALL,pooled,LS_REC,L1_H1,2700,140,147,7,0.9523809523809523,0.7085185185185185
ALL,ALL,pooled,LS_REC,L2_H2,2700,140,141,1,0.9929078014184397,0.5033333333333333
ALL,ALL,pooled,LS_REC,L3_OOS,2700,140,140,0,1.0,0.5425925925925926
ALL,ALL,pooled,LS_REC,L4_DD,2700,140,1165,1025,0.12017167381974249,0.11407407407407408
ALL,ALL,pooled,LS_REC,L5_CAGR,2700,140,244,104,0.5737704918032787,0.6566666666666666
ALL,ALL,pooled,LS_970,L1_H1,2700,75,144,69,0.5208333333333334,0.7555555555555555
ALL,ALL,pooled,LS_970,L2_H2,2700,75,77,2,0.974025974025974,0.7766666666666666
ALL,ALL,pooled,LS_970,L3_OOS,2700,75,76,1,0.9868421052631579,0.5425925925925926
ALL,ALL,pooled,LS_970,L4_DD,2700,75,933,858,0.08038585209003216,0.11407407407407408
ALL,ALL,pooled,LS_970,L5_CAGR,2700,75,145,70,0.5172413793103449,0.6566666666666666
ALL,ALL,pooled,LS_ISALL,L1_H1,2700,268,304,36,0.881578947368421,0.7555555555555555
ALL,ALL,pooled,LS_ISALL,L2_H2,2700,268,269,1,0.9962825278810409,0.7766666666666666
ALL,ALL,pooled,LS_ISALL,L3_OOS,2700,268,268,0,1.0,0.7948148148148149
ALL,ALL,pooled,LS_ISALL,L4_DD,2700,268,1352,1084,0.19822485207100593,0.24814814814814815
ALL,ALL,pooled,LS_ISALL,L5_CAGR,2700,268,508,240,0.5275590551181102,0.7777777777777778
