isolate,panel,n,gross,conv,dSharpe_0,dSharpe_10,dSharpe_25,dCAGR_10,dCAGR_0,dTO,cost_share,maj_cost,flip
SCALER on M12_1,SMALL439,5,0.75,NORM,0.02922420242212226,0.022687541808478207,0.012857492891191757,0.0046087496891629165,0.005358365353047567,0.5712327177241292,0.28811674128579845,False,False
SCALER on M12_1,SMALL439,5,1.0,LIT,0.0284880927248074,0.021980817173664458,0.012194837737348252,0.007325098126998109,0.008442117559345874,0.7675948859295829,0.2960433863641524,False,False
SCALER on M12_1,SMALL439,5,1.0,NORM,0.0286338904845701,0.022110212115485528,0.01229948787295998,0.00733313655440937,0.008452570354432476,0.7675948859295758,0.2950527265414847,False,False
SCALER on M12_1,SMALL439,10,0.75,LIT,0.009804576125860276,0.0034018993018194443,-0.00619571151796855,-0.0011644733439086785,-0.0003326296745995716,0.7637510773784193,1.8820888732998287,True,False
SCALER on M12_1,SMALL439,10,0.75,NORM,0.009672261813441607,0.003306766026724195,-0.006235053442598337,-0.0011643551572593225,-0.00033274064752708554,0.7636749766722524,1.9249912861307905,True,False
SCALER on M12_1,SMALL439,10,1.0,LIT,0.009946912813839193,0.003509225066541055,-0.006141378654798912,-0.0010679106221973544,8.410992831775488e-05,1.0229261360605655,1.8345040928490761,True,False
SCALER on M12_1,SMALL439,10,1.0,NORM,0.009806645900436894,0.0034128408715023983,-0.006172417012988429,-0.0010666881936070016,8.414303060133577e-05,1.0221686588905463,1.8734553615796976,True,False
SCALER on COMP,U56,5,0.75,LIT,-0.1544600907469067,-0.28614999461144774,-0.48442852450699725,-0.10067563013618064,-0.0959775486380332,5.962849359631981,0.46021284761286746,False,False
SCALER on COMP,U56,5,0.75,NORM,-0.1260122196811464,-0.2548736995448607,-0.4489378841858024,-0.09699128073730123,-0.09320309370950164,5.142880699127794,0.5055895531544761,True,False
SCALER on COMP,U56,5,1.0,LIT,-0.15832297978559007,-0.2900694680000906,-0.48843323515664727,-0.1340800466513299,-0.1283652848278809,7.972780630919065,0.45418943649201776,False,False
SCALER on COMP,U56,5,1.0,NORM,-0.1299033888631601,-0.2588043578635467,-0.4529278527593593,-0.12872201912781467,-0.12425970596266533,6.8704815338149565,0.4980633636329609,False,False
SCALER on COMP,U56,10,0.75,LIT,0.03971561945245927,-0.024987784035247818,-0.12243188230417867,-0.039188834545470286,-0.03700439494668961,2.463965471225878,2.5894014209677954,True,True
SCALER on COMP,U56,10,0.75,NORM,0.037362452306803684,-0.024512528436223424,-0.11767564769895278,-0.04004566374292984,-0.03841285797938565,2.000909548501232,2.5242186216739384,True,True
SCALER on COMP,U56,10,1.0,LIT,0.03781444882718832,-0.026868693038935354,-0.12428166588795497,-0.0517933276949365,-0.04899185730503919,3.290909694347153,2.407379539168187,True,True
SCALER on COMP,U56,10,1.0,NORM,0.03543196970530493,-0.02640347536775678,-0.11950611153885327,-0.05291766128759745,-0.05089238522338824,2.671416465897508,2.3419434075172356,True,True
SCALER on COMP,B136,5,0.75,LIT,-0.07683276395360139,-0.24522920249877012,-0.4977849210983082,-0.10235002145142102,-0.0957118251292548,8.096210242664245,0.6866899897291525,True,False
SCALER on COMP,B136,5,0.75,NORM,-0.0761852000935962,-0.24285270268026626,-0.49280739188166645,-0.10269043077373463,-0.0966808760523361,7.578803691292482,0.6862904993324299,True,False
SCALER on COMP,B136,5,1.0,LIT,-0.08132750938130517,-0.24978985645992569,-0.5024482998744166,-0.1351755203009597,-0.1269348769530152,10.816208938808362,0.6744162852171193,True,False
SCALER on COMP,B136,5,1.0,NORM,-0.08052697471755166,-0.24726108422751747,-0.4973198323678053,-0.13546240273595633,-0.12810468502305672,10.125513745390425,0.6743241057559438,True,False
SCALER on COMP,B136,10,0.75,LIT,-0.08386841566865666,-0.2089864508250422,-0.3970090001463663,-0.07475712097934917,-0.06928404864072468,6.230024752441832,0.5986896981236882,True,False
