phi,delta,ceil,pass4b,ceiling_KILL
0.5,0.4,1.3333,54,0
0.5,0.5,0.75,80,24
0.5,0.5,0.8,81,23
0.5,0.5,0.85,83,21
0.5,0.5,0.9,86,18
0.5,0.5,0.95,93,11
0.5,0.5,1.0,98,6
0.5,0.5,1.05,99,5
0.5,0.5,1.1,102,2
0.5,0.5,1.15,104,0
0.5,0.5,1.2,104,0
0.5,0.5,1.25,104,0
0.5,0.5,1.3,104,0
0.5,0.5,1.3333,104,0
0.5,0.6,0.75,82,24
0.5,0.6,0.8,83,23
0.5,0.6,0.85,85,21
0.5,0.6,0.9,88,18
0.5,0.6,0.95,95,11
0.5,0.6,1.0,100,6
0.5,0.6,1.05,101,5
0.5,0.6,1.1,104,2
0.5,0.6,1.15,106,0
0.5,0.6,1.2,106,0
0.5,0.6,1.25,106,0
0.5,0.6,1.3,106,0
0.5,0.6,1.3333,106,0
0.5,0.7,0.75,82,24
0.5,0.7,0.8,83,23
0.5,0.7,0.85,85,21
0.5,0.7,0.9,88,18
0.5,0.7,0.95,95,11
0.5,0.7,1.0,100,6
0.5,0.7,1.05,101,5
0.5,0.7,1.1,104,2
0.5,0.7,1.15,106,0
0.5,0.7,1.2,106,0
0.5,0.7,1.25,106,0
0.5,0.7,1.3,106,0
0.5,0.7,1.3333,106,0
0.5,0.8,0.75,82,24
0.5,0.8,0.8,83,23
0.5,0.8,0.85,85,21
0.5,0.8,0.9,88,18
0.5,0.8,0.95,95,11
0.5,0.8,1.0,100,6
0.5,0.8,1.05,101,5
0.5,0.8,1.1,104,2
0.5,0.8,1.15,106,0
0.5,0.8,1.2,106,0
0.5,0.8,1.25,106,0
0.5,0.8,1.3,106,0
0.5,0.8,1.3333,106,0
0.5,1.0,0.75,82,24
0.5,1.0,0.8,83,23
0.5,1.0,0.85,85,21
0.5,1.0,0.9,88,18
0.5,1.0,0.95,95,11
0.5,1.0,1.0,100,6
0.5,1.0,1.05,101,5
0.5,1.0,1.1,104,2
0.5,1.0,1.15,106,0
0.5,1.0,1.2,106,0
0.5,1.0,1.25,106,0
0.5,1.0,1.3,106,0
0.5,1.0,1.3333,106,0
0.6,0.4,0.75,6,4
0.6,0.4,0.8,8,2
0.6,0.4,0.85,8,2
0.6,0.4,0.9,8,2
0.6,0.4,0.95,8,2
0.6,0.4,1.0,8,2
0.6,0.4,1.05,8,2
0.6,0.4,1.1,10,0
0.6,0.4,1.15,10,0
0.6,0.4,1.2,10,0
0.6,0.4,1.25,10,0
0.6,0.4,1.3,10,0
0.6,0.4,1.3333,10,0
0.6,0.5,0.75,34,34
0.6,0.5,0.8,46,22
0.6,0.5,0.85,49,19
0.6,0.5,0.9,51,17
0.6,0.5,0.95,54,14
0.6,0.5,1.0,55,13
0.6,0.5,1.05,56,12
0.6,0.5,1.1,60,8
0.6,0.5,1.15,62,6
0.6,0.5,1.2,65,3
0.6,0.5,1.25,66,2
0.6,0.5,1.3,68,0
0.6,0.5,1.3333,68,0
0.6,0.6,0.75,53,49
0.6,0.6,0.8,69,33
0.6,0.6,0.85,74,28
0.6,0.6,0.9,79,23
0.6,0.6,0.95,81,21
0.6,0.6,1.0,82,20
0.6,0.6,1.05,84,18
0.6,0.6,1.1,92,10
0.6,0.6,1.15,96,6
0.6,0.6,1.2,99,3
0.6,0.6,1.25,100,2
0.6,0.6,1.3,102,0
0.6,0.6,1.3333,102,0
0.6,0.7,0.75,54,49
0.6,0.7,0.8,70,33
0.6,0.7,0.85,75,28
0.6,0.7,0.9,80,23
0.6,0.7,0.95,82,21
0.6,0.7,1.0,83,20
0.6,0.7,1.05,85,18
0.6,0.7,1.1,93,10
0.6,0.7,1.15,97,6
0.6,0.7,1.2,100,3
0.6,0.7,1.25,101,2
0.6,0.7,1.3,103,0
0.6,0.7,1.3333,103,0
0.6,0.8,0.75,54,49
0.6,0.8,0.8,70,33
0.6,0.8,0.85,75,28
0.6,0.8,0.9,80,23
0.6,0.8,0.95,82,21
0.6,0.8,1.0,83,20
0.6,0.8,1.05,85,18
0.6,0.8,1.1,93,10
0.6,0.8,1.15,97,6
0.6,0.8,1.2,100,3
0.6,0.8,1.25,101,2
0.6,0.8,1.3,103,0
0.6,0.8,1.3333,103,0
0.6,1.0,0.75,54,49
0.6,1.0,0.8,70,33
0.6,1.0,0.85,75,28
0.6,1.0,0.9,80,23
0.6,1.0,0.95,82,21
0.6,1.0,1.0,83,20
0.6,1.0,1.05,85,18
0.6,1.0,1.1,93,10
0.6,1.0,1.15,97,6
0.6,1.0,1.2,100,3
0.6,1.0,1.25,101,2
0.6,1.0,1.3,103,0
0.6,1.0,1.3333,103,0
0.7,0.4,0.75,0,0
0.7,0.4,0.8,0,0
0.7,0.4,0.85,0,0
0.7,0.4,0.9,0,0
0.7,0.4,0.95,0,0
0.7,0.4,1.0,0,0
0.7,0.4,1.05,0,0
0.7,0.4,1.1,0,0
0.7,0.4,1.15,0,0
0.7,0.4,1.2,0,0
0.7,0.4,1.25,0,0
0.7,0.4,1.3,0,0
0.7,0.4,1.3333,0,0
0.7,0.5,0.75,7,17
0.7,0.5,0.8,9,15
0.7,0.5,0.85,12,12
0.7,0.5,0.9,15,9
0.7,0.5,0.95,19,5
0.7,0.5,1.0,19,5
0.7,0.5,1.05,20,4
0.7,0.5,1.1,20,4
0.7,0.5,1.15,20,4
0.7,0.5,1.2,20,4
0.7,0.5,1.25,21,3
0.7,0.5,1.3,23,1
0.7,0.5,1.3333,24,0
0.7,0.6,0.75,16,57
0.7,0.6,0.8,24,49
0.7,0.6,0.85,40,33
0.7,0.6,0.9,46,27
0.7,0.6,0.95,55,18
0.7,0.6,1.0,58,15
0.7,0.6,1.05,62,11
0.7,0.6,1.1,62,11
0.7,0.6,1.15,65,8
0.7,0.6,1.2,66,7
0.7,0.6,1.25,69,4
0.7,0.6,1.3,72,1
0.7,0.6,1.3333,73,0
0.7,0.7,0.75,16,79
0.7,0.7,0.8,32,63
0.7,0.7,0.85,51,44
0.7,0.7,0.9,60,35
0.7,0.7,0.95,70,25
0.7,0.7,1.0,75,20
0.7,0.7,1.05,80,15
0.7,0.7,1.1,80,15
0.7,0.7,1.15,83,12
0.7,0.7,1.2,86,9
0.7,0.7,1.25,89,6
0.7,0.7,1.3,93,2
0.7,0.7,1.3333,95,0
0.7,0.8,0.75,16,80
0.7,0.8,0.8,32,64
0.7,0.8,0.85,51,45
0.7,0.8,0.9,61,35
0.7,0.8,0.95,71,25
0.7,0.8,1.0,76,20
0.7,0.8,1.05,81,15
0.7,0.8,1.1,81,15
0.7,0.8,1.15,84,12
0.7,0.8,1.2,87,9
0.7,0.8,1.25,90,6
0.7,0.8,1.3,94,2
0.7,0.8,1.3333,96,0
0.7,1.0,0.75,16,80
0.7,1.0,0.8,32,64
0.7,1.0,0.85,51,45
0.7,1.0,0.9,61,35
0.7,1.0,0.95,71,25
0.7,1.0,1.0,76,20
0.7,1.0,1.05,81,15
0.7,1.0,1.1,81,15
0.7,1.0,1.15,84,12
0.7,1.0,1.2,87,9
0.7,1.0,1.25,90,6
0.7,1.0,1.3,94,2
0.7,1.0,1.3333,96,0
0.8,0.4,0.75,0,0
0.8,0.4,0.8,0,0
0.8,0.4,0.85,0,0
0.8,0.4,0.9,0,0
0.8,0.4,0.95,0,0
0.8,0.4,1.0,0,0
0.8,0.4,1.05,0,0
0.8,0.4,1.1,0,0
0.8,0.4,1.15,0,0
0.8,0.4,1.2,0,0
0.8,0.4,1.25,0,0
0.8,0.4,1.3,0,0
0.8,0.4,1.3333,0,0
0.8,0.5,0.75,0,2
0.8,0.5,0.8,0,2
0.8,0.5,0.85,0,2
0.8,0.5,0.9,1,1
0.8,0.5,0.95,1,1
0.8,0.5,1.0,2,0
0.8,0.5,1.05,2,0
0.8,0.5,1.1,2,0
0.8,0.5,1.15,2,0
0.8,0.5,1.2,2,0
0.8,0.5,1.25,2,0
0.8,0.5,1.3,2,0
0.8,0.5,1.3333,2,0
0.8,0.6,0.75,0,37
0.8,0.6,0.8,4,33
0.8,0.6,0.85,10,27
0.8,0.6,0.9,15,22
0.8,0.6,0.95,18,19
0.8,0.6,1.0,25,12
0.8,0.6,1.05,30,7
0.8,0.6,1.1,35,2
0.8,0.6,1.15,36,1
0.8,0.6,1.2,37,0
0.8,0.6,1.25,37,0
0.8,0.6,1.3,37,0
0.8,0.6,1.3333,37,0
0.8,0.7,0.75,0,75
0.8,0.7,0.8,4,71
0.8,0.7,0.85,14,61
0.8,0.7,0.9,30,45
0.8,0.7,0.95,40,35
0.8,0.7,1.0,50,25
0.8,0.7,1.05,59,16
0.8,0.7,1.1,65,10
0.8,0.7,1.15,68,7
0.8,0.7,1.2,72,3
0.8,0.7,1.25,72,3
0.8,0.7,1.3,73,2
0.8,0.7,1.3333,75,0
0.8,0.8,0.75,0,84
0.8,0.8,0.8,4,80
0.8,0.8,0.85,14,70
0.8,0.8,0.9,31,53
0.8,0.8,0.95,42,42
0.8,0.8,1.0,55,29
0.8,0.8,1.05,66,18
0.8,0.8,1.1,73,11
0.8,0.8,1.15,76,8
0.8,0.8,1.2,81,3
0.8,0.8,1.25,81,3
0.8,0.8,1.3,82,2
0.8,0.8,1.3333,84,0
0.8,1.0,0.75,0,84
0.8,1.0,0.8,4,80
0.8,1.0,0.85,14,70
0.8,1.0,0.9,31,53
0.8,1.0,0.95,42,42
0.8,1.0,1.0,55,29
0.8,1.0,1.05,66,18
0.8,1.0,1.1,73,11
0.8,1.0,1.15,76,8
0.8,1.0,1.2,81,3
0.8,1.0,1.25,81,3
0.8,1.0,1.3,82,2
0.8,1.0,1.3333,84,0
0.9,0.4,0.75,0,0
0.9,0.4,0.8,0,0
0.9,0.4,0.85,0,0
0.9,0.4,0.9,0,0
0.9,0.4,0.95,0,0
0.9,0.4,1.0,0,0
0.9,0.4,1.05,0,0
0.9,0.4,1.1,0,0
0.9,0.4,1.15,0,0
0.9,0.4,1.2,0,0
0.9,0.4,1.25,0,0
0.9,0.4,1.3,0,0
0.9,0.4,1.3333,0,0
0.9,0.5,0.75,0,0
0.9,0.5,0.8,0,0
0.9,0.5,0.85,0,0
0.9,0.5,0.9,0,0
0.9,0.5,0.95,0,0
0.9,0.5,1.0,0,0
0.9,0.5,1.05,0,0
0.9,0.5,1.1,0,0
0.9,0.5,1.15,0,0
0.9,0.5,1.2,0,0
0.9,0.5,1.25,0,0
0.9,0.5,1.3,0,0
0.9,0.5,1.3333,0,0
0.9,0.6,0.75,0,13
0.9,0.6,0.8,0,13
0.9,0.6,0.85,0,13
0.9,0.6,0.9,2,11
0.9,0.6,0.95,3,10
0.9,0.6,1.0,8,5
0.9,0.6,1.05,8,5
0.9,0.6,1.1,10,3
0.9,0.6,1.15,11,2
0.9,0.6,1.2,13,0
0.9,0.6,1.25,13,0
0.9,0.6,1.3,13,0
0.9,0.6,1.3333,13,0
0.9,0.7,0.75,0,49
0.9,0.7,0.8,0,49
0.9,0.7,0.85,0,49
0.9,0.7,0.9,3,46
0.9,0.7,0.95,9,40
0.9,0.7,1.0,17,32
0.9,0.7,1.05,25,24
0.9,0.7,1.1,33,16
0.9,0.7,1.15,38,11
0.9,0.7,1.2,45,4
0.9,0.7,1.25,47,2
0.9,0.7,1.3,48,1
0.9,0.7,1.3333,49,0
0.9,0.8,0.75,0,72
0.9,0.8,0.8,0,72
0.9,0.8,0.85,0,72
0.9,0.8,0.9,3,69
0.9,0.8,0.95,11,61
0.9,0.8,1.0,27,45
0.9,0.8,1.05,36,36
0.9,0.8,1.1,48,24
0.9,0.8,1.15,56,16
0.9,0.8,1.2,65,7
0.9,0.8,1.25,67,5
0.9,0.8,1.3,70,2
0.9,0.8,1.3333,72,0
0.9,1.0,0.75,0,77
0.9,1.0,0.8,0,77
0.9,1.0,0.85,0,77
0.9,1.0,0.9,3,74
0.9,1.0,0.95,11,66
0.9,1.0,1.0,27,50
0.9,1.0,1.05,38,39
0.9,1.0,1.1,51,26
0.9,1.0,1.15,60,17
0.9,1.0,1.2,69,8
0.9,1.0,1.25,72,5
0.9,1.0,1.3,75,2
0.9,1.0,1.3333,77,0
1.0,0.4,0.75,0,0
1.0,0.4,0.8,0,0
1.0,0.4,0.85,0,0
1.0,0.4,0.9,0,0
1.0,0.4,0.95,0,0
1.0,0.4,1.0,0,0
1.0,0.4,1.05,0,0
1.0,0.4,1.1,0,0
1.0,0.4,1.15,0,0
1.0,0.4,1.2,0,0
1.0,0.4,1.25,0,0
1.0,0.4,1.3,0,0
1.0,0.4,1.3333,0,0
1.0,0.5,0.75,0,0
1.0,0.5,0.8,0,0
1.0,0.5,0.85,0,0
1.0,0.5,0.9,0,0
1.0,0.5,0.95,0,0
1.0,0.5,1.0,0,0
1.0,0.5,1.05,0,0
1.0,0.5,1.1,0,0
1.0,0.5,1.15,0,0
1.0,0.5,1.2,0,0
1.0,0.5,1.25,0,0
1.0,0.5,1.3,0,0
1.0,0.5,1.3333,0,0
1.0,0.6,0.75,0,1
1.0,0.6,0.8,0,1
1.0,0.6,0.85,0,1
1.0,0.6,0.9,0,1
1.0,0.6,0.95,0,1
1.0,0.6,1.0,0,1
1.0,0.6,1.05,0,1
1.0,0.6,1.1,0,1
1.0,0.6,1.15,0,1
1.0,0.6,1.2,1,0
1.0,0.6,1.25,1,0
1.0,0.6,1.3,1,0
1.0,0.6,1.3333,1,0
1.0,0.7,0.75,0,20
1.0,0.7,0.8,0,20
1.0,0.7,0.85,0,20
1.0,0.7,0.9,0,20
1.0,0.7,0.95,0,20
1.0,0.7,1.0,2,18
1.0,0.7,1.05,4,16
1.0,0.7,1.1,8,12
1.0,0.7,1.15,10,10
1.0,0.7,1.2,13,7
1.0,0.7,1.25,17,3
1.0,0.7,1.3,18,2
1.0,0.7,1.3333,20,0
1.0,0.8,0.75,0,47
1.0,0.8,0.8,0,47
1.0,0.8,0.85,0,47
1.0,0.8,0.9,0,47
1.0,0.8,0.95,0,47
1.0,0.8,1.0,3,44
1.0,0.8,1.05,7,40
1.0,0.8,1.1,17,30
1.0,0.8,1.15,23,24
1.0,0.8,1.2,31,16
1.0,0.8,1.25,37,10
1.0,0.8,1.3,43,4
1.0,0.8,1.3333,47,0
1.0,1.0,0.75,0,69
1.0,1.0,0.8,0,69
1.0,1.0,0.85,0,69
1.0,1.0,0.9,0,69
1.0,1.0,0.95,0,69
1.0,1.0,1.0,3,66
1.0,1.0,1.05,8,61
1.0,1.0,1.1,26,43
1.0,1.0,1.15,35,34
1.0,1.0,1.2,45,24
1.0,1.0,1.25,55,14
1.0,1.0,1.3,64,5
1.0,1.0,1.3333,69,0
