stem,file,date,dial,L,gmin,gmax,cells,wider_any,wider_later,wider_superset,edge
2026-09-05_scale-free-as-a-corpus-eligibility-rule_C,2026-09-05_scale-free-as-a-corpus-eligibility-rule_C.grid.csv.gz,2026-09-05,m,25,0.1,1.3,29,True,True,True,0.8275862068965517
2026-09-05_scale-free-as-a-corpus-eligibility-rule_C.grid,2026-09-05_scale-free-as-a-corpus-eligibility-rule_C.grid.small.csv.gz,2026-09-05,m,25,0.1,1.3,14,True,True,True,0.8412698412698413
2026-09-05_scale-free-as-a-corpus-eligibility-rule_C.grid.u56.csv.gz,2026-09-05_scale-free-as-a-corpus-eligibility-rule_C.grid.u56.csv.gz,2026-09-05,m,25,0.1,1.3,7,True,True,True,0.8571428571428571
2026-09-05_shallow-window-prices-are-not-prices_C,2026-09-05_shallow-window-prices-are-not-prices_C.walkforward.csv,2026-09-05,L,5,2.0,6.0,12,False,False,False,1.0
2026-09-05_sleeve-with-a-real-diversifier_B,2026-09-05_sleeve-with-a-real-diversifier_B.diversification.csv,2026-09-05,f,3,0.25,0.75,24,True,False,True,0.625
2026-09-05_sleeve-with-a-real-diversifier_cloud,2026-09-05_sleeve-with-a-real-diversifier_cloud.convexity.csv,2026-09-05,f,3,0.25,0.75,24,True,False,True,0.625
2026-09-05_sleeve-with-a-real-diversifier_cloud,2026-09-05_sleeve-with-a-real-diversifier_cloud.costladder.csv,2026-09-05,cost_bps,5,5.0,25.0,4,True,True,True,1.0
2026-09-05_sleeve-with-a-real-diversifier_cloud,2026-09-05_sleeve-with-a-real-diversifier_cloud.costladder.csv,2026-09-05,f,3,0.0,0.5,9,True,False,True,1.0
2026-09-05_the-20-percent-oracle-ceiling_C,2026-09-05_the-20-percent-oracle-ceiling_C.ladder.csv,2026-09-05,k,3,20.0,80.0,14,True,False,False,0.746031746031746
2026-09-05_the-20-percent-oracle-ceiling_C,2026-09-05_the-20-percent-oracle-ceiling_C.ladder.csv,2026-09-05,g,10,0.2,1.0,8,False,False,False,0.9444444444444444
2026-09-05_the-20-percent-oracle-ceiling_C,2026-09-05_the-20-percent-oracle-ceiling_C.walkforward.csv,2026-09-05,k,3,20.0,80.0,2,True,False,False,1.0
2026-09-05_the-CAGR-floor-is-what-kills-small-pools_cloud,2026-09-05_the-CAGR-floor-is-what-kills-small-pools_cloud.grid.csv,2026-09-05,k,3,20.0,80.0,1,True,False,False,1.0
2026-09-05_the-screen-is-a-book-size-rule_cloud,2026-09-05_the-screen-is-a-book-size-rule_cloud.corpus.csv,2026-09-05,share,14,0.03,1.0,6,False,False,False,0.12962962962962962
2026-09-05_the-share-at-which-ranking-stops-paying_cloud,2026-09-05_the-share-at-which-ranking-stops-paying_cloud.grid.csv,2026-09-05,m,14,0.03,1.0,4,True,False,False,0.1388888888888889
2026-09-05_the-sharpe-vs-4b-margin-sign-flip_C,2026-09-05_the-sharpe-vs-4b-margin-sign-flip_C.keep.csv,2026-09-05,sleeve,3,0.0,0.3,14,False,False,False,0.8571428571428571
2026-09-05_the-sharpe-vs-4b-margin-sign-flip_C,2026-09-05_the-sharpe-vs-4b-margin-sign-flip_C.points.csv,2026-09-05,sleeve,3,0.0,0.3,1,False,False,False,1.0
2026-09-05_the-sign-is-the-parameter-not-the-share_B,2026-09-05_the-sign-is-the-parameter-not-the-share_B.curve.csv,2026-09-05,cost,3,0.0,25.0,162,True,True,True,1.0
2026-09-05_the-sign-is-the-parameter-not-the-share_B,2026-09-05_the-sign-is-the-parameter-not-the-share_B.curve.csv,2026-09-05,k,9,-1.0,1.0,54,True,True,False,0.37962962962962965
2026-09-05_the-sign-is-the-parameter-not-the-share_B,2026-09-05_the-sign-is-the-parameter-not-the-share_B.grid.csv,2026-09-05,k,9,-1.0,1.0,12,True,True,False,0.21428571428571427
2026-09-05_the-sign-is-the-parameter-not-the-share_B,2026-09-05_the-sign-is-the-parameter-not-the-share_B.grid.csv,2026-09-05,cost,3,0.0,25.0,44,True,True,True,1.0
2026-09-05_v1u-small-negative-price_B,2026-09-05_v1u-small-negative-price_B.concentration.csv,2026-09-05,n,4,5.0,40.0,5,True,True,True,0.8666666666666667
2026-09-05_v1u-small-negative-price_B,2026-09-05_v1u-small-negative-price_B.costaxis.csv,2026-09-05,cost,5,0.0,50.0,11,False,False,False,1.0
2026-09-05_weak-dominance-bands-as-the-calibration-output_C,2026-09-05_weak-dominance-bands-as-the-calibration-output_C.ladder.csv,2026-09-05,m,19,0.1,1.0,2,True,True,True,0.8333333333333334
2026-09-05_which-asset-carries-S4_C,2026-09-05_which-asset-carries-S4_C.costladder.csv,2026-09-05,cost_bps,5,5.0,25.0,16,True,True,True,1.0
2026-09-05_which-asset-carries-S4_C,2026-09-05_which-asset-carries-S4_C.grid.csv,2026-09-05,f,5,0.0,1.0,5,False,False,False,0.5428571428571428
2026-09-05_why-the-small-panel-wants-M-and-the-large-caps-6W_cloud,2026-09-05_why-the-small-panel-wants-M-and-the-large-caps-6W_cloud.ladder.csv,2026-09-05,cost_bps,3,0.0,25.0,10,True,True,True,0.9888888888888889
2026-09-05_why-the-small-panel-wants-M-and-the-large-caps-6W_cloud,2026-09-05_why-the-small-panel-wants-M-and-the-large-caps-6W_cloud.walkforward.csv,2026-09-05,cost_bps,3,0.0,25.0,1,True,True,True,1.0
2026-09-06_back-fill-the-phase-spread-over-every-cadence-claim_cloud,2026-09-06_back-fill-the-phase-spread-over-every-cadence-claim_cloud.keep.csv,2026-09-06,off,5,0.0,4.0,1,False,False,False,0.5714285714285714
2026-09-06_does-any-dial-argmax-move-with-cost_C,2026-09-06_does-any-dial-argmax-move-with-cost_C.grid.csv,2026-09-06,bps,7,0.0,30.0,12,False,False,False,0.9761904761904762
2026-09-06_ew-band3-at-085-does-not-hold-on-broad_cloud,2026-09-06_ew-band3-at-085-does-not-hold-on-broad_cloud.verdict.csv,2026-09-06,bps,3,5.0,25.0,5,True,False,True,1.0
2026-09-06_holding-period-as-the-hidden-variable_cloud,2026-09-06_holding-period-as-the-hidden-variable_cloud.grid.csv,2026-09-06,cost,4,0.0,30.0,68,True,False,True,1.0
2026-09-06_is-cadence-the-only-cost-chooser-on-other-books_cloud,2026-09-06_is-cadence-the-only-cost-chooser-on-other-books_cloud.grid.csv,2026-09-06,bps,7,0.0,30.0,26,False,False,False,0.9395604395604396
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_B,2026-09-06_monthly-r6-top20-as-a-single-hypothesis_B.grid.csv,2026-09-06,cost,3,5.0,25.0,8,True,False,True,1.0
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud,2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud.cells.csv,2026-09-06,cost,3,5.0,25.0,3,True,False,True,1.0
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud,2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud.walkforward.csv,2026-09-06,cost,3,5.0,25.0,9,True,False,True,1.0
2026-09-06_quote-every-n-argmax-with-its-saturation-share_cloud,2026-09-06_quote-every-n-argmax-with-its-saturation-share_cloud.duplicates.csv,2026-09-06,n,6,5.0,60.0,3,True,False,True,0.3333333333333333
2026-09-06_the-IS-chosen-substitute-arm-for-every-named-asset-set_C,2026-09-06_the-IS-chosen-substitute-arm-for-every-named-asset-set_C.grid.csv.gz,2026-09-06,n,3,10.0,40.0,15,True,False,True,0.7333333333333333
2026-09-06_the-IS-chosen-substitute-arm-for-every-named-asset-set_C,2026-09-06_the-IS-chosen-substitute-arm-for-every-named-asset-set_C.keep.csv.gz,2026-09-06,n,3,10.0,40.0,15,True,False,True,0.7333333333333333
2026-09-06_time-varying-share-vs-fixed-n_B,2026-09-06_time-varying-share-vs-fixed-n_B.grid.csv,2026-09-06,m,7,0.05,1.0,6,True,False,True,0.041666666666666664
2026-09-06_what-modal-share-makes-a-mode-writable_cloud,2026-09-06_what-modal-share-makes-a-mode-writable_cloud.ladder.csv.gz,2026-09-06,cost_bps,5,5.0,25.0,33,True,False,True,0.9461279461279462
2026-09-06_what-modal-share-makes-a-mode-writable_cloud,2026-09-06_what-modal-share-makes-a-mode-writable_cloud.walkforward.csv,2026-09-06,cost_bps,5,5.0,25.0,84,True,False,True,0.9642857142857143
2026-09-06_what-predicts-a-panel_B,2026-09-06_what-predicts-a-panel_B.points.csv,2026-09-06,n,3,5.0,20.0,7,True,False,True,0.7714285714285715
2026-09-06_where-selectivity-and-cost-cross_B,2026-09-06_where-selectivity-and-cost-cross_B.grid.csv,2026-09-06,bps,7,0.0,30.0,2,False,False,False,1.0
2026-09-06_where-selectivity-and-cost-cross_cloud,2026-09-06_where-selectivity-and-cost-cross_cloud.grid.csv,2026-09-06,q,12,0.05,1.0,1,False,False,False,0.0
2026-09-06_where-selectivity-and-cost-cross_cloud,2026-09-06_where-selectivity-and-cost-cross_cloud.grid.csv,2026-09-06,cost_bps,7,0.0,30.0,5,True,False,True,1.0
2026-09-06_where-selectivity-and-cost-cross_cloud,2026-09-06_where-selectivity-and-cost-cross_cloud.subpanels.csv,2026-09-06,cost_bps,7,0.0,30.0,45,True,False,True,1.0
2026-09-06_where-selectivity-and-cost-cross_cloud,2026-09-06_where-selectivity-and-cost-cross_cloud.subpanels.csv,2026-09-06,k,3,20.0,80.0,7,True,False,False,0.8775510204081632
2026-09-06_where-selectivity-and-cost-cross_cloud,2026-09-06_where-selectivity-and-cost-cross_cloud.walkforward.csv,2026-09-06,cost_bps,7,0.0,30.0,4,True,False,True,1.0
