panel,book,dial,value,what,fail4a_lo,fail4a_10,fail4a_hi,fail4b_lo,fail4b_10,fail4b_hi,Sharpe_10,turn_yr
U56,V1C,G,0.01,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD,CAGR",1.0128524008395519,13.85187775284614
U56,V1C,G,0.02,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD,CAGR",1.0115390195726994,13.666506144149722
U56,V1C,G,0.03,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,DD,CAGR",1.0110696606891638,13.40162176717519
U56,V1C,G,0.05,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD",1.020419544282018,12.760001025777559
U56,V1C,G,0.08,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.0653483143465337,12.181252985906784
U56,V1C,G,0.12,4b_bar,"H1,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.1192999060567885,11.616854221313824
U56,V1C,V,0.2,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,OOS,CAGR","H2,OOS,CAGR","H1,H2,OOS,DD,CAGR",0.7624701916994086,13.559085268919166
U56,V1C,V,0.3,"4b,4b_bar","H1,H2,DD","H1,H2,DD","H1,H2,DD",,"H2,CAGR","H1,H2,OOS,CAGR",0.911276884429121,14.073041336337692
U56,V1C,V,0.4,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD,CAGR",0.942380956065223,14.015039915526224
U56,V1C,V,0.5,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD,CAGR",0.9799137804751705,14.05271914451929
U56,V1C,V,0.6,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD,CAGR",0.9967552113321679,14.151805773966812
U56,V1C,V,0.8,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD,CAGR",1.005101138206014,14.145693426538074
U56,V1C,V,1.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD,CAGR",1.011162889410757,14.201907716407769
U56,V1C,V,5.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD",1.026354445069023,14.199221221001626
U56,V1C,K,1.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD,CAGR",0.9967552113321679,14.151805773966812
U56,V1C,K,2.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,OOS,DD",1.0501640634792926,9.872155965144099
U56,V1C,K,3.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,OOS,DD",0.991175703552889,8.169583079969422
U56,V1C,K,8.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,DD","H2,OOS,DD",0.9648483190421696,4.640244964451383
U56,EWALL,G,0.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.0491749523083747,10.859235558641757
U56,EWALL,G,0.01,"4b,4b_bar","H1,H2,DD","H1,H2,DD","H1,H2,DD",,,DD,1.0893076335378653,9.235971845007391
U56,EWALL,G,0.02,"4b,4b_bar","H1,H2,DD","H1,H2,DD","H1,H2,DD",,,DD,1.1043396118046696,7.689842517112321
U56,EWALL,V,0.2,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,CAGR","H2,OOS,CAGR","H1,H2,OOS,DD,CAGR",0.7879625528950501,18.05255318629007
U56,EWALL,V,0.3,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,DD,CAGR","H1,H2,OOS,DD,CAGR",0.8962789573238495,14.030961869721242
U56,EWALL,V,0.4,"4b,4b_bar","H1,H2,DD","H1,H2,DD","H1,H2,DD",,,"H1,H2,OOS,DD,CAGR",1.0050726164395982,12.101556222842358
U56,EWALL,V,0.5,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.0381885307297725,11.299867429881564
U56,EWALL,V,0.6,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.0491749523083747,10.859235558641757
U56,EWALL,V,0.8,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,DD",1.0557320732283322,10.411020121945446
U56,EWALL,K,1.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.0491749523083747,10.859235558641757
U56,EWALL,K,2.0,"4b,4b_bar","H1,H2,DD","H1,H2,DD","H1,H2,DD",,,DD,1.1181244682580795,7.627691953598636
U56,EWALL,K,3.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.091723170266585,5.997348075105236
U56,EWALL,K,13.0,4b_bar,"H1,H2,DD","H1,H2,DD","H2,DD",DD,DD,"H2,DD",1.0087689418924994,2.5519298155649968
B136,TOPN,N,3.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD","H1,H2,OOS,DD",0.7253159903637159,32.05845452567644
B136,TOPN,N,5.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,OOS,DD","H1,H2,OOS,DD",0.8847088802758004,28.428051064852806
B136,TOPN,N,8.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,DD","H2,OOS,DD","H1,H2,OOS,DD",0.8994006215388396,24.73610629479282
B136,TOPN,N,10.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,DD","H2,OOS,DD","H1,H2,OOS,DD",0.89606743415432,23.35031705660243
B136,TOPN,N,15.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,OOS,DD","H1,H2,OOS,DD",0.9251522340832163,20.19645850543504
B136,TOPN,N,20.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,DD","H1,H2,OOS,DD",0.9588068335637158,18.349650059898526
B136,TOPN,N,25.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,DD","H1,H2,OOS,DD",0.9488807919097338,16.797230131192276
B136,TOPN,N,30.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,DD","H1,H2,OOS,DD",0.9727148002218082,15.721024463825218
B136,TOPN,N,40.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD",1.0038255095914506,13.744720617956498
B136,TOPN,N,56.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD",1.0050351440459588,11.415836808757009
B136,TOPN,G,0.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,DD","H1,H2,OOS,DD",0.9588068335637158,18.349650059898526
B136,TOPN,G,0.01,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,DD","H1,H2,OOS,DD",0.9578143333987083,18.336118241094233
B136,TOPN,G,0.02,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,DD","H1,H2,OOS,DD",0.956654800869043,18.26146706459394
B136,TOPN,G,0.03,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,DD","H1,H2,OOS,DD",0.9526206842489234,18.27082525728473
B136,TOPN,G,0.05,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,DD","H1,H2,OOS,DD",0.9457338899542664,18.16224511732815
B136,TOPN,G,0.08,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,DD","H1,H2,OOS,DD",0.9557144216568483,17.97721292067898
B136,TOPN,G,0.12,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,DD","H1,H2,OOS,DD",0.9625010278124037,17.730468464160875
B136,TOPN,V,0.2,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD","H2,OOS","H2,OOS,CAGR","H1,H2,OOS,DD,CAGR",0.8158120924314352,25.7424299733303
B136,TOPN,V,0.3,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD","H2,OOS,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.8540818695585087,22.72306041288414
B136,TOPN,V,0.4,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.897465569865979,20.067882696291427
B136,TOPN,V,0.5,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,OOS,DD","H1,H2,OOS,DD",0.9017193147552997,18.92267820901991
B136,TOPN,V,0.6,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,DD","H1,H2,OOS,DD",0.9588068335637158,18.349650059898526
B136,TOPN,V,0.8,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,OOS,DD",1.0245379686291296,17.693911305137874
B136,TOPN,V,1.0,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,OOS,DD",1.0009727899837506,17.588993853263865
B136,TOPN,V,5.0,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,OOS,DD",0.993049663290444,17.50670015629153
B136,TOPN,K,1.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,DD","H1,H2,OOS,DD",0.9588068335637158,18.349650059898526
B136,TOPN,K,2.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD",DD,"H2,DD","H2,OOS,DD",1.0158424602049183,12.692595181631784
B136,TOPN,K,3.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,DD","H2,OOS,DD",0.9735635761542721,10.229051157179136
B136,TOPN,K,4.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD",DD,DD,"H2,OOS,DD",1.0569174486454298,8.820363721435402
B136,TOPN,K,6.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD",DD,DD,"H2,OOS,DD",1.0288599249261863,7.10922833573087
B136,TOPN,K,8.0,4b_bar,"H2,DD","H2,DD","H2,DD","H2,DD","H2,OOS,DD","H2,OOS,DD",1.014973263617479,6.132979554819691
B136,V1C,N,3.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,OOS","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5871930759517582,45.17193712736901
B136,V1C,N,5.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.634919023815875,39.24426000366117
B136,V1C,N,8.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.616307127886545,34.59756446823678
B136,V1C,N,10.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.6835354427014747,31.676867042171015
B136,V1C,N,15.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.8167733911646258,26.845823469285527
B136,V1C,N,20.0,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD","H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.8543307436108536,23.737389307752142
B136,V1C,N,25.0,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.9262664226534848,21.049458255546565
B136,V1C,N,30.0,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD","H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.9144942619775206,19.104420830479015
B136,V1C,N,40.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.948190914872123,15.869668343585337
B136,V1C,N,56.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD,CAGR",0.954549390397093,12.374289017392163
B136,V1C,G,0.0,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD","H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.8543307436108536,23.737389307752142
B136,V1C,G,0.01,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.8594644418802182,23.652193227391237
B136,V1C,G,0.02,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.8519004375490258,23.73308337510077
B136,V1C,G,0.03,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.8493593188977354,23.71502356294128
B136,V1C,G,0.05,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.8509666997889634,23.495669944382016
B136,V1C,G,0.08,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.8658925612224811,23.409554658545485
B136,V1C,G,0.12,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.9099008542685272,22.960441738965798
B136,V1C,V,0.2,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD",H2,"H2,OOS,CAGR","H1,H2,OOS,DD,CAGR",0.837168499262818,24.30370443121877
B136,V1C,V,0.3,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.8542015624249752,23.992499370294883
B136,V1C,V,0.4,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.8373466848028374,23.69092965874673
B136,V1C,V,0.5,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.834913712403473,23.742063766606076
B136,V1C,V,0.6,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD","H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.8543307436108536,23.737389307752142
B136,V1C,V,0.8,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.8609511960416775,23.84047449482939
B136,V1C,V,1.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.8355390052651075,23.820176157199977
B136,V1C,V,5.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.85851175176297,23.81376642443697
B136,V1C,K,1.0,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD","H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.8543307436108536,23.737389307752142
B136,V1C,K,2.0,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.9208379021434139,16.96903343775307
B136,V1C,K,3.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,OOS,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.7973937364831805,13.918048422221492
B136,V1C,K,4.0,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD","H2,DD","H2,OOS,DD","H2,OOS,DD",0.946786593453768,12.070199014188601
B136,V1C,K,6.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,OOS,DD","H2,OOS,DD","H2,OOS,DD,CAGR",0.864937557158943,9.384256692999315
B136,V1C,K,13.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,OOS,DD","H2,OOS,DD","H2,OOS,DD,CAGR",0.7686993047186148,5.565005453781221
B136,EWALL,G,0.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,OOS,DD",1.0260978234221487,10.912638352483793
B136,EWALL,G,0.01,4b_bar,"H1,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,DD",1.044061520756929,9.486227813347384
B136,EWALL,G,0.02,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,DD",1.0560645125550805,7.961641237623818
B136,EWALL,V,0.2,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD",H2,"H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.8701378017535963,22.25294968477945
B136,EWALL,V,0.3,"4b,4b_bar","H1,H2,DD","H1,H2,DD","H1,H2,DD",,"H2,DD","H1,H2,OOS,DD,CAGR",0.9467608397970092,14.820302583072076
B136,EWALL,V,0.4,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD,CAGR",0.9964904713570005,12.173044786069601
B136,EWALL,V,0.5,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD",0.996180831714846,11.288596700760081
B136,EWALL,V,0.6,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,OOS,DD",1.0260978234221487,10.912638352483793
B136,EWALL,V,0.8,4b_bar,"H1,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,DD",1.0600205944390138,10.568119062922575
B136,EWALL,V,1.0,4b_bar,"H1,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,DD",1.0524454977206292,10.422734682371301
B136,EWALL,V,5.0,4b_bar,"H1,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,DD",1.0570090346871248,10.342497268129971
B136,EWALL,K,1.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,OOS,DD",1.0260978234221487,10.912638352483793
B136,EWALL,K,2.0,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,DD",1.0640255632776716,7.627834096323009
B136,EWALL,K,8.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H2,DD",1.018517069016994,3.3197594592996884
B136,EWALL,K,13.0,4b_bar,"H1,H2,DD","H2,DD","H2,DD",DD,"H2,DD","H2,DD",1.0117535564194047,2.5943807647996504
SMALL439,TOPN,N,8.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.35513204448514424,34.648424499849746
SMALL439,TOPN,N,10.0,4b_bar,"H2,DD","H1,H2,DD","H1,H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.48034310845857764,32.15375851438867
SMALL439,TOPN,N,15.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.49860241861575255,29.005449137969514
SMALL439,TOPN,N,20.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.4639311585029647,26.933992671884695
SMALL439,TOPN,G,0.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.4639311585029647,26.933992671884695
SMALL439,TOPN,G,0.01,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.4657811203328536,26.922876854113184
SMALL439,TOPN,G,0.02,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.4704164399250989,26.892684306651038
SMALL439,TOPN,G,0.03,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.46846972867695874,26.892234154764775
SMALL439,TOPN,G,0.05,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.4646016277155025,26.848866995089214
SMALL439,TOPN,G,0.08,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.45557078924901895,26.788185033312242
SMALL439,TOPN,G,0.12,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.44696963705670156,26.763992969222265
SMALL439,TOPN,V,0.5,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.4888297704136086,29.075330009684908
SMALL439,TOPN,V,0.6,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.4639311585029647,26.933992671884695
SMALL439,TOPN,V,0.8,4b_bar,"H2,DD","H2,DD","H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.5707603092568344,24.719742860890275
SMALL439,TOPN,V,1.0,4b_bar,"H2,DD","H2,DD","H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.5624299895470449,23.692253989686233
SMALL439,TOPN,V,5.0,4b_bar,DD,DD,DD,"H2,OOS,DD","H1,H2,OOS,DD","H1,H2,OOS,DD",0.748568025945546,21.769676663801448
SMALL439,TOPN,K,1.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.4639311585029647,26.933992671884695
SMALL439,TOPN,K,2.0,4b_bar,"H2,DD","H2,DD","H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.48448927053093555,19.24337582845569
