panel,bps,arm,n,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,regret
B136,25,n=20,20,0.9023740485967316,0.802891607971609,0.12551426084616635,-0.2614961028655428,0.2859699184700949
B136,25,n=ALL,ALL,1.1332352272872002,1.0888615264417039,0.13733195483552652,-0.2532030593280299,0.0
B136,25,n=5,5,0.9471937143886014,0.8083334177102653,0.18751029552631637,-0.293752779569194,0.2805281087314385
B136,25,RULES v2,,,1.0740236940215924,0.07643420182382155,-0.12284879701089035,
B136,25,SPY,,,0.8820239235972316,0.1545044425578177,-0.3371595330739301,
SMALL439,0,IS-pick,10,0.7995698361454314,0.7937050333153425,0.1986954203542608,-0.34718155300979603,0.08690868679624963
SMALL439,0,OOS-best,20,0.7915219091727724,0.8806137201115921,0.19017682893548815,-0.30763800805500263,0.0
SMALL439,0,n=20,20,0.7915219091727724,0.8806137201115921,0.19017682893548815,-0.30763800805500263,0.0
SMALL439,0,n=ALL,ALL,0.7686257835563945,0.6511835139302025,0.10445803994854685,-0.37034524898238375,0.22943020618138965
SMALL439,0,n=5,5,0.6077183612454348,0.8354016461497964,0.268490047300338,-0.39242296387345643,0.04521207396179572
SMALL439,0,RULES v2,,,0.6085605291719897,0.0414753956617695,-0.14307423028633637,
SMALL439,0,SPY,,,0.8820107671822842,0.15450717694493266,-0.33717235283398284,
SMALL439,10,IS-pick,ALL,0.7577738837313283,0.6406892300900265,0.10241418393525104,-0.372052869703529,0.16482170639397553
SMALL439,10,OOS-best,20,0.7021407543774709,0.8055109364840021,0.1700269392945004,-0.30849894580592385,0.0
SMALL439,10,n=20,20,0.7021407543774709,0.8055109364840021,0.1700269392945004,-0.30849894580592385,0.0
SMALL439,10,n=ALL,ALL,0.7577738837313283,0.6406892300900265,0.10241418393525104,-0.372052869703529,0.16482170639397553
SMALL439,10,n=5,5,0.5268852604766646,0.7741441065481343,0.24052165730294184,-0.3983450255876313,0.03136682993586781
SMALL439,10,RULES v2,,,0.5680478293625534,0.03848481853840191,-0.1468466036229472,
SMALL439,10,SPY,,,0.8820107671822842,0.15450717694493266,-0.33717235283398284,
SMALL439,25,IS-pick,ALL,0.7414966846802888,0.624946072261094,0.09935534397744905,-0.3746057372466872,0.06773753230261925
SMALL439,25,OOS-best,20,0.5679053092269664,0.6926836045637133,0.140426741906454,-0.3097889357986777,0.0
SMALL439,25,n=20,20,0.5679053092269664,0.6926836045637133,0.140426741906454,-0.3097889357986777,0.0
SMALL439,25,n=ALL,ALL,0.7414966846802888,0.624946072261094,0.09935534397744905,-0.3746057372466872,0.06773753230261925
SMALL439,25,n=5,5,0.4054119785205115,0.6821558020432157,0.1996933043040956,-0.47637271849646823,0.010527802520497564
SMALL439,25,RULES v2,,,0.5072384615166254,0.03401470587677502,-0.15247448679159348,
SMALL439,25,SPY,,,0.8820107671822842,0.15450717694493266,-0.33717235283398284,
