stratum,unit,K,floor_IS,floor_OOS,ratio,bar_from_IS,oos_cells,oos_clear_share
REPRO,dd,3,0.0043258221679010065,0.0027486158742897875,0.6353973343345924,0.01297746650370302,54,1.0
REPRO,dd,10,0.0043258221679010065,0.0027486158742897875,0.6353973343345924,0.04325822167901006,54,1.0
REPRO,dd,30,0.0043258221679010065,0.0027486158742897875,0.6353973343345924,0.1297746650370302,54,1.0
REPRO,dd,100,0.0043258221679010065,0.0027486158742897875,0.6353973343345924,0.43258221679010067,54,1.0
REPRO,dd,1000,0.0043258221679010065,0.0027486158742897875,0.6353973343345924,4.3258221679010065,54,1.0
REPRO,turnover,1,0.0100761267709626,0.006408960368425538,0.6360539634033676,0.0100761267709626,54,1.0
REPRO,turnover,3,0.0100761267709626,0.006408960368425538,0.6360539634033676,0.0302283803128878,54,1.0
REPRO,turnover,10,0.0100761267709626,0.006408960368425538,0.6360539634033676,0.10076126770962601,54,1.0
REPRO,turnover,30,0.0100761267709626,0.006408960368425538,0.6360539634033676,0.30228380312887804,54,1.0
REPRO,turnover,100,0.0100761267709626,0.006408960368425538,0.6360539634033676,1.0076126770962601,54,1.0
REPRO,turnover,1000,0.0100761267709626,0.006408960368425538,0.6360539634033676,10.0761267709626,54,1.0
REPRO,weight,1,0.000631453115227567,0.0025134798304737678,3.980469443987056,0.000631453115227567,54,0.7037037037037037
REPRO,weight,3,0.000631453115227567,0.0025134798304737678,3.980469443987056,0.001894359345682701,54,0.9259259259259259
REPRO,weight,10,0.000631453115227567,0.0025134798304737678,3.980469443987056,0.0063145311522756695,54,1.0
REPRO,weight,30,0.000631453115227567,0.0025134798304737678,3.980469443987056,0.01894359345682701,54,1.0
REPRO,weight,100,0.000631453115227567,0.0025134798304737678,3.980469443987056,0.0631453115227567,54,1.0
REPRO,weight,1000,0.000631453115227567,0.0025134798304737678,3.980469443987056,0.631453115227567,54,1.0
REPRO,price,1,0.0,0.0,,0.0,54,0.0
REPRO,price,3,0.0,0.0,,0.0,54,0.0
REPRO,price,10,0.0,0.0,,0.0,54,0.0
REPRO,price,30,0.0,0.0,,0.0,54,0.0
REPRO,price,100,0.0,0.0,,0.0,54,0.0
REPRO,price,1000,0.0,0.0,,0.0,54,0.0
REPRO,share,1,0.0013702678898974696,0.002522626373201109,1.8409731351070808,0.0013702678898974696,54,0.8333333333333334
REPRO,share,3,0.0013702678898974696,0.002522626373201109,1.8409731351070808,0.004110803669692409,54,1.0
REPRO,share,10,0.0013702678898974696,0.002522626373201109,1.8409731351070808,0.013702678898974696,54,1.0
REPRO,share,30,0.0013702678898974696,0.002522626373201109,1.8409731351070808,0.04110803669692409,54,1.0
REPRO,share,100,0.0013702678898974696,0.002522626373201109,1.8409731351070808,0.13702678898974696,54,1.0
REPRO,share,1000,0.0013702678898974696,0.002522626373201109,1.8409731351070808,1.3702678898974696,54,1.0
REPRO,return,1,0.0011350508735692244,0.002073702497933269,1.8269687696133015,0.0011350508735692244,54,0.7592592592592593
REPRO,return,3,0.0011350508735692244,0.002073702497933269,1.8269687696133015,0.0034051526207076735,54,1.0
REPRO,return,10,0.0011350508735692244,0.002073702497933269,1.8269687696133015,0.011350508735692244,54,1.0
REPRO,return,30,0.0011350508735692244,0.002073702497933269,1.8269687696133015,0.03405152620707673,54,1.0
REPRO,return,100,0.0011350508735692244,0.002073702497933269,1.8269687696133015,0.11350508735692244,54,1.0
REPRO,return,1000,0.0011350508735692244,0.002073702497933269,1.8269687696133015,1.1350508735692244,54,1.0
REPRO,count,1,17907.0,31345.0,1.7504327916457252,17907.0,54,0.8333333333333334
REPRO,count,3,17907.0,31345.0,1.7504327916457252,53721.0,54,1.0
REPRO,count,10,17907.0,31345.0,1.7504327916457252,179070.0,54,1.0
REPRO,count,30,17907.0,31345.0,1.7504327916457252,537210.0,54,1.0
REPRO,count,100,17907.0,31345.0,1.7504327916457252,1790700.0,54,1.0
REPRO,count,1000,17907.0,31345.0,1.7504327916457252,17907000.0,54,1.0
