panel,dial,leg,shape_class,pick,pick_i,endpoint,IS_Sharpe,IS_CAGR,IS_MaxDD,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,turn_per_yr,pass_4b,pass_4b_oos,pass_4a,ladder_4b,ladder_4b_both,ladder_4a,n_rungs
U56,D_HOLD,L_TUW,FLAT,189,7,False,1.2458210034862465,0.15239626840815834,-0.13018465624150022,0.15589047172815773,1.120552211808253,-0.22213520845091717,1.3353087029467336,0.9791451027404172,0.15877490441672282,1.0508576134570584,-0.22213520845091694,2.3123454569794135,False,False,False,3,3,0,9
U56,D_HOLD,L_ULCER,OTHER-NONMONO,189,7,False,1.2458210034862465,0.15239626840815834,-0.13018465624150022,0.15589047172815773,1.120552211808253,-0.22213520845091717,1.3353087029467336,0.9791451027404172,0.15877490441672282,1.0508576134570584,-0.22213520845091694,2.3123454569794135,False,False,False,3,3,0,9
U56,D_CADENCE,L_DD,OTHER-NONMONO,D,0,True,1.0756296390998652,0.13291307702536015,-0.13089783804216037,0.15418882113747956,1.0977470339870985,-0.2313086816428257,1.2041423177576647,1.0324056487198017,0.1720028623122658,1.1220286758694527,-0.2313086816428257,4.05931174043272,False,False,False,2,2,0,6
U56,D_CADENCE,L_VOLTGT,FLAT,2W,2,False,1.157559310617699,0.1430599135392019,-0.13832613993066067,0.15873383583766576,1.1436287918640222,-0.24096712839873857,1.2766766540781762,1.0550723775941935,0.1717980159952026,1.142936932991903,-0.24096712839873868,2.580356272568044,False,False,False,2,2,0,6
U56,D_CADENCE,L_TUW,FLAT,2W,2,False,1.157559310617699,0.1430599135392019,-0.13832613993066067,0.15873383583766576,1.1436287918640222,-0.24096712839873857,1.2766766540781762,1.0550723775941935,0.1717980159952026,1.142936932991903,-0.24096712839873868,2.580356272568044,False,False,False,2,2,0,6
U56,D_CADENCE,L_ULCER,OTHER-NONMONO,2W,2,False,1.157559310617699,0.1430599135392019,-0.13832613993066067,0.15873383583766576,1.1436287918640222,-0.24096712839873857,1.2766766540781762,1.0550723775941935,0.1717980159952026,1.142936932991903,-0.24096712839873868,2.580356272568044,False,False,False,2,2,0,6
U56,D_MAXVOL,L_DD,OTHER-NONMONO,0.3,0,True,1.2409601334623146,0.13779485751985243,-0.11509797906372643,0.13547288851627015,1.1055153486082083,-0.21797568591622374,1.3339626421657027,0.940663602435848,0.1335649635605023,1.0208105343960623,-0.21797568591622374,2.8689961390180168,False,False,False,5,5,0,7
U56,D_MAXVOL,L_VOLTGT,FLAT,0.3,0,True,1.2409601334623146,0.13779485751985243,-0.11509797906372643,0.13547288851627015,1.1055153486082083,-0.21797568591622374,1.3339626421657027,0.940663602435848,0.1335649635605023,1.0208105343960623,-0.21797568591622374,2.8689961390180168,False,False,False,5,5,0,7
U56,D_MAXVOL,L_TUW,FLAT,0.3,0,True,1.2409601334623146,0.13779485751985243,-0.11509797906372643,0.13547288851627015,1.1055153486082083,-0.21797568591622374,1.3339626421657027,0.940663602435848,0.1335649635605023,1.0208105343960623,-0.21797568591622374,2.8689961390180168,False,False,False,5,5,0,7
U56,D_MAXVOL,L_ULCER,OTHER-NONMONO,0.3,0,True,1.2409601334623146,0.13779485751985243,-0.11509797906372643,0.13547288851627015,1.1055153486082083,-0.21797568591622374,1.3339626421657027,0.940663602435848,0.1335649635605023,1.0208105343960623,-0.21797568591622374,2.8689961390180168,False,False,False,5,5,0,7
B136,D_GROSS,L_DD,TENT,0.575,15,False,1.1429757295827871,0.12272439915070787,-0.11295488383483387,0.12285105578373634,1.0619803694916226,-0.16178742214489017,1.288442258866756,0.8828505447275269,0.12295541785843445,1.0083658819699444,-0.16178742214489006,2.5163021660419167,True,True,False,10,9,0,33
B136,D_GROSS,L_VOLTGT,TENT,0.675,19,False,1.1436880459012637,0.1443569754979881,-0.13210514975550247,0.1443174853663054,1.0628275874327398,-0.18805620266239176,1.2892738155004315,0.8837963251840122,0.14428495080141257,1.0093367487570168,-0.18805620266239187,2.9341373957085426,True,True,False,10,9,0,33
B136,D_GROSS,L_TUW,TENT,0.5,12,False,1.1424121746572091,0.10654041644278789,-0.09848954869052562,0.10675175140207016,1.0613172049637596,-0.14172844448877653,1.2877887796439833,0.8821182819661783,0.10692589883084103,1.0076123238250767,-0.14172844448877653,2.2015315465985563,True,False,False,10,9,0,33
B136,D_GROSS,L_ULCER,RAMP,1.0,32,True,1.145687542276945,0.21490354668676792,-0.19320089419784126,0.2138598224290431,1.0652481921562345,-0.2697291008060032,1.2916543210953286,0.8865650516510282,0.2130005804912496,1.0121613860227718,-0.2697291008060032,4.31216004480221,False,False,False,10,9,0,33
B136,D_N,L_DD,OTHER-NONMONO,30,8,False,1.1473205557687152,0.1529253327475546,-0.1318403191007732,0.1601345108161336,1.0981338933042264,-0.24354358049436975,1.2732684511921244,0.9689318299894406,0.1661079493963833,1.0695530808226905,-0.24354358049436964,3.1522326540506733,False,False,False,1,1,0,11
B136,D_N,L_VOLTGT,RAMP,50,10,True,1.1490536078935645,0.14656654604794217,-0.13254821559794838,0.14949138478339186,1.098565198154261,-0.26445941272837936,1.2503539597142572,0.9806284723644563,0.151906739963811,1.0650147852509746,-0.2644594127283789,2.970792531464898,False,False,False,1,1,0,11
B136,D_N,L_TUW,FLAT,40,9,False,1.1451120445195189,0.14825103577374144,-0.1326386429377,0.15311485642590061,1.088431221467345,-0.25383188323645245,1.265363577767309,0.9565255058773399,0.15713759320155107,1.053516002793691,-0.25383188323645256,3.071390083476017,False,False,False,1,1,0,11
B136,D_N,L_ULCER,TENT,30,8,False,1.1473205557687152,0.1529253327475546,-0.1318403191007732,0.1601345108161336,1.0981338933042264,-0.24354358049436975,1.2732684511921244,0.9689318299894406,0.1661079493963833,1.0695530808226905,-0.24354358049436964,3.1522326540506733,False,False,False,1,1,0,11
B136,D_HOLD,L_DD,OTHER-NONMONO,10,1,False,1.1590655519773922,0.15963599355747093,-0.1332321574252605,0.13943913750069026,0.9758713302792561,-0.2503107246480324,1.254063105695217,0.7421719495037312,0.12306368112206112,0.8428119102377069,-0.25031072464803195,10.166432002468554,False,False,False,0,0,0,9
B136,D_HOLD,L_VOLTGT,TENT,10,1,False,1.1590655519773922,0.15963599355747093,-0.1332321574252605,0.13943913750069026,0.9758713302792561,-0.2503107246480324,1.254063105695217,0.7421719495037312,0.12306368112206112,0.8428119102377069,-0.25031072464803195,10.166432002468554,False,False,False,0,0,0,9
B136,D_HOLD,L_TUW,FLAT,63,4,False,1.2157937198737896,0.1751728910680972,-0.13655282794379697,0.1695140686096932,1.082336942583977,-0.2869481836289933,1.3387285180940438,0.8873528433714876,0.16487229134834314,0.9960363388880005,-0.28694818362899355,4.684150079469976,False,False,False,0,0,0,9
B136,D_HOLD,L_ULCER,TENT,63,4,False,1.2157937198737896,0.1751728910680972,-0.13655282794379697,0.1695140686096932,1.082336942583977,-0.2869481836289933,1.3387285180940438,0.8873528433714876,0.16487229134834314,0.9960363388880005,-0.28694818362899355,4.684150079469976,False,False,False,0,0,0,9
B136,D_CADENCE,L_DD,OTHER-NONMONO,D,0,True,1.1237189721053256,0.1601733696976615,-0.1387144071101475,0.1658275110791685,1.0108299798090135,-0.283637731649679,1.2461224941070186,0.859320160034378,0.17050660867462075,0.9522190783873681,-0.283637731649679,4.358626992932795,False,False,False,0,0,0,6
B136,D_CADENCE,L_VOLTGT,TENT,M,3,False,1.0974727022820046,0.15009659673116138,-0.16058079977187767,0.1667276717164461,1.072059139665344,-0.2762786363864471,1.252004065069234,0.950285757529385,0.18061041709598946,1.0654743736275754,-0.2762786363864471,2.472924418130506,False,False,False,0,0,0,6
B136,D_CADENCE,L_TUW,FLAT,2M,4,False,1.241322642415918,0.17669712990679454,-0.17996497933729239,0.17850600188842947,1.1355987383142507,-0.2590646574329978,1.3696173328565753,0.9647217369646856,0.17999840542592405,1.071411101986182,-0.2590646574329979,2.253993569593724,False,False,False,0,0,0,6
B136,D_CADENCE,L_ULCER,OTHER-NONMONO,2M,4,False,1.241322642415918,0.17669712990679454,-0.17996497933729239,0.17850600188842947,1.1355987383142507,-0.2590646574329978,1.3696173328565753,0.9647217369646856,0.17999840542592405,1.071411101986182,-0.2590646574329979,2.253993569593724,False,False,False,0,0,0,6
B136,D_MAXVOL,L_DD,OTHER-NONMONO,0.3,0,True,1.228710911179471,0.15723123384000548,-0.13023587819711646,0.14074261459041848,1.0282407858249525,-0.22836910131892896,1.356012580194053,0.7693252802705209,0.1273344449504885,0.8919687712964053,-0.22836910131892896,3.4198418852755528,False,False,False,1,1,0,7
B136,D_MAXVOL,L_VOLTGT,RAMP,0.3,0,True,1.228710911179471,0.15723123384000548,-0.13023587819711646,0.14074261459041848,1.0282407858249525,-0.22836910131892896,1.356012580194053,0.7693252802705209,0.1273344449504885,0.8919687712964053,-0.22836910131892896,3.4198418852755528,False,False,False,1,1,0,7
B136,D_MAXVOL,L_TUW,FLAT,0.3,0,True,1.228710911179471,0.15723123384000548,-0.13023587819711646,0.14074261459041848,1.0282407858249525,-0.22836910131892896,1.356012580194053,0.7693252802705209,0.1273344449504885,0.8919687712964053,-0.22836910131892896,3.4198418852755528,False,False,False,1,1,0,7
B136,D_MAXVOL,L_ULCER,OTHER-NONMONO,0.3,0,True,1.228710911179471,0.15723123384000548,-0.13023587819711646,0.14074261459041848,1.0282407858249525,-0.22836910131892896,1.356012580194053,0.7693252802705209,0.1273344449504885,0.8919687712964053,-0.22836910131892896,3.4198418852755528,False,False,False,1,1,0,7
