panel,rungset,window,leg,legkey,resample,ref_wrongway,Dstar,P5,P10,P20,P40,P80,P160
B136,COARSE,IS,is_cagr,cagr,INDEPENDENT,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,COARSE,IS,is_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,COARSE,IS,is_dd,dd,INDEPENDENT,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,COARSE,OOS,oos_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,COARSE,OOS,oos_cagr,cagr,INDEPENDENT,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,COARSE,OOS,oos_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,COARSE,OOS,oos_dd,dd,INDEPENDENT,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL664,FINE,FULL,full_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL664,FINE,FULL,full_cagr,cagr,INDEPENDENT,0,80.0,0.304,0.2135,0.1335,0.0805,0.024,0.0035
SMALL664,FINE,FULL,full_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL664,FINE,FULL,full_dd,dd,INDEPENDENT,0,5.0,0.0035,0.0005,0.0,0.0,0.0,0.0
SMALL664,FINE,IS,is_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL664,FINE,IS,is_cagr,cagr,INDEPENDENT,0,,0.247,0.2425,0.246,0.253,0.1735,0.0875
SMALL664,FINE,IS,is_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL664,FINE,IS,is_dd,dd,INDEPENDENT,0,80.0,0.136,0.1225,0.11,0.0775,0.038,0.012
SMALL664,FINE,OOS,oos_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL664,FINE,OOS,oos_cagr,cagr,INDEPENDENT,0,80.0,0.425,0.38,0.2605,0.139,0.0495,0.0065
SMALL664,FINE,OOS,oos_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL664,FINE,OOS,oos_dd,dd,INDEPENDENT,0,5.0,0.0035,0.0005,0.0,0.0,0.0,0.0
SMALL664,COARSE,FULL,full_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL664,COARSE,FULL,full_cagr,cagr,INDEPENDENT,0,5.0,0.033,0.008,0.0005,0.0,0.0,0.0
SMALL664,COARSE,FULL,full_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL664,COARSE,FULL,full_dd,dd,INDEPENDENT,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL664,COARSE,IS,is_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL664,COARSE,IS,is_cagr,cagr,INDEPENDENT,0,5.0,0.029,0.0365,0.0395,0.03,0.007,0.001
SMALL664,COARSE,IS,is_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL664,COARSE,IS,is_dd,dd,INDEPENDENT,0,5.0,0.013,0.016,0.0055,0.002,0.0,0.0
SMALL664,COARSE,OOS,oos_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL664,COARSE,OOS,oos_cagr,cagr,INDEPENDENT,0,10.0,0.0685,0.0235,0.0025,0.0,0.0,0.0
SMALL664,COARSE,OOS,oos_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL664,COARSE,OOS,oos_dd,dd,INDEPENDENT,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
