mech,cost,D_pass,D_n,D_turn,D_CAGR,D_bind,W_pass,W_n,W_turn,W_CAGR,W_bind
NOR3,0.0,2,2,26.509768584783927,0.1301203371709776,,6,6,10.178863445684437,0.1331867121002561,
NOR3,2.0,2,2,26.509768584783927,0.12414671623738172,,6,6,10.178863445684437,0.1308833221711673,
NOR3,5.0,2,2,26.509768584783927,0.11524503257452023,,6,6,10.178863445684437,0.12743676363935685,
NOR3,7.5,0,2,26.509768584783927,0.10788046424792208,L_H1,6,6,10.178863445684437,0.12457242862232187,
NOR3,10.0,0,2,26.509768584783927,0.10056419567745456,L_H1|L_CAGR,6,6,10.178863445684437,0.12171516374277606,
NOR3,15.0,0,2,26.509768584783927,0.08607530142038988,L_H1|L_H2|L_OOS|L_CAGR,6,6,10.178863445684437,0.11602177661927711,
NOR3,25.0,0,2,26.509768584783927,0.057663402992297996,L_H1|L_H2|L_OOS|L_DD|L_CAGR,0,6,10.178863445684437,0.10471910068304029,L_H1|L_H2|L_DD|L_CAGR
NOR3,50.0,0,2,26.509768584783927,-0.010177934983653159,L_H1|L_H2|L_OOS|L_DD|L_CAGR,0,6,10.178863445684437,0.07694674991167653,L_H1|L_H2|L_OOS|L_DD|L_CAGR
MOMONLY,0.0,2,2,24.584443817809802,0.13814840792016514,,6,6,10.196966462368756,0.13898239160033002,
MOMONLY,2.0,2,2,24.584443817809802,0.1325683918426679,,6,6,10.196966462368756,0.13666305616095278,
MOMONLY,5.0,2,2,24.584443817809802,0.12424922213803091,,6,6,10.196966462368756,0.13319264059307545,
MOMONLY,7.5,2,2,24.584443817809802,0.11736291619895267,,6,6,10.196966462368756,0.13030848072852938,
MOMONLY,10.0,2,2,24.584443817809802,0.11051846250993735,,6,6,10.196966462368756,0.1274314418174568,
MOMONLY,15.0,0,2,24.584443817809802,0.09695410384374803,L_H1|L_H2|L_CAGR,6,6,10.196966462368756,0.12169865867623515,
MOMONLY,25.0,0,2,24.584443817809802,0.07031660916145577,L_H1|L_H2|L_OOS|L_CAGR,4,6,10.196966462368756,0.11031779607463725,L_H2|L_CAGR
MOMONLY,50.0,0,2,24.584443817809802,0.006497706977999007,L_H1|L_H2|L_OOS|L_DD|L_CAGR,0,6,10.196966462368756,0.0823534726839484,L_H1|L_H2|L_OOS|L_DD|L_CAGR
BAND03,0.0,0,2,2.46499853541348,0.0863997587223082,L_CAGR,0,6,1.7733535055087477,0.08764408238307612,L_CAGR
BAND03,2.0,0,2,2.46499853541348,0.08586440294315523,L_CAGR,0,6,1.7733535055087477,0.08725851026353215,L_CAGR
BAND03,5.0,0,2,2.46499853541348,0.0850618588872869,L_CAGR,0,6,1.7733535055087477,0.08668039951813296,L_CAGR
BAND03,7.5,0,2,2.46499853541348,0.08439352071493356,L_CAGR,0,6,1.7733535055087477,0.08619886728430932,L_CAGR
BAND03,10.0,0,2,2.46499853541348,0.08372559004445468,L_CAGR,0,6,1.7733535055087477,0.08571754106932057,L_CAGR
BAND03,15.0,0,2,2.46499853541348,0.08239095022531306,L_CAGR,0,6,1.7733535055087477,0.08475550635525964,L_CAGR
BAND03,25.0,0,2,2.46499853541348,0.0797265497958648,L_CAGR,0,6,1.7733535055087477,0.08283390540858993,L_CAGR
BAND03,50.0,0,2,2.46499853541348,0.07309391929408404,L_CAGR,0,6,1.7733535055087477,0.07804427080810383,L_CAGR
