sclass,construction,partition,panel,stat,resolved,jack_se,se_over_ratio,zrel,resolvable
LEVEL,C_POOLED,OFFSET,U56,CAGR,2.4784087378607422,2.0821221688797764,0.8401044335717507,0.07917421803015451,True
SPREAD,C_POOLED,OFFSET,U56,VOL,3.741700615473213,4.1664133721944685,1.1135079474196634,0.04069540616725916,False
RATIO,C_POOLED,OFFSET,U56,SHARPE,5.361661466166777,0.5682073080364697,0.10597597621968088,0.039903923038032856,False
LEVEL,C_POOLED,OFFSET,U56,MAXDD,1.2496982074303404,0.2228212483482647,0.1783000463819462,0.22288791137191483,True
SPREAD,C_POOLED,OFFSET,U56,ULCER,3.1454474485421926,2.018405601043908,0.6416910897619256,0.09516243099850588,True
RATIO,C_POOLED,OFFSET,U56,CALMAR,3.2957509049368214,0.535082110839802,0.16235514341763013,0.10405178278736767,True
LEVEL,C_POOLED,OFFSET,B136,CAGR,4.107939597264096,1.3071605186277,0.3182034418174683,0.08583382527681147,True
SPREAD,C_POOLED,OFFSET,B136,VOL,4.5354582384774,5.323793797194954,1.1738160770679273,0.03396899182908038,False
RATIO,C_POOLED,OFFSET,B136,SHARPE,4.89991669782471,0.4774089713192176,0.09743205869829595,0.06917199333949954,True
LEVEL,C_POOLED,OFFSET,B136,MAXDD,1.3793872586396594,0.5125367193046297,0.371568401907735,0.2201754402522429,True
SPREAD,C_POOLED,OFFSET,B136,ULCER,3.7387782909020872,1.6018268757469796,0.42843590903607526,0.07717196854121583,True
RATIO,C_POOLED,OFFSET,B136,CALMAR,2.9448247328454062,0.19124479497517333,0.06494267480237612,0.1755860454478494,True
LEVEL,C_POOLED,OFFSET,SMALL,CAGR,15.36100087908973,8.447492488580064,0.549931124610459,0.05709511448408695,True
SPREAD,C_POOLED,OFFSET,SMALL,VOL,3.2384853988480105,5.479649133652353,1.692040710018815,0.06868337286171439,False
RATIO,C_POOLED,OFFSET,SMALL,SHARPE,8.692495106475922,1.7746465941236473,0.2041584806647211,0.08636384171397363,True
LEVEL,C_POOLED,OFFSET,SMALL,MAXDD,0.958291255118444,0.05727051733467642,0.0597631638907086,0.3368654381063578,True
SPREAD,C_POOLED,OFFSET,SMALL,ULCER,2.75180874160731,0.18344343863770182,0.06666285918204982,0.18037816619275418,True
RATIO,C_POOLED,OFFSET,SMALL,CALMAR,4.173710165040508,0.5406955770151544,0.12954794550519697,0.28748738144034847,True
LEVEL,C_BOOK,ALIGNED,U56,CAGR,2.274600741182442,1.6445327966631456,0.7229984440294528,0.08135364911138017,True
SPREAD,C_BOOK,ALIGNED,U56,VOL,4.887172022681111,3.818765873931527,0.7813856062788118,0.03912034953994952,False
RATIO,C_BOOK,ALIGNED,U56,SHARPE,0.4735358755516955,0.0980901740855132,0.20714412391929696,0.04502948599680733,False
LEVEL,C_BOOK,ALIGNED,U56,MAXDD,1.2649472302222653,0.9835471162156533,0.7775400370202266,0.18400812425756927,True
SPREAD,C_BOOK,ALIGNED,U56,ULCER,1.7719951386716162,1.0336674972264366,0.5833354023766284,0.11965770045288728,True
RATIO,C_BOOK,ALIGNED,U56,CALMAR,0.3038063704994032,0.15437314512886927,0.5081300463683744,0.1522603051403933,True
LEVEL,C_BOOK,ALIGNED,B136,CAGR,2.497774024037172,1.9127027672391728,0.7657629348501496,0.08222929973139505,True
SPREAD,C_BOOK,ALIGNED,B136,VOL,5.185116696760652,3.4355505128246455,0.6625792077102084,0.03720484858331723,False
RATIO,C_BOOK,ALIGNED,B136,SHARPE,0.5068791494407386,0.27354380318227967,0.5396627647518983,0.11106583578056291,True
LEVEL,C_BOOK,ALIGNED,B136,MAXDD,1.030544780261542,0.7239382503798086,0.7024811189631958,0.17982381587236415,True
SPREAD,C_BOOK,ALIGNED,B136,ULCER,1.9514811640223055,1.3109432669150063,0.671768342469137,0.10746444421961822,True
RATIO,C_BOOK,ALIGNED,B136,CALMAR,0.5262210247248753,0.22814467965410834,0.43355295386266535,0.21020720806527346,True
LEVEL,C_BOOK,ALIGNED,SMALL,CAGR,2.9707913590806494,2.814569025362992,0.9474138992493897,0.10401380523323284,True
SPREAD,C_BOOK,ALIGNED,SMALL,VOL,3.634660914818032,2.3676574040294396,0.651410808193087,0.05371823042081622,True
RATIO,C_BOOK,ALIGNED,SMALL,SHARPE,1.1616590780258493,0.8410132711428848,0.7239759814661996,0.1252081280042901,True
LEVEL,C_BOOK,ALIGNED,SMALL,MAXDD,0.6269081608612634,0.4069380885479832,0.6491191436859278,0.32063514607473653,True
SPREAD,C_BOOK,ALIGNED,SMALL,ULCER,1.450831039334289,0.7762300804008893,0.5350244510601737,0.1790077073756581,True
RATIO,C_BOOK,ALIGNED,SMALL,CALMAR,0.7717859832035128,0.5002499730817965,0.648171881802478,0.3926366794494701,True
LEVEL,C_BOOK,OFFSET,U56,CAGR,2.5102585962101682,1.6036475239365355,0.6388375788684172,0.07917421803015451,True
SPREAD,C_BOOK,OFFSET,U56,VOL,4.6393569972101245,4.328205314478274,0.9329321535465019,0.04069540616725916,False
RATIO,C_BOOK,OFFSET,U56,SHARPE,0.555492091409267,0.1666792400570207,0.30005690924268674,0.039903923038032856,False
LEVEL,C_BOOK,OFFSET,U56,MAXDD,0.99836783635124,0.8685776308329537,0.86999760930537,0.22288791137191483,True
SPREAD,C_BOOK,OFFSET,U56,ULCER,2.000012964666119,1.4636467470465697,0.7318186296311885,0.09516243099850588,True
RATIO,C_BOOK,OFFSET,U56,CALMAR,0.4996877245524874,0.12657487335393702,0.25330795041502274,0.10405178278736767,True
LEVEL,C_BOOK,OFFSET,B136,CAGR,2.264497663488,1.9092027960200573,0.8431021267115449,0.08583382527681147,True
SPREAD,C_BOOK,OFFSET,B136,VOL,5.73805243816828,3.7942969129192603,0.6612516971229507,0.03396899182908038,False
RATIO,C_BOOK,OFFSET,B136,SHARPE,0.6822582811740394,0.1883166661266466,0.2760196121072927,0.06917199333949954,True
LEVEL,C_BOOK,OFFSET,B136,MAXDD,0.8825763511968693,0.6096928900846794,0.6908103636108873,0.2201754402522429,True
SPREAD,C_BOOK,OFFSET,B136,ULCER,2.817703955366878,1.7277093609643446,0.613162130703468,0.07717196854121583,True
RATIO,C_BOOK,OFFSET,B136,CALMAR,0.5538482036465603,0.27408381823894357,0.49487172917482436,0.1755860454478494,True
LEVEL,C_BOOK,OFFSET,SMALL,CAGR,4.755816289465604,4.160560527331883,0.8748362581935208,0.05709511448408695,True
SPREAD,C_BOOK,OFFSET,SMALL,VOL,2.9536965123705046,1.29922829098682,0.43986519452674494,0.06868337286171439,True
RATIO,C_BOOK,OFFSET,SMALL,SHARPE,1.6070625476170015,0.879856566040576,0.5474936662205542,0.08636384171397363,True
LEVEL,C_BOOK,OFFSET,SMALL,MAXDD,0.6225017335762149,0.36886827747111606,0.5925578316898845,0.3368654381063578,True
SPREAD,C_BOOK,OFFSET,SMALL,ULCER,1.335794978556061,0.8611679852741149,0.6446857482613101,0.18037816619275418,True
RATIO,C_BOOK,OFFSET,SMALL,CALMAR,0.6736962131447775,0.27800076617759273,0.41265003536222983,0.28748738144034847,True
