panel,tau,mode,bps,kind,on_share,d_real,clears_two,clears_signed,band
U56,0.5,skip,10,RS8,0.0041025641025641026,0.0019179439496423978,False,False,0.005474832642443861
U56,0.5,skip,10,RS16,0.0041025641025641026,0.0019179439496423978,False,False,0.012060344757069963
U56,0.5,skip,25,ROT,0.0041025641025641026,0.002186844585240655,False,False,0.0057489119737909045
U56,0.5,skip,25,RS1,0.0041025641025641026,0.002186844585240655,False,False,0.01285501140447165
U56,0.5,skip,25,RS2,0.0041025641025641026,0.002186844585240655,False,False,0.007975757055339261
U56,0.5,skip,25,RS4,0.0041025641025641026,0.002186844585240655,False,False,0.0095058436617379
U56,0.5,skip,25,RS8,0.0041025641025641026,0.002186844585240655,False,False,0.0060324098364090695
U56,0.5,skip,25,RS16,0.0041025641025641026,0.002186844585240655,False,False,0.012487973037396127
U56,0.5,half,10,ROT,0.0041025641025641026,0.0010772042565732054,False,False,0.0027812228574835007
U56,0.5,half,10,RS1,0.0041025641025641026,0.0010772042565732054,False,False,0.003586467268160698
U56,0.5,half,10,RS2,0.0041025641025641026,0.0010772042565732054,False,False,0.005291873500861799
U56,0.5,half,10,RS4,0.0041025641025641026,0.0010772042565732054,False,False,0.006441988796284548
U56,0.5,half,10,RS8,0.0041025641025641026,0.0010772042565732054,False,False,0.02108073137054367
U56,0.5,half,10,RS16,0.0041025641025641026,0.0010772042565732054,False,False,0.0053804227925007275
U56,0.5,half,25,ROT,0.0041025641025641026,0.0012029644435250786,False,False,0.002960086217107527
U56,0.5,half,25,RS1,0.0041025641025641026,0.0012029644435250786,False,False,0.003448701332075088
U56,0.5,half,25,RS2,0.0041025641025641026,0.0012029644435250786,False,False,0.005016265781549567
U56,0.5,half,25,RS4,0.0041025641025641026,0.0012029644435250786,False,False,0.006247594758584274
U56,0.5,half,25,RS8,0.0041025641025641026,0.0012029644435250786,False,False,0.020602392815154524
U56,0.5,half,25,RS16,0.0041025641025641026,0.0012029644435250786,False,False,0.005607705357955961
