con,gate,cad,band,total_cost_pp,timing_cost_pp,turnover_cost_pp
RESPREAD,MAVOL,M,0.03,3.819364923171187,3.278677865486257,0.5406870576849299
RESPREAD,MAVOL,M,0.05,3.277280438034036,2.780040104450454,0.4972403335835818
RESPREAD,MAVOL,M,0.08,2.6937815299043155,2.2579890670570757,0.4357924628472398
RESPREAD,MAVOL,M,0.12,2.3914681706275642,2.0204069279627035,0.37106124266486074
RESPREAD,MAVOL,Q,0.0,5.049825572143707,4.812879976718887,0.23694559542482008
RESPREAD,MAVOL,Q,0.02,4.464270243440138,4.225768233402705,0.23850201003743354
RESPREAD,MAVOL,Q,0.03,4.194983372004724,3.9579865386080826,0.23699683339664102
RESPREAD,MAVOL,Q,0.05,4.390528937646554,4.166056406095775,0.22447253155077895
RESPREAD,MAVOL,Q,0.08,3.6443075038249395,3.4369549423483026,0.20735256147663694
RESPREAD,MAVOL,Q,0.12,3.3746583103171135,3.1983447220800265,0.17631358823708698
DEGROSS,MA,W,0.0,6.646489120892296,6.453379804944737,0.19310931594755942
DEGROSS,MA,W,0.02,6.436422135889086,6.30407221293201,0.1323499229570757
DEGROSS,MA,W,0.03,6.395219005304131,6.296114643423212,0.09910436188091953
DEGROSS,MA,W,0.05,6.026806787347461,5.976081159886593,0.05072562746086806
DEGROSS,MA,W,0.08,5.88028905358744,5.871199137767591,0.009089915819848748
DEGROSS,MA,W,0.12,5.589878390169778,5.6111342212241455,-0.02125583105436757
DEGROSS,MA,M,0.0,5.338431155185197,5.249243694458827,0.08918746072636985
DEGROSS,MA,M,0.02,5.130106338063656,5.045191939330729,0.08491439873292705
DEGROSS,MA,M,0.03,5.104056011907709,5.023882923429435,0.08017308847827476
DEGROSS,MA,M,0.05,4.85902451346798,4.79120059842022,0.06782391504775998
DEGROSS,MA,M,0.08,4.859690721215926,4.813835418054135,0.04585530316179032
DEGROSS,MA,M,0.12,4.804206057691385,4.781012106229143,0.023193951462241458
DEGROSS,MA,Q,0.0,6.235788660203978,6.190088801268945,0.045699858935033255
DEGROSS,MA,Q,0.02,6.005092852596183,5.959959367306089,0.0451334852900942
DEGROSS,MA,Q,0.03,5.9272072962223366,5.883170894152023,0.04403640207031323
DEGROSS,MA,Q,0.05,5.720559964455529,5.677807592196338,0.042752372259191596
DEGROSS,MA,Q,0.08,5.628073745468076,5.5898668935065565,0.03820685196151974
DEGROSS,MA,Q,0.12,5.756736537879448,5.729621415572783,0.027115122306664574
DEGROSS,MAVOL,W,0.0,8.542477335248023,8.328947349965565,0.2135299852824568
DEGROSS,MAVOL,W,0.02,8.354751231302938,8.194260579011981,0.1604906522909566
DEGROSS,MAVOL,W,0.03,8.338415717970292,8.207162287287462,0.13125343068283168
DEGROSS,MAVOL,W,0.05,8.075073989040726,7.982807398242575,0.09226659079815125
DEGROSS,MAVOL,W,0.08,7.907356158599099,7.846038310056147,0.06131784854295219
DEGROSS,MAVOL,W,0.12,7.630299155605469,7.588014465821247,0.042284689784222174
DEGROSS,MAVOL,M,0.0,7.168031440277933,7.056813809722362,0.11121763055557121
DEGROSS,MAVOL,M,0.02,7.0138556699764765,6.9071930454043695,0.10666262457210696
DEGROSS,MAVOL,M,0.03,6.977946948655056,6.875897888058491,0.10204906059656516
DEGROSS,MAVOL,M,0.05,6.800626030455326,6.709515838808011,0.09111019164731449
DEGROSS,MAVOL,M,0.08,6.649875452624987,6.577201556120116,0.07267389650487122
DEGROSS,MAVOL,M,0.12,6.546393809389195,6.489786922754637,0.05660688663455815
DEGROSS,MAVOL,Q,0.0,8.08214066950448,8.0407642070071,0.04137646249737781
DEGROSS,MAVOL,Q,0.02,7.9301480232977895,7.8891429910245,0.04100503227328911
DEGROSS,MAVOL,Q,0.03,7.859517036368646,7.8195058831863395,0.040011153182306636
DEGROSS,MAVOL,Q,0.05,7.797321500487109,7.758720559392263,0.03860094109484624
DEGROSS,MAVOL,Q,0.08,7.542951988578994,7.508529731052116,0.03442225752687822
DEGROSS,MAVOL,Q,0.12,7.466045937853849,7.441117073588943,0.024928864264905926
