panel,block_L,seeds,spacing,n_rungs,full_argmax,P_argmax_equals_full,modal_argmax,P_modal,width90_rungs,width90_set,width90_mass,peak_minus_runnerup_pp,runner_up,P_argmax_5,P_argmax_12,dist
B136,63,10,COARSE3,3,15,0.643,15,0.643,2,5;15,1.0,1.623257924169386,5,0.357,,5:0.357;15:0.643;40:0.000
B136,63,20,FULL9,9,10,0.764,10,0.764,3,10;12;15,0.902,1.673730587344048,15,0.095,0.01,5:0.095;8:0.001;10:0.764;12:0.010;15:0.128;20:0.002;25:0.000;30:0.000;40:0.000
B136,63,20,ALT5,5,10,0.768,10,0.768,2,10;15,0.903,1.673730587344048,15,0.096,,5:0.096;10:0.768;15:0.135;25:0.001;40:0.000
B136,63,20,COARSE3,3,15,0.669,15,0.669,2,5;15,1.0,1.5071073320249369,5,0.331,,5:0.331;15:0.669;40:0.000
B136,63,40,FULL9,9,10,0.728,10,0.728,5,5;8;10;12;15,0.997,1.4900899502236493,15,0.146,0.004,5:0.146;8:0.003;10:0.728;12:0.004;15:0.116;20:0.001;25:0.002;30:0.000;40:0.000
B136,63,40,ALT5,5,10,0.731,10,0.731,3,5;10;15,0.998,1.4900899502236493,15,0.147,,5:0.147;10:0.731;15:0.120;25:0.002;40:0.000
B136,63,40,COARSE3,3,15,0.598,15,0.598,2,5;15,1.0,1.1166824958957493,5,0.402,,5:0.402;15:0.598;40:0.000
B136,126,5,FULL9,9,10,0.776,10,0.776,3,5;8;10,0.904,2.1978558382447,15,0.118,0.0,5:0.118;8:0.010;10:0.776;12:0.000;15:0.076;20:0.017;25:0.002;30:0.001;40:0.000
B136,126,5,ALT5,5,10,0.788,10,0.788,2,5;10,0.908,2.1978558382447,15,0.12,,5:0.120;10:0.788;15:0.087;25:0.005;40:0.000
B136,126,5,COARSE3,3,15,0.569,15,0.569,2,5;15,0.998,1.6489919000929554,5,0.429,,5:0.429;15:0.569;40:0.002
B136,126,10,FULL9,9,10,0.836,10,0.836,3,5;8;10,0.9239999999999999,1.879516250284297,15,0.088,0.002,5:0.088;8:0.000;10:0.836;12:0.002;15:0.065;20:0.008;25:0.000;30:0.001;40:0.000
B136,126,10,ALT5,5,10,0.841,10,0.841,2,5;10,0.9289999999999999,1.879516250284297,15,0.088,,5:0.088;10:0.841;15:0.068;25:0.003;40:0.000
B136,126,10,COARSE3,3,15,0.644,15,0.644,2,5;15,0.999,1.623257924169386,5,0.355,,5:0.355;15:0.644;40:0.001
B136,126,20,FULL9,9,10,0.824,10,0.824,3,10;12;15,0.9239999999999999,1.673730587344048,15,0.068,0.004,5:0.068;8:0.000;10:0.824;12:0.004;15:0.096;20:0.006;25:0.002;30:0.000;40:0.000
B136,126,20,ALT5,5,10,0.829,10,0.829,2,10;15,0.9299999999999999,1.673730587344048,15,0.068,,5:0.068;10:0.829;15:0.101;25:0.002;40:0.000
B136,126,20,COARSE3,3,15,0.675,15,0.675,2,5;15,1.0,1.5071073320249369,5,0.325,,5:0.325;15:0.675;40:0.000
B136,126,40,FULL9,9,10,0.769,10,0.769,5,5;8;10;12;15,0.991,1.4900899502236493,15,0.127,0.002,5:0.127;8:0.000;10:0.769;12:0.002;15:0.093;20:0.005;25:0.002;30:0.002;40:0.000
B136,126,40,ALT5,5,10,0.774,10,0.774,2,5;10,0.901,1.4900899502236493,15,0.127,,5:0.127;10:0.774;15:0.095;25:0.004;40:0.000
B136,126,40,COARSE3,3,15,0.599,15,0.599,2,5;15,1.0,1.1166824958957493,5,0.401,,5:0.401;15:0.599;40:0.000
