panel,rung,p,cost,draws,null_turn_med,null_gross_med,cand_turn,cand_gross,pass4b,pass4a,share4b,share4a,null_S_med,null_C_med,null_D_med,null_OOS_med,null_S_p95,cand_S,cand_C,cand_D,cand_OOS,cand_4a,cand_4b,pctile_S,pctile_C,pctile_D,pctile_OOS,top_fail,top_fail_share
SMALL439,1x,0.1800408662129973,25.0,250,20.25464574478438,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,0.08827228289071615,0.002511583895657865,-0.41336634262313177,0.03447628262686726,0.25689349390791805,0.28209235144048067,0.033773882403875355,-0.3513764153800948,0.30160015433639353,False,False,0.976,0.976,0.9,0.968,H1+H2+OOS+DD+CAGR,1.0
SMALL439,2x,0.506512122307371,0.0,250,40.46622988402042,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,0.42642941350815033,0.051694200858591,-0.33689834326063633,0.38007793091989583,0.5908954089611582,0.5833081680049127,0.08731928260583177,-0.24627253994164033,0.6110770143505769,False,False,0.936,0.984,0.992,0.94,H1+H2+OOS+DD+CAGR,0.988
SMALL439,2x,0.506512122307371,10.0,250,40.46622988402042,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,0.1414420395766371,0.0100236019366855,-0.3952072958745355,0.10627650318834529,0.3064817461661897,0.462864671151153,0.0655831265149307,-0.27432604586461007,0.487330838507868,False,False,0.996,0.996,0.996,0.996,H1+H2+OOS+DD+CAGR,1.0
SMALL439,2x,0.506512122307371,25.0,250,40.46622988402042,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,-0.2849479658317748,-0.04975412285481767,-0.640600651098338,-0.3059092270716559,-0.12085230316578217,0.28209235144048067,0.033773882403875355,-0.3513764153800948,0.30160015433639353,False,False,1.0,1.0,1.0,1.0,H1+H2+OOS+DD+CAGR,1.0
SMALL439,4x,1.0,0.0,250,66.79909369499859,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,0.4028492497765339,0.048480271964623234,-0.33736777366449383,0.3773513031606804,0.5931246752081025,0.5833081680049127,0.08731928260583177,-0.24627253994164033,0.6110770143505769,False,False,0.94,0.988,0.988,0.94,H1+H2+OOS+DD+CAGR,1.0
SMALL439,4x,1.0,10.0,250,66.79909369499859,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,-0.06323211137081464,-0.019308277412785346,-0.4974497990180794,-0.07102173976544468,0.12590141375257935,0.462864671151153,0.0655831265149307,-0.27432604586461007,0.487330838507868,False,False,1.0,1.0,1.0,1.0,H1+H2+OOS+DD+CAGR,1.0
SMALL439,4x,1.0,25.0,250,66.79909369499859,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,-0.7511636453376977,-0.11293910547339137,-0.8618819792606751,-0.7451086768803936,-0.562231352494037,0.28209235144048067,0.033773882403875355,-0.3513764153800948,0.30160015433639353,False,False,1.0,1.0,1.0,1.0,H1+H2+OOS+DD+CAGR,1.0
SMALL439,p=0 (forced only),0.0,0.0,250,6.900702560413375,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,0.5280412625215177,0.062179814083224816,-0.289031811578234,0.4661446248460173,0.6603634659638694,0.5833081680049127,0.08731928260583177,-0.24627253994164033,0.6110770143505769,False,False,0.74,0.988,0.92,0.944,H1+H2+OOS+DD+CAGR,0.948
SMALL439,p=0 (forced only),0.0,10.0,250,6.900702560413375,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,0.4750677617551261,0.054909814736399,-0.29786759530354545,0.41065489464811866,0.6073198960101601,0.462864671151153,0.0655831265149307,-0.27432604586461007,0.487330838507868,False,False,0.44,0.836,0.728,0.788,H1+H2+OOS+DD+CAGR,0.984
SMALL439,p=0 (forced only),0.0,25.0,250,6.900702560413375,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,0.39590516281591903,0.04420601176838179,-0.3143030203626184,0.3297014316521484,0.5273386903068165,0.28209235144048067,0.033773882403875355,-0.3513764153800948,0.30160015433639353,False,False,0.132,0.22,0.2,0.416,H1+H2+OOS+DD+CAGR,0.996
SMALL439,p=1 (502 RANDROT),1.0,0.0,250,66.79909369499859,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,0.4028492497765339,0.048480271964623234,-0.33736777366449383,0.3773513031606804,0.5931246752081025,0.5833081680049127,0.08731928260583177,-0.24627253994164033,0.6110770143505769,False,False,0.94,0.988,0.988,0.94,H1+H2+OOS+DD+CAGR,1.0
SMALL439,p=1 (502 RANDROT),1.0,10.0,250,66.79909369499859,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,-0.06323211137081464,-0.019308277412785346,-0.4974497990180794,-0.07102173976544468,0.12590141375257935,0.462864671151153,0.0655831265149307,-0.27432604586461007,0.487330838507868,False,False,1.0,1.0,1.0,1.0,H1+H2+OOS+DD+CAGR,1.0
SMALL439,p=1 (502 RANDROT),1.0,25.0,250,66.79909369499859,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,-0.7511636453376977,-0.11293910547339137,-0.8618819792606751,-0.7451086768803936,-0.562231352494037,0.28209235144048067,0.033773882403875355,-0.3513764153800948,0.30160015433639353,False,False,1.0,1.0,1.0,1.0,H1+H2+OOS+DD+CAGR,1.0
