panel,cadence,cost_bps,statistic,shipped_n5,n_rungs,n_beating_shipped,best_rung,best_value,rungs_beating
U56,M,25,full MaxDD,-0.15584991039010865,6,2,10,-0.1359148712317052,10;40
U56,M,50,OOS Sharpe,0.5131001675206004,6,5,40,1.1644290621484168,10;15;20;30;40
U56,M,50,full Sharpe,0.549286377977965,6,5,40,1.0881021632635772,10;15;20;30;40
U56,M,50,full CAGR,0.05477077929129526,6,5,30,0.10084410637414254,10;15;20;30;40
U56,M,50,full MaxDD,-0.1719183807593868,6,4,40,-0.14133377214797016,10;15;30;40
U56,W,0,OOS Sharpe,0.9600656738143574,6,5,40,1.3021829381995005,10;15;20;30;40
U56,W,0,full Sharpe,0.8864637540117456,6,5,40,1.1797376893782363,10;15;20;30;40
U56,W,0,full CAGR,0.08895653929874747,6,6,20,0.10977288735429203,3;10;15;20;30;40
U56,W,0,full MaxDD,-0.13594389116950822,6,2,10,-0.12764546584193648,3;10
U56,W,10,OOS Sharpe,0.728306879485473,6,5,40,1.2430403352888906,10;15;20;30;40
U56,W,10,full Sharpe,0.6552748928075371,6,5,40,1.1208386445370726,10;15;20;30;40
U56,W,10,full CAGR,0.06354589291260848,6,5,30,0.09875819330327062,10;15;20;30;40
U56,W,10,full MaxDD,-0.13827791043318094,6,3,10,-0.1293477478972218,3;10;40
U56,W,25,OOS Sharpe,0.3793755466742182,6,5,40,1.1541292687577278,10;15;20;30;40
U56,W,25,full Sharpe,0.30735343050828273,6,5,40,1.0323166653957814,10;15;20;30;40
U56,W,25,full CAGR,0.02650890373215753,6,5,30,0.08696925748828943,10;15;20;30;40
U56,W,25,full MaxDD,-0.15631763957260214,6,2,40,-0.1389017410345481,10;40
U56,W,50,OOS Sharpe,-0.19893406565183946,6,5,40,1.0055303072801214,10;15;20;30;40
U56,W,50,full Sharpe,-0.2685950941141592,6,5,40,0.8844293754999016,10;15;20;30;40
U56,W,50,full CAGR,-0.032447226820796815,6,5,40,0.07313181008546699,10;15;20;30;40
U56,W,50,full MaxDD,-0.4751481530905477,6,5,40,-0.14038550197937227,10;15;20;30;40
