panel,cadence,legset,wstart,draws,base_REC,base_DISJ,destroyed,created,dest_share,bind_H1,bind_H2
B136,Q,FOUR,2013-01-01,200,0.015,0.02,1,2,0.3333333333333333,0.0,1.0
B136,Q,SHARPE2,2009-01-01,200,0.26,0.715,12,103,0.23076923076923078,0.5833333333333334,0.5833333333333334
B136,Q,SHARPE2,2010-01-01,200,0.26,0.645,20,97,0.38461538461538464,0.2,0.85
B136,Q,SHARPE2,2011-01-01,200,0.26,0.635,19,94,0.36538461538461536,0.15789473684210525,0.9473684210526315
B136,Q,SHARPE2,2012-01-01,200,0.26,0.44,29,65,0.5576923076923077,0.7931034482758621,0.3448275862068966
B136,Q,SHARPE2,2013-01-01,200,0.26,0.505,24,73,0.46153846153846156,0.5833333333333334,0.5833333333333334
B136,W,REC5,2009-01-01,200,0.0,0.0,0,0,,,
B136,W,REC5,2010-01-01,200,0.0,0.0,0,0,,,
B136,W,REC5,2011-01-01,200,0.0,0.0,0,0,,,
B136,W,REC5,2012-01-01,200,0.0,0.0,0,0,,,
B136,W,REC5,2013-01-01,200,0.0,0.0,0,0,,,
B136,W,FOUR,2009-01-01,200,0.0,0.0,0,0,,,
B136,W,FOUR,2010-01-01,200,0.0,0.0,0,0,,,
B136,W,FOUR,2011-01-01,200,0.0,0.0,0,0,,,
B136,W,FOUR,2012-01-01,200,0.0,0.0,0,0,,,
B136,W,FOUR,2013-01-01,200,0.0,0.0,0,0,,,
B136,W,SHARPE2,2009-01-01,200,0.0,0.0,0,0,,,
B136,W,SHARPE2,2010-01-01,200,0.0,0.0,0,0,,,
B136,W,SHARPE2,2011-01-01,200,0.0,0.0,0,0,,,
B136,W,SHARPE2,2012-01-01,200,0.0,0.0,0,0,,,
B136,W,SHARPE2,2013-01-01,200,0.0,0.0,0,0,,,
SMALL663,M,REC5,2009-01-01,200,0.0,0.0,0,0,,,
SMALL663,M,REC5,2010-01-01,200,0.0,0.0,0,0,,,
SMALL663,M,REC5,2011-01-01,200,0.0,0.0,0,0,,,
SMALL663,M,REC5,2012-01-01,200,0.0,0.0,0,0,,,
SMALL663,M,REC5,2013-01-01,200,0.0,0.0,0,0,,,
SMALL663,M,FOUR,2009-01-01,200,0.0,0.0,0,0,,,
SMALL663,M,FOUR,2010-01-01,200,0.0,0.0,0,0,,,
SMALL663,M,FOUR,2011-01-01,200,0.0,0.0,0,0,,,
SMALL663,M,FOUR,2012-01-01,200,0.0,0.0,0,0,,,
SMALL663,M,FOUR,2013-01-01,200,0.0,0.0,0,0,,,
SMALL663,M,SHARPE2,2009-01-01,200,0.0,0.095,0,19,,,
SMALL663,M,SHARPE2,2010-01-01,200,0.0,0.095,0,19,,,
SMALL663,M,SHARPE2,2011-01-01,200,0.0,0.095,0,19,,,
SMALL663,M,SHARPE2,2012-01-01,200,0.0,0.04,0,8,,,
SMALL663,M,SHARPE2,2013-01-01,200,0.0,0.06,0,12,,,
SMALL663,Q,REC5,2009-01-01,200,0.0,0.0,0,0,,,
SMALL663,Q,REC5,2010-01-01,200,0.0,0.0,0,0,,,
SMALL663,Q,REC5,2011-01-01,200,0.0,0.0,0,0,,,
SMALL663,Q,REC5,2012-01-01,200,0.0,0.0,0,0,,,
SMALL663,Q,REC5,2013-01-01,200,0.0,0.0,0,0,,,
SMALL663,Q,FOUR,2009-01-01,200,0.0,0.0,0,0,,,
SMALL663,Q,FOUR,2010-01-01,200,0.0,0.0,0,0,,,
SMALL663,Q,FOUR,2011-01-01,200,0.0,0.0,0,0,,,
SMALL663,Q,FOUR,2012-01-01,200,0.0,0.0,0,0,,,
SMALL663,Q,FOUR,2013-01-01,200,0.0,0.0,0,0,,,
SMALL663,Q,SHARPE2,2009-01-01,200,0.0,0.055,0,11,,,
SMALL663,Q,SHARPE2,2010-01-01,200,0.0,0.055,0,11,,,
SMALL663,Q,SHARPE2,2011-01-01,200,0.0,0.055,0,11,,,
SMALL663,Q,SHARPE2,2012-01-01,200,0.0,0.095,0,19,,,
SMALL663,Q,SHARPE2,2013-01-01,200,0.0,0.175,0,35,,,
SMALL663,W,REC5,2009-01-01,200,0.0,0.0,0,0,,,
SMALL663,W,REC5,2010-01-01,200,0.0,0.0,0,0,,,
SMALL663,W,REC5,2011-01-01,200,0.0,0.0,0,0,,,
SMALL663,W,REC5,2012-01-01,200,0.0,0.0,0,0,,,
SMALL663,W,REC5,2013-01-01,200,0.0,0.0,0,0,,,
SMALL663,W,FOUR,2009-01-01,200,0.0,0.0,0,0,,,
SMALL663,W,FOUR,2010-01-01,200,0.0,0.0,0,0,,,
SMALL663,W,FOUR,2011-01-01,200,0.0,0.0,0,0,,,
SMALL663,W,FOUR,2012-01-01,200,0.0,0.0,0,0,,,
SMALL663,W,FOUR,2013-01-01,200,0.0,0.0,0,0,,,
SMALL663,W,SHARPE2,2009-01-01,200,0.0,0.0,0,0,,,
SMALL663,W,SHARPE2,2010-01-01,200,0.0,0.0,0,0,,,
SMALL663,W,SHARPE2,2011-01-01,200,0.0,0.0,0,0,,,
SMALL663,W,SHARPE2,2012-01-01,200,0.0,0.0,0,0,,,
SMALL663,W,SHARPE2,2013-01-01,200,0.0,0.0,0,0,,,
U56,M,REC5,2009-01-01,200,0.48,0.245,47,0,0.4895833333333333,0.2127659574468085,0.9148936170212766
U56,M,REC5,2010-01-01,200,0.48,0.125,71,0,0.7395833333333334,0.7605633802816901,0.5492957746478874
U56,M,REC5,2011-01-01,200,0.48,0.21,54,0,0.5625,0.3888888888888889,0.7962962962962963
U56,M,REC5,2012-01-01,200,0.48,0.01,94,0,0.9791666666666666,0.9468085106382979,0.32978723404255317
U56,M,REC5,2013-01-01,200,0.48,0.065,83,0,0.8645833333333334,0.9518072289156626,0.2289156626506024
U56,M,FOUR,2009-01-01,200,0.48,0.245,47,0,0.4895833333333333,0.2127659574468085,0.9148936170212766
U56,M,FOUR,2010-01-01,200,0.48,0.125,71,0,0.7395833333333334,0.7605633802816901,0.5492957746478874
U56,M,FOUR,2011-01-01,200,0.48,0.21,54,0,0.5625,0.3888888888888889,0.7962962962962963
U56,M,FOUR,2012-01-01,200,0.48,0.01,94,0,0.9791666666666666,0.9468085106382979,0.32978723404255317
U56,M,FOUR,2013-01-01,200,0.48,0.065,83,0,0.8645833333333334,0.9518072289156626,0.2289156626506024
U56,M,SHARPE2,2009-01-01,200,0.905,0.37,107,0,0.5911602209944752,0.308411214953271,0.8504672897196262
U56,M,SHARPE2,2010-01-01,200,0.905,0.17,147,0,0.8121546961325967,0.7959183673469388,0.564625850340136
U56,M,SHARPE2,2011-01-01,200,0.905,0.325,117,1,0.6464088397790055,0.4358974358974359,0.7863247863247863
U56,M,SHARPE2,2012-01-01,200,0.905,0.01,179,0,0.988950276243094,0.9608938547486033,0.36312849162011174
U56,M,SHARPE2,2013-01-01,200,0.905,0.095,163,1,0.9005524861878453,0.9386503067484663,0.27607361963190186
U56,Q,REC5,2009-01-01,200,0.07,0.05,4,0,0.2857142857142857,1.0,0.0
U56,Q,REC5,2010-01-01,200,0.07,0.03,8,0,0.5714285714285714,0.875,0.125
U56,Q,REC5,2011-01-01,200,0.07,0.04,6,0,0.42857142857142855,0.8333333333333334,0.16666666666666666
U56,Q,REC5,2012-01-01,200,0.07,0.035,7,0,0.5,0.8571428571428571,0.14285714285714285
U56,Q,REC5,2013-01-01,200,0.07,0.05,4,0,0.2857142857142857,0.75,0.25
U56,Q,FOUR,2009-01-01,200,0.07,0.05,4,0,0.2857142857142857,1.0,0.0
U56,Q,FOUR,2010-01-01,200,0.07,0.03,8,0,0.5714285714285714,0.875,0.125
U56,Q,FOUR,2011-01-01,200,0.07,0.04,6,0,0.42857142857142855,0.8333333333333334,0.16666666666666666
U56,Q,FOUR,2012-01-01,200,0.07,0.035,7,0,0.5,0.8571428571428571,0.14285714285714285
U56,Q,FOUR,2013-01-01,200,0.07,0.05,4,0,0.2857142857142857,0.75,0.25
U56,Q,SHARPE2,2009-01-01,200,0.72,0.63,50,32,0.3472222222222222,0.88,0.22
U56,Q,SHARPE2,2010-01-01,200,0.72,0.36,95,23,0.6597222222222222,0.9789473684210527,0.09473684210526316
U56,Q,SHARPE2,2011-01-01,200,0.72,0.525,69,30,0.4791666666666667,0.927536231884058,0.18840579710144928
U56,Q,SHARPE2,2012-01-01,200,0.72,0.375,92,23,0.6388888888888888,0.9565217391304348,0.11956521739130435
U56,Q,SHARPE2,2013-01-01,200,0.72,0.445,80,25,0.5555555555555556,0.975,0.05
U56,W,REC5,2009-01-01,200,0.0,0.0,0,0,,,
U56,W,REC5,2010-01-01,200,0.0,0.0,0,0,,,
U56,W,REC5,2011-01-01,200,0.0,0.0,0,0,,,
U56,W,REC5,2012-01-01,200,0.0,0.0,0,0,,,
U56,W,REC5,2013-01-01,200,0.0,0.0,0,0,,,
U56,W,FOUR,2009-01-01,200,0.0,0.0,0,0,,,
U56,W,FOUR,2010-01-01,200,0.0,0.0,0,0,,,
U56,W,FOUR,2011-01-01,200,0.0,0.0,0,0,,,
U56,W,FOUR,2012-01-01,200,0.0,0.0,0,0,,,
U56,W,FOUR,2013-01-01,200,0.0,0.0,0,0,,,
U56,W,SHARPE2,2009-01-01,200,0.0,0.0,0,0,,,
U56,W,SHARPE2,2010-01-01,200,0.0,0.0,0,0,,,
U56,W,SHARPE2,2011-01-01,200,0.0,0.0,0,0,,,
U56,W,SHARPE2,2012-01-01,200,0.0,0.0,0,0,,,
U56,W,SHARPE2,2013-01-01,200,0.0,0.0,0,0,,,
