panel,fold,chooser,base,ladder_set,L,ladder,rung,point_widest,runner_up,t,F,call,moved,OOS_Sharpe,OOS_CAGR,OOS_MaxDD
U56,2014,CH_RES/NG/L63,CH_RES,NG,63,CADENCE,W,N,CADENCE,1.1110469115279458,19,TIE,False,0.8921122747029148,0.1037347778655413,-0.07826809362068277
U56,2014,CH_ANCHOR/NG/L126,CH_ANCHOR,NG,126,CADENCE,W,N,CADENCE,0.4489931738452495,9,TIE,False,0.8921122747029148,0.1037347778655413,-0.07826809362068277
U56,2014,CH_RAW/NG/L126,CH_RAW,NG,126,N,5,N,CADENCE,0.4489931738452495,9,TIE,True,0.888573215395414,0.13891626922938882,-0.1235530493171556
U56,2014,CH_POINT/NG/L126,CH_POINT,NG,126,N,5,N,CADENCE,0.4489931738452495,9,TIE,True,0.888573215395414,0.13891626922938882,-0.1235530493171556
U56,2014,CH_RES/NG/L126,CH_RES,NG,126,CADENCE,W,N,CADENCE,0.4489931738452495,9,TIE,False,0.8921122747029148,0.1037347778655413,-0.07826809362068277
U56,2014,CH_ANCHOR/NG/L252,CH_ANCHOR,NG,252,CADENCE,W,N,CADENCE,0.9622282547610577,4,TIE,False,0.8921122747029148,0.1037347778655413,-0.07826809362068277
U56,2014,CH_RAW/NG/L252,CH_RAW,NG,252,N,5,N,CADENCE,0.9622282547610577,4,TIE,True,0.888573215395414,0.13891626922938882,-0.1235530493171556
U56,2014,CH_POINT/NG/L252,CH_POINT,NG,252,N,5,N,CADENCE,0.9622282547610577,4,TIE,True,0.888573215395414,0.13891626922938882,-0.1235530493171556
U56,2014,CH_RES/NG/L252,CH_RES,NG,252,CADENCE,W,N,CADENCE,0.9622282547610577,4,TIE,False,0.8921122747029148,0.1037347778655413,-0.07826809362068277
U56,2014,CH_ANCHOR/NG/L504,CH_ANCHOR,NG,504,CADENCE,W,N,CADENCE,1.700734988421279,2,TIE,False,0.8921122747029148,0.1037347778655413,-0.07826809362068277
U56,2014,CH_RAW/NG/L504,CH_RAW,NG,504,N,5,N,CADENCE,1.700734988421279,2,TIE,True,0.888573215395414,0.13891626922938882,-0.1235530493171556
U56,2014,CH_POINT/NG/L504,CH_POINT,NG,504,N,5,N,CADENCE,1.700734988421279,2,TIE,True,0.888573215395414,0.13891626922938882,-0.1235530493171556
U56,2014,CH_RES/NG/L504,CH_RES,NG,504,CADENCE,W,N,CADENCE,1.700734988421279,2,TIE,False,0.8921122747029148,0.1037347778655413,-0.07826809362068277
U56,2015,CH_ANCHOR/ALL4/L63,CH_ANCHOR,ALL4,63,CADENCE,W,N,CADENCE,1.46184283944922,23,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
