panel,book,gross,cadence,cost_bps,stat,n_phases,canon,fam_min,fam_med,fam_max,spread,argmax_phase,canon_pctile,canon_is_max
B136,TOP10,EXT,Q,10.0,Sharpe,63,1.0209267705193938,0.9264474891664494,1.0620967033380673,1.1813042144853814,0.254856725318932,51,0.2698412698412698,False
B136,TOP10,EXT,Q,25.0,CAGR,63,0.22462497697897255,0.20015932502679878,0.2411404226969902,0.28613028396376294,0.08597095893696416,51,0.23809523809523808,False
B136,TOP10,EXT,Q,25.0,Sharpe,63,0.985621465731738,0.8919517350548793,1.0268257437230408,1.1479777517129544,0.256026016658075,51,0.2698412698412698,False
B136,TOP10,EXT,Q,50.0,CAGR,63,0.20801229894948992,0.18412883602049268,0.22433816425268827,0.26899762156357365,0.08486878554308097,51,0.23809523809523808,False
B136,TOP10,EXT,Q,50.0,Sharpe,63,0.9261741428271825,0.8339967062188954,0.9673514982046716,1.091874639012189,0.2578779327932935,51,0.2698412698412698,False
B136,TOP20,CORE,Q,0.0,CAGR,63,0.14121805484291006,0.14121805484291006,0.15931791255325378,0.17647769335812646,0.03525963851521641,42,0.015873015873015872,False
B136,TOP20,CORE,Q,0.0,Sharpe,63,0.9384300591434986,0.9360833691153811,1.0399472306429027,1.126202291714022,0.19011892259864083,42,0.031746031746031744,False
B136,TOP20,CORE,Q,5.0,CAGR,63,0.13923650642174557,0.13923650642174557,0.1572600943882283,0.1744606344980273,0.035224128076281724,42,0.015873015873015872,False
B136,TOP20,CORE,Q,5.0,Sharpe,63,0.9271096182035009,0.9246114982334126,1.0288758666987132,1.115123080702766,0.1905115824693533,42,0.031746031746031744,False
B136,TOP20,CORE,Q,10.0,CAGR,63,0.1372574915991862,0.1372574915991862,0.1552049817291694,0.17244614244177603,0.03518865084258982,42,0.015873015873015872,False
B136,TOP20,CORE,Q,10.0,Sharpe,63,0.9157580867045461,0.913107673146753,1.0175554862145963,1.1040096397823034,0.19090196663555037,42,0.031746031746031744,False
B136,TOP20,CORE,Q,25.0,CAGR,63,0.13133562759890083,0.13133562759890083,0.14905585337499594,0.16641804548736894,0.03508241788846811,42,0.015873015873015872,False
B136,TOP20,CORE,Q,25.0,Sharpe,63,0.8815283977790345,0.8784163863631843,0.982451778680867,1.070474439103526,0.1920580527403416,42,0.031746031746031744,False
B136,TOP20,CORE,Q,50.0,CAGR,63,0.12151632920511046,0.12151632920511046,0.1388611978683587,0.15642235176154862,0.034906022556438154,42,0.015873015873015872,False
B136,TOP20,CORE,Q,50.0,Sharpe,63,0.8239651426441552,0.8200709341788331,0.9255541414201821,1.0139970774747977,0.19392614329596458,42,0.031746031746031744,False
B136,TOP20,EXT,Q,0.0,CAGR,63,0.1881395000348589,0.1881395000348589,0.2138655414383135,0.23733877370082812,0.04919927366596921,42,0.015873015873015872,False
B136,TOP20,EXT,Q,0.0,Sharpe,63,0.9407266958937202,0.9369589149348694,1.0472441499749647,1.1298658242246051,0.19290690928973575,23,0.047619047619047616,False
B136,TOP20,EXT,Q,5.0,CAGR,63,0.18541182308193416,0.18541182308193416,0.2110164470003173,0.23453885762042503,0.04912703453849088,42,0.015873015873015872,False
B136,TOP20,EXT,Q,5.0,Sharpe,63,0.9295744098396628,0.9256665779203583,1.0360094874783146,1.1185202592413446,0.19285368132098624,23,0.047619047619047616,False
B136,TOP20,EXT,Q,10.0,CAGR,63,0.18268875364420145,0.18268875364420145,0.20817230063920844,0.23174364248389456,0.04905488883969311,42,0.015873015873015872,False
B136,TOP20,EXT,Q,10.0,Sharpe,63,0.9183917741845469,0.9143431955618148,1.024394460524051,1.1071361527634833,0.19279295720166856,23,0.047619047619047616,False
B136,TOP20,EXT,Q,25.0,CAGR,63,0.17454713971229796,0.17454713971229796,0.1996694935168657,0.22338615053421274,0.048839010821914774,42,0.015873015873015872,False
B136,TOP20,EXT,Q,25.0,Sharpe,63,0.8846727431352532,0.8801981779169264,0.9893578611395817,1.073674309132877,0.19347613121595064,42,0.047619047619047616,False
B136,TOP20,EXT,Q,50.0,CAGR,63,0.16106946057461036,0.16106946057461036,0.1855965829924786,0.20955052936489094,0.04848106879028058,42,0.015873015873015872,False
B136,TOP20,EXT,Q,50.0,Sharpe,63,0.8279709119583518,0.822776502578344,0.9312530031198671,1.0181002933255012,0.19532379074715722,42,0.047619047619047616,False
B136,EWELIG,CORE,Q,0.0,CAGR,63,0.11610532460534917,0.10859151493405328,0.11956092601148738,0.1277101070587885,0.019118592124735212,21,0.1746031746031746,False
B136,EWELIG,CORE,Q,0.0,Sharpe,63,1.0501982681043738,0.9978878675502335,1.067455935522733,1.1256822763166883,0.12779440876645476,21,0.31746031746031744,False
B136,EWELIG,CORE,Q,5.0,CAGR,63,0.11500876370870516,0.10757889797257869,0.11855495031951446,0.1267176298284709,0.01913873185589221,21,0.1746031746031746,False
B136,EWELIG,CORE,Q,5.0,Sharpe,63,1.0413506159054324,0.9894173514988674,1.0592613918239868,1.117795292995433,0.12837794149656545,21,0.30158730158730157,False
B136,EWELIG,CORE,Q,10.0,CAGR,63,0.11391287714896614,0.10656685888337636,0.11754955556293756,0.1257257356171837,0.01915887673380734,21,0.1746031746031746,False
B136,EWELIG,CORE,Q,10.0,Sharpe,63,1.0324715311001078,0.9809236368800391,1.0509254383529674,1.1098867574468099,0.12896312056677073,21,0.30158730158730157,False
B136,EWELIG,CORE,Q,25.0,CAGR,63,0.11062926097294734,0.10353420671720759,0.11453685476929909,0.12275354889723289,0.0192193421800253,21,0.15873015873015872,False
B136,EWELIG,CORE,Q,25.0,Sharpe,63,1.0056534978260347,0.9553101181795502,1.0257727228074602,1.0860367290068575,0.1307266108273073,21,0.2698412698412698,False
B136,EWELIG,CORE,Q,50.0,CAGR,63,0.10517003058378815,0.09849132398556981,0.10952728555088997,0.1178115442120069,0.01932022022643709,21,0.15873015873015872,False
B136,EWELIG,CORE,Q,50.0,Sharpe,63,0.9604022243589245,0.9122211879305768,0.983404915007705,1.0459017918787266,0.13368060394814973,21,0.19047619047619047,False
