file,ycol,cell,panel_class,rows,distinct_n,n_min,n_max,rho
2026-09-05_does-book-share-price-a-tilt_C.grid.csv,OOS_Sharpe,panel=small/cost=25.0,SMALL,21,7,7,141,-0.1926686588971131
2026-09-05_does-book-share-price-a-tilt_C.grid.csv,OOS_Sharpe,panel=u56/cost=10.0,LARGE,42,7,2,37,0.8221401025578446
2026-09-05_does-book-share-price-a-tilt_C.grid.csv,OOS_Sharpe,panel=u56/cost=25.0,LARGE,21,7,2,37,0.8571789314198093
2026-09-05_does-share-price-any-key-or-only-vol_B.grid.csv,OOS_Sharpe,panel=broad/cost=10.0,LARGE,156,7,5,91,0.7655815107125252
2026-09-05_does-share-price-any-key-or-only-vol_B.grid.csv,OOS_Sharpe,panel=broad/cost=25.0,LARGE,91,7,5,91,0.8661822845502511
2026-09-05_does-share-price-any-key-or-only-vol_B.grid.csv,OOS_Sharpe,panel=small/cost=10.0,SMALL,156,7,7,141,-0.2545143554061419
2026-09-05_does-share-price-any-key-or-only-vol_B.grid.csv,OOS_Sharpe,panel=small/cost=25.0,SMALL,91,7,7,141,-0.06400670830050154
2026-09-05_does-share-price-any-key-or-only-vol_B.grid.csv,OOS_Sharpe,panel=u56/cost=10.0,LARGE,156,7,2,37,0.7214284180607512
2026-09-05_does-share-price-any-key-or-only-vol_B.grid.csv,OOS_Sharpe,panel=u56/cost=25.0,LARGE,91,7,2,37,0.8379440308882652
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C.corpus.csv,OOS_Sharpe,corpus=C159/panel=broad/cost=10.0,LARGE,98,14,3,91,0.7898105412746509
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C.corpus.csv,OOS_Sharpe,corpus=C159/panel=broad/cost=25.0,LARGE,98,14,3,91,0.8179078063242448
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C.corpus.csv,OOS_Sharpe,corpus=C159/panel=small/cost=10.0,SMALL,98,14,4,141,-0.4816354430873854
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C.corpus.csv,OOS_Sharpe,corpus=C159/panel=small/cost=25.0,SMALL,98,14,4,141,-0.28271754434456
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C.corpus.csv,OOS_Sharpe,corpus=C159/panel=u56/cost=10.0,LARGE,98,13,2,37,0.7453241435158022
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C.corpus.csv,OOS_Sharpe,corpus=C159/panel=u56/cost=25.0,LARGE,98,13,2,37,0.7530282151915664
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C.corpus.csv,OOS_Sharpe,corpus=C165/panel=u56/cost=10.0,LARGE,63,9,2,37,0.7136710905330678
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C.corpus.csv,OOS_Sharpe,corpus=C168/panel=broad/cost=10.0,LARGE,88,8,5,69,0.54374949804356
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C.corpus.csv,OOS_Sharpe,corpus=C168/panel=broad/cost=25.0,LARGE,88,8,5,69,0.5837741469121165
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C.corpus.csv,OOS_Sharpe,corpus=C168/panel=u56/cost=10.0,LARGE,88,8,2,28,0.6046650611996068
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C.corpus.csv,OOS_Sharpe,corpus=C168/panel=u56/cost=25.0,LARGE,88,8,2,28,0.5911933501170196
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=broad/signal=COMP/cost=10.0,LARGE,27,3,10,40,0.9434563530497264
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=broad/signal=COMP/cost=25.0,LARGE,27,3,10,40,0.9434563530497264
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=broad/signal=MOM/cost=10.0,LARGE,27,3,10,40,-0.4717281765248632
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=broad/signal=MOM/cost=25.0,LARGE,27,3,10,40,-0.2853664277743
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=broad/signal=R6/cost=10.0,LARGE,27,3,10,40,0.9434563530497264
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=broad/signal=R6/cost=25.0,LARGE,27,3,10,40,0.9434563530497264
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=small/signal=COMP/cost=10.0,SMALL,27,3,10,40,0.4717281765248632
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=small/signal=COMP/cost=25.0,SMALL,27,3,10,40,0.4717281765248632
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=small/signal=MOM/cost=10.0,SMALL,27,3,10,40,-0.4717281765248632
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=small/signal=MOM/cost=25.0,SMALL,27,3,10,40,-0.4717281765248632
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=small/signal=R6/cost=10.0,SMALL,27,3,10,40,-0.4717281765248632
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=small/signal=R6/cost=25.0,SMALL,27,3,10,40,-0.4717281765248632
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=u56/signal=COMP/cost=10.0,LARGE,27,3,10,40,0.9434563530497264
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=u56/signal=COMP/cost=25.0,LARGE,27,3,10,40,0.9434563530497264
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=u56/signal=MOM/cost=10.0,LARGE,27,3,10,40,0.4717281765248632
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=u56/signal=MOM/cost=25.0,LARGE,27,3,10,40,0.4717281765248632
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=u56/signal=R6/cost=10.0,LARGE,27,3,10,40,0.9434563530497264
2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,Sharpe_OOS,panel=u56/signal=R6/cost=25.0,LARGE,27,3,10,40,0.9434563530497264
2026-09-05_is-the-value-cost-parallelism-general_cloud.grid.csv,OOSSharpe_10,panel=broad,LARGE,50,10,7,136,0.9068863108177689
2026-09-05_is-the-value-cost-parallelism-general_cloud.grid.csv,OOSSharpe_10,panel=small,SMALL,50,10,22,439,-0.4446372627925374
2026-09-05_is-the-value-cost-parallelism-general_cloud.grid.csv,OOSSharpe_10,panel=u56,LARGE,50,10,3,56,0.7785374102178613
2026-09-05_is-the-value-cost-parallelism-general_cloud.grid.csv,OOSSharpe_25,panel=broad,LARGE,50,10,7,136,0.9368022199801534
2026-09-05_is-the-value-cost-parallelism-general_cloud.grid.csv,OOSSharpe_25,panel=small,SMALL,50,10,22,439,-0.11845734998976445
2026-09-05_is-the-value-cost-parallelism-general_cloud.grid.csv,OOSSharpe_25,panel=u56,LARGE,50,10,3,56,0.8678026230411053
2026-09-05_publish-the-failing-bar-not-the-required-gross_cloud.grid.csv,OOS_Sharpe,panel=broad/cost=10.0,LARGE,63,9,5,91,0.7302366440319406
2026-09-05_publish-the-failing-bar-not-the-required-gross_cloud.grid.csv,OOS_Sharpe,panel=broad/cost=25.0,LARGE,63,9,5,91,0.7522113578569758
2026-09-05_publish-the-failing-bar-not-the-required-gross_cloud.grid.csv,OOS_Sharpe,panel=small/cost=10.0,SMALL,63,9,7,141,-0.5635668914820579
2026-09-05_publish-the-failing-bar-not-the-required-gross_cloud.grid.csv,OOS_Sharpe,panel=small/cost=25.0,SMALL,63,9,7,141,-0.37559857014791015
2026-09-05_publish-the-failing-bar-not-the-required-gross_cloud.grid.csv,OOS_Sharpe,panel=u56/cost=10.0,LARGE,63,9,2,37,0.7136710905330678
2026-09-05_publish-the-failing-bar-not-the-required-gross_cloud.grid.csv,OOS_Sharpe,panel=u56/cost=25.0,LARGE,63,9,2,37,0.7214467585019264
2026-09-05_required-gross-as-a-leaderboard-column_cloud.grid.csv,OOS_Sharpe,panel=broad/cost=10.0,LARGE,63,9,5,91,0.7302366440319406
2026-09-05_required-gross-as-a-leaderboard-column_cloud.grid.csv,OOS_Sharpe,panel=broad/cost=25.0,LARGE,63,9,5,91,0.7522113578569758
2026-09-05_required-gross-as-a-leaderboard-column_cloud.grid.csv,OOS_Sharpe,panel=small/cost=10.0,SMALL,63,9,7,141,-0.5635668914820579
2026-09-05_required-gross-as-a-leaderboard-column_cloud.grid.csv,OOS_Sharpe,panel=small/cost=25.0,SMALL,63,9,7,141,-0.37559857014791015
2026-09-05_required-gross-as-a-leaderboard-column_cloud.grid.csv,OOS_Sharpe,panel=u56/cost=10.0,LARGE,63,9,2,37,0.7136710905330678
2026-09-05_required-gross-as-a-leaderboard-column_cloud.grid.csv,OOS_Sharpe,panel=u56/cost=25.0,LARGE,63,9,2,37,0.7214467585019264
2026-09-05_the-screen-is-a-book-size-rule_cloud.corpus.csv,OOS_Sharpe,corpus=C159/panel=broad/cost=10.0,LARGE,98,14,3,91,0.7898105412746509
2026-09-05_the-screen-is-a-book-size-rule_cloud.corpus.csv,OOS_Sharpe,corpus=C159/panel=broad/cost=25.0,LARGE,98,14,3,91,0.8179078063242448
2026-09-05_the-screen-is-a-book-size-rule_cloud.corpus.csv,OOS_Sharpe,corpus=C159/panel=small/cost=10.0,SMALL,98,14,4,141,-0.4816354430873854
2026-09-05_the-screen-is-a-book-size-rule_cloud.corpus.csv,OOS_Sharpe,corpus=C159/panel=small/cost=25.0,SMALL,98,14,4,141,-0.28271754434456
2026-09-05_the-screen-is-a-book-size-rule_cloud.corpus.csv,OOS_Sharpe,corpus=C159/panel=u56/cost=10.0,LARGE,98,13,2,37,0.7453241435158022
2026-09-05_the-screen-is-a-book-size-rule_cloud.corpus.csv,OOS_Sharpe,corpus=C159/panel=u56/cost=25.0,LARGE,98,13,2,37,0.7530282151915664
2026-09-05_the-screen-is-a-book-size-rule_cloud.corpus.csv,OOS_Sharpe,corpus=C165/panel=u56/cost=10.0,LARGE,63,9,2,37,0.7136710905330678
2026-09-05_the-screen-is-a-book-size-rule_cloud.corpus.csv,OOS_Sharpe,corpus=C168/panel=broad/cost=10.0,LARGE,88,8,5,69,0.54374949804356
2026-09-05_the-screen-is-a-book-size-rule_cloud.corpus.csv,OOS_Sharpe,corpus=C168/panel=broad/cost=25.0,LARGE,88,8,5,69,0.5837741469121165
2026-09-05_the-screen-is-a-book-size-rule_cloud.corpus.csv,OOS_Sharpe,corpus=C168/panel=u56/cost=10.0,LARGE,88,8,2,28,0.6046650611996068
2026-09-05_the-screen-is-a-book-size-rule_cloud.corpus.csv,OOS_Sharpe,corpus=C168/panel=u56/cost=25.0,LARGE,88,8,2,28,0.5911933501170196
2026-09-05_the-screen-is-a-book-size-rule_cloud.picks.csv,OOS_Sharpe,corpus=C159/panel=broad/cost=10.0,LARGE,9,5,14,91,0.9821428571428571
2026-09-05_the-screen-is-a-book-size-rule_cloud.picks.csv,OOS_Sharpe,corpus=C159/panel=broad/cost=25.0,LARGE,9,5,14,91,0.9816513761467889
2026-09-05_the-screen-is-a-book-size-rule_cloud.picks.csv,OOS_Sharpe,corpus=C159/panel=small/cost=10.0,SMALL,9,4,11,141,-0.5058823529411764
2026-09-05_the-screen-is-a-book-size-rule_cloud.picks.csv,OOS_Sharpe,corpus=C159/panel=small/cost=25.0,SMALL,9,5,7,141,-0.30357142857142855
2026-09-05_the-screen-is-a-book-size-rule_cloud.picks.csv,OOS_Sharpe,corpus=C159/panel=u56/cost=10.0,LARGE,9,6,4,37,0.36363636363636365
2026-09-05_the-screen-is-a-book-size-rule_cloud.picks.csv,OOS_Sharpe,corpus=C159/panel=u56/cost=25.0,LARGE,9,5,4,37,0.7321428571428571
2026-09-05_the-screen-is-a-book-size-rule_cloud.picks.csv,OOS_Sharpe,corpus=C165/panel=u56/cost=10.0,LARGE,9,6,4,37,0.36363636363636365
2026-09-05_the-screen-is-a-book-size-rule_cloud.picks.csv,OOS_Sharpe,corpus=C168/panel=broad/cost=10.0,LARGE,9,6,5,69,-0.30773727222677144
2026-09-05_the-screen-is-a-book-size-rule_cloud.picks.csv,OOS_Sharpe,corpus=C168/panel=broad/cost=25.0,LARGE,9,5,9,69,0.7336314490088525
2026-09-05_the-screen-is-a-book-size-rule_cloud.picks.csv,OOS_Sharpe,corpus=C168/panel=u56/cost=10.0,LARGE,9,5,4,28,0.50655504812516
2026-09-05_the-screen-is-a-book-size-rule_cloud.picks.csv,OOS_Sharpe,corpus=C168/panel=u56/cost=25.0,LARGE,9,4,4,28,0.5323117462054053
2026-09-05_the-screen-is-a-book-size-rule_cloud.walkforward.csv,OOS_Sharpe,corpus=C159/panel=broad/cost=10.0,LARGE,9,5,14,91,0.9821428571428571
2026-09-05_the-screen-is-a-book-size-rule_cloud.walkforward.csv,OOS_Sharpe,corpus=C159/panel=broad/cost=25.0,LARGE,9,5,14,91,0.9816513761467889
2026-09-05_the-screen-is-a-book-size-rule_cloud.walkforward.csv,OOS_Sharpe,corpus=C159/panel=small/cost=10.0,SMALL,9,4,11,141,-0.5058823529411764
2026-09-05_the-screen-is-a-book-size-rule_cloud.walkforward.csv,OOS_Sharpe,corpus=C159/panel=small/cost=25.0,SMALL,9,5,7,141,-0.30357142857142855
2026-09-05_the-screen-is-a-book-size-rule_cloud.walkforward.csv,OOS_Sharpe,corpus=C159/panel=u56/cost=10.0,LARGE,9,6,4,37,0.36363636363636365
2026-09-05_the-screen-is-a-book-size-rule_cloud.walkforward.csv,OOS_Sharpe,corpus=C159/panel=u56/cost=25.0,LARGE,9,5,4,37,0.7321428571428571
2026-09-05_the-screen-is-a-book-size-rule_cloud.walkforward.csv,OOS_Sharpe,corpus=C165/panel=u56/cost=10.0,LARGE,9,6,4,37,0.36363636363636365
2026-09-05_the-screen-is-a-book-size-rule_cloud.walkforward.csv,OOS_Sharpe,corpus=C168/panel=broad/cost=10.0,LARGE,9,6,5,69,-0.30773727222677144
2026-09-05_the-screen-is-a-book-size-rule_cloud.walkforward.csv,OOS_Sharpe,corpus=C168/panel=broad/cost=25.0,LARGE,9,5,9,69,0.7336314490088525
2026-09-05_the-screen-is-a-book-size-rule_cloud.walkforward.csv,OOS_Sharpe,corpus=C168/panel=u56/cost=10.0,LARGE,9,5,4,28,0.50655504812516
2026-09-05_the-screen-is-a-book-size-rule_cloud.walkforward.csv,OOS_Sharpe,corpus=C168/panel=u56/cost=25.0,LARGE,9,4,4,28,0.5323117462054053
2026-09-05_the-share-at-which-ranking-stops-paying_B.grid.csv,OOSSharpe_10,panel=broad,LARGE,60,10,5,91,0.7659452038944534
2026-09-05_the-share-at-which-ranking-stops-paying_B.grid.csv,OOSSharpe_10,panel=small,SMALL,60,10,7,141,-0.5930546854300887
2026-09-05_the-share-at-which-ranking-stops-paying_B.grid.csv,OOSSharpe_10,panel=u56,LARGE,60,10,2,37,0.7860705942178738
2026-09-05_the-share-at-which-ranking-stops-paying_B.grid.csv,OOSSharpe_25,panel=broad,LARGE,60,10,5,91,0.7961005268824239
2026-09-05_the-share-at-which-ranking-stops-paying_B.grid.csv,OOSSharpe_25,panel=small,SMALL,60,10,7,141,-0.18461758851524226
2026-09-05_the-share-at-which-ranking-stops-paying_B.grid.csv,OOSSharpe_25,panel=u56,LARGE,60,10,2,37,0.7770237459468243
2026-09-05_the-share-at-which-ranking-stops-paying_cloud.grid.csv,OOS_Sharpe,panel=broad,LARGE,98,14,3,91,0.7898105412746509
2026-09-05_the-share-at-which-ranking-stops-paying_cloud.grid.csv,OOS_Sharpe,panel=small,SMALL,98,14,4,141,-0.4816354430873854
2026-09-05_the-share-at-which-ranking-stops-paying_cloud.grid.csv,OOS_Sharpe,panel=u56,LARGE,98,13,2,37,0.7453241435158022
2026-09-05_the-sign-is-the-parameter-not-the-share_B.grid.csv,OOS_Sharpe,panel=broad/cost=0.0,LARGE,54,3,18,78,0.6271919612549558
2026-09-05_the-sign-is-the-parameter-not-the-share_B.grid.csv,OOS_Sharpe,panel=broad/cost=10.0,LARGE,54,3,18,78,0.6883104354375733
2026-09-05_the-sign-is-the-parameter-not-the-share_B.grid.csv,OOS_Sharpe,panel=broad/cost=25.0,LARGE,54,3,18,78,0.7436081025551796
2026-09-05_the-sign-is-the-parameter-not-the-share_B.grid.csv,OOS_Sharpe,panel=small/cost=0.0,SMALL,54,3,28,120,-0.7377872954901685
2026-09-05_the-sign-is-the-parameter-not-the-share_B.grid.csv,OOS_Sharpe,panel=small/cost=10.0,SMALL,54,3,28,120,-0.625736759488703
2026-09-05_the-sign-is-the-parameter-not-the-share_B.grid.csv,OOS_Sharpe,panel=small/cost=25.0,SMALL,54,3,28,120,-0.24592909849672281
2026-09-05_the-sign-is-the-parameter-not-the-share_B.grid.csv,OOS_Sharpe,panel=u56/cost=0.0,LARGE,54,3,7,32,0.6635720054112757
2026-09-05_the-sign-is-the-parameter-not-the-share_B.grid.csv,OOS_Sharpe,panel=u56/cost=10.0,LARGE,54,3,7,32,0.6737584177750453
2026-09-05_the-sign-is-the-parameter-not-the-share_B.grid.csv,OOS_Sharpe,panel=u56/cost=25.0,LARGE,54,3,7,32,0.6737584177750453
2026-09-05_the-sign-is-the-parameter-not-the-share_B.walkforward.csv,OOS_Sharpe,panel=broad/cost=10.0,LARGE,24,3,18,78,0.7301552107968454
2026-09-05_the-sign-is-the-parameter-not-the-share_B.walkforward.csv,OOS_Sharpe,panel=broad/cost=25.0,LARGE,24,3,18,78,0.7891576520733584
2026-09-05_the-sign-is-the-parameter-not-the-share_B.walkforward.csv,OOS_Sharpe,panel=small/cost=10.0,SMALL,24,3,28,120,-0.7519539763899753
2026-09-05_the-sign-is-the-parameter-not-the-share_B.walkforward.csv,OOS_Sharpe,panel=small/cost=25.0,SMALL,24,3,28,120,-0.2727676188865597
2026-09-05_the-sign-is-the-parameter-not-the-share_B.walkforward.csv,OOS_Sharpe,panel=u56/cost=10.0,LARGE,24,3,7,32,0.7744070417542301
2026-09-05_the-sign-is-the-parameter-not-the-share_B.walkforward.csv,OOS_Sharpe,panel=u56/cost=25.0,LARGE,24,3,7,32,0.7155603093924957
2026-09-05_the-sign-is-the-parameter-not-the-share_cloud.grid.csv,OOS_Sharpe,panel=broad/cost=10.0,LARGE,88,8,5,69,0.54374949804356
2026-09-05_the-sign-is-the-parameter-not-the-share_cloud.grid.csv,OOS_Sharpe,panel=broad/cost=25.0,LARGE,88,8,5,69,0.5837741469121165
2026-09-05_the-sign-is-the-parameter-not-the-share_cloud.grid.csv,OOS_Sharpe,panel=u56/cost=10.0,LARGE,88,8,2,28,0.6046650611996068
2026-09-05_the-sign-is-the-parameter-not-the-share_cloud.grid.csv,OOS_Sharpe,panel=u56/cost=25.0,LARGE,88,8,2,28,0.5911933501170196
