char,flavour,level,n,achieved,n_from_B,premium,sd,prem_IS,prem_OOS,n_fit,intercept,slope,r2,span,effect,sd_within,ratio_to_GAP,r2_vs_tpers,mono_down,mono_up,req_sign,sign_ok
retac,SONLY,-0.049633,6,-0.04186627559286952,0.0,-0.1254445997428858,0.05993227922119279,-0.2196343514996929,-0.07767065331291227,30,-0.15077853903141886,0.12122897549329018,0.001492150421975702,0.09387250392771833,0.011380067478147151,0.08668684806831292,0.11636060816101382,0.0017612521358054108,False,False,-1.0,False
retac,SONLY,-0.028556,6,-0.025322531640811132,0.0,-0.20566005214826957,0.05246577422819019,-0.17964471011493502,-0.2203812567282787,30,-0.15077853903141886,0.12122897549329018,0.001492150421975702,0.09387250392771833,0.011380067478147151,0.08668684806831292,0.11636060816101382,0.0017612521358054108,False,False,-1.0,False
retac,SONLY,-0.005542,6,-0.008016780227070001,0.0,-0.10840353829845155,0.12145568138652789,-0.14906298675719445,-0.0874383696075392,30,-0.15077853903141886,0.12122897549329018,0.001492150421975702,0.09387250392771833,0.011380067478147151,0.08668684806831292,0.11636060816101382,0.0017612521358054108,False,False,-1.0,False
retac,SONLY,0.026177,6,0.015176710993366713,0.0,-0.16654088091587438,0.1570232543330865,-0.17007119692433767,-0.1612013504722047,30,-0.15077853903141886,0.12122897549329018,0.001492150421975702,0.09387250392771833,0.011380067478147151,0.08668684806831292,0.11636060816101382,0.0017612521358054108,False,False,-1.0,False
retsgn,BONLY,0.486641,6,0.48885683967749843,36.0,-0.09730393094977989,0.02626766178009319,-0.10471021414462423,-0.09350467545035818,18,-3.562805176797729,7.092372622054337,0.2200581908737843,0.008947022029844431,0.06345561409338567,0.040612964796423866,0.6488304099528187,0.2597445625922549,False,True,-1.0,False
retsgn,BONLY,0.493321,6,0.4919679974834412,36.0,-0.06342312993528387,0.03504035435986037,-0.026280043726002584,-0.08162769214777643,18,-3.562805176797729,7.092372622054337,0.2200581908737843,0.008947022029844431,0.06345561409338567,0.040612964796423866,0.6488304099528187,0.2597445625922549,False,True,-1.0,False
retsgn,BONLY,0.499811,6,0.4953241342061459,36.0,-0.058289918910534644,0.06053087824931803,-0.038177532044726514,-0.06996083450856211,18,-3.562805176797729,7.092372622054337,0.2200581908737843,0.008947022029844431,0.06345561409338567,0.040612964796423866,0.6488304099528187,0.2597445625922549,False,True,-1.0,False
retsgn,POOL,0.476522,6,0.4813559978690476,8.5,-0.08281449703875972,0.06316944564633982,-0.29023276735128295,0.022922812864309024,30,-0.4378493097076761,0.7333530307854287,0.003597799249123401,0.02600482029132878,0.019070713775676373,0.09097273749381225,0.19499707337092406,0.004246643983337545,False,False,-1.0,False
retsgn,POOL,0.486641,6,0.48900087987299545,10.5,-0.0739623462359529,0.0853512319524295,-0.15425938242880255,-0.03068711878564496,30,-0.4378493097076761,0.7333530307854287,0.003597799249123401,0.02600482029132878,0.019070713775676373,0.09097273749381225,0.19499707337092406,0.004246643983337545,False,False,-1.0,False
retsgn,POOL,0.493321,6,0.4933891256401863,11.666666666666666,-0.1376335994676447,0.06813056535007775,-0.06336400882762899,-0.17087743949111478,30,-0.4378493097076761,0.7333530307854287,0.003597799249123401,0.02600482029132878,0.019070713775676373,0.09097273749381225,0.19499707337092406,0.004246643983337545,False,False,-1.0,False
retsgn,POOL,0.499811,6,0.4978131861697501,10.166666666666666,0.0036144732350426047,0.09207511331019196,0.0024153655946770928,0.004730496927807389,30,-0.4378493097076761,0.7333530307854287,0.003597799249123401,0.02600482029132878,0.019070713775676373,0.09097273749381225,0.19499707337092406,0.004246643983337545,False,False,-1.0,False
retsgn,POOL,0.510017,6,0.5051300642712002,6.666666666666667,-0.08949653873398906,0.14613733121002226,-0.14649734863218702,-0.05863018841498491,30,-0.4378493097076761,0.7333530307854287,0.003597799249123401,0.02600482029132878,0.019070713775676373,0.09097273749381225,0.19499707337092406,0.004246643983337545,False,False,-1.0,False
retsgn,SONLY,0.476522,6,0.48143916794509384,0.0,-0.21156989945519197,0.06970384362737124,-0.3339498819240882,-0.14907331532960752,30,-2.5093485219113196,4.760408099000209,0.09707089429512794,0.02560255153938329,0.12187859370315048,0.11893123163935271,1.2462023896027656,0.11457713470701236,False,False,-1.0,False
retsgn,SONLY,0.486641,6,0.4891750446478184,0.0,-0.21344109911957446,0.10305616456475612,-0.29150001211545273,-0.1779087304431007,30,-2.5093485219113196,4.760408099000209,0.09707089429512794,0.02560255153938329,0.12187859370315048,0.11893123163935271,1.2462023896027656,0.11457713470701236,False,False,-1.0,False
retsgn,SONLY,0.493321,6,0.4948210827925191,0.0,-0.15309445156269705,0.1836777523490758,-0.2589269166628823,-0.10644319125586042,30,-2.5093485219113196,4.760408099000209,0.09707089429512794,0.02560255153938329,0.12187859370315048,0.11893123163935271,1.2462023896027656,0.11457713470701236,False,False,-1.0,False
retsgn,SONLY,0.499811,6,0.4988654528708511,0.0,-0.09951306888378875,0.1110891519308533,-0.2666785900098047,-0.01634827764267217,30,-2.5093485219113196,4.760408099000209,0.09707089429512794,0.02560255153938329,0.12187859370315048,0.11893123163935271,1.2462023896027656,0.11457713470701236,False,False,-1.0,False
retsgn,SONLY,0.510017,6,0.5047768689153157,0.0,-0.1153070046915302,0.12712924572470707,-0.2340290547794304,-0.05595728480296968,30,-2.5093485219113196,4.760408099000209,0.09707089429512794,0.02560255153938329,0.12187859370315048,0.11893123163935271,1.2462023896027656,0.11457713470701236,False,False,-1.0,False
tpers,BONLY,0.960691,6,0.9634561028176708,36.0,-0.12799891811110256,0.039184345014193614,-0.16534736065487163,-0.10775422312032186,18,-15.964141077965554,16.431778162983626,0.5387593307996117,0.007054789553438856,0.1159227369286416,0.041232528580254765,1.1853040585750676,0.6359218267013039,False,True,1.0,True
tpers,BONLY,0.965932,6,0.9672468651562571,36.0,-0.08394514018157646,0.048597909512758664,-0.08849850719111457,-0.08363298001266857,18,-15.964141077965554,16.431778162983626,0.5387593307996117,0.007054789553438856,0.1159227369286416,0.041232528580254765,1.1853040585750676,0.6359218267013039,False,True,1.0,True
tpers,BONLY,0.970456,6,0.9694935134461279,36.0,-0.025093963843968267,0.03591533121381202,-0.01769049580767119,-0.028326032697438015,18,-15.964141077965554,16.431778162983626,0.5387593307996117,0.007054789553438856,0.1159227369286416,0.041232528580254765,1.1853040585750676,0.6359218267013039,False,True,1.0,True
tpers,POOL,0.952679,6,0.956018198538485,6.0,-0.40593158503609433,0.09363728235787733,-0.3368384659825678,-0.4372700419117946,30,-32.35666662353093,33.38118697033348,0.8472100010824005,0.021197788894816383,0.7076073544555244,0.09110492314947416,7.235249023062622,1.0000000012776058,False,True,1.0,True
tpers,POOL,0.960691,6,0.9624898040204185,8.333333333333334,-0.2438542152495582,0.10297707017356933,-0.18550209689905892,-0.27840574064858997,30,-32.35666662353093,33.38118697033348,0.8472100010824005,0.021197788894816383,0.7076073544555244,0.09110492314947416,7.235249023062622,1.0000000012776058,False,True,1.0,True
tpers,POOL,0.965932,6,0.9656917208290259,9.5,-0.15185714942572895,0.08982623518230323,-0.16534275948764304,-0.14269492808724982,30,-32.35666662353093,33.38118697033348,0.8472100010824005,0.021197788894816383,0.7076073544555244,0.09110492314947416,7.235249023062622,1.0000000012776058,False,True,1.0,True
tpers,POOL,0.970456,6,0.9695384833942765,10.0,-0.03823932999612555,0.09139203921395622,-0.053274409918939836,-0.03238402763345085,30,-32.35666662353093,33.38118697033348,0.8472100010824005,0.021197788894816383,0.7076073544555244,0.09110492314947416,7.235249023062622,1.0000000012776058,False,True,1.0,True
