N,tau,block,pick,n_adm,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,vs_SPY,vs_v2
10,0.8,23,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,24,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,25,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,26,TOP20/ebud-0.10,20,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,27,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,28,TOPALL/ebud-0.10,19,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
10,0.8,29,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,30,TOPALL/ebud-0.10,17,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
10,0.8,31,TOP20/ebud-0.10,15,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,32,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,33,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,34,TOP20/ebud-0.10,19,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,35,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,36,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,37,TOP20/ebud-0.10,19,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,38,TOP20/ebud-0.10,19,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,39,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
