CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,panel,dial,value,anchor,is_anchor,turnover_yr
0.156508748378972,0.8553842067390365,-0.2938120248519551,1.286914041097574,0.5038641380301795,0.2355227822439918,1.3006078192629,-0.21361530834920706,0.09512281520933152,0.5467516056431733,-0.293812024851956,U56,CADENCE,Q,W,0,3.9540874448548107
0.013502997870527667,0.5325257832868379,-0.04996362300964352,0.537211275583418,0.5323291808255879,0.010993305243326867,0.46688389947572545,-0.04996362300964352,0.01557880488740393,0.5820293692315164,-0.04889298584652979,ETF36,GROSS,0.15,0.75,0,3.0100017604586617
0.02656132511083764,0.5335753985819576,-0.09829682696638575,0.5376374955139487,0.5338850671049875,0.02154015506787088,0.467176908666427,-0.09829682696638575,0.03072361173461413,0.5836459752922343,-0.09582276246228383,ETF36,GROSS,0.3,0.75,0,5.999395464482303
0.03914803767881336,0.5345707908963844,-0.1450103756934803,0.5380043822772588,0.5353916260844065,0.031618034863827305,0.46741130748694987,-0.1450103756934803,0.04540352505906475,0.5852118078633155,-0.14084790168897876,ETF36,GROSS,0.45,0.75,0,8.972222732775828
0.05123494910080417,0.535499922084434,-0.1901147087692392,0.5383034384718332,0.5368337527328061,0.04120376246159396,0.46757881814028524,-0.1901147087692392,0.05958589754523902,0.5867120446363895,-0.18402862306659096,ETF36,GROSS,0.6,0.75,0,11.933808237651315
0.06279090814831223,0.5363385553220119,-0.2336276909821321,0.5385071137858992,0.5381897968052595,0.05027091104707049,0.4676509089030313,-0.2336276909821321,0.07323532098071928,0.5881255146103314,-0.2254226019006068,ETF36,GROSS,0.75,0.75,1,14.89238495516142
0.0737826324186488,0.5370653893208739,-0.2755682913969324,0.5385977089752734,0.5394354090999051,0.05879131283199812,0.46760621559914184,-0.2755682913969324,0.08631390010336082,0.589430827575731,-0.26508573789974743,ETF36,GROSS,0.9,0.75,0,17.85821785651165
0.08417652097522077,0.5376705058071085,-0.31595165342472975,0.5385747979746569,0.5405526226482062,0.06673908403112261,0.4674479146717464,-0.31595165342472975,0.09878118050888562,0.590608447498212,-0.30308207759979333,ETF36,GROSS,1.05,0.75,0,20.842005544269266
0.09394258121281296,0.5381639615170104,-0.3547974703659845,0.5384360684166165,0.5415619524503273,0.07408849300140119,0.4671765780856542,-0.3547974703659845,0.11060320439175197,0.5916753708362338,-0.3394602119616449,ETF36,GROSS,1.2,0.75,0,23.851305117250682
0.10305466553349585,0.5385645456138982,-0.39213071838934244,0.5381976924142275,0.5424844302855141,0.08081770560132973,0.46680674547401935,-0.39213071838934244,0.12174980014946013,0.5926535935371167,-0.37427432637591074,ETF36,GROSS,1.35,0.75,0,26.890503309839314
0.03908663246075461,0.3274582057666581,-0.3318572365618637,0.16722446760542964,0.460552837944405,0.0013649238454382928,0.07972529883284103,-0.3318572365618637,0.07128422749282537,0.5037382252994421,-0.29730332134486637,ETF36,COUNT,3,5,0,19.48581493406931
0.06279090814831223,0.5363385553220119,-0.2336276909821321,0.5385071137858992,0.5381897968052595,0.05027091104707049,0.4676509089030313,-0.2336276909821321,0.07323532098071928,0.5881255146103314,-0.2254226019006068,ETF36,COUNT,5,5,1,14.89238495516142
