thresh,dsplit,panel,book,klass,n,d_abs_200d,abs_wins,m_none,m_200d,m_abs,m_both,m_band3
0.08,60,broad,top20,SLOW,4,-0.0017706413926721065,1,-0.12889008611448194,-0.12637954981334495,-0.12815019120601706,-0.12283030244605445,-0.12910310074678413
0.08,60,broad,ew-all,FAST,9,-0.0011224387647156553,5,-0.0906364332168411,-0.0784696971526869,-0.07959213591740255,-0.07370058872728932,-0.07582342727162737
0.08,60,broad,ew-all,SLOW,4,-0.0044116673072142065,1,-0.1181132218448726,-0.11432914801016081,-0.11874081531737501,-0.11425504299834055,-0.10830136139435953
0.08,90,u56,top20,FAST,10,-0.001812696566331845,5,-0.09894393789236222,-0.0858920053562785,-0.08770470192261035,-0.08262505329605777,-0.08351340684108513
0.08,90,u56,top20,SLOW,3,-0.009098782764943844,1,-0.10436210048447185,-0.09118503242640182,-0.10028381519134566,-0.08944002312486506,-0.08702852888085603
0.08,90,u56,ew-all,FAST,10,-0.001409022372953192,4,-0.0892179893708221,-0.07305347165805644,-0.07446249403100963,-0.06839474557193366,-0.06921710555279417
0.08,90,u56,ew-all,SLOW,3,-0.013621232049453827,1,-0.1175768002574304,-0.09815863453397122,-0.11177986658342505,-0.10461272661438943,-0.08439393539139768
0.08,90,broad,top20,FAST,10,-0.0038860791239475334,2,-0.10438047060420072,-0.09316576054561149,-0.09705183966955902,-0.08962651066263991,-0.09360558243155934
0.08,90,broad,top20,SLOW,3,-0.001511341927576515,1,-0.12490931336773325,-0.1224114448955369,-0.12392278682311342,-0.11899500005175338,-0.12391400941880033
0.08,90,broad,ew-all,FAST,10,-0.0019182957292837172,5,-0.09365811517215494,-0.08276347625094922,-0.08468177198023294,-0.0795160841555412,-0.08015958933368841
0.08,90,broad,ew-all,SLOW,3,-0.0028552202728201886,1,-0.11719987820317031,-0.1119697013017777,-0.1148249215745979,-0.10838820966118468,-0.10467346589506676
0.1,30,u56,top20,FAST,2,-0.007836690541570157,0,-0.11699309909327854,-0.1048145621758852,-0.11265125271745535,-0.10612093054281574,-0.10222259113673787
0.1,30,u56,top20,SLOW,7,-0.005303021629722293,3,-0.1119731706712553,-0.09135645861081872,-0.09665948024054101,-0.08660658315782442,-0.08689533769222092
0.1,30,u56,ew-all,FAST,2,-0.00947858441235061,1,-0.10991970027143427,-0.09187485755359553,-0.10135344196594614,-0.09088648745314282,-0.08138897784462817
0.1,30,u56,ew-all,SLOW,7,-0.005791340950348903,2,-0.1156146146742438,-0.09161834285173144,-0.09740968380208034,-0.09016918265886695,-0.08244897279165868
0.1,30,broad,top20,FAST,2,-0.020192322574183186,0,-0.1275791735849402,-0.10767461537586814,-0.12786693795005133,-0.10767461537586814,-0.10358904956756954
0.1,30,broad,top20,SLOW,7,-0.0004864747828174226,2,-0.13008425863931383,-0.11867974584155135,-0.11916622062436877,-0.1122159341622395,-0.12111932356238934
0.1,30,broad,ew-all,FAST,2,-0.010648890072052941,1,-0.12834762053756665,-0.11329719317761022,-0.12394608324966316,-0.11437329664661339,-0.0955985385297693
0.1,30,broad,ew-all,SLOW,7,-0.001968942006969801,3,-0.11976439945742798,-0.10774824446060609,-0.10971718646757589,-0.10319445237917087,-0.10591535779241393
0.1,60,u56,top20,FAST,5,2.9344905880704375e-05,2,-0.11724160285584839,-0.09328760563923237,-0.09325826073335167,-0.08840284742260829,-0.09156888144234124
0.1,60,u56,top20,SLOW,4,-0.013235314255149982,1,-0.10789759465152554,-0.09567157660783487,-0.10890689086298486,-0.09411842651934024,-0.08871703472682901
0.1,60,u56,ew-all,FAST,5,0.0008091154706733883,2,-0.1126913065631181,-0.08233090705940957,-0.08152179158873618,-0.07179602878342344,-0.07657024790082297
0.1,60,u56,ew-all,SLOW,4,-0.015885533207627617,1,-0.11642129261174616,-0.10335589494306582,-0.11924142815069344,-0.11349427740030926,-0.08926738143168808
0.1,60,broad,top20,FAST,5,-0.007341480611479989,1,-0.13003756263742988,-0.10811785047784317,-0.11545933108932316,-0.10190791202063901,-0.10772019221694559
0.1,60,broad,top20,SLOW,4,-0.0017706413926721065,1,-0.12889008611448194,-0.12637954981334495,-0.12815019120601706,-0.12283030244605445,-0.12910310074678413
0.1,60,broad,ew-all,FAST,5,-0.0034867409928075327,3,-0.12451862997952774,-0.10470310110776397,-0.1081898421005715,-0.09881751759081212,-0.0998798272057996
0.1,60,broad,ew-all,SLOW,4,-0.0044116673072142065,1,-0.1181132218448726,-0.11432914801016081,-0.11874081531737501,-0.11425504299834055,-0.10830136139435953
0.1,90,u56,top20,FAST,6,-0.004249697366060803,2,-0.11745201523865477,-0.09592820622471598,-0.10017790359077679,-0.09169464563596787,-0.09193782657940902
0.1,90,u56,top20,SLOW,3,-0.009098782764943844,1,-0.10436210048447185,-0.09118503242640182,-0.10028381519134566,-0.08944002312486506,-0.08702852888085603
0.1,90,u56,ew-all,FAST,6,-0.00310547655479701,2,-0.11273521708171398,-0.08843370191123291,-0.09153917846602992,-0.08318651227919766,-0.08112315984277901
0.1,90,u56,ew-all,SLOW,3,-0.013621232049453827,1,-0.1175768002574304,-0.09815863453397122,-0.11177986658342505,-0.10461272661438943,-0.08439393539139768
0.1,90,broad,top20,FAST,6,-0.006542657140893138,1,-0.13183670292364624,-0.11314551949266416,-0.1196881766335573,-0.1073126282886921,-0.11387855596924391
0.1,90,broad,top20,SLOW,3,-0.001511341927576515,1,-0.12490931336773325,-0.1224114448955369,-0.12392278682311342,-0.11899500005175338,-0.12391400941880033
0.1,90,broad,ew-all,FAST,6,-0.004419118895738983,3,-0.12390773377793636,-0.107487165612355,-0.11190628450809398,-0.1043238551606448,-0.10309736398687264
0.1,90,broad,ew-all,SLOW,3,-0.0028552202728201886,1,-0.11719987820317031,-0.1119697013017777,-0.1148249215745979,-0.10838820966118468,-0.10467346589506676
0.15,30,u56,top20,FAST,1,-0.015673381083140314,0,-0.16590663963165952,-0.14154956579687283,-0.15722294688001315,-0.14416230253073392,-0.1363656237185782
0.15,30,u56,top20,SLOW,6,-0.0013801975939920635,3,-0.11675290146852897,-0.09351081262729487,-0.09489101022128693,-0.0866243486628976,-0.08745648964709192
0.15,30,u56,ew-all,FAST,1,-0.02648886355677249,0,-0.16048013874877398,-0.11699777876553141,-0.1434866423223039,-0.11723794320920888,-0.10003319039036473
0.15,30,u56,ew-all,SLOW,6,-0.0020300522890835393,2,-0.12107383646242807,-0.09607718245853138,-0.09810723474761492,-0.08999637986678077,-0.08591776181313703
0.15,30,broad,top20,FAST,1,-0.04038464514836637,0,-0.1918256189844053,-0.1520165025662612,-0.19240114771462757,-0.1520165025662612,-0.143845370949664
0.15,30,broad,top20,SLOW,6,0.0024198079957949287,2,-0.1354973244334706,-0.1247515718644142,-0.12233176386861927,-0.11617172388046731,-0.1255519548664304
0.15,30,broad,ew-all,FAST,1,-0.024425091437603852,0,-0.19219213516870215,-0.1594074967325081,-0.18383258817011194,-0.16204947205819598,-0.12596558018804604
0.15,30,broad,ew-all,SLOW,6,0.0010202997399813424,3,-0.12481662385219837,-0.11283946282287936,-0.11181916308289802,-0.10561299140255699,-0.11184219502773761
0.15,60,u56,top20,FAST,4,3.668113235089088e-05,2,-0.1295321139310861,-0.09958961741031608,-0.09955293627796519,-0.09348366963953597,-0.09744121216420215
0.15,60,u56,top20,SLOW,3,-0.008033763725498771,1,-0.116098530906163,-0.10141865730645923,-0.109452421031958,-0.09665790531665856,-0.09044657098144038
0.15,60,u56,ew-all,FAST,4,-0.0008715293446760752,1,-0.12602431775537398,-0.08622564973884705,-0.08709717908352313,-0.07361127805501011,-0.0800266185513058
0.15,60,u56,ew-all,SLOW,3,-0.011727686637523146,1,-0.12760862883394883,-0.11618609152044383,-0.12791377815796698,-0.12092370339661769,-0.09847776235465455
0.15,60,broad,top20,FAST,4,-0.009176850764349986,1,-0.1467137712504186,-0.11931413105093519,-0.12849098181528518,-0.11155170797942998,-0.11881705822481323
0.15,60,broad,top20,SLOW,3,0.0036138686279343912,1,-0.13931816019451815,-0.14108980318300188,-0.13747593455506749,-0.13428000464378173,-0.14062962241633115
0.15,60,broad,ew-all,FAST,4,-0.005140254064383898,2,-0.13952251099780189,-0.11408215397902688,-0.11922240804341078,-0.10684761667975745,-0.10854190978937636
0.15,60,broad,ew-all,SLOW,3,0.000752574419939922,1,-0.12766727809689493,-0.12670521925122558,-0.12595264483128565,-0.12277898458483605,-0.12095037039898875
0.15,90,u56,top20,FAST,5,-0.005099636839272961,2,-0.1273265065754062,-0.10149793575867967,-0.10659757259795263,-0.09641766305218194,-0.09670948018431132
0.15,90,u56,top20,SLOW,2,0.0007718087746360625,1,-0.11489575778290118,-0.09756238138362183,-0.09679057260898577,-0.09091003962360494,-0.08877858033978658
0.15,90,u56,ew-all,FAST,5,-0.0052329108121706575,1,-0.12341040813923787,-0.09277005502514757,-0.09800296583731823,-0.08691680839562184,-0.0847988387515565
0.15,90,u56,ew-all,SLOW,2,-0.0062523116152102265,1,-0.13493555841357652,-0.11480529919549093,-0.12105761081070116,-0.11131609021589217,-0.0957727837557022
0.15,90,broad,top20,FAST,5,-0.007851188569071757,1,-0.14553749787128048,-0.12310807775410197,-0.13095926632317373,-0.11610860830933552,-0.12398772152599769
0.15,90,broad,top20,SLOW,2,0.006695072835881,1,-0.13856103811441323,-0.14249277249111825,-0.13579769965523725,-0.13425190215119376,-0.13860924625912896
0.15,90,broad,ew-all,FAST,5,-0.005928404933586373,2,-0.1357886593522374,-0.11554722081028353,-0.1214756257438699,-0.1118492019457676,-0.11067053740994866
0.15,90,broad,ew-all,SLOW,2,0.00566936583510802,1,-0.13107429076035265,-0.1293540848091833,-0.12368471897407529,-0.11824070537234999,-0.1218330316523642
