panel,book,gross,cadence,n_phase,S_IS4B,S_FULL4B,S_ISLEG4
B136,TOP20,CORE,M,21,0.3333333333333333,0.047619047619047616,1.0
B136,TOP20,CORE,Q,63,0.15873015873015872,0.0,1.0
B136,TOP20,CORE,W,5,0.0,0.0,1.0
B136,TOP20,EXT,D,1,0.0,0.0,0.0
B136,TOP20,EXT,M,21,0.0,0.0,1.0
B136,TOP20,EXT,Q,63,0.0,0.0,1.0
B136,TOP20,EXT,W,5,0.0,0.0,1.0
SMALL,BAND03,CORE,D,1,0.0,0.0,0.0
SMALL,BAND03,CORE,M,21,0.0,0.0,0.8095238095238095
SMALL,BAND03,CORE,Q,63,0.0,0.0,0.8888888888888888
SMALL,BAND03,CORE,W,5,0.0,0.0,0.0
SMALL,BAND03,EXT,D,1,0.0,0.0,0.0
SMALL,BAND03,EXT,M,21,0.047619047619047616,0.0,0.42857142857142855
SMALL,BAND03,EXT,Q,63,0.0,0.0,0.2222222222222222
SMALL,BAND03,EXT,W,5,0.0,0.0,0.0
SMALL,EWELIG,CORE,D,1,0.0,0.0,0.0
SMALL,EWELIG,CORE,M,21,0.0,0.0,0.5238095238095238
SMALL,EWELIG,CORE,Q,63,0.0,0.0,0.7142857142857143
SMALL,EWELIG,CORE,W,5,0.0,0.0,0.0
SMALL,EWELIG,EXT,D,1,0.0,0.0,0.0
SMALL,EWELIG,EXT,M,21,0.0,0.0,0.47619047619047616
SMALL,EWELIG,EXT,Q,63,0.0,0.0,0.7301587301587301
SMALL,EWELIG,EXT,W,5,0.0,0.0,0.0
SMALL,TOP05,CORE,D,1,0.0,0.0,0.0
SMALL,TOP05,CORE,M,21,0.0,0.0,0.0
SMALL,TOP05,CORE,Q,63,0.0,0.0,0.0
SMALL,TOP05,CORE,W,5,0.0,0.0,0.0
SMALL,TOP05,EXT,D,1,0.0,0.0,0.0
SMALL,TOP05,EXT,M,21,0.0,0.0,0.0
SMALL,TOP05,EXT,Q,63,0.0,0.0,0.0
SMALL,TOP05,EXT,W,5,0.0,0.0,0.0
SMALL,TOP10,CORE,D,1,0.0,0.0,0.0
SMALL,TOP10,CORE,M,21,0.0,0.0,0.0
SMALL,TOP10,CORE,Q,63,0.0,0.0,0.015873015873015872
SMALL,TOP10,CORE,W,5,0.0,0.0,0.0
SMALL,TOP10,EXT,D,1,0.0,0.0,0.0
SMALL,TOP10,EXT,M,21,0.0,0.0,0.0
SMALL,TOP10,EXT,Q,63,0.0,0.0,0.015873015873015872
SMALL,TOP10,EXT,W,5,0.0,0.0,0.0
SMALL,TOP20,CORE,D,1,0.0,0.0,0.0
SMALL,TOP20,CORE,M,21,0.0,0.0,0.0
SMALL,TOP20,CORE,Q,63,0.0,0.0,0.0
SMALL,TOP20,CORE,W,5,0.0,0.0,0.0
SMALL,TOP20,EXT,D,1,0.0,0.0,0.0
SMALL,TOP20,EXT,M,21,0.0,0.0,0.0
SMALL,TOP20,EXT,Q,63,0.0,0.0,0.0
SMALL,TOP20,EXT,W,5,0.0,0.0,0.0
U56,BAND03,CORE,D,1,0.0,0.0,1.0
U56,BAND03,CORE,M,21,0.0,0.0,0.9047619047619048
U56,BAND03,CORE,Q,63,0.0,0.25396825396825395,0.4444444444444444
U56,BAND03,CORE,W,5,0.0,0.0,0.8
U56,BAND03,EXT,D,1,0.0,1.0,1.0
U56,BAND03,EXT,M,21,0.5238095238095238,0.47619047619047616,0.9047619047619048
U56,BAND03,EXT,Q,63,0.4126984126984127,0.14285714285714285,0.5555555555555556
U56,BAND03,EXT,W,5,0.0,1.0,0.8
U56,EWELIG,CORE,D,1,0.0,0.0,0.0
U56,EWELIG,CORE,M,21,0.14285714285714285,0.8095238095238095,0.8571428571428571
U56,EWELIG,CORE,Q,63,0.6349206349206349,0.4126984126984127,0.746031746031746
U56,EWELIG,CORE,W,5,0.0,1.0,0.6
U56,EWELIG,EXT,D,1,0.0,0.0,0.0
U56,EWELIG,EXT,M,21,0.047619047619047616,0.047619047619047616,0.8571428571428571
U56,EWELIG,EXT,Q,63,0.015873015873015872,0.015873015873015872,0.7777777777777778
U56,EWELIG,EXT,W,5,0.2,0.0,0.6
U56,TOP05,CORE,D,1,0.0,0.0,0.0
U56,TOP05,CORE,M,21,0.0,0.19047619047619047,0.9047619047619048
U56,TOP05,CORE,Q,63,0.0,0.031746031746031744,0.7936507936507936
U56,TOP05,CORE,W,5,0.0,0.0,0.0
U56,TOP05,EXT,D,1,0.0,0.0,0.0
U56,TOP05,EXT,M,21,0.0,0.0,0.9047619047619048
U56,TOP05,EXT,Q,63,0.0,0.0,0.8095238095238095
U56,TOP05,EXT,W,5,0.0,0.0,0.0
U56,TOP10,CORE,D,1,0.0,0.0,0.0
U56,TOP10,CORE,M,21,0.3333333333333333,0.14285714285714285,0.6190476190476191
U56,TOP10,CORE,Q,63,0.07936507936507936,0.015873015873015872,0.7301587301587301
U56,TOP10,CORE,W,5,0.0,0.2,0.0
U56,TOP10,EXT,D,1,0.0,0.0,0.0
U56,TOP10,EXT,M,21,0.0,0.0,0.6666666666666666
U56,TOP10,EXT,Q,63,0.0,0.0,0.746031746031746
U56,TOP10,EXT,W,5,0.0,0.0,0.0
U56,TOP20,CORE,D,1,0.0,0.0,0.0
U56,TOP20,CORE,M,21,0.5714285714285714,0.23809523809523808,0.6666666666666666
U56,TOP20,CORE,Q,63,0.23809523809523808,0.015873015873015872,0.6507936507936508
U56,TOP20,CORE,W,5,0.0,1.0,0.6
U56,TOP20,EXT,D,1,0.0,0.0,0.0
U56,TOP20,EXT,M,21,0.0,0.047619047619047616,0.5714285714285714
U56,TOP20,EXT,Q,63,0.0,0.0,0.5873015873015873
U56,TOP20,EXT,W,5,0.0,0.2,0.0
