panel,arm,cost,window,n_rungs,smin,smax,spread
B136,CAND20,0.0,IS,150,1.129614450268374,1.1402898076472228,0.010675357378848727
B136,CAND20,0.0,FULL,150,1.040623588695495,1.0500380595087646,0.009414470813269515
B136,CAND20,10.0,ISH1_HALF,150,0.9632674489252051,0.9694507146529882,0.006183265727783049
B136,CAND20,10.0,IS,150,1.0262873405859119,1.0385719296971776,0.012284589111265731
B136,CAND20,10.0,FULL,150,0.9366888240330304,0.9478932618329449,0.011204437799914424
B136,CAND20,25.0,ISH1_HALF,150,0.8153106399984362,0.8243281176302788,0.009017477631842574
B136,CAND20,25.0,IS,150,0.8709738090960382,0.8856815765476006,0.014707767451562437
B136,CAND20,25.0,FULL,150,0.7805051748964439,0.7943940804204188,0.013888905523974926
B136,EWELIG,0.0,ISH1_HALF,150,0.9693622668453028,0.9713870818398445,0.002024814994541657
B136,EWELIG,0.0,IS,150,1.108650226943063,1.1110611548759308,0.002410927932867901
B136,EWELIG,0.0,FULL,150,1.0975896007854646,1.1029032299386035,0.005313629153138821
B136,EWELIG,10.0,ISH1_HALF,150,0.8902618441754239,0.8933222510864492,0.0030604069110253818
B136,EWELIG,10.0,IS,150,1.0298121717746056,1.0373993204610659,0.0075871486864602655
B136,EWELIG,10.0,FULL,150,1.0207770124286306,1.021152639250487,0.00037562682185643403
B136,EWELIG,25.0,ISH1_HALF,150,0.7682717793371866,0.7790029870140099,0.01073120767682334
B136,EWELIG,25.0,IS,150,0.9112763596654666,0.9266625315831913,0.015386171917724734
B136,EWELIG,25.0,FULL,150,0.8973009550134114,0.9055618219665296,0.008260866953118118
B136,CAND20_NG,0.0,ISH1_HALF,150,1.0138885795581234,1.0292880825526556,0.015399502994532188
B136,CAND20_NG,0.0,IS,150,1.1650130516414285,1.180364232003744,0.01535118036231542
B136,CAND20_NG,0.0,FULL,150,1.063509770866728,1.0780226001344637,0.014512829267735672
B136,CAND20_NG,10.0,ISH1_HALF,150,0.9231638338284289,0.9398945253665378,0.01673069153810891
B136,CAND20_NG,10.0,IS,150,1.0687469945868715,1.085434242702066,0.01668724811519451
B136,CAND20_NG,10.0,FULL,150,0.9729167632064516,0.9890030374747986,0.016086274268346967
B136,CAND20_NG,25.0,ISH1_HALF,150,0.786812760853175,0.8055584049891321,0.01874564413595714
B136,CAND20_NG,25.0,IS,150,0.9241128220862204,0.9428137164804807,0.01870089439426037
B136,CAND20_NG,25.0,FULL,150,0.836830239461571,0.8552828010956939,0.0184525616341229
B136,EWALL,0.0,ISH1_HALF,150,1.0779500489385727,1.0930631644702045,0.015113115531631749
B136,EWALL,0.0,IS,150,1.1463244086513347,1.1588046449204688,0.012480236269134082
B136,EWALL,0.0,FULL,150,1.123054793032195,1.123443801790627,0.00038900875843195237
B136,EWALL,10.0,ISH1_HALF,150,1.0700870979522124,1.08635168587619,0.016264587923977558
B136,EWALL,10.0,IS,150,1.1380733569588852,1.1516565022072498,0.01358314524836457
B136,EWALL,10.0,FULL,150,1.1145158096943664,1.116563655406862,0.0020478457124957217
B136,EWALL,25.0,ISH1_HALF,150,1.0582922191947586,1.076284433991332,0.017992214796573425
B136,EWALL,25.0,IS,150,1.1256960398504432,1.140933982784476,0.0152379429340328
B136,EWALL,25.0,FULL,150,1.10170579522641,1.1062699059417143,0.00456411071530427
SMALL,CAND20,0.0,ISH1_HALF,150,1.0659045487173386,1.0724982335128213,0.006593684795482613
SMALL,CAND20,0.0,IS,150,0.6781765914981595,0.6896036084770144,0.011427016978854954
SMALL,CAND20,0.0,FULL,150,0.6290954691752123,0.6396686669469036,0.0105731977716913
