panel,book,cost,stop,arm,fires,fires_yr,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,dCAGR,dSharpe,dMaxDD,gross,turn_yr,lever_pp,d_crash_ann,d_trend_ann,y2020,y2022,fail4a,fail4b
u56,v1,10,0.25,always,0,0.0,0.06453053483847215,0.6641804017269177,-0.13827796154480831,0.6409087934305884,0.6877921123353656,0.5534299312214817,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.0,0.0,0.0,0.7495210220604044,23.58532168462946,,0.0,0.0,0.0,0.0,H1|H2,H1|H2|OOS|CAGR
u56,v1,10,0.25,spy200,0,0.0,0.06453053483847215,0.6641804017269177,-0.13827796154480831,0.6409087934305884,0.6877921123353656,0.5534299312214817,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.0,0.0,0.0,0.7495210220604044,23.58532168462946,,0.0,0.0,0.0,0.0,H1|H2,H1|H2|OOS|CAGR
u56,v1,10,0.25,breadth20,0,0.0,0.06453053483847215,0.6641804017269177,-0.13827796154480831,0.6409087934305884,0.6877921123353656,0.5534299312214817,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.0,0.0,0.0,0.7495210220604044,23.58532168462946,,0.0,0.0,0.0,0.0,H1|H2,H1|H2|OOS|CAGR
u56,v1,25,none,none,0,0.0,0.02751817304906079,0.3169259386690001,-0.15629933763153747,0.2848945732875525,0.3460135787879513,0.20560330044696404,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.0,0.0,0.0,0.7495210220604044,23.58532168462946,,0.0,0.0,0.0,0.0,H1|H2|DD,H1|H2|OOS|CAGR
u56,v1,25,0.10,always,53,3.008785762559135,0.0247120527783089,0.29147064388325,-0.154239855379242,0.2786903887475603,0.3039147675667951,0.19879276961748482,0.36060143477169915,0.03322607802478994,-0.15423985537924267,-0.28061202707518884,-0.025455294785750093,0.20594822522954637,0.7473417070726573,23.89813010714958,0.15374070624980193,-0.8115784923125582,-0.17151319927809655,-0.6414121688291585,-0.717398587059781,H1|H2|DD,H1|H2|OOS|CAGR
u56,v1,25,0.10,spy200,27,1.5327776526244652,0.026168342745091167,0.3046021851213397,-0.15408763983903573,0.28036370001683825,0.3269782538252209,0.20064674942378166,0.38169522377933046,0.035753548848155736,-0.146686001350533,-0.13498303039696236,-0.01232375354766041,0.22116977925017434,0.7484500940653169,23.700770835356018,0.15376681526233893,-0.8115784923125582,0.00498911484329949,-0.7618501549676804,-0.717398587059781,H1|H2|DD,H1|H2|OOS|CAGR
u56,v1,25,0.10,breadth20,23,1.3056994818652852,0.02630161531087949,0.3057999689538896,-0.15408763983903562,0.28809752651160886,0.3225937728071087,0.2090745461694782,0.37757086034463716,0.03531209573124805,-0.14689234799308615,-0.12165577381813009,-0.011125969715110484,0.22116977925018544,0.7486450580469568,23.68450501895662,0.1537668152623312,-0.7088044625469668,-5.936316077487172e-18,-1.1886141423984364,-0.717398587059781,H1|H2|DD,H1|H2|OOS|CAGR
u56,v1,25,0.15,always,7,0.39738679882856504,0.026061195500791,0.30327651552157975,-0.15629933763153747,0.2848945732875525,0.3206465479523217,0.20560330044696404,0.37564658960811137,0.03515023005152318,-0.1509262074574499,-0.1456977548269789,-0.013649423147420348,0.0,0.7491122878170543,23.61695668377741,,-0.9600251164918505,0.024794653329872938,-1.6780854573859028,-1.3769278878549507,H1|H2|DD,H1|H2|OOS|CAGR
u56,v1,25,0.15,spy200,5,0.283847713448975,0.025849848776319018,0.30125027486350187,-0.15629933763153747,0.2848945732875525,0.316879774808723,0.20560330044696404,0.37212765505606277,0.034761086084407866,-0.1496691052637119,-0.16683242727417724,-0.01567566380549823,0.0,0.7492653832301636,23.601600742461166,,-0.9600251164918505,0.0,-1.5255478022498048,-1.3769278878549507,H1|H2|DD,H1|H2|OOS|CAGR
u56,v1,25,0.15,breadth20,5,0.283847713448975,0.025849848776319018,0.30125027486350187,-0.15629933763153747,0.2848945732875525,0.316879774808723,0.20560330044696404,0.37212765505606277,0.034761086084407866,-0.1496691052637119,-0.16683242727417724,-0.01567566380549823,0.0,0.7492653832301636,23.601600742461166,,-0.9600251164918505,0.0,-1.5255478022498048,-1.3769278878549507,H1|H2|DD,H1|H2|OOS|CAGR
