panel,B,n,depth,CAGR,Sharpe,MaxDD,DD_margin,CAGR_margin,keep4b,fail
SMALL439,0.25,8,0.0,0.053953242220344366,0.3743244740536733,-0.3576757897617079,-0.15537237806131832,-0.04495574611448251,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.3,3,0.5,0.008733935417408079,0.1675871708218477,-0.5400863331017887,-0.3377829214013991,-0.0901750529174188,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.3,3,0.25,0.010770603503346576,0.17219553496748238,-0.5198296213916151,-0.3175262096912256,-0.0881383848314803,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.3,3,0.0,0.011379294651770122,0.17356575216885997,-0.5263135098942324,-0.32401009819384285,-0.08752969368305676,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.3,5,0.5,0.041746209790170186,0.2961432391204277,-0.4075366986953185,-0.20523328699492893,-0.05716277854465669,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.3,5,0.25,0.03648803576708648,0.27505477935353617,-0.4251788334065655,-0.2228754217061759,-0.0624209525677404,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.3,5,0.0,0.03015348494666159,0.24653414980453792,-0.44442131695382314,-0.24211790525343357,-0.06875550338816529,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.3,8,0.5,0.04452382211634642,0.3279202378966542,-0.36611500615722625,-0.16381159445683668,-0.054385166218480455,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.3,8,0.25,0.03895552397513047,0.3033309701639566,-0.38906995919705745,-0.18676654749666788,-0.05995346435969641,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.3,8,0.0,0.03259076607795586,0.2700862562179422,-0.4129412601719622,-0.21063784847157263,-0.06631822225687102,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.35,3,0.5,0.014019716785533376,0.1832144204292437,-0.5307108292770426,-0.32840741757665304,-0.0848892715492935,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.35,3,0.25,0.017937409294857654,0.19539890539699584,-0.5221473331189037,-0.31984392141851414,-0.08097157903996922,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.35,3,0.0,0.01990034512823513,0.20242338026393933,-0.5351262664169727,-0.3328228547165831,-0.07900864320659175,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.35,5,0.5,0.04676652026131123,0.3230793058336457,-0.36449777271609407,-0.1621943610157045,-0.05214246807351565,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.35,5,0.25,0.043424119425185426,0.3132607457593116,-0.3626257362197155,-0.16032232451932593,-0.05548486890964145,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.35,5,0.0,0.03860588130393827,0.29168427210797626,-0.38252810902917045,-0.18022469732878088,-0.060303107030888606,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.35,8,0.5,0.04533396731857109,0.33903788090104153,-0.31422180668291233,-0.11191839498252276,-0.05357502101625579,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.35,8,0.25,0.03978011151975358,0.31627947705540577,-0.3134395623568742,-0.11113615065648463,-0.0591288768150733,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.35,8,0.0,0.033175082239099485,0.28046852321443355,-0.33027417439744067,-0.1279707626970511,-0.06573390609572739,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.4,3,0.5,-0.010191636501070578,0.0782182966836388,-0.5265407484033344,-0.32423733670294486,-0.10910062483589746,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.4,3,0.25,-0.019442850076679563,0.02438826312614789,-0.5493774518807493,-0.3470740401803597,-0.11835183841150644,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.4,3,0.0,-0.031235758872299124,-0.03648986145444928,-0.5976394886010127,-0.3953360769006231,-0.130144747207126,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.4,5,0.5,0.020723712923131687,0.20263039620787668,-0.33913999690068486,-0.1368365852002953,-0.07818527541169519,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.4,5,0.25,0.004039578665702814,0.11254695764003327,-0.3500302847446395,-0.14772687304424992,-0.09486940966912406,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.4,5,0.0,-0.014234857961877734,0.005780771500618443,-0.44979711351520835,-0.24749370181481878,-0.11314384629670461,False,"H1,H2,OOS,DD,CAGR"
SMALL439,0.4,8,0.5,0.02878234211996067,0.25423549627208153,-0.3123854710194477,-0.11008205931905812,-0.07012664621486621,False,"H1,H2,OOS,DD,CAGR"
