legset,leg,panel,a,b,start,end,days,ov_NONE,ov_COVID_TIGHT,ov_COVID_WIDE,ov_COVID_DD,ov_DD_2015,ov_PLACEBO_2017,ov_PLACEBO_PRE
ENDYEAR,..2019,U56,0,2761,2009-01-13,2019-12-31,2761,0,0,0,0,36,34,2
ENDYEAR,..2019,B136,0,2761,2009-01-13,2019-12-31,2761,0,0,0,0,36,34,2
ENDYEAR,..2019,SMALL663,0,2256,2011-01-13,2019-12-31,2256,0,0,0,0,36,34,2
ENDYEAR,..2020,U56,0,3014,2009-01-13,2020-12-31,3014,0,35,104,121,36,34,34
ENDYEAR,..2020,B136,0,3014,2009-01-13,2020-12-31,3014,0,35,104,121,36,34,34
ENDYEAR,..2020,SMALL663,0,2509,2011-01-13,2020-12-31,2509,0,35,104,121,36,34,34
ENDYEAR,..2021,U56,0,3266,2009-01-13,2021-12-31,3266,0,35,104,121,36,34,34
ENDYEAR,..2021,B136,0,3266,2009-01-13,2021-12-31,3266,0,35,104,121,36,34,34
ENDYEAR,..2021,SMALL663,0,2761,2011-01-13,2021-12-31,2761,0,35,104,121,36,34,34
ENDYEAR,..2022,U56,0,3517,2009-01-13,2022-12-30,3517,0,35,104,121,36,34,34
ENDYEAR,..2022,B136,0,3517,2009-01-13,2022-12-30,3517,0,35,104,121,36,34,34
ENDYEAR,..2022,SMALL663,0,3012,2011-01-13,2022-12-30,3012,0,35,104,121,36,34,34
ENDYEAR,..2023,U56,0,3767,2009-01-13,2023-12-29,3767,0,35,104,121,36,34,34
ENDYEAR,..2023,B136,0,3767,2009-01-13,2023-12-29,3767,0,35,104,121,36,34,34
ENDYEAR,..2023,SMALL663,0,3262,2011-01-13,2023-12-29,3262,0,35,104,121,36,34,34
ENDYEAR,..2024,U56,0,4019,2009-01-13,2024-12-31,4019,0,35,104,121,36,34,34
ENDYEAR,..2024,B136,0,4019,2009-01-13,2024-12-31,4019,0,35,104,121,36,34,34
ENDYEAR,..2024,SMALL663,0,3514,2011-01-13,2024-12-31,3514,0,35,104,121,36,34,34
ENDYEAR,..2025,U56,0,4269,2009-01-13,2025-12-31,4269,0,35,104,121,36,34,34
ENDYEAR,..2025,B136,0,4269,2009-01-13,2025-12-31,4269,0,35,104,121,36,34,34
ENDYEAR,..2025,SMALL663,0,3764,2011-01-13,2025-12-31,3764,0,35,104,121,36,34,34
POSTYEAR,2013..,U56,1251,4443,2014-01-02,2026-09-11,3192,0,35,104,121,36,34,34
POSTYEAR,2013..,B136,1251,4443,2014-01-02,2026-09-11,3192,0,35,104,121,36,34,34
POSTYEAR,2013..,SMALL663,746,3938,2014-01-02,2026-09-11,3192,0,35,104,121,36,34,34
POSTYEAR,2014..,U56,1503,4443,2015-01-02,2026-09-11,2940,0,35,104,121,36,34,34
POSTYEAR,2014..,B136,1503,4443,2015-01-02,2026-09-11,2940,0,35,104,121,36,34,34
POSTYEAR,2014..,SMALL663,998,3938,2015-01-02,2026-09-11,2940,0,35,104,121,36,34,34
POSTYEAR,2015..,U56,1755,4443,2016-01-04,2026-09-11,2688,0,35,104,121,0,34,34
POSTYEAR,2015..,B136,1755,4443,2016-01-04,2026-09-11,2688,0,35,104,121,0,34,34
POSTYEAR,2015..,SMALL663,1250,3938,2016-01-04,2026-09-11,2688,0,35,104,121,0,34,34
POSTYEAR,2016..,U56,2007,4443,2017-01-03,2026-09-11,2436,0,35,104,121,0,34,34
POSTYEAR,2016..,B136,2007,4443,2017-01-03,2026-09-11,2436,0,35,104,121,0,34,34
POSTYEAR,2016..,SMALL663,1502,3938,2017-01-03,2026-09-11,2436,0,35,104,121,0,34,34
POSTYEAR,2017..,U56,2258,4443,2018-01-02,2026-09-11,2185,0,35,104,121,0,0,34
POSTYEAR,2017..,B136,2258,4443,2018-01-02,2026-09-11,2185,0,35,104,121,0,0,34
POSTYEAR,2017..,SMALL663,1753,3938,2018-01-02,2026-09-11,2185,0,35,104,121,0,0,34
POSTYEAR,2018..,U56,2509,4443,2019-01-02,2026-09-11,1934,0,35,104,121,0,0,34
POSTYEAR,2018..,B136,2509,4443,2019-01-02,2026-09-11,1934,0,35,104,121,0,0,34
POSTYEAR,2018..,SMALL663,2004,3938,2019-01-02,2026-09-11,1934,0,35,104,121,0,0,34
POSTYEAR,2019..,U56,2761,4443,2020-01-02,2026-09-11,1682,0,35,104,121,0,0,32
POSTYEAR,2019..,B136,2761,4443,2020-01-02,2026-09-11,1682,0,35,104,121,0,0,32
POSTYEAR,2019..,SMALL663,2256,3938,2020-01-02,2026-09-11,1682,0,35,104,121,0,0,32
POSTYEAR,2020..,U56,3014,4443,2021-01-04,2026-09-11,1429,0,0,0,0,0,0,0
POSTYEAR,2020..,B136,3014,4443,2021-01-04,2026-09-11,1429,0,0,0,0,0,0,0
POSTYEAR,2020..,SMALL663,2509,3938,2021-01-04,2026-09-11,1429,0,0,0,0,0,0,0
POSTYEAR,2021..,U56,3266,4443,2022-01-03,2026-09-11,1177,0,0,0,0,0,0,0
POSTYEAR,2021..,B136,3266,4443,2022-01-03,2026-09-11,1177,0,0,0,0,0,0,0
POSTYEAR,2021..,SMALL663,2761,3938,2022-01-03,2026-09-11,1177,0,0,0,0,0,0,0
POSTYEAR,2022..,U56,3517,4443,2023-01-03,2026-09-11,926,0,0,0,0,0,0,0
POSTYEAR,2022..,B136,3517,4443,2023-01-03,2026-09-11,926,0,0,0,0,0,0,0
POSTYEAR,2022..,SMALL663,3012,3938,2023-01-03,2026-09-11,926,0,0,0,0,0,0,0
POSTYEAR,2023..,U56,3767,4443,2024-01-02,2026-09-11,676,0,0,0,0,0,0,0
POSTYEAR,2023..,B136,3767,4443,2024-01-02,2026-09-11,676,0,0,0,0,0,0,0
POSTYEAR,2023..,SMALL663,3262,3938,2024-01-02,2026-09-11,676,0,0,0,0,0,0,0
POSTYEAR,2024..,U56,4019,4443,2025-01-02,2026-09-11,424,0,0,0,0,0,0,0
POSTYEAR,2024..,B136,4019,4443,2025-01-02,2026-09-11,424,0,0,0,0,0,0,0
POSTYEAR,2024..,SMALL663,3514,3938,2025-01-02,2026-09-11,424,0,0,0,0,0,0,0
BLOCK3,2010-2012,U56,245,999,2010-01-04,2012-12-31,754,0,0,0,0,0,0,0
BLOCK3,2010-2012,B136,245,999,2010-01-04,2012-12-31,754,0,0,0,0,0,0,0
BLOCK3,2010-2012,SMALL663,0,494,2011-01-13,2012-12-31,494,0,0,0,0,0,0,0
BLOCK3,2013-2015,U56,999,1755,2013-01-02,2015-12-31,756,0,0,0,0,36,0,0
BLOCK3,2013-2015,B136,999,1755,2013-01-02,2015-12-31,756,0,0,0,0,36,0,0
BLOCK3,2013-2015,SMALL663,494,1250,2013-01-02,2015-12-31,756,0,0,0,0,36,0,0
BLOCK3,2016-2018,U56,1755,2509,2016-01-04,2018-12-31,754,0,0,0,0,0,34,0
BLOCK3,2016-2018,B136,1755,2509,2016-01-04,2018-12-31,754,0,0,0,0,0,34,0
BLOCK3,2016-2018,SMALL663,1250,2004,2016-01-04,2018-12-31,754,0,0,0,0,0,34,0
BLOCK3,2019-2021,U56,2509,3266,2019-01-02,2021-12-31,757,0,35,104,121,0,0,34
BLOCK3,2019-2021,B136,2509,3266,2019-01-02,2021-12-31,757,0,35,104,121,0,0,34
BLOCK3,2019-2021,SMALL663,2004,2761,2019-01-02,2021-12-31,757,0,35,104,121,0,0,34
BLOCK3,2022-2024,U56,3266,4019,2022-01-03,2024-12-31,753,0,0,0,0,0,0,0
BLOCK3,2022-2024,B136,3266,4019,2022-01-03,2024-12-31,753,0,0,0,0,0,0,0
BLOCK3,2022-2024,SMALL663,2761,3514,2022-01-03,2024-12-31,753,0,0,0,0,0,0,0
BLOCK3,2025-2027,U56,4019,4443,2025-01-02,2026-09-11,424,0,0,0,0,0,0,0
BLOCK3,2025-2027,B136,4019,4443,2025-01-02,2026-09-11,424,0,0,0,0,0,0,0
BLOCK3,2025-2027,SMALL663,3514,3938,2025-01-02,2026-09-11,424,0,0,0,0,0,0,0
