panel,L,F_max,ladder_wider,ladder_narrower,k_w,k_n,in_NG,Dbar,mu0,effect,sd_null,sd_emp,sd_ratio_emp_over_null,t_emp,orient_agree_rate,folds_floored,F_star_emp_05,F_star_iid_05,years_star_emp_05,resolved_now_05,attainable_05,F_star_emp_10,F_star_iid_10,years_star_emp_10,resolved_now_10,attainable_10
U56,252,17,N,H,6,4,True,0.4029390169920557,0.044535448934457454,0.35840356805759827,0.6050884210341823,0.7694479462643962,1.2716289380472694,1.9205142789372642,0.5882352941176471,0,18,11,18.0,False,False,13,8,13.0,True,True
U56,252,17,N,GROSS,6,10,False,5.93179978311157,-0.025312020041812447,5.957111803153382,0.44835052874490655,1.4799730419382005,3.3009285080608115,16.59611391018885,1.0,0,1,1,1.0,True,True,1,1,1.0,True,True
U56,252,17,CADENCE,N,2,6,True,-0.7159221463209591,-0.34779903814217394,-0.36812310817878513,1.16761036025942,1.3607232028567924,1.165391511732104,-1.1154439455910032,0.47058823529411764,0,53,39,53.0,False,False,37,28,37.0,False,False
U56,252,17,H,GROSS,4,10,False,5.528860766119514,-0.0698474689762699,5.598708235095784,0.555673035861246,1.29568540060019,2.331740640594496,17.816103669627136,1.0,0,1,1,1.0,True,True,1,1,1.0,True,True
U56,252,17,CADENCE,H,2,4,True,-0.31298312932890326,-0.30326358920771646,-0.00971954012118681,1.2128760363460682,1.347285020705107,1.1108184021542398,-0.029744775556926062,0.7058823529411765,0,73812,59819,73812.0,False,False,51986,42131,51986.0,False,False
U56,252,17,CADENCE,GROSS,2,10,False,5.215877636790611,-0.3731110581839864,5.5889886949745975,1.1427836535839784,1.7811936432687938,1.5586446635657107,12.9373865760455,1.0,0,1,1,1.0,True,True,1,1,1.0,True,True
U56,504,8,N,H,6,4,True,0.40470340829276685,0.044535448934457454,0.3601679593583094,0.6050884210341823,1.009083758273331,1.6676633086924109,1.0095384227139523,0.625,0,31,11,62.0,False,False,22,8,44.0,False,False
U56,504,8,N,GROSS,6,10,False,6.07215600990427,-0.025312020041812447,6.097468029946082,0.44835052874490655,1.809828826951123,4.036638101035547,9.529212769378645,1.0,0,1,1,2.0,True,True,1,1,2.0,True,True
U56,504,8,CADENCE,N,2,6,True,-0.2668318972304539,-0.34779903814217394,0.08096714091172003,1.16761036025942,1.5490768534802117,1.3267070130621634,0.14783621422872245,0.625,0,1407,799,2814.0,False,False,991,563,1982.0,False,False
U56,504,8,H,GROSS,4,10,False,5.667452601611503,-0.0698474689762699,5.737300070587772,0.555673035861246,1.3896277163834565,2.500801058719093,11.67761332847569,1.0,0,1,1,2.0,True,True,1,1,2.0,True,True
U56,504,8,CADENCE,H,2,4,True,0.13787151106231288,-0.30326358920771646,0.44113510027002933,1.2128760363460682,1.3150579115007275,1.0842475835061383,0.948793564427517,0.625,0,35,30,70.0,False,False,25,21,50.0,False,False
U56,504,8,CADENCE,GROSS,2,10,False,5.805324112673816,-0.3731110581839864,6.178435170857802,1.1427836535839784,1.1213383399291248,0.9812341438490154,15.58428264108459,1.0,0,1,1,2.0,True,True,1,1,2.0,True,True
B136,63,70,N,H,6,4,True,0.07706026334242193,0.044535448934457454,0.032524814407964474,0.6050884210341823,0.9233954839111238,1.526050494129287,0.29469726200439805,0.5571428571428572,0,3097,1330,774.25,False,False,2181,937,545.25,False,False
B136,63,70,N,GROSS,6,10,False,5.358255975204453,-0.025312020041812447,5.383567995246265,0.44835052874490655,1.3420587655030958,2.993324819444282,33.56198891977916,1.0,0,1,1,0.25,True,True,1,1,0.25,True,True
B136,63,70,N,CADENCE,6,2,True,0.2583902502709498,0.34779903814217394,-0.08940878787122414,1.16761036025942,0.9924394671259501,0.8499748725297791,-0.7537463120984937,0.4142857142857143,0,474,656,118.5,False,False,334,462,83.5,False,False
B136,63,70,H,GROSS,4,10,False,5.281195711862031,-0.0698474689762699,5.3510431808383006,0.555673035861246,1.4278876847265736,2.569654441687042,31.354034197181683,1.0,0,1,1,0.25,True,True,1,1,0.25,True,True
B136,63,70,H,CADENCE,4,2,True,0.18132998692852784,0.30326358920771646,-0.12193360227918862,1.2128760363460682,1.3187989494517012,1.087332019045193,-0.7735596920267153,0.44285714285714284,0,450,381,112.5,False,False,317,268,79.25,False,False
B136,63,70,CADENCE,GROSS,2,10,False,5.0998657249335055,-0.3731110581839864,5.472976783117492,1.1427836535839784,1.513227242206855,1.324158984477156,30.25996871365813,1.0,0,1,1,0.25,True,True,1,1,0.25,True,True
B136,126,35,N,H,6,4,True,-0.0032043173012960223,0.044535448934457454,-0.047739766235753475,0.6050884210341823,0.761439085163167,1.2583930855291516,-0.37091905495857364,0.42857142857142855,0,978,618,489.0,False,False,689,435,344.5,False,False
B136,126,35,N,GROSS,6,10,False,5.101603001836182,-0.025312020041812447,5.126915021877994,0.44835052874490655,1.2872839505231986,2.87115519664216,23.56219721241333,1.0,0,1,1,0.5,True,True,1,1,0.5,True,True
B136,126,35,N,CADENCE,6,2,True,0.5990034969831594,0.34779903814217394,0.2512044588409854,1.16761036025942,1.7904311386309217,1.5334149126881018,0.830049024677953,0.42857142857142855,0,196,83,98.0,False,False,138,59,69.0,False,False
B136,126,35,H,GROSS,4,10,False,5.104807319137477,-0.0698474689762699,5.174654788113747,0.555673035861246,1.270596657332026,2.2865904503764685,24.093932877772048,1.0,0,1,1,0.5,True,True,1,1,0.5,True,True
B136,126,35,H,CADENCE,4,2,True,0.6022078142844555,0.30326358920771646,0.298944225076739,1.2128760363460682,1.6715896788029794,1.3782032365309485,1.058021540021323,0.42857142857142855,0,121,64,60.5,False,False,85,45,42.5,False,False
B136,126,35,CADENCE,GROSS,2,10,False,4.502599504853022,-0.3731110581839864,4.875710563037008,1.1427836535839784,1.9983278430093552,1.7486493062289032,14.43461481615029,0.9714285714285714,0,1,1,0.5,True,True,1,1,0.5,True,True
B136,252,17,N,H,6,4,True,0.0739242916341813,0.044535448934457454,0.02938884269972384,0.6050884210341823,0.8139029669745541,1.3450975736463078,0.1488792983714633,0.6470588235294118,0,2947,1629,2947.0,False,False,2076,1147,2076.0,False,False
B136,252,17,N,GROSS,6,10,False,5.229177882338272,-0.025312020041812447,5.254489902380084,0.44835052874490655,1.1632889238939312,2.5945969711475367,18.623762705257146,1.0,0,1,1,1.0,True,True,1,1,1.0,True,True
B136,252,17,N,CADENCE,6,2,True,0.36078909109775387,0.34779903814217394,0.012990052955579923,1.16761036025942,0.8404087707592535,0.719768168700157,0.06373013024344758,0.5294117647058824,0,16079,31037,16079.0,False,False,11325,21859,11325.0,False,False
B136,252,17,H,GROSS,4,10,False,5.15525359070409,-0.0698474689762699,5.22510105968036,0.555673035861246,1.2910654968035171,2.323426571891284,16.686716225418227,1.0,0,1,1,1.0,True,True,1,1,1.0,True,True
B136,252,17,H,CADENCE,4,2,True,0.28686479946357246,0.30326358920771646,-0.016398789744143993,1.2128760363460682,0.7141501457224136,0.5888072023204243,-0.09467748855390204,0.5294117647058824,0,7286,21014,7286.0,False,False,5132,14801,5132.0,False,False
B136,252,17,CADENCE,GROSS,2,10,False,4.868388791240517,-0.3731110581839864,5.241499849424503,1.1427836535839784,1.30296460526015,1.1401673459134762,16.586219939198873,1.0,0,1,1,1.0,True,True,1,1,1.0,True,True
B136,504,8,N,H,6,4,True,-0.09596011896855638,0.044535448934457454,-0.14049556790301385,0.6050884210341823,0.8696468152010013,1.4372227016254104,-0.4569458177934659,0.5,0,148,72,296.0,False,False,104,51,208.0,False,False
B136,504,8,N,GROSS,6,10,False,4.5960501485424,-0.025312020041812447,4.621362168584212,0.44835052874490655,0.6777423150569407,1.5116349186744216,19.286365659197894,1.0,0,1,1,2.0,True,True,1,1,2.0,True,True
B136,504,8,N,CADENCE,6,2,True,1.4461573127165055,0.34779903814217394,1.0983582745743314,1.16761036025942,1.6664330055507341,1.4272167002530582,1.8642371617386226,0.75,0,9,5,18.0,False,False,7,4,14.0,True,True
B136,504,8,H,GROSS,4,10,False,4.692010267510955,-0.0698474689762699,4.761857736487225,0.555673035861246,0.9127770796030142,1.6426513807499898,14.755593547463663,1.0,0,1,1,2.0,True,True,1,1,2.0,True,True
B136,504,8,H,CADENCE,4,2,True,1.5421174316850617,0.30326358920771646,1.2388538424773452,1.2128760363460682,1.2091882427806482,0.9969594637416286,2.89781829469426,0.75,0,4,4,8.0,True,True,3,3,6.0,True,True
B136,504,8,CADENCE,GROSS,2,10,False,3.149892835825894,-0.3731110581839864,3.5230038940098805,1.1427836535839784,1.6305826464990014,1.426851566685607,6.111042452094502,1.0,0,1,1,2.0,True,True,1,1,2.0,True,True
SMALL,63,62,H,N,4,6,True,0.1466425435602929,-0.044535448934457454,0.19117799249475037,0.6050884210341823,0.7067177602907397,1.1679578318204444,2.1300398869587602,0.5806451612903226,0,53,39,13.25,True,True,37,28,9.25,True,True
SMALL,63,62,N,GROSS,6,10,False,5.351106233667934,-0.025312020041812447,5.376418253709746,0.44835052874490655,1.3077823859498328,2.916874860415094,32.3707981683394,1.0,0,1,1,0.25,True,True,1,1,0.25,True,True
SMALL,63,62,CADENCE,N,2,6,True,0.04612693747476042,-0.34779903814217394,0.3939259756169344,1.16761036025942,1.0124961080148727,0.8671523844563317,3.0634944759115696,0.6774193548387096,0,26,34,6.5,True,True,18,24,4.5,True,True
SMALL,63,62,H,GROSS,4,10,False,5.497748777228227,-0.0698474689762699,5.567596246204497,0.555673035861246,1.1955250685310606,2.151490159456988,36.6694917872346,1.0,0,1,1,0.25,True,True,1,1,0.25,True,True
SMALL,63,62,H,CADENCE,4,2,True,0.10051560608553244,0.30326358920771646,-0.202747983122184,1.2128760363460682,1.0819743418366468,0.89207331121507,-1.4754871292364864,0.3225806451612903,0,110,138,27.5,False,False,78,97,19.5,False,False
SMALL,63,62,CADENCE,GROSS,2,10,False,5.397233171142694,-0.3731110581839864,5.77034422932668,1.1427836535839784,1.503553787635495,1.3156941674131193,30.21889623844427,1.0,0,1,1,0.25,True,True,1,1,0.25,True,True
SMALL,126,31,H,N,4,6,True,0.27353477073495897,-0.044535448934457454,0.3180702196694164,0.6050884210341823,0.8926859547454338,1.4752983592376572,1.9838331997257759,0.6451612903225806,0,31,14,15.5,True,True,22,10,11.0,True,True
SMALL,126,31,N,GROSS,6,10,False,4.864487312694822,-0.025312020041812447,4.889799332736634,0.44835052874490655,1.0484422127226865,2.338443127652043,25.967335286415203,1.0,0,1,1,0.5,True,True,1,1,0.5,True,True
SMALL,126,31,CADENCE,N,2,6,True,0.1641119554465249,-0.34779903814217394,0.5119109935886988,1.16761036025942,1.2407982509893027,1.0626817757197886,2.297069475050894,0.6774193548387096,0,23,20,11.5,True,True,16,15,8.0,True,True
SMALL,126,31,H,GROSS,4,10,False,5.138022083429781,-0.0698474689762699,5.20786955240605,0.555673035861246,0.8302463563345104,1.4941274864052008,34.924803076728274,1.0,0,1,1,0.5,True,True,1,1,0.5,True,True
SMALL,126,31,H,CADENCE,4,2,True,0.10942281528843406,0.30326358920771646,-0.1938407739192824,1.2128760363460682,1.0644270120810264,0.8776057735362124,-1.013934953587044,0.3548387096774194,0,116,151,58.0,False,False,82,106,41.0,False,False
SMALL,126,31,CADENCE,GROSS,2,10,False,5.028599268141345,-0.3731110581839864,5.401710326325332,1.1427836535839784,1.3219090928335118,1.1567448385245653,22.75152687601111,1.0,0,1,1,0.5,True,True,1,1,0.5,True,True
SMALL,252,15,H,N,4,6,True,0.15911018151843337,-0.044535448934457454,0.20364563045289083,0.6050884210341823,0.8164213137240777,1.3492595219863857,0.9660650965544428,0.6666666666666666,0,62,34,62.0,False,False,44,24,44.0,False,False
SMALL,252,15,N,GROSS,6,10,False,4.945036089979644,-0.025312020041812447,4.970348110021456,0.44835052874490655,1.4294685362683408,3.1882833734353664,13.466596127550565,1.0,0,1,1,1.0,True,True,1,1,1.0,True,True
SMALL,252,15,CADENCE,N,2,6,True,0.1025903197249827,-0.34779903814217394,0.4503893578671566,1.16761036025942,1.0041349077814596,0.8599914337505198,1.7371674551007557,0.8,0,20,26,20.0,False,False,14,19,14.0,True,True
SMALL,252,15,H,GROSS,4,10,False,5.104146271498077,-0.0698474689762699,5.173993740474347,0.555673035861246,1.497828188279173,2.6955207318232866,13.378564876162974,1.0,0,1,1,1.0,True,True,1,1,1.0,True,True
SMALL,252,15,H,CADENCE,4,2,True,0.05651986179345068,0.30326358920771646,-0.24674372741426578,1.2128760363460682,1.0623141616396767,0.8758637567282005,-0.8995779041310876,0.4666666666666667,0,72,93,72.0,False,False,51,66,51.0,False,False
SMALL,252,15,CADENCE,GROSS,2,10,False,5.047626409704629,-0.3731110581839864,5.420737467888615,1.1427836535839784,1.5971096336298927,1.39756079693743,13.145262851855245,1.0,0,1,1,1.0,True,True,1,1,1.0,True,True
SMALL,504,7,H,N,4,6,True,0.25941637704364057,-0.044535448934457454,0.303951825978098,0.6050884210341823,0.6477650923718221,1.0705296446834982,1.2414700198454398,0.7142857142857143,0,18,16,36.0,False,False,13,11,26.0,False,False
SMALL,504,7,N,GROSS,6,10,False,5.104252888270625,-0.025312020041812447,5.129564908312437,0.44835052874490655,1.5431227177780042,3.4417774014848526,8.79486312073786,1.0,0,1,1,2.0,True,True,1,1,2.0,True,True
SMALL,504,7,CADENCE,N,2,6,True,0.23466636877366837,-0.34779903814217394,0.5824654069158424,1.16761036025942,0.6328232766641797,0.5419815532671179,2.4352116472718714,0.8571428571428571,0,5,16,10.0,True,True,4,11,8.0,True,True
SMALL,504,7,H,GROSS,4,10,False,5.3636692653142655,-0.0698474689762699,5.433516734290535,0.555673035861246,1.4346490247495236,2.581822280661756,10.02038392348292,1.0,0,1,1,2.0,True,True,1,1,2.0,True,True
SMALL,504,7,H,CADENCE,4,2,True,0.02475000826997222,0.30326358920771646,-0.27851358093774425,1.2128760363460682,0.580264007100695,0.4784198794534754,-1.2699007053654083,0.42857142857142855,0,17,73,34.0,False,False,12,52,24.0,False,False
SMALL,504,7,CADENCE,GROSS,2,10,False,5.338919257044294,-0.3731110581839864,5.71203031522828,1.1427836535839784,1.8053767123226325,1.5798062097411363,8.370891012498664,1.0,0,1,1,2.0,True,True,1,1,2.0,True,True
