panel,book,gross,cost_bps,d,dCAGR,dSharpe,dMaxDD,dOOS_Sharpe,dOOS_CAGR,dTurn,dm_DD,dm_CAGR,one4b,d4b
B136,CAP2,0.75,10.0,3,0.001562420607706727,-0.007283277645841801,-0.025508522234063302,-0.02402840009612528,0.001013226172244197,0.004593813921146772,-0.025508522234063302,0.001562420607706727,True,True
B136,CAP2,0.75,10.0,5,-0.0006141843473159714,-0.03681870069018767,-0.03388734053981168,-0.04572302939481321,0.00025081194932452533,0.011540345172728061,-0.03388734053981168,-0.0006141843473159714,True,False
B136,CAP2,0.75,25.0,2,-0.0019339214061058208,-0.030067826928240615,-0.02000004012869483,-0.06037294894354206,-0.004452002643534625,0.005550620875258039,-0.02000004012869483,-0.0019339214061058208,True,True
B136,CAP2,0.75,25.0,3,0.0015240351425440668,-0.0055434071637288085,-0.01801776074694017,-0.021319709554436184,0.0009732984633710196,0.004593813921146772,-0.01801776074694017,0.0015240351425440668,True,True
B136,CAP2,0.75,25.0,5,-0.0006935669865457683,-0.03495851496440694,-0.02770776504180683,-0.042738800284827905,0.00013930560892716493,0.011540345172728061,-0.02770776504180683,-0.0006935669865457683,True,False
B136,CAP2,0.75,50.0,2,-0.001964662258808092,-0.027705732032220376,-0.009631988434141703,-0.05661015524624535,-0.004451844396148763,0.005550620875258039,-0.009631988434141703,-0.001964662258808092,False,False
B136,CAP2,0.75,50.0,3,0.0014610801345866786,-0.0028291126930120036,-0.005713707574098614,-0.01702572194419194,0.0009079151990238898,0.004593813921146772,-0.005713707574098614,0.0014610801345866786,False,False
B136,CAP2,0.75,50.0,5,-0.0008233986217436318,-0.031975333676704576,-0.017582017187518728,-0.03791686701498331,-4.310418904918123e-05,0.011540345172728061,-0.017582017187518728,-0.0008233986217436318,False,False
B136,CAP2,1.0,0.0,2,-0.0047757975761268945,-0.047904525234845785,-0.036256535205508755,-0.08228987255918185,-0.008732383757220408,0.0076436239421679986,-0.036256535205508755,-0.0047757975761268945,False,False
B136,CAP2,1.0,0.0,3,0.0014145307284294528,-0.017192963382837823,-0.03748496830221215,-0.030388830329244332,0.001352390765839262,0.009977136289609945,-0.03748496830221215,0.0014145307284294528,False,False
B136,CAP2,1.0,0.0,5,-0.0017517368121680033,-0.04700135396161609,-0.044718994048642546,-0.06705490831873973,-0.0025401001992273464,0.01941263214297484,-0.044718994048642546,-0.0017517368121680033,False,False
B136,CAP2,1.0,10.0,2,-0.00478896877137025,-0.04695250291288855,-0.03725497532076494,-0.08082176939233321,-0.008722010965190208,0.0076436239421679986,-0.03725497532076494,-0.00478896877137025,False,False
B136,CAP2,1.0,10.0,3,0.0013487659691027165,-0.016043896433758587,-0.037487804631827215,-0.02857723477557106,0.001278054838253384,0.009977136289609945,-0.037487804631827215,0.0013487659691027165,False,False
B136,CAP2,1.0,10.0,5,-0.0018650801085127178,-0.04593681691682172,-0.0457622564205965,-0.06524137696184562,-0.0026634850080131667,0.01941263214297484,-0.0457622564205965,-0.0018650801085127178,False,False
B136,CAP2,1.0,25.0,2,-0.004808106076061858,-0.045586185799894374,-0.038749102870665575,-0.07867681044423158,-0.00870605063962615,0.0076436239421679986,-0.038749102870665575,-0.004808106076061858,False,False
B136,CAP2,1.0,25.0,3,0.0012514496946494091,-0.01437927557698826,-0.03749195162541952,-0.025932237649198386,0.001168114348907734,0.009977136289609945,-0.03749195162541952,0.0012514496946494091,False,False
B136,CAP2,1.0,25.0,5,-0.0020325564979244426,-0.0443721456274786,-0.0473232631792494,-0.06255666597728116,-0.002845679075129892,0.01941263214297484,-0.0473232631792494,-0.0020325564979244426,False,False
B136,CAP2,1.0,50.0,2,-0.004838376422791946,-0.04347849128557657,-0.0412299026335331,-0.07526211185301557,-0.008678403364141607,0.0076436239421679986,-0.0412299026335331,-0.004838376422791946,False,False
