chooser,panel,cadence,N,H,mechanism_survives_here,retention_O_SHARPE_realrand,IS_Sharpe,ann_turnover,cstar,FULL_CAGR,FULL_Sharpe,FULL_MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,SPY_Sharpe,SPY_H1,SPY_H2,SPY_CAGR,SPY_MaxDD,SPY_OOS_Sharpe,SPY_OOS_CAGR,SPY_OOS_MaxDD,LIVE_Sharpe,LIVE_OOS_Sharpe,pass_4b,pass_4b_oos,pass_4a,leg_L_H1,leg_L_H2,leg_L_OOS,leg_L_DD,leg_L_CAGR,legO_O_S,legO_O_DD,legO_O_CAGR
CH_NMECH,B136,W,5,63,False,0.35219780219780217,1.4240583789769876,5.287853222636589,0.0,0.2365986271857763,1.107985062534156,-0.28623535174686976,1.4481458124281585,0.866394398415701,0.20461088515896764,0.9156496419388593,-0.28623535174686987,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.0992531359665725,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
CH_NBIG,B136,W,12,63,False,0.35219780219780217,1.2835692117495199,4.697914672497221,0.0,0.19064404044219407,1.097279057261327,-0.29728824400723597,1.396598834152776,0.8838321289023751,0.18346798359993954,0.9861514599107609,-0.2972882440072363,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.0992531359665725,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
CH_ISSHARPE,B136,M,5,21,False,0.35219780219780217,1.3726649714731807,7.271259161312794,0.0,0.25860162718400703,1.2048415354255426,-0.2871971488775604,1.4281270948479403,1.0456223941439255,0.25404590191981,1.1056811171063636,-0.28719714887756065,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.0992531359665725,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
CH_NSMALL,B136,M,5,21,False,0.35219780219780217,1.3726649714731807,7.271259161312794,0.0,0.25860162718400703,1.2048415354255426,-0.2871971488775604,1.4281270948479403,1.0456223941439255,0.25404590191981,1.1056811171063636,-0.28719714887756065,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.0992531359665725,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
CH_NMECH,B136,M,5,21,False,0.35219780219780217,1.3726649714731807,7.271259161312794,0.0,0.25860162718400703,1.2048415354255426,-0.2871971488775604,1.4281270948479403,1.0456223941439255,0.25404590191981,1.1056811171063636,-0.28719714887756065,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.0992531359665725,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
CH_NBIG,B136,M,20,21,False,0.35219780219780217,1.254276202891667,5.368800212242932,0.0,0.16777158294449745,1.1026039830139422,-0.2714053846993383,1.3661920860301493,0.8941100108606085,0.15917518897653626,0.9998233237122837,-0.27140538469933817,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.0992531359665725,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
CH_ISSHARPE,SMALL,W,12,252,False,0.19213973799126638,1.0515109187421996,2.808139111284369,0.0,0.17493511033609122,0.9171739278363802,-0.4134964045914402,1.0694231540517838,0.7990704183402706,0.1628311305604242,0.8429043174150774,-0.4134964045914401,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.6636622730589082,0.5600309396391431,False,False,False,True,False,False,False,True,False,False,True
CH_NSMALL,SMALL,W,5,252,False,0.19213973799126638,0.9534713564080182,2.869500468629453,0.0,0.2471637896838561,1.0142119962584302,-0.4591013535833133,0.8675138690006238,1.1472191586941534,0.26436144769459946,1.0499114428104255,-0.4591013535833136,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.6636622730589082,0.5600309396391431,False,False,False,False,True,True,False,True,True,False,True
CH_NMECH,SMALL,W,12,252,False,0.19213973799126638,1.0515109187421996,2.808139111284369,0.0,0.17493511033609122,0.9171739278363802,-0.4134964045914402,1.0694231540517838,0.7990704183402706,0.1628311305604242,0.8429043174150774,-0.4134964045914401,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.6636622730589082,0.5600309396391431,False,False,False,True,False,False,False,True,False,False,True
CH_NBIG,SMALL,W,20,252,False,0.19213973799126638,0.9832856884938772,2.7293091328811867,0.0,0.13356082787910206,0.7843890486901455,-0.37411836270629684,0.9552303423552178,0.641731606248526,0.11159184725299265,0.6676058493481922,-0.37411836270629684,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.6636622730589082,0.5600309396391431,False,False,False,True,False,False,False,True,False,False,True
CH_ISSHARPE,SMALL,M,15,21,False,0.19213973799126638,0.9679209447881986,8.400023153858386,0.0,0.10258831982628935,0.6240795077090581,-0.3378236210013461,0.862660862295495,0.4428474137865107,0.07182303828175285,0.4525571160456641,-0.337823621001346,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.6636622730589082,0.5600309396391431,False,False,False,False,False,False,False,True,False,False,False
CH_NSMALL,SMALL,M,10,21,False,0.19213973799126638,0.8728568969110593,8.917854324790992,0.0,0.11598143996966015,0.6359343876505736,-0.3717463284009238,0.8339695945460132,0.4840803611393302,0.09372178783448892,0.5182880266223225,-0.37174632840092414,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.6636622730589082,0.5600309396391431,False,False,False,False,False,False,False,True,False,False,False
CH_NMECH,SMALL,M,15,21,False,0.19213973799126638,0.9679209447881986,8.400023153858386,0.0,0.10258831982628935,0.6240795077090581,-0.3378236210013461,0.862660862295495,0.4428474137865107,0.07182303828175285,0.4525571160456641,-0.337823621001346,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.6636622730589082,0.5600309396391431,False,False,False,False,False,False,False,True,False,False,False
CH_NBIG,SMALL,M,15,21,False,0.19213973799126638,0.9679209447881986,8.400023153858386,0.0,0.10258831982628935,0.6240795077090581,-0.3378236210013461,0.862660862295495,0.4428474137865107,0.07182303828175285,0.4525571160456641,-0.337823621001346,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.6636622730589082,0.5600309396391431,False,False,False,False,False,False,False,True,False,False,False
