panel,mode,bps,arm,pick,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,dOOS,spy_OOS_Sharpe
SMALL439,skip,10,S2 RS8,ABSTAIN,0.07462803543701835,0.4997458748747829,-0.26835374821130753,0.0,0.8820109845896832
SMALL439,skip,10,S2 RS16,tau=0.5,0.06835428556752143,0.4550597164107819,-0.3298370458607982,-0.04468615846400098,0.8820109845896832
SMALL439,skip,10,ORACLE-OOS,tau=0.5,0.06835428556752143,0.4550597164107819,-0.3298370458607982,-0.04468615846400098,0.8820109845896832
SMALL439,skip,25,S0 do-nothing,-,0.04032385970352159,0.31384361495353913,-0.34555014716230303,0.0,0.8820109845896832
SMALL439,skip,25,S1 IS-argmax,tau=0.3 os=53%,0.008434830849155084,0.13906390726522505,-0.4488587613296078,-0.17477970768831408,0.8820109845896832
SMALL439,skip,25,S2 ROT,ABSTAIN,0.04032385970352159,0.31384361495353913,-0.34555014716230303,0.0,0.8820109845896832
SMALL439,skip,25,S2 RS1,ABSTAIN,0.04032385970352159,0.31384361495353913,-0.34555014716230303,0.0,0.8820109845896832
SMALL439,skip,25,S2 RS2,ABSTAIN,0.04032385970352159,0.31384361495353913,-0.34555014716230303,0.0,0.8820109845896832
SMALL439,skip,25,S2 RS4,ABSTAIN,0.04032385970352159,0.31384361495353913,-0.34555014716230303,0.0,0.8820109845896832
SMALL439,skip,25,S2 RS8,ABSTAIN,0.04032385970352159,0.31384361495353913,-0.34555014716230303,0.0,0.8820109845896832
SMALL439,skip,25,S2 RS16,tau=0.5,0.04210591838975697,0.3181214196930697,-0.3559648586817704,0.004277804739530544,0.8820109845896832
SMALL439,skip,25,ORACLE-OOS,tau=0.1,0.058667502254870385,0.43241014275064177,-0.31049693050514304,0.11856652779710264,0.8820109845896832
SMALL439,half,10,S0 do-nothing,-,0.07462803543701835,0.4997458748747829,-0.26835374821130753,0.0,0.8820109845896832
SMALL439,half,10,S1 IS-argmax,tau=0.05 os=94%,0.07159423136492604,0.4866369930524941,-0.30769640667516984,-0.01310888182228881,0.8820109845896832
SMALL439,half,10,S2 ROT,ABSTAIN,0.07462803543701835,0.4997458748747829,-0.26835374821130753,0.0,0.8820109845896832
SMALL439,half,10,S2 RS1,ABSTAIN,0.07462803543701835,0.4997458748747829,-0.26835374821130753,0.0,0.8820109845896832
SMALL439,half,10,S2 RS2,ABSTAIN,0.07462803543701835,0.4997458748747829,-0.26835374821130753,0.0,0.8820109845896832
SMALL439,half,10,S2 RS4,ABSTAIN,0.07462803543701835,0.4997458748747829,-0.26835374821130753,0.0,0.8820109845896832
SMALL439,half,10,S2 RS8,ABSTAIN,0.07462803543701835,0.4997458748747829,-0.26835374821130753,0.0,0.8820109845896832
SMALL439,half,10,S2 RS16,tau=0.5,0.07526637958957139,0.5004777530066797,-0.30673980877448015,0.0007318781318968459,0.8820109845896832
SMALL439,half,10,ORACLE-OOS,tau=0.5,0.07526637958957139,0.5004777530066797,-0.30673980877448015,0.0007318781318968459,0.8820109845896832
SMALL439,half,25,S0 do-nothing,-,0.04032385970352159,0.31384361495353913,-0.34555014716230303,0.0,0.8820109845896832
SMALL439,half,25,S1 IS-argmax,tau=0.05 os=94%,0.04919917005040797,0.3644492465813304,-0.32808847579948663,0.05060563162779125,0.8820109845896832
SMALL439,half,25,S2 ROT,ABSTAIN,0.04032385970352159,0.31384361495353913,-0.34555014716230303,0.0,0.8820109845896832
SMALL439,half,25,S2 RS1,tau=0.2,0.04837836166153675,0.3597777192259048,-0.32852074696296296,0.04593410427236566,0.8820109845896832
