family,n_books,point,is_new,IS_Sharpe,OOS_Sharpe,OOS_margin,OOS_CAGR,OOS_MaxDD,turnover
SMALL,49,8W,True,0.5891945765513841,0.30521318683623966,-0.9601656338372925,0.027285874740894563,-0.27594158401649543,2.420079213970596
SMALL,49,2M,True,0.5667716493723465,0.44141513656946507,-0.8176512435253463,0.04238018002602235,-0.23574648385114694,2.3260687356567393
SMALL,49,10W,True,0.45990111895132824,0.3643350754511967,-0.92932394407718,0.035355063264851216,-0.2325962068268983,2.068030349374449
SMALL,49,Q,False,0.3935947782956266,0.23647449584176294,-1.0258147326479248,0.020821428775795153,-0.3110837783067433,1.7380490064536616
SMALL,49,16W,True,0.5016749690816674,0.3776943459622233,-0.9451574834527791,0.03886056985080723,-0.2601514072114004,1.518270952626014
SMALL,49,2Q,True,0.5985546727396508,0.32742577133428674,-0.9484920870897766,0.034375553956755726,-0.3158107211339396,1.0682945171887812
U56,33,D,False,0.8445464556732292,1.1802439692281972,-0.034280194153441496,0.10461906957730745,-0.1219147957134392,12.706013860993727
U56,33,2D,False,0.9260019301191489,1.2090623715933764,-0.008168440703080489,0.10876130652905569,-0.12699151855187815,8.741198388205115
U56,33,W,False,0.9147897214806732,1.2230250732965675,-0.024902838806283065,0.1118579068751881,-0.14053339817181365,5.528858736465492
U56,33,2W,False,0.8659222232437843,1.2373355217778284,-0.07857893252079938,0.11811634519401543,-0.161325471399421,3.8172052597225012
U56,33,M,False,1.0609444502382612,1.2699198629948023,0.018752461828073268,0.12100574476705339,-0.14126451808810853,2.5760807238284915
U56,33,6W,False,0.9251768945806511,1.3870239644392197,-0.0018126421095938506,0.13991261109568304,-0.16156253661256864,2.136444460739963
U56,33,7W,True,1.0676281813547506,1.0762384131263854,-0.09442644200922468,0.10788797765686954,-0.17435391394339086,2.1094779868313047
U56,33,8W,True,1.0603575262567908,1.0888807395661992,-0.13569086053161697,0.11958860063157294,-0.19932219044816893,1.8511314230522609
U56,33,2M,True,1.0013360737418935,1.3027843999784068,0.017897876579623814,0.12907643596248236,-0.14866776702666373,1.7995286515531737
U56,33,10W,True,0.9818031566932948,1.1244743460214546,-0.18196607732757028,0.12227207422746149,-0.21300316534109562,1.6459355225053838
U56,33,Q,False,0.9933548830030998,0.9758412591106568,-0.2852060498032312,0.10799102149842145,-0.23513695842050042,1.4381421967035453
U56,33,16W,True,1.057580721342993,0.9679573175456487,-0.3046982670331823,0.10907976746364753,-0.23586177709568623,1.2197255899405264
U56,33,2Q,True,0.9804364464925702,1.05963990215589,-0.23081067615324702,0.12846101767574242,-0.23551886884484718,0.9080127208748872
ETF,33,D,False,0.5405330546694231,0.7913130126415692,-0.6155740250032637,0.04157760049873429,-0.08633688167482337,6.806316908491491
ETF,33,2D,False,0.590990863621751,0.816449742677102,-0.5979158729498233,0.0434874183554233,-0.09048038096882695,4.745370871555022
ETF,33,W,False,0.6033279342316071,0.8412506946203576,-0.5786856211849023,0.045567266693920076,-0.09652951100750473,2.9643475311988348
ETF,33,2W,False,0.6382043808003214,0.8438652752414249,-0.5654683686504234,0.04699677895716949,-0.1109232901951357,2.0718002675894542
ETF,33,M,False,0.7600843776001818,0.9142862185627897,-0.5319909667667585,0.05061752815671672,-0.09592068785212281,1.387903167333993
ETF,33,6W,False,0.6290563691941427,1.001250513809311,-0.46521295517645456,0.057839905593686416,-0.10840155646071263,1.1536674093492192
ETF,33,7W,True,0.7039073401789917,0.7153035758436983,-0.6109589292073797,0.04253235818296655,-0.13059540162269898,1.1603391196764432
ETF,33,8W,True,0.76957714685158,0.724911368557791,-0.5681241324774443,0.04670954475708766,-0.16602663975324705,1.0120209662785964
