arm,band,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,kind,panel,series,CAGR,Sharpe,MaxDD,H1,H2
"ARGMAX read, hmult 5 smult 2",0.19,0.08883708414621654,0.9457609266010126,-0.19045507699302833,0.9550159161322646,arm,,,,,,,
"ARGMAX read, hmult 0.5 smult 4",0.09,0.08715324778772561,0.9510371210306681,-0.19410204216713745,0.981502019641407,arm,,,,,,,
"ARGMAX read, hmult 1 smult 4",0.13,0.08799195098721042,0.9704640878679126,-0.17996383944064145,0.9699628880787453,arm,,,,,,,
"ARGMAX read, hmult 2 smult 4",0.17,0.08781747533053051,0.9630689515560388,-0.18114508472610005,0.9727272957808525,arm,,,,,,,
"ARGMAX read, hmult 3 smult 4",0.17,0.08781747533053051,0.9630689515560388,-0.18114508472610005,0.9727272957808525,arm,,,,,,,
"ARGMAX read, hmult 4 smult 4",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"ARGMAX read, hmult 5 smult 4",0.17,0.08781747533053051,0.9630689515560388,-0.18114508472610005,0.9727272957808525,arm,,,,,,,
bare 200d (band 0),0.00,0.08519171857894177,1.019489442583124,-0.14781763619651786,0.9175239557213136,arm,,,,,,,
live RULES v2 band,0.03,0.08739783568297427,1.0135717918151983,-0.15865471386723204,0.9389488009187477,arm,,,,,,,
ORACLE (best OOS band per cell),orcl,0.0897410640120575,1.0495819195138363,-0.1599516224830798,0.9666595518806377,arm,,,,,,,
,,0.15450717694493354,0.8821923750254496,-0.33717289200673795,,benchmark,U56,SPY buy-and-hold,0.1522804498656667,0.8891298629344232,-0.33717289200673795,0.956835532356551,0.8342040795161164
,,0.09534815248934558,1.2853489467147505,-0.12054946768671182,,benchmark,U56,RULES v2 (live) @10bps,0.08660060029784411,1.2057639631781307,-0.1205494676867116,1.2262055541154628,1.1911198177449172
,,0.077302799496622,0.7472157626076877,-0.13827814258121418,,benchmark,U56,RULES v1 @10bps,0.06458507306778283,0.6647821450461113,-0.13827814258121418,0.6422081978469302,0.6879449136197412
,,0.1545044425578177,0.8822053166939766,-0.3371595330739301,,benchmark,B136,SPY buy-and-hold,0.15228333786002324,0.8891500684050615,-0.3371595330739301,0.9568540270149234,0.8342206005217467
,,0.07983337481604336,1.1187383069809544,-0.12240793860208021,,benchmark,B136,RULES v2 (live) @10bps,0.0803031894255104,1.105914756823072,-0.12240793860208032,1.2293447612905366,0.9846068463857991
,,0.05941502665859644,0.5763690469131079,-0.2119126361153264,,benchmark,B136,RULES v1 @10bps,0.06385177680442844,0.6350626444033665,-0.21191263611532518,0.7563854020143184,0.5321506173131293
,,0.15450717694493354,0.8821923750254496,-0.33717289200673795,,benchmark,SMALL439,SPY buy-and-hold,0.14129862948357252,0.8616451554495406,-0.33717289200673817,0.8908874746723193,0.8579247523814549
,,0.04548190064363755,0.6630483911212459,-0.12087781649545659,,benchmark,SMALL439,RULES v2 (live) @10bps,0.04069577813760494,0.6147280980418327,-0.12087781649545659,0.5417200039867754,0.6803816553277646
,,0.171529292869383,0.5541568132498974,-0.4482943452871372,,benchmark,SMALL439,RULES v1 @10bps,0.1355113138541919,0.523085089588188,-0.44829434528713763,0.5387184744153345,0.5916372258997981
