panel,cell,bar,pad,n_ep,base,after,flip,share_S,share_C,share_D,after_full
U56,C_KEEP,0.15,10,4,True,False,True,0.3986072998595832,0.22322498131178345,4.2269590378214446,True
U56,C_KEEP,0.15,20,4,True,False,True,0.39685652242365793,0.07899205412817772,4.2269590378214446,True
U56,C_KEEP,0.2,0,2,True,False,True,0.2941954821696866,0.5501279378108398,2.2042951434035243,True
U56,C_KEEP,0.2,5,2,True,False,True,0.2251557326873449,0.23957589410717856,2.2042951434035243,True
U56,C_KEEP,0.2,10,2,True,False,True,0.24306971857622844,0.1433396229924212,2.2042951434035243,True
U56,C_KEEP,0.2,20,2,True,False,True,0.24815960730054712,0.08972018336949325,2.2042951434035243,True
U56,C_MEMO,0.05,0,13,True,False,True,-0.1940777239097169,-0.20972274213614836,6.983415742947253,False
U56,C_MEMO,0.05,5,13,True,False,True,-0.021140747773896903,-0.4417607572900449,6.983415742947349,False
U56,C_MEMO,0.05,10,13,True,False,True,0.21106021680737952,-0.4067705528627642,6.983415742947283,False
U56,C_MEMO,0.05,20,13,True,False,True,0.18273831114864422,-0.5720106353885162,6.983415742947409,False
U56,C_MEMO,0.1,0,5,True,False,True,0.15608867621163136,-0.013372542826081225,6.983415742947204,False
U56,C_MEMO,0.1,5,5,True,False,True,0.1316586626018291,-0.31621915325148114,6.983415742947337,False
U56,C_MEMO,0.1,10,5,True,False,True,0.26541261049852616,-0.3278166548865995,6.983415742947272,False
U56,C_MEMO,0.1,20,5,True,False,True,0.2253617935948655,-0.460722666315016,6.983415742947272,False
U56,C_MEMO,0.15,0,4,True,False,True,0.2194357988645153,0.033840044437963804,10.239012606144383,False
U56,C_MEMO,0.15,5,4,True,False,True,0.16975206707683477,-0.2800583072164565,10.239012606144383,False
U56,C_MEMO,0.15,10,4,True,False,True,0.2932954014024201,-0.2913182593057187,10.239012606144383,False
U56,C_MEMO,0.15,20,4,True,False,True,0.23269295083406985,-0.4405041528570336,10.239012606144383,False
U56,C_MEMO,0.2,0,2,True,False,True,0.30221830318144227,0.10219222168313181,10.743844131265702,False
U56,C_MEMO,0.2,5,2,True,False,True,0.1654252559990116,-0.12550753978950052,10.743844131265702,False
U56,C_MEMO,0.2,10,2,True,False,True,0.1989695083377062,-0.14622183417916845,10.743844131265702,False
U56,C_MEMO,0.2,20,2,True,False,True,0.17526502465148958,-0.21644850716495745,10.743844131265702,False
U56,C_ORCL,0.05,0,13,True,False,True,0.11547557670563474,0.6068467469373207,1.5274305290154093,True
U56,C_ORCL,0.05,5,13,True,False,True,0.25371513814010294,0.08094051489575262,1.527430529015407,True
U56,C_ORCL,0.05,10,13,True,False,True,0.3781768719599733,-0.05479724686588834,1.5274305290154169,True
U56,C_ORCL,0.05,20,13,True,False,True,0.42000685464262066,-0.15086788599695866,1.5274305290154147,True
U56,C_ORCL,0.1,0,5,True,False,True,0.44484310129323573,0.6129952271035622,1.5274305290154002,True
U56,C_ORCL,0.1,5,5,True,False,True,0.41658385558043676,0.1291090726666941,1.5274305290154115,True
U56,C_ORCL,0.1,10,5,True,False,True,0.49918115357303633,0.05147861457098018,1.5274305290154235,True
U56,C_ORCL,0.1,20,5,True,False,True,0.4968157052934252,-0.0700749510658376,1.527430529015416,True
U56,C_ORCL,0.15,0,4,True,False,True,0.48865836115990796,0.6285209497619302,1.754757910113093,True
U56,C_ORCL,0.15,5,4,True,False,True,0.4533958936514358,0.17483913987107516,1.754757910113093,True
U56,C_ORCL,0.15,10,4,True,False,True,0.5266913621968219,0.09929340005256766,1.754757910113093,True
U56,C_ORCL,0.15,20,4,True,False,True,0.49761390914889997,-0.045461115134915644,1.754757910113093,True
U56,C_ORCL,0.2,0,2,True,False,True,0.42429749396620475,0.46378020858403546,1.1517576058340997,True
U56,C_ORCL,0.2,5,2,True,False,True,0.320349790507874,0.1745695729351377,1.1517576058340997,True
U56,C_ORCL,0.2,10,2,True,False,True,0.3296238963802155,0.10496550609517323,1.1517576058340997,True
U56,C_ORCL,0.2,20,2,True,False,True,0.32681212322173697,0.052528018828513434,1.1517576058340997,True
