uni,book,cost,family,reentry,arming,arm,s,fires,releases,blk_mean,terminal_blocked,blocked_day_frac,zero_day_frac,stuck,gross,TO,dSharpe,dd_gain,rate_DD,rate_gross,m_H1,m_H2,m_OOS,m_DD,m_CAGR,p4b,f4b,p4a,IS4b,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
u56,CAND20,10,STOP,spy200,spy_below,s15%/spy200/spy_below,0.15,113,113,40.991150442477874,0,0.14173228346456693,0.05405405405405406,False,0.6997814191168545,9.584118691281404,0.0025938213279466105,0.03311017731127497,0.1397077246184341,0.6959159993965353,0.15512297710865097,0.24987251403267752,0.27408698457277947,0.05233010203288324,0.01537529588368336,True,-,False,False,0.12197161078964958,1.0947297267592697,-0.14997330966750633,1.1117430097123424,1.0838884516751195,1.0155792029550026,0.1350376535582778,1.1560977517550637,-0.14997330966750577
u56,CAND20,10,STOP,spy200,spy_below,s20%/spy200/spy_below,0.2,50,50,41.84,0,0.12045115982123857,0.05405405405405406,False,0.7096328445177104,9.614261743109822,-0.012869085323885532,0.013485708219028503,0.29790481369791694,0.6959159993965353,0.1411344478227029,0.23434151418097138,0.2571605105420086,0.032705632940636775,0.015983586022980334,True,-,False,False,0.12257990092894655,1.0792668201074376,-0.1695977787597528,1.0977544804263943,1.0683574518234134,1.0018161857261605,0.1363690411478522,1.1391712777242928,-0.1695977787597528
u56,CAND20,10,STOP,spy200,spy_below,s25%/spy200/spy_below,0.25,21,21,51.76190476190476,0,0.08576292828261332,0.05405405405405406,False,0.7142971592731434,9.610229227202119,-0.015959495072008334,-0.0009208240411112678,,0.6959159993965353,0.12475005857552357,0.24307389527823442,0.26398736962723757,0.018299100680497005,0.017190889607439197,True,-,False,False,0.12378720451340541,1.0761764103593148,-0.18400431101989256,1.081370091179215,1.0770898329206764,0.9852709407262155,0.13926642733986871,1.1459981368095218,-0.18400431101989279
u56,CAND20,25,STOP,-,-,control,,0,0,,0,0.0,0.0,False,0.7168121232219334,9.630697203129404,0.0,0.0,,0.6022522800716293,-0.003070030713113736,0.14956033501186428,0.16754935293037498,0.017896289693017264,0.003850042706598056,False,H1,False,False,0.11044635761256427,0.9668297371038527,-0.1844071220073723,0.9535500018905777,0.9835762726543062,0.8577174907477432,0.12730703643605445,1.0495601201126592,-0.18440712200737241
u56,CAND20,25,STOP,free,always,s10%/free/always,0.1,857,856,2.9264018691588785,1,0.18344328580549052,0.05405405405405406,True,0.7033755878650059,11.510303922020658,-0.07549908436679575,0.03074832984841347,0.46802620917017596,0.6022522800716293,-0.06694486936015531,0.0619389012731113,0.08973772533237889,0.048644619541430734,-0.01054098155066907,False,"H1,CAGR",True,False,0.09605533335529715,0.8913306527370569,-0.15365879215895883,0.8896751632435361,0.8959548389155533,0.7865382022162444,0.1099369664134715,0.9717484925146631,-0.15365879215895928
u56,CAND20,25,STOP,free,always,s15%/free/always,0.15,294,294,2.8435374149659864,0,0.07959140242604809,0.05405405405405406,False,0.7124431713552994,10.13136736264821,-0.029665948026492917,0.020180301111044296,0.31907598962769584,0.6022522800716293,-0.007942509408305876,0.09682912981194891,0.12086114395840808,0.03807659080406156,-0.002589006841393293,False,"H1,CAGR",False,False,0.10400730806457292,0.9371637890773598,-0.164226820896328,0.9486775231953856,0.9308450674543909,0.8517690932190753,0.11690809833310811,1.0028719111406923,-0.16422682089632756
u56,CAND20,25,STOP,free,always,s20%/free/always,0.2,101,101,2.792079207920792,0,0.029793573100659713,0.05405405405405406,False,0.715362648537126,9.74930073111621,-0.0064541505271344946,0.013243322176173633,0.17924512096235834,0.6022522800716293,-0.0014581708019297812,0.1354177286477266,0.15634782769705413,0.031139611869190897,0.0014762418211863304,False,H1,False,False,0.10807255672715255,0.9603755865767182,-0.17116379983119867,0.9551618618017617,0.9694336662901686,0.8581710853037384,0.12343827690969533,1.0383585948793383,-0.17116379983119856
u56,CAND20,25,STOP,free,always,s25%/free/always,0.25,35,35,2.0285714285714285,0,0.00638433709299851,0.05405405405405406,False,0.716539540985858,9.650250449946778,-0.008775387329779893,-0.0009187522418612204,,0.6022522800716293,-0.001050368852787309,0.13112768347925852,0.15117857495274623,0.016977537451156044,0.002344385368983848,False,H1,False,False,0.10894070027495006,0.9580543497740728,-0.18532587424923352,0.9555696637509041,0.9651436211217005,0.859473059950762,0.12434359973166997,1.0331893421350304,-0.1853258742492334
u56,CAND20,25,STOP,free,spy_below,s10%/free/spy_below,0.1,328,328,2.817073170731707,0,0.04256224728665674,0.05405405405405406,False,0.7119355842334397,10.219239896499298,-0.02989844021431365,0.01632964250602653,0.3937510908433194,0.6022522800716293,-0.02606727017327115,0.11246881189736813,0.13581139363222727,0.034225932199043796,-0.0025797718432313266,False,"H1,CAGR",False,False,0.10401654306273489,0.936931296889539,-0.16807747950134577,0.9305527624304203,0.9464847495398101,0.8310449381759839,0.11911971621176853,1.0178221608145115,-0.16807747950134577
u56,CAND20,25,STOP,free,spy_below,s15%/free/spy_below,0.15,140,140,2.7142857142857144,0,0.025962970844860607,0.05405405405405406,False,0.7148618746704005,9.810396498092137,-0.018602369459812973,0.015829383433003108,0.262283345174988,0.6022522800716293,-0.008333249667728415,0.11831989799744091,0.14047295868991372,0.03372567312602037,-0.00030174093226753573,False,"H1,CAGR",False,False,0.10629457397369868,0.9482273676440397,-0.1685777385743692,0.948286782935963,0.9523358356398829,0.8512236363201704,0.12078010892742652,1.022483725872198,-0.16857773857436942
u56,CAND20,25,STOP,free,spy_below,s20%/free/spy_below,0.2,57,57,2.824561403508772,0,0.014683975313896574,0.05405405405405406,False,0.7159713752745759,9.696630518478937,-0.009000424448748268,0.0132433221761733,0.17510272251444914,0.6022522800716293,-0.008782792245766946,0.13696756779561736,0.15718141156303067,0.031139611869190564,0.0015311009384141316,False,H1,False,False,0.10812741584438035,0.9578293126551044,-0.171163799831199,0.9478372403579245,0.9709835054380593,0.8510996912985375,0.12394423886571904,1.0391921787453149,-0.17116379983119867
u56,CAND20,25,STOP,free,spy_below,s25%/free/spy_below,0.25,21,21,1.9523809523809523,0,0.0029793573100659713,0.05405405405405406,False,0.7166567901666331,9.638639985109002,-0.008024367432230894,-0.0009187522418612204,,0.6022522800716293,-0.001015176249311911,0.13254146810542755,0.15211050834755013,0.016977537451156044,0.0024897166317455754,False,H1,False,False,0.10908603153771179,0.9588053696716218,-0.18532587424923352,0.9556048563543795,0.9665574057478695,0.8599557482276696,0.12456083965635933,1.0341212755298343,-0.1853258742492333
u56,CAND20,25,STOP,nhigh,always,s10%/nhigh/always,0.1,444,420,160.0047619047619,24,0.9442434560544797,0.05405405405405406,True,0.5133013662013048,7.516183780793877,-0.3179593999257274,0.06673747113172634,0.9249566142782358,0.6022522800716293,-0.25069085883688114,-0.24277582538974007,-0.17645611366721348,0.08463376082474361,-0.057879222636895045,False,"H1,H2,OOS,CAGR",True,False,0.04871709226907117,0.6488703371781253,-0.11766965087564596,0.7059291737668103,0.5912401122527019,0.5820264202260147,0.0527220483337445,0.7055546535150707,-0.10497278415149214
u56,CAND20,25,STOP,nhigh,always,s15%/nhigh/always,0.15,198,183,218.54098360655738,15,0.9387103639072143,0.05405405405405406,True,0.6082727424672543,8.158906070007225,-0.1410314972301947,0.05105151487004089,0.6731144609763177,0.6022522800716293,-0.045455160928796645,-0.08726537554207514,-0.039561805906213277,0.06894780456305816,-0.030513470207173987,False,"H1,H2,OOS,CAGR",True,False,0.07608284469879223,0.825798239873658,-0.1333556071373314,0.9111648716748948,0.7467505621003668,0.8050006329708718,0.07883974782197067,0.8424489612760709,-0.13335560713733252
u56,CAND20,25,STOP,nhigh,always,s20%/nhigh/always,0.2,77,72,263.31944444444446,5,0.9329644605235157,0.05405405405405406,True,0.6662760845900032,8.839414334535963,-0.08929664690043326,0.01755973834616098,1.1301382487643716,0.6022522800716293,-0.0343492297805692,0.008485905057284304,0.0472733269772484,0.035456028039178245,-0.0159948892366929,False,"H1,CAGR",False,False,0.09060142566927332,0.8775330902034194,-0.16684738366121132,0.9222708028231222,0.8425018426997263,0.8105239060169855,0.10077598235181284,0.9292840941595326,-0.166847383661212
u56,CAND20,25,STOP,nhigh,always,s25%/nhigh/always,0.25,33,31,352.7096774193548,2,0.9304107256863162,0.05405405405405406,True,0.6930452948658258,9.178288764859104,-0.055980836394965205,-0.0009187522418609984,,0.6022522800716293,-0.03213340051837654,0.07042020374543578,0.10637510215439938,0.016977537451156266,-0.006928122900651812,False,"H1,CAGR",False,False,0.0996681920053144,0.9108489007088875,-0.1853258742492333,0.9244866320853149,0.9044361413878778,0.8084903959954974,0.1148670989158902,0.9883858693366836,-0.1853258742492334
u56,CAND20,25,STOP,nhigh,spy_below,s10%/nhigh/spy_below,0.1,206,202,201.41584158415841,4,0.9442434560544797,0.05405405405405406,True,0.6127747969833894,8.366007399621635,-0.157015433953262,0.04836485588355277,0.6617093188936058,0.6022522800716293,-0.12626929605349135,-0.04067563907918337,-0.0001543620465939144,0.06626114557657004,-0.028153433138495054,False,"H1,H2,OOS,CAGR",True,False,0.07844288176747116,0.8098143031505907,-0.13604226612381953,0.8303507365502001,0.7933402985632586,0.7166523696445735,0.08910398661980823,0.8818564051356903,-0.1274086243389393
