universe,sleeve,cost_bps,f,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,4b
u56,S4,10,0.25,0.10201840939016282,1.1435586596473484,-0.14199032076975282,1.1143108533662212,1.1751595047000891,1.2305556184893933,False
u56,S4,10,0.5,0.07706715365031025,1.1923482704636108,-0.09969876944163636,1.104427255269712,1.274067469491424,1.308068871247853,False
u56,S4,15,0.0,0.12118839450014418,1.0504053546526724,-0.18352483897250882,1.0434143729678866,1.0622556357917008,1.1285509365590851,True
u56,S4,15,0.25,0.0974126313755379,1.0961959215499366,-0.14239140997337918,1.062764998235731,1.131074948187602,1.186106791833912,False
u56,S4,15,0.5,0.07321852441926091,1.1364238570286245,-0.10005752575914473,1.0432611171648947,1.2223862084032697,1.2556466928670436,False
u56,S4,20,0.0,0.11580476617401714,1.008635134542075,-0.1839660506422257,0.9985027659527218,1.022931432575491,1.0890726484428221,True
u56,S4,20,0.25,0.0928256497314286,1.0487832240335004,-0.142792383263058,1.0111582109785753,1.086948042902739,1.1416114289811545,False
u56,S4,20,0.5,0.06938332295920646,1.080429855827329,-0.10041619182867123,0.9820099515860153,1.170646683891253,1.203160599525135,False
u56,S4,25,0.0,0.11044635761256427,0.9668297371038527,-0.1844071220073723,0.9535500018905777,0.9835762726543062,1.0495601201126592,False
u56,S4,25,0.25,0.08825738958151641,1.0013268521401668,-0.14319324065370187,0.9594987072284843,1.0427837890075344,1.097074666886151,False
u56,S4,25,0.5,0.0655615035425059,1.024376637682381,-0.10077476766058358,0.920687550531854,1.118856940335099,1.150619016596384,False
broad,S9,5,0.0,0.13867340408211537,1.006604631890961,-0.20017606041496727,1.175240810970218,0.8602666571738,0.9413662050802422,True
broad,S9,5,0.25,0.11748252814925064,1.0220610156586503,-0.17289276488495464,1.15719567312769,0.9028845693711272,0.9894692870221066,True
broad,S9,5,0.5,0.09608090528444291,1.032292945678291,-0.1451285643211756,1.1155912712663474,0.9569361296696435,1.0507148367259465,False
broad,S9,10,0.0,0.13086243556020016,0.9569274633118441,-0.20052048331108274,1.124588659762104,0.8113021031479172,0.8919165372280256,False
broad,S9,10,0.25,0.11108102362229788,0.9721849859897319,-0.17322257642737482,1.106354410019069,0.8537671750238209,0.9399024173586361,True
broad,S9,10,0.5,0.09104819588185875,0.9828532670324361,-0.14544184134302374,1.0652423520027103,0.9082772567754028,1.0016669024016691,False
broad,S9,15,0.0,0.12310384675407438,0.9072080358304989,-0.20086480924775674,1.0738830922875446,0.7623040781160063,0.8424291290067256,False
broad,S9,15,0.25,0.10471538415675985,0.9222663839825737,-0.17355230185655424,1.0554597436187796,0.804615927272904,0.8902969839600091,False
broad,S9,15,0.5,0.08603809256206763,0.9333714267742259,-0.14575504378734305,1.0148413119730109,0.8595845316228039,0.9525799378271778,False
broad,S9,20,0.0,0.11539729441327018,0.8574532058645457,-0.20120903823842917,1.023131385786085,0.713279116872656,0.7929107017317029,False
broad,S9,20,0.25,0.09838541330497108,0.8723119746480291,-0.17388194118351963,1.004518819527385,0.755437287438921,0.8406596199024204,False
broad,S9,20,0.5,0.08105049602475689,0.8838539097224544,-0.14606817166268904,0.9643949645502303,0.8108641600591502,0.9034602942227002,False
broad,S9,25,0.0,0.10774243748456414,0.807669841872597,-0.20155317029654185,0.9723408351073488,0.6642337622100398,0.7433679864583754,False
broad,S9,25,0.25,0.0920909156708396,0.8223285351748815,-0.17421149441929862,0.9535388015045879,0.7062377245468132,0.7909969679648831,False
broad,S9,25,0.5,0.07608530739600639,0.8343072127182939,-0.14638122497761508,0.913910141307932,0.76212235511624,0.8543143322359495,False
broad,S4,5,0.0,0.13867340408211537,1.006604631890961,-0.20017606041496727,1.175240810970218,0.8602666571738,0.9413662050802422,True
broad,S4,5,0.25,0.11200389299136915,1.0653897412299704,-0.1552023005952926,1.2161478114156756,0.9372367253033519,1.008816356623682,True
broad,S4,5,0.5,0.08476279920673702,1.1466502675273471,-0.10874769922235838,1.2496692003114995,1.0616518909863641,1.114023603767299,False
broad,S4,10,0.0,0.13086243556020016,0.9569274633118441,-0.20052048331108274,1.124588659762104,0.8113021031479172,0.8919165372280256,False
broad,S4,10,0.25,0.10560826890411734,1.0103552765592498,-0.15553788579243177,1.1591058862074368,0.8837658459693479,0.9547007643731028,False
broad,S4,10,0.5,0.07973489757624885,1.0832744472012856,-0.10907101928168805,1.182775042374358,1.0011002793960126,1.052523243946113,False
broad,S4,15,0.0,0.12310384675407438,0.9072080358304989,-0.20086480924775674,1.0738830922875446,0.7623040781160063,0.8424291290067256,False
broad,S4,15,0.25,0.09924861841388655,0.9552674058717501,-0.15587338299334563,1.1019940468245202,0.8302538294592103,0.9005389399429398,False
broad,S4,15,0.5,0.07472978403712083,1.0198221902318823,-0.10939426273728292,1.1157769995962867,0.9404916521624479,0.9909593117596077,False
broad,S4,20,0.0,0.11539729441327018,0.8574532058645457,-0.20120903823842917,1.023131385786085,0.713279116872656,0.7929107017317029,False
broad,S4,20,0.25,0.09292474371114423,0.9001352481961356,-0.1562087922094374,1.044822419366865,0.7767090427483597,0.8463395442298369,False
broad,S4,20,0.5,0.06974735763220075,0.9563075092857953,-0.10971742959803021,1.0486915166362665,0.8798382487721725,0.9293446271258908,False
broad,S4,25,0.0,0.10774243748456414,0.807669841872597,-0.20155317029654185,0.9723408351073488,0.6642337622100398,0.7433679864583754,False
broad,S4,25,0.25,0.08663644804928494,0.8449679403730727,-0.15654411345210972,0.9876011588900879,0.7231398632649539,0.7921112511578894,False
broad,S4,25,0.5,0.06478751784135972,0.8927444500112696,-0.11004051987281793,0.9815350996874195,0.8191523246423172,0.8676920304325639,False
