corpus,stratum,level,norm,scope,n,narrow,mid,wide,t_narrow,t_mid,t_wide,n_narrow,n_mid,n_wide,spearman,shape
FROZEN(parent),IS_SPREAD,sd:mid,raw,FROZEN(parent)/sd:mid,398,-0.00545760991907323,0.021231735195413777,-0.016808423202218134,-1.0909502030483147,2.4984350991164277,-1.9374015229265777,134,131,133,-0.11040640755156132,MID-PEAK
FROZEN(parent),IS_SPREAD,sd:high,raw,FROZEN(parent)/sd:high,390,0.0187022040515869,0.016438114153909437,-0.024270386227879963,3.908940039278124,2.53123374884168,-2.0529258383309745,130,130,130,-0.043051887028521724,monotone-down
FRESH(today),IS_SPREAD,sd:low,raw,FRESH(today)/sd:low,395,0.022702551597221943,0.016126817079966865,0.028832935077450873,1.9265287966593212,3.714849450957609,3.6980533935157403,133,130,132,0.06616356469197256,MID-TROUGH
FRESH(today),IS_SPREAD,sd:mid,raw,FRESH(today)/sd:mid,400,-0.005135122006284422,0.021231735195413777,-0.016808423202218134,-1.0407366248055872,2.4984350991164277,-1.9374015229265777,136,131,133,-0.11177905301618604,MID-PEAK
FRESH(today),IS_SPREAD,sd:high,raw,FRESH(today)/sd:high,390,0.0187022040515869,0.016438114153909437,-0.024270386227879963,3.908940039278124,2.53123374884168,-2.0529258383309745,130,130,130,-0.043051887028521724,monotone-down
FROZEN(parent),DEMEANED,within |A| bin,raw,FROZEN(parent)/within |A| bin,1203,-0.008509441456559788,0.014163793525269303,-0.005428185136222434,-2.044192541358345,3.3858486729426236,-1.2591560279876044,405,397,401,0.043996166957922786,MID-PEAK
FROZEN(parent),DEMEANED,within IS-sd tercile,raw,FROZEN(parent)/within IS-sd tercile,1203,0.003291564299658599,0.00918036852140808,-0.012450394637960494,0.7188235705688009,2.3630036824757177,-2.2379595736687463,397,392,394,-0.06882943023031675,MID-PEAK
FROZEN(parent),DEMEANED,within FILE,raw,FROZEN(parent)/within FILE,1203,0.005049783765278889,-0.0025006551177052133,-0.0025679576722195145,1.3093993790969112,-0.7968293628279367,-0.6200227396555248,402,400,401,0.01672615561425321,monotone-down
FROZEN(parent),DEMEANED,within FILE x |A|,raw,FROZEN(parent)/within FILE x |A|,1203,0.0036084455751947283,0.001672644591652439,-0.005339019373337205,1.0137970660581066,0.5128339484894391,-1.3748947884770824,413,389,401,0.007728674631922807,monotone-down
FRESH(today),DEMEANED,within |A| bin,raw,FRESH(today)/within |A| bin,1207,-0.00846835833689078,0.014087648922341987,-0.005598225017448986,-2.020457753332914,3.409976496980165,-1.2992038557510144,403,402,402,0.039826246772896534,MID-PEAK
FRESH(today),DEMEANED,within IS-sd tercile,raw,FRESH(today)/within IS-sd tercile,1207,0.0018857404158106445,0.010760831263198451,-0.012624103094585335,0.41777019464077614,2.728440830052887,-2.2741518852142972,396,394,395,-0.0692930455941913,MID-PEAK
FRESH(today),DEMEANED,within FILE,raw,FRESH(today)/within FILE,1207,0.004823605150539674,-0.0014214323765534876,-0.003454999838633023,1.255716516301744,-0.45732292054290097,-0.8290343314302878,404,406,397,0.01691318549933502,monotone-down
FRESH(today),DEMEANED,within FILE x |A|,raw,FRESH(today)/within FILE x |A|,1207,0.0036025434988054125,0.001771753529624977,-0.005437909026263646,1.0170440565910717,0.5443665086525531,-1.4044530629245806,415,390,402,0.007676780571679204,monotone-down
LIVE,PANEL,u56|10,raw,LIVE/u56/10,170,-0.13301216139705047,-0.13818343613865344,-0.13892982938983608,-174.2156912317601,-831.93440851836,-1330.786728103476,60,64,46,-0.34470040168621185,monotone-down
LIVE,PANEL,u56|25,raw,LIVE/u56/25,138,-0.1168163625624021,-0.11720515031487297,-0.11867743600224914,-516.7985647660508,-2.8010624782196976e+16,-2.868297360912761e+16,47,45,46,-0.7062719001762471,monotone-down
