panel,book,gross,cost_bps,dd_D,dd_W,dd_M,dd_Q,dd_spread_pp,dd_cap_pp,best_cadence,worst_cadence,keep4b_D,keep4b_W,keep4b_M,keep4b_Q,leg_dd_D,leg_dd_W,leg_dd_M,leg_dd_Q,n_pass,n_dd_pass,cadence_decided,dd_cadence_decided
SMALL439,ALLIN,0.75,50,-37.796862973106215,-36.856418606118915,-35.12566362694616,-34.17548330288146,3.621379670224755,-20.23035406537215,Q,D,False,False,False,False,False,False,False,False,0,0,False,False
SMALL439,ALLIN,0.9,10,-42.28491833022991,-42.21487594507543,-41.15698008862658,-40.77501213941537,1.5099061908145401,-20.23035406537215,Q,D,False,False,False,False,False,False,False,False,0,0,False,False
SMALL439,ALLIN,0.9,25,-42.87838557406231,-42.49634330676047,-41.30191064360464,-40.85831464823121,2.0200709258310994,-20.23035406537215,Q,D,False,False,False,False,False,False,False,False,0,0,False,False
SMALL439,ALLIN,0.9,50,-43.854006621806874,-42.962453176711826,-41.55113486987436,-40.99693536204949,2.857071259757383,-20.23035406537215,Q,D,False,False,False,False,False,False,False,False,0,0,False,False
SMALL439,ALLIN,1.0,10,-46.0125436364929,-46.03277953826983,-45.295196823820824,-45.28116227216302,0.7516172661068055,-20.23035406537215,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
SMALL439,ALLIN,1.0,25,-46.6303598572904,-46.32581215627951,-45.44524726517134,-45.36695484951522,1.2634050077751837,-20.23035406537215,Q,D,False,False,False,False,False,False,False,False,0,0,False,False
SMALL439,ALLIN,1.0,50,-47.64442736022587,-46.810716104773576,-45.70313148400952,-45.509693653972214,2.1347337062536553,-20.23035406537215,Q,D,False,False,False,False,False,False,False,False,0,0,False,False
SMALL439,BAND,0.5,10,-9.764862130681273,-10.002259679368086,-11.411437621751041,-15.062308797626434,5.297446666945161,-20.23035406537215,D,Q,False,False,False,False,True,True,True,True,0,4,False,False
SMALL439,BAND,0.5,25,-10.314566820055315,-10.399275527361384,-11.657621477533485,-15.188523971955735,4.87395715190042,-20.23035406537215,D,Q,False,False,False,False,True,True,True,True,0,4,False,False
SMALL439,BAND,0.5,50,-11.329375821021348,-11.057135081952996,-12.066489915565548,-15.398535753039388,4.341400671086392,-20.23035406537215,W,Q,False,False,False,False,True,True,True,True,0,4,False,False
SMALL439,BAND,0.75,10,-14.334556614028793,-14.703625800009057,-16.75843814018578,-22.272886443155326,7.938329829126532,-20.23035406537215,D,Q,False,False,False,False,True,True,True,False,0,3,False,True
SMALL439,BAND,0.75,25,-15.113411178973246,-15.266921361150143,-17.105591261928478,-22.446776167925876,7.33336498895263,-20.23035406537215,D,Q,False,False,False,False,True,True,True,False,0,3,False,True
SMALL439,BAND,0.75,50,-16.68801495101636,-16.197608512106598,-17.681137448931683,-22.735873217320833,6.538264705214235,-20.23035406537215,W,Q,False,False,False,False,True,True,True,False,0,3,False,True
SMALL439,BAND,0.9,10,-16.980569692294512,-17.431631028559114,-19.855206612605958,-26.493574456083902,9.51300476378939,-20.23035406537215,D,Q,False,False,False,False,True,True,True,False,0,3,False,True
SMALL439,BAND,0.9,25,-17.8838976402101,-18.085362314940912,-20.256528395092722,-26.691410489520795,8.807512849310694,-20.23035406537215,D,Q,False,False,False,False,True,True,False,False,0,2,False,True
SMALL439,BAND,0.9,50,-19.808867556473896,-19.163593497475638,-20.92117571151153,-27.020153171673822,7.856559674198184,-20.23035406537215,W,Q,False,False,False,False,True,True,False,False,0,2,False,True
SMALL439,BAND,1.0,10,-18.705614443180508,-19.212348873798124,-21.874066250906964,-29.262632587965697,10.55701814478519,-20.23035406537215,D,Q,False,False,False,False,True,True,False,False,0,2,False,True
SMALL439,BAND,1.0,25,-19.68683123030308,-19.92270185134877,-22.308970511636538,-29.474552999705285,9.787721769402204,-20.23035406537215,D,Q,False,False,False,False,True,True,False,False,0,2,False,True
SMALL439,BAND,1.0,50,-21.850916148978516,-21.092964381518954,-23.028724806868272,-29.826580595811812,8.733616214292859,-20.23035406537215,W,Q,False,False,False,False,False,False,False,False,0,0,False,False
U56,ALLIN,0.5,10,-15.214560512975195,-15.40613386852544,-15.165159915670934,-14.738257580712322,0.6678762878131188,-20.230354065372143,Q,W,False,False,False,False,True,True,True,True,0,4,False,False
U56,ALLIN,0.5,25,-15.256427190620169,-15.424465998894398,-15.168691152817981,-14.738257580712311,0.6862084181820869,-20.230354065372143,Q,W,False,False,False,False,True,True,True,True,0,4,False,False
U56,ALLIN,0.5,50,-15.326161729594311,-15.455012869384054,-15.174576548063158,-14.738257580712332,0.7167552886717221,-20.230354065372143,Q,W,False,False,False,False,True,True,True,True,0,4,False,False
U56,ALLIN,0.75,10,-22.248786226663164,-22.456687664384056,-22.208494960118298,-21.72138727378704,0.7353003905970148,-20.230354065372143,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
U56,ALLIN,0.75,25,-22.29840721727907,-22.478629910035785,-22.212728817128614,-21.72138727378703,0.7572426362487548,-20.230354065372143,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
U56,ALLIN,0.75,50,-22.38104249602364,-22.51518976870144,-22.21978524547914,-21.72138727378704,0.7938024949143987,-20.230354065372143,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
U56,ALLIN,0.9,10,-26.286322328057167,-26.487084884755284,-26.27101942607859,-25.79542892288853,0.6916559618667542,-20.230354065372143,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
U56,ALLIN,0.9,25,-26.33880479522982,-26.510418063049602,-26.275504307901254,-25.795428922888554,0.7149891401610482,-20.230354065372143,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
U56,ALLIN,0.9,50,-26.42619719194291,-26.54929406159092,-26.282979110938943,-25.795428922888565,0.7538651387023556,-20.230354065372143,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
U56,ALLIN,1.0,10,-28.902314654973438,-29.092891851811753,-28.913213888600797,-28.464848130748276,0.6280437210634773,-20.230354065372143,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
U56,ALLIN,1.0,25,-28.956746032378643,-29.117285349435328,-28.917800036097198,-28.464848130748234,0.6524372186870941,-20.230354065372143,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
U56,ALLIN,1.0,50,-29.04737753062262,-29.15792686039299,-28.925443615257905,-28.464848130748234,0.6930787296447569,-20.230354065372143,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
U56,BAND,0.5,10,-7.561708317673377,-8.009405329976271,-9.646215263984137,-13.437529857828212,5.875821540154835,-20.230354065372143,D,Q,False,False,False,False,True,True,True,True,0,4,False,False
U56,BAND,0.5,25,-7.635485300850043,-8.036199480623985,-9.664436082502547,-13.437529857828201,5.802044556978158,-20.230354065372143,D,Q,False,False,False,False,True,True,True,True,0,4,False,False
U56,BAND,0.5,50,-7.758329113405837,-8.080848974645061,-9.694804113366517,-13.437529857828201,5.679200744422364,-20.230354065372143,D,Q,False,False,False,False,True,True,True,True,0,4,False,False
U56,BAND,0.75,10,-11.178606552968596,-11.896567846859018,-14.189123783035662,-19.797876583077787,8.619270030109192,-20.230354065372143,D,Q,False,False,False,False,True,True,True,True,0,4,False,False
U56,BAND,0.75,25,-11.283638247928263,-11.93489790940272,-14.21503944139605,-19.797876583077777,8.514238335149514,-20.230354065372143,D,Q,False,False,False,False,True,True,True,True,0,4,False,False
U56,BAND,0.75,50,-11.458442916938305,-11.99876541244037,-14.25823220533009,-19.797876583077777,8.339433666139472,-20.230354065372143,D,Q,False,False,False,False,True,True,True,True,0,4,False,False
U56,BAND,0.9,10,-13.297466405642556,-14.1910723797806,-16.829657612280702,-23.506655412651345,10.209189007008789,-20.230354065372143,D,Q,False,False,True,False,True,True,True,False,1,3,True,True
U56,BAND,0.9,25,-13.41987373553165,-14.235830089739043,-16.859812943106544,-23.506655412651355,10.086781677119705,-20.230354065372143,D,Q,False,False,False,False,True,True,True,False,0,3,False,True
U56,BAND,0.9,50,-13.62354091547605,-14.310403909018188,-16.91007182781633,-23.506655412651366,9.883114497175315,-20.230354065372143,D,Q,False,False,False,False,True,True,True,False,0,3,False,True
U56,BAND,1.0,10,-14.68893074946801,-15.704953945571775,-18.555490631242655,-25.93597656775505,11.247045818287038,-20.230354065372143,D,Q,True,True,True,False,True,True,True,False,3,3,True,True
U56,BAND,1.0,25,-14.82241318342018,-15.753814335861804,-18.588342733314235,-25.93597656775498,11.113563384334801,-20.230354065372143,D,Q,True,True,True,False,True,True,True,False,3,3,True,True
U56,BAND,1.0,50,-15.04446708675875,-15.835221148320533,-18.64309623676681,-25.935976567755038,10.891509480996287,-20.230354065372143,D,Q,False,False,True,False,True,True,True,False,1,3,True,True
