panel,book,gross,cadence,rung,draws,distinct,degenerate,null_turn_yr,null_drag_bp,base4b,L_H1,L_H2,L_OOS,L_DD,L_CAGR
U56,TOP5,0.5,M,25.0,200,200,False,10.50416628832002,262.6041572080005,0.0,0.025,0.215,0.24,0.99,0.0
U56,TOP5,0.5,M,50.0,200,200,False,10.50416628832002,525.208314416001,0.0,0.0,0.0,0.0,0.835,0.0
U56,TOP5,0.75,M,0.0,200,200,False,15.728943657006266,0.0,0.3,0.59,0.855,0.86,0.625,0.825
U56,TOP5,0.75,M,5.0,200,200,False,15.728943657006266,78.64471828503133,0.165,0.4,0.72,0.76,0.585,0.635
U56,TOP5,0.75,M,10.0,200,200,False,15.728943657006266,157.28943657006266,0.07,0.26,0.6,0.63,0.55,0.4
U56,TOP5,0.75,M,25.0,200,200,False,15.728943657006266,393.22359142515666,0.0,0.025,0.22,0.245,0.415,0.015
U56,TOP5,0.75,M,50.0,200,200,False,15.728943657006266,786.4471828503133,0.0,0.0,0.0,0.0,0.09,0.0
U56,TOP5,1.0,M,0.0,200,200,False,20.94290642708687,0.0,0.02,0.59,0.85,0.86,0.055,0.995
U56,TOP5,1.0,M,5.0,200,200,False,20.94290642708687,104.71453213543435,0.02,0.41,0.73,0.765,0.05,0.96
U56,TOP5,1.0,M,10.0,200,200,False,20.94290642708687,209.4290642708687,0.01,0.275,0.6,0.63,0.03,0.91
U56,TOP5,1.0,M,25.0,200,200,False,20.94290642708687,523.5726606771718,0.0,0.035,0.23,0.245,0.015,0.395
U56,TOP5,1.0,M,50.0,200,200,False,20.94290642708687,1047.1453213543437,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP5,0.5,Q,0.0,200,200,False,3.548705221092094,0.0,0.0,0.73,0.505,0.55,0.93,0.0
U56,TOP5,0.5,Q,5.0,200,200,False,3.548705221092094,17.743526105460468,0.0,0.68,0.445,0.495,0.93,0.0
U56,TOP5,0.5,Q,10.0,200,200,False,3.548705221092094,35.487052210920936,0.0,0.61,0.4,0.42,0.93,0.0
U56,TOP5,0.5,Q,25.0,200,200,False,3.548705221092094,88.71763052730235,0.0,0.51,0.29,0.29,0.92,0.0
U56,TOP5,0.5,Q,50.0,200,200,False,3.548705221092094,177.4352610546047,0.0,0.275,0.135,0.135,0.875,0.0
U56,TOP5,0.75,Q,0.0,200,200,False,5.3000879111111665,0.0,0.085,0.73,0.49,0.555,0.145,0.75
U56,TOP5,0.75,Q,5.0,200,200,False,5.3000879111111665,26.500439555555833,0.07,0.685,0.445,0.48,0.145,0.69
U56,TOP5,0.75,Q,10.0,200,200,False,5.3000879111111665,53.000879111111665,0.06,0.615,0.405,0.41,0.145,0.615
U56,TOP5,0.75,Q,25.0,200,200,False,5.3000879111111665,132.50219777777917,0.04,0.515,0.29,0.3,0.13,0.385
U56,TOP5,0.75,Q,50.0,200,200,False,5.3000879111111665,265.00439555555835,0.015,0.285,0.135,0.125,0.09,0.09
U56,TOP5,1.0,Q,0.0,200,200,False,7.037678468232885,0.0,0.005,0.725,0.49,0.55,0.005,0.98
U56,TOP5,1.0,Q,5.0,200,200,False,7.037678468232885,35.18839234116442,0.0,0.685,0.445,0.475,0.0,0.965
U56,TOP5,1.0,Q,10.0,200,200,False,7.037678468232885,70.37678468232885,0.0,0.625,0.39,0.41,0.0,0.96
U56,TOP5,1.0,Q,25.0,200,200,False,7.037678468232885,175.94196170582214,0.0,0.535,0.29,0.295,0.0,0.875
U56,TOP5,1.0,Q,50.0,200,200,False,7.037678468232885,351.8839234116443,0.0,0.29,0.135,0.125,0.0,0.66
U56,TOP10,0.5,W,0.0,200,200,False,37.716748539102,0.0,0.0,0.81,0.945,0.965,1.0,0.0
U56,TOP10,0.5,W,5.0,200,200,False,37.716748539102,188.58374269551,0.0,0.11,0.3,0.335,1.0,0.0
U56,TOP10,0.5,W,10.0,200,200,False,37.716748539102,377.16748539102,0.0,0.0,0.0,0.005,1.0,0.0
U56,TOP10,0.5,W,25.0,200,200,False,37.716748539102,942.91871347755,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP10,0.5,W,50.0,200,200,False,37.716748539102,1885.8374269551,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP10,0.75,W,0.0,200,200,False,56.544696301268125,0.0,0.655,0.81,0.945,0.965,1.0,0.72
U56,TOP10,0.75,W,5.0,200,200,False,56.544696301268125,282.72348150634065,0.005,0.11,0.3,0.335,0.975,0.01
U56,TOP10,0.75,W,10.0,200,200,False,56.544696301268125,565.4469630126813,0.0,0.0,0.0,0.005,0.79,0.0
U56,TOP10,0.75,W,25.0,200,200,False,56.544696301268125,1413.617407531703,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP10,0.75,W,50.0,200,200,False,56.544696301268125,2827.234815063406,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP10,1.0,W,0.0,200,200,False,75.36467697705197,0.0,0.16,0.81,0.945,0.965,0.2,0.995
U56,TOP10,1.0,W,5.0,200,200,False,75.36467697705197,376.8233848852599,0.005,0.11,0.3,0.34,0.125,0.53
U56,TOP10,1.0,W,10.0,200,200,False,75.36467697705197,753.6467697705198,0.0,0.0,0.0,0.005,0.02,0.0
U56,TOP10,1.0,W,25.0,200,200,False,75.36467697705197,1884.1169244262992,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP10,1.0,W,50.0,200,200,False,75.36467697705197,3768.2338488525984,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP10,0.5,M,0.0,200,200,False,9.104991454072618,0.0,0.0,0.85,0.98,0.99,1.0,0.0
U56,TOP10,0.5,M,5.0,200,200,False,9.104991454072618,45.52495727036309,0.0,0.7,0.95,0.97,1.0,0.0
U56,TOP10,0.5,M,10.0,200,200,False,9.104991454072618,91.04991454072618,0.0,0.475,0.9,0.92,1.0,0.0
U56,TOP10,0.5,M,25.0,200,200,False,9.104991454072618,227.62478635181543,0.0,0.035,0.42,0.42,1.0,0.0
U56,TOP10,0.5,M,50.0,200,200,False,9.104991454072618,455.24957270363086,0.0,0.0,0.005,0.0,1.0,0.0
U56,TOP10,0.75,M,0.0,200,200,False,13.631219029568737,0.0,0.695,0.85,0.98,0.99,0.87,0.9
U56,TOP10,0.75,M,5.0,200,200,False,13.631219029568737,68.15609514784369,0.535,0.715,0.95,0.97,0.865,0.765
U56,TOP10,0.75,M,10.0,200,200,False,13.631219029568737,136.31219029568737,0.28,0.48,0.9,0.92,0.855,0.45
U56,TOP10,0.75,M,25.0,200,200,False,13.631219029568737,340.7804757392184,0.0,0.04,0.42,0.425,0.835,0.0
U56,TOP10,0.75,M,50.0,200,200,False,13.631219029568737,681.5609514784368,0.0,0.0,0.005,0.005,0.6,0.0
U56,TOP10,1.0,M,0.0,200,200,False,18.141513606697217,0.0,0.115,0.85,0.98,0.99,0.15,1.0
U56,TOP10,1.0,M,5.0,200,200,False,18.141513606697217,90.70756803348608,0.1,0.715,0.95,0.97,0.14,1.0
U56,TOP10,1.0,M,10.0,200,200,False,18.141513606697217,181.41513606697217,0.05,0.48,0.905,0.92,0.12,0.995
U56,TOP10,1.0,M,25.0,200,200,False,18.141513606697217,453.53784016743043,0.0,0.045,0.425,0.425,0.05,0.65
U56,TOP10,1.0,M,50.0,200,200,False,18.141513606697217,907.0756803348609,0.0,0.0,0.005,0.005,0.005,0.0
U56,TOP10,0.5,Q,0.0,200,200,False,3.1514674168486323,0.0,0.0,0.945,0.795,0.86,0.985,0.0
U56,TOP10,0.5,Q,5.0,200,200,False,3.1514674168486323,15.757337084243161,0.0,0.905,0.75,0.81,0.985,0.0
U56,TOP10,0.5,Q,10.0,200,200,False,3.1514674168486323,31.514674168486323,0.0,0.88,0.695,0.765,0.985,0.0
U56,TOP10,0.5,Q,25.0,200,200,False,3.1514674168486323,78.78668542121581,0.0,0.735,0.505,0.565,0.985,0.0
U56,TOP10,0.5,Q,50.0,200,200,False,3.1514674168486323,157.57337084243161,0.0,0.36,0.215,0.25,0.98,0.0
U56,TOP10,0.75,Q,0.0,200,200,False,4.704137784438952,0.0,0.17,0.945,0.79,0.855,0.205,0.83
U56,TOP10,0.75,Q,5.0,200,200,False,4.704137784438952,23.52068892219476,0.15,0.905,0.75,0.795,0.205,0.765
U56,TOP10,0.75,Q,10.0,200,200,False,4.704137784438952,47.04137784438952,0.12,0.885,0.67,0.765,0.205,0.705
U56,TOP10,0.75,Q,25.0,200,200,False,4.704137784438952,117.60344461097381,0.075,0.745,0.5,0.55,0.2,0.42
U56,TOP10,0.75,Q,50.0,200,200,False,4.704137784438952,235.20688922194762,0.01,0.365,0.21,0.245,0.18,0.095
U56,TOP10,1.0,Q,0.0,200,200,False,6.24630840149808,0.0,0.0,0.945,0.78,0.84,0.0,0.995
U56,TOP10,1.0,Q,5.0,200,200,False,6.24630840149808,31.2315420074904,0.0,0.905,0.735,0.795,0.0,0.99
U56,TOP10,1.0,Q,10.0,200,200,False,6.24630840149808,62.4630840149808,0.0,0.885,0.65,0.75,0.0,0.985
U56,TOP10,1.0,Q,25.0,200,200,False,6.24630840149808,156.157710037452,0.0,0.745,0.495,0.535,0.0,0.975
U56,TOP10,1.0,Q,50.0,200,200,False,6.24630840149808,312.315420074904,0.0,0.37,0.2,0.24,0.0,0.81
U56,TOP20,0.5,W,0.0,200,200,False,25.818333454120094,0.0,0.0,0.985,1.0,1.0,1.0,0.0
U56,TOP20,0.5,W,5.0,200,200,False,25.818333454120094,129.09166727060045,0.0,0.385,0.815,0.875,1.0,0.0
U56,TOP20,0.5,W,10.0,200,200,False,25.818333454120094,258.1833345412009,0.0,0.0,0.025,0.06,1.0,0.0
U56,TOP20,0.5,W,25.0,200,200,False,25.818333454120094,645.4583363530023,0.0,0.0,0.0,0.0,0.945,0.0
U56,TOP20,0.5,W,50.0,200,200,False,25.818333454120094,1290.9166727060046,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP20,0.75,W,0.0,200,200,False,38.69295139828046,0.0,0.86,0.985,1.0,1.0,1.0,0.86
U56,TOP20,0.75,W,5.0,200,200,False,38.69295139828046,193.46475699140228,0.0,0.385,0.805,0.875,1.0,0.0
U56,TOP20,0.75,W,10.0,200,200,False,38.69295139828046,386.92951398280456,0.0,0.0,0.025,0.06,1.0,0.0
U56,TOP20,0.75,W,25.0,200,200,False,38.69295139828046,967.3237849570114,0.0,0.0,0.0,0.0,0.155,0.0
U56,TOP20,0.75,W,50.0,200,200,False,38.69295139828046,1934.6475699140228,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP20,1.0,W,0.0,200,200,False,51.55822499796063,0.0,0.315,0.985,1.0,1.0,0.32,1.0
U56,TOP20,1.0,W,5.0,200,200,False,51.55822499796063,257.79112498980317,0.065,0.385,0.805,0.87,0.23,0.96
U56,TOP20,1.0,W,10.0,200,200,False,51.55822499796063,515.5822499796063,0.0,0.0,0.025,0.06,0.085,0.025
U56,TOP20,1.0,W,25.0,200,200,False,51.55822499796063,1288.9556249490158,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP20,1.0,W,50.0,200,200,False,51.55822499796063,2577.9112498980317,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP20,0.5,M,0.0,200,200,False,6.633315403125874,0.0,0.0,1.0,1.0,1.0,1.0,0.0
U56,TOP20,0.5,M,5.0,200,200,False,6.633315403125874,33.16657701562937,0.0,0.995,1.0,1.0,1.0,0.0
U56,TOP20,0.5,M,10.0,200,200,False,6.633315403125874,66.33315403125874,0.0,0.945,1.0,1.0,1.0,0.0
U56,TOP20,0.5,M,25.0,200,200,False,6.633315403125874,165.83288507814683,0.0,0.195,0.88,0.915,1.0,0.0
U56,TOP20,0.5,M,50.0,200,200,False,6.633315403125874,331.66577015629366,0.0,0.0,0.03,0.02,1.0,0.0
U56,TOP20,0.75,M,0.0,200,200,False,9.922948244647797,0.0,1.0,1.0,1.0,1.0,1.0,1.0
U56,TOP20,0.75,M,5.0,200,200,False,9.922948244647797,49.61474122323899,0.96,0.995,1.0,1.0,1.0,0.96
U56,TOP20,0.75,M,10.0,200,200,False,9.922948244647797,99.22948244647797,0.77,0.945,1.0,1.0,1.0,0.775
U56,TOP20,0.75,M,25.0,200,200,False,9.922948244647797,248.07370611619493,0.025,0.215,0.89,0.92,1.0,0.04
U56,TOP20,0.75,M,50.0,200,200,False,9.922948244647797,496.14741223238985,0.0,0.0,0.035,0.025,1.0,0.0
U56,TOP20,1.0,M,0.0,200,200,False,13.200982456492753,0.0,0.045,1.0,1.0,1.0,0.045,1.0
U56,TOP20,1.0,M,5.0,200,200,False,13.200982456492753,66.00491228246376,0.04,0.995,1.0,1.0,0.04,1.0
U56,TOP20,1.0,M,10.0,200,200,False,13.200982456492753,132.00982456492753,0.03,0.95,1.0,1.0,0.03,1.0
U56,TOP20,1.0,M,25.0,200,200,False,13.200982456492753,330.0245614123188,0.0,0.235,0.895,0.92,0.025,0.995
U56,TOP20,1.0,M,50.0,200,200,False,13.200982456492753,660.0491228246376,0.0,0.0,0.04,0.025,0.015,0.025
U56,TOP20,0.5,Q,0.0,200,200,False,2.4652530942067736,0.0,0.0,1.0,0.915,0.965,1.0,0.0
U56,TOP20,0.5,Q,5.0,200,200,False,2.4652530942067736,12.326265471033867,0.0,1.0,0.875,0.95,1.0,0.0
U56,TOP20,0.5,Q,10.0,200,200,False,2.4652530942067736,24.652530942067735,0.0,1.0,0.86,0.905,1.0,0.0
U56,TOP20,0.5,Q,25.0,200,200,False,2.4652530942067736,61.63132735516934,0.0,0.99,0.69,0.795,1.0,0.0
U56,TOP20,0.5,Q,50.0,200,200,False,2.4652530942067736,123.26265471033868,0.0,0.82,0.33,0.44,1.0,0.0
U56,TOP20,0.75,Q,0.0,200,200,False,3.6758575297908993,0.0,0.17,1.0,0.905,0.96,0.18,0.935
U56,TOP20,0.75,Q,5.0,200,200,False,3.6758575297908993,18.379287648954495,0.165,1.0,0.865,0.94,0.18,0.89
U56,TOP20,0.75,Q,10.0,200,200,False,3.6758575297908993,36.75857529790899,0.16,0.995,0.85,0.9,0.18,0.83
U56,TOP20,0.75,Q,25.0,200,200,False,3.6758575297908993,91.89643824477248,0.135,0.99,0.68,0.775,0.18,0.575
U56,TOP20,0.75,Q,50.0,200,200,False,3.6758575297908993,183.79287648954497,0.025,0.825,0.33,0.405,0.175,0.075
U56,TOP20,1.0,Q,0.0,200,200,False,4.876726739332176,0.0,0.0,1.0,0.9,0.955,0.0,1.0
U56,TOP20,1.0,Q,5.0,200,200,False,4.876726739332176,24.38363369666088,0.0,1.0,0.855,0.92,0.0,1.0
U56,TOP20,1.0,Q,10.0,200,200,False,4.876726739332176,48.76726739332176,0.0,0.995,0.84,0.885,0.0,1.0
U56,TOP20,1.0,Q,25.0,200,200,False,4.876726739332176,121.91816848330438,0.0,0.99,0.665,0.765,0.0,1.0
U56,TOP20,1.0,Q,50.0,200,200,False,4.876726739332176,243.83633696660877,0.0,0.83,0.315,0.39,0.0,0.99
U56,EWELIG,0.5,W,0.0,200,1,True,5.51550437090756,0.0,0.0,1.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.5,W,5.0,200,1,True,5.51550437090756,27.5775218545378,0.0,1.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.5,W,10.0,200,1,True,5.51550437090756,55.1550437090756,0.0,1.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.5,W,25.0,200,1,True,5.51550437090756,137.887609272689,0.0,0.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.5,W,50.0,200,1,True,5.51550437090756,275.775218545378,0.0,0.0,0.0,0.0,1.0,0.0
U56,EWELIG,0.75,W,0.0,200,1,True,8.204393987578808,0.0,1.0,1.0,1.0,1.0,1.0,1.0
U56,EWELIG,0.75,W,5.0,200,1,True,8.204393987578808,41.02196993789404,1.0,1.0,1.0,1.0,1.0,1.0
U56,EWELIG,0.75,W,10.0,200,1,True,8.204393987578808,82.04393987578808,0.0,1.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.75,W,25.0,200,1,True,8.204393987578808,205.1098496894702,0.0,0.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.75,W,50.0,200,1,True,8.204393987578808,410.2196993789404,0.0,0.0,0.0,0.0,1.0,0.0
U56,EWELIG,1.0,W,0.0,200,1,True,10.853623313017739,0.0,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,1.0,W,5.0,200,1,True,10.853623313017739,54.26811656508869,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,1.0,W,10.0,200,1,True,10.853623313017739,108.53623313017738,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,1.0,W,25.0,200,1,True,10.853623313017739,271.34058282544345,0.0,0.0,1.0,1.0,0.0,1.0
U56,EWELIG,1.0,W,50.0,200,1,True,10.853623313017739,542.6811656508869,0.0,0.0,0.0,0.0,0.0,0.0
U56,EWELIG,0.5,M,0.0,200,1,True,2.4491138389445966,0.0,0.0,1.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.5,M,5.0,200,1,True,2.4491138389445966,12.245569194722982,0.0,1.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.5,M,10.0,200,1,True,2.4491138389445966,24.491138389445965,0.0,1.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.5,M,25.0,200,1,True,2.4491138389445966,61.22784597361491,0.0,1.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.5,M,50.0,200,1,True,2.4491138389445966,122.45569194722982,0.0,1.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.75,M,0.0,200,1,True,3.6384716270199924,0.0,1.0,1.0,1.0,1.0,1.0,1.0
U56,EWELIG,0.75,M,5.0,200,1,True,3.6384716270199924,18.192358135099962,1.0,1.0,1.0,1.0,1.0,1.0
U56,EWELIG,0.75,M,10.0,200,1,True,3.6384716270199924,36.384716270199924,1.0,1.0,1.0,1.0,1.0,1.0
U56,EWELIG,0.75,M,25.0,200,1,True,3.6384716270199924,90.96179067549981,1.0,1.0,1.0,1.0,1.0,1.0
U56,EWELIG,0.75,M,50.0,200,1,True,3.6384716270199924,181.92358135099963,0.0,1.0,1.0,1.0,1.0,0.0
U56,EWELIG,1.0,M,0.0,200,1,True,4.808138206562276,0.0,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,1.0,M,5.0,200,1,True,4.808138206562276,24.04069103281138,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,1.0,M,10.0,200,1,True,4.808138206562276,48.08138206562276,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,1.0,M,25.0,200,1,True,4.808138206562276,120.2034551640569,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,1.0,M,50.0,200,1,True,4.808138206562276,240.4069103281138,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,0.5,Q,0.0,200,1,True,1.2892152873145035,0.0,0.0,1.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.5,Q,5.0,200,1,True,1.2892152873145035,6.446076436572517,0.0,1.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.5,Q,10.0,200,1,True,1.2892152873145035,12.892152873145035,0.0,1.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.5,Q,25.0,200,1,True,1.2892152873145035,32.23038218286259,0.0,1.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.5,Q,50.0,200,1,True,1.2892152873145035,64.46076436572518,0.0,1.0,1.0,1.0,1.0,0.0
U56,EWELIG,0.75,Q,0.0,200,1,True,1.9101787210936687,0.0,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,0.75,Q,5.0,200,1,True,1.9101787210936687,9.550893605468344,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,0.75,Q,10.0,200,1,True,1.9101787210936687,19.10178721093669,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,0.75,Q,25.0,200,1,True,1.9101787210936687,47.754468027341716,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,0.75,Q,50.0,200,1,True,1.9101787210936687,95.50893605468343,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,1.0,Q,0.0,200,1,True,2.519720054079536,0.0,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,1.0,Q,5.0,200,1,True,2.519720054079536,12.598600270397679,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,1.0,Q,10.0,200,1,True,2.519720054079536,25.197200540795357,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,1.0,Q,25.0,200,1,True,2.519720054079536,62.9930013519884,0.0,1.0,1.0,1.0,0.0,1.0
U56,EWELIG,1.0,Q,50.0,200,1,True,2.519720054079536,125.9860027039768,0.0,1.0,1.0,1.0,0.0,1.0
U56,BAND03,0.5,W,0.0,200,200,False,7.07977364146911,0.0,0.0,1.0,1.0,1.0,1.0,0.0
U56,BAND03,0.5,W,5.0,200,200,False,7.07977364146911,35.39886820734555,0.0,1.0,1.0,1.0,1.0,0.0
U56,BAND03,0.5,W,10.0,200,200,False,7.07977364146911,70.7977364146911,0.0,0.995,0.995,1.0,1.0,0.0
U56,BAND03,0.5,W,25.0,200,200,False,7.07977364146911,176.99434103672775,0.0,0.0,0.0,0.035,1.0,0.0
U56,BAND03,0.5,W,50.0,200,200,False,7.07977364146911,353.9886820734555,0.0,0.0,0.0,0.0,1.0,0.0
U56,BAND03,0.75,W,0.0,200,200,False,10.603590741231969,0.0,0.0,1.0,1.0,1.0,1.0,0.0
U56,BAND03,0.75,W,5.0,200,200,False,10.603590741231969,53.017953706159844,0.0,1.0,1.0,1.0,1.0,0.0
U56,BAND03,0.75,W,10.0,200,200,False,10.603590741231969,106.03590741231969,0.0,0.995,0.995,1.0,1.0,0.0
U56,BAND03,0.75,W,25.0,200,200,False,10.603590741231969,265.08976853079923,0.0,0.0,0.0,0.035,1.0,0.0
U56,BAND03,0.75,W,50.0,200,200,False,10.603590741231969,530.1795370615985,0.0,0.0,0.0,0.0,1.0,0.0
U56,BAND03,1.0,W,0.0,200,200,False,14.126073695087861,0.0,0.74,1.0,1.0,1.0,1.0,0.74
U56,BAND03,1.0,W,5.0,200,200,False,14.126073695087861,70.6303684754393,0.01,1.0,1.0,1.0,1.0,0.01
U56,BAND03,1.0,W,10.0,200,200,False,14.126073695087861,141.2607369508786,0.0,0.995,0.995,1.0,1.0,0.0
U56,BAND03,1.0,W,25.0,200,200,False,14.126073695087861,353.15184237719654,0.0,0.0,0.0,0.03,1.0,0.0
U56,BAND03,1.0,W,50.0,200,200,False,14.126073695087861,706.3036847543931,0.0,0.0,0.0,0.0,0.115,0.0
U56,BAND03,0.5,M,0.0,200,200,False,2.022692138700803,0.0,0.0,1.0,1.0,1.0,1.0,0.0
U56,BAND03,0.5,M,5.0,200,200,False,2.022692138700803,10.113460693504015,0.0,1.0,1.0,1.0,1.0,0.0
U56,BAND03,0.5,M,10.0,200,200,False,2.022692138700803,20.22692138700803,0.0,1.0,1.0,1.0,1.0,0.0
U56,BAND03,0.5,M,25.0,200,200,False,2.022692138700803,50.56730346752008,0.0,1.0,1.0,1.0,1.0,0.0
U56,BAND03,0.5,M,50.0,200,200,False,2.022692138700803,101.13460693504015,0.0,0.85,1.0,1.0,1.0,0.0
U56,BAND03,0.75,M,0.0,200,200,False,3.0253875728496546,0.0,0.0,1.0,1.0,1.0,1.0,0.0
U56,BAND03,0.75,M,5.0,200,200,False,3.0253875728496546,15.126937864248273,0.0,1.0,1.0,1.0,1.0,0.0
U56,BAND03,0.75,M,10.0,200,200,False,3.0253875728496546,30.253875728496546,0.0,1.0,1.0,1.0,1.0,0.0
U56,BAND03,0.75,M,25.0,200,200,False,3.0253875728496546,75.63468932124137,0.0,1.0,1.0,1.0,1.0,0.0
U56,BAND03,0.75,M,50.0,200,200,False,3.0253875728496546,151.26937864248274,0.0,0.855,1.0,1.0,1.0,0.0
U56,BAND03,1.0,M,0.0,200,200,False,4.0276560589033235,0.0,0.08,1.0,1.0,1.0,0.08,1.0
U56,BAND03,1.0,M,5.0,200,200,False,4.0276560589033235,20.13828029451662,0.08,1.0,1.0,1.0,0.08,1.0
U56,BAND03,1.0,M,10.0,200,200,False,4.0276560589033235,40.27656058903324,0.075,1.0,1.0,1.0,0.075,1.0
U56,BAND03,1.0,M,25.0,200,200,False,4.0276560589033235,100.69140147258308,0.04,1.0,1.0,1.0,0.065,0.645
U56,BAND03,1.0,M,50.0,200,200,False,4.0276560589033235,201.38280294516616,0.0,0.86,1.0,1.0,0.06,0.0
U56,BAND03,0.5,Q,0.0,200,200,False,0.7937662630001407,0.0,0.0,1.0,0.995,1.0,1.0,0.0
U56,BAND03,0.5,Q,5.0,200,200,False,0.7937662630001407,3.9688313150007035,0.0,1.0,0.99,1.0,1.0,0.0
U56,BAND03,0.5,Q,10.0,200,200,False,0.7937662630001407,7.937662630001407,0.0,1.0,0.99,1.0,1.0,0.0
U56,BAND03,0.5,Q,25.0,200,200,False,0.7937662630001407,19.84415657500352,0.0,1.0,0.98,0.995,1.0,0.0
U56,BAND03,0.5,Q,50.0,200,200,False,0.7937662630001407,39.68831315000704,0.0,0.97,0.805,0.985,1.0,0.0
U56,BAND03,0.75,Q,0.0,200,200,False,1.1849885515901666,0.0,0.0,1.0,0.995,1.0,0.41,0.0
