panel,book,dial,bps,points,pass4a,pass4b
B136,V1C,K,20,7,0,0
B136,V1C,K,25,7,0,0
B136,V1C,K,30,7,0,0
B136,V1C,N,0,10,0,0
B136,V1C,N,5,10,0,0
B136,V1C,N,10,10,0,0
B136,V1C,N,15,10,0,0
B136,V1C,N,20,10,0,0
B136,V1C,N,25,10,0,0
B136,V1C,N,30,10,0,0
B136,V1C,V,0,8,0,0
B136,V1C,V,5,8,0,0
B136,V1C,V,10,8,0,0
B136,V1C,V,15,8,0,0
B136,V1C,V,20,8,0,0
B136,V1C,V,25,8,0,0
B136,V1C,V,30,8,0,0
SMALL439,EWALL,G,0,7,0,0
SMALL439,EWALL,G,5,7,0,0
SMALL439,EWALL,G,10,7,0,0
SMALL439,EWALL,G,15,7,0,0
SMALL439,EWALL,G,20,7,0,0
SMALL439,EWALL,G,25,7,0,0
SMALL439,EWALL,G,30,7,0,0
SMALL439,EWALL,GROSS,0,5,0,0
SMALL439,EWALL,GROSS,5,5,0,0
SMALL439,EWALL,GROSS,10,5,0,0
SMALL439,EWALL,GROSS,15,5,0,0
SMALL439,EWALL,GROSS,20,5,0,0
SMALL439,EWALL,GROSS,25,5,0,0
SMALL439,EWALL,GROSS,30,5,0,0
SMALL439,EWALL,K,0,7,0,0
SMALL439,EWALL,K,5,7,0,0
SMALL439,EWALL,K,10,7,0,0
SMALL439,EWALL,K,15,7,0,0
SMALL439,EWALL,K,20,7,0,0
SMALL439,EWALL,K,25,7,0,0
SMALL439,EWALL,K,30,7,0,0
SMALL439,EWALL,V,0,8,0,0
SMALL439,EWALL,V,5,8,0,0
SMALL439,EWALL,V,10,8,0,0
SMALL439,EWALL,V,15,8,0,0
SMALL439,EWALL,V,20,8,0,0
SMALL439,EWALL,V,25,8,0,0
SMALL439,EWALL,V,30,8,0,0
SMALL439,TOPN,G,0,7,0,0
SMALL439,TOPN,G,5,7,0,0
SMALL439,TOPN,G,10,7,0,0
SMALL439,TOPN,G,15,7,0,0
SMALL439,TOPN,G,20,7,0,0
SMALL439,TOPN,G,25,7,0,0
SMALL439,TOPN,G,30,7,0,0
SMALL439,TOPN,GROSS,0,5,0,0
SMALL439,TOPN,GROSS,5,5,0,0
SMALL439,TOPN,GROSS,10,5,0,0
SMALL439,TOPN,GROSS,15,5,0,0
SMALL439,TOPN,GROSS,20,5,0,0
SMALL439,TOPN,GROSS,25,5,0,0
SMALL439,TOPN,GROSS,30,5,0,0
SMALL439,TOPN,K,0,7,0,0
SMALL439,TOPN,K,5,7,0,0
SMALL439,TOPN,K,10,7,0,0
SMALL439,TOPN,K,15,7,0,0
SMALL439,TOPN,K,20,7,0,0
SMALL439,TOPN,K,25,7,0,0
SMALL439,TOPN,K,30,7,0,0
SMALL439,TOPN,N,0,10,0,0
SMALL439,TOPN,N,5,10,0,0
SMALL439,TOPN,N,10,10,0,0
SMALL439,TOPN,N,15,10,0,0
SMALL439,TOPN,N,20,10,0,0
SMALL439,TOPN,N,25,10,0,0
SMALL439,TOPN,N,30,10,0,0
SMALL439,TOPN,V,0,8,0,0
SMALL439,TOPN,V,5,8,0,0
SMALL439,TOPN,V,10,8,0,0
SMALL439,TOPN,V,15,8,0,0
SMALL439,TOPN,V,20,8,0,0
SMALL439,TOPN,V,25,8,0,0
SMALL439,TOPN,V,30,8,0,0
SMALL439,V1C,G,0,7,0,0
SMALL439,V1C,G,5,7,0,0
SMALL439,V1C,G,10,7,0,0
SMALL439,V1C,G,15,7,0,0
SMALL439,V1C,G,20,7,0,0
SMALL439,V1C,G,25,7,0,0
SMALL439,V1C,G,30,7,0,0
SMALL439,V1C,GROSS,0,5,0,0
SMALL439,V1C,GROSS,5,5,0,0
SMALL439,V1C,GROSS,10,5,0,0
SMALL439,V1C,GROSS,15,5,0,0
SMALL439,V1C,GROSS,20,5,0,0
SMALL439,V1C,GROSS,25,5,0,0
SMALL439,V1C,GROSS,30,5,0,0
SMALL439,V1C,K,0,7,0,0
SMALL439,V1C,K,5,7,0,0
SMALL439,V1C,K,10,7,0,0
SMALL439,V1C,K,15,7,0,0
SMALL439,V1C,K,20,7,0,0
SMALL439,V1C,K,25,7,0,0
SMALL439,V1C,K,30,7,0,0
SMALL439,V1C,N,0,10,0,0
SMALL439,V1C,N,5,10,0,0
SMALL439,V1C,N,10,10,0,0
SMALL439,V1C,N,15,10,0,0
SMALL439,V1C,N,20,10,0,0
SMALL439,V1C,N,25,10,0,0
SMALL439,V1C,N,30,10,0,0
SMALL439,V1C,V,0,8,0,0
SMALL439,V1C,V,5,8,0,0
SMALL439,V1C,V,10,8,0,0
SMALL439,V1C,V,15,8,0,0
SMALL439,V1C,V,20,8,0,0
SMALL439,V1C,V,25,8,0,0
SMALL439,V1C,V,30,8,0,0
U56,EWALL,G,0,7,0,3
U56,EWALL,G,5,7,0,3
U56,EWALL,G,10,7,0,3
U56,EWALL,G,15,7,0,3
U56,EWALL,G,20,7,0,1
U56,EWALL,G,25,7,0,1
U56,EWALL,G,30,7,0,1
U56,EWALL,GROSS,0,5,0,2
U56,EWALL,GROSS,5,5,0,2
U56,EWALL,GROSS,10,5,0,1
U56,EWALL,GROSS,15,5,0,1
U56,EWALL,GROSS,20,5,0,1
U56,EWALL,GROSS,25,5,0,0
U56,EWALL,GROSS,30,5,0,0
U56,EWALL,K,0,7,0,1
U56,EWALL,K,5,7,0,1
U56,EWALL,K,10,7,0,1
U56,EWALL,K,15,7,0,1
U56,EWALL,K,20,7,0,1
U56,EWALL,K,25,7,0,0
U56,EWALL,K,30,7,0,0
U56,EWALL,V,0,8,0,1
U56,EWALL,V,5,8,0,1
U56,EWALL,V,10,8,0,1
U56,EWALL,V,15,8,0,1
U56,EWALL,V,20,8,0,0
U56,EWALL,V,25,8,0,0
U56,EWALL,V,30,8,0,0
U56,TOPN,G,0,7,0,0
U56,TOPN,G,5,7,0,0
U56,TOPN,G,10,7,0,0
U56,TOPN,G,15,7,0,0
U56,TOPN,G,20,7,0,0
U56,TOPN,G,25,7,0,0
U56,TOPN,G,30,7,0,0
U56,TOPN,GROSS,0,5,0,1
U56,TOPN,GROSS,5,5,0,1
U56,TOPN,GROSS,10,5,0,1
U56,TOPN,GROSS,15,5,0,1
U56,TOPN,GROSS,20,5,0,1
U56,TOPN,GROSS,25,5,0,0
U56,TOPN,GROSS,30,5,0,0
U56,TOPN,K,0,7,0,0
U56,TOPN,K,5,7,0,0
U56,TOPN,K,10,7,0,0
U56,TOPN,K,15,7,0,0
U56,TOPN,K,20,7,0,0
U56,TOPN,K,25,7,0,0
U56,TOPN,K,30,7,0,0
U56,TOPN,N,0,9,0,1
U56,TOPN,N,5,9,0,1
U56,TOPN,N,10,9,0,1
U56,TOPN,N,15,9,0,1
U56,TOPN,N,20,9,0,1
U56,TOPN,N,25,9,0,1
U56,TOPN,N,30,9,0,1
U56,TOPN,V,0,8,0,1
U56,TOPN,V,5,8,0,1
U56,TOPN,V,10,8,0,1
U56,TOPN,V,15,8,0,1
U56,TOPN,V,20,8,0,1
U56,TOPN,V,25,8,0,0
U56,TOPN,V,30,8,0,0
U56,V1C,G,0,7,0,0
U56,V1C,G,5,7,0,0
U56,V1C,G,10,7,0,0
U56,V1C,G,15,7,0,0
U56,V1C,G,20,7,0,0
U56,V1C,G,25,7,0,0
U56,V1C,G,30,7,0,0
U56,V1C,GROSS,0,5,0,1
U56,V1C,GROSS,5,5,0,0
U56,V1C,GROSS,10,5,0,0
U56,V1C,GROSS,15,5,0,0
U56,V1C,GROSS,20,5,0,0
U56,V1C,GROSS,25,5,0,0
U56,V1C,GROSS,30,5,0,0
U56,V1C,K,0,7,0,0
U56,V1C,K,5,7,0,0
U56,V1C,K,10,7,0,0
U56,V1C,K,15,7,0,0
U56,V1C,K,20,7,0,0
U56,V1C,K,25,7,0,0
U56,V1C,K,30,7,0,0
U56,V1C,N,0,9,0,3
U56,V1C,N,5,9,0,2
U56,V1C,N,10,9,0,1
U56,V1C,N,15,9,0,1
U56,V1C,N,20,9,0,1
U56,V1C,N,25,9,0,1
U56,V1C,N,30,9,0,1
U56,V1C,V,0,8,0,1
U56,V1C,V,5,8,0,1
U56,V1C,V,10,8,0,0
U56,V1C,V,15,8,0,0
U56,V1C,V,20,8,0,0
U56,V1C,V,25,8,0,0
U56,V1C,V,30,8,0,0
