,median_daily_dollar_volume,adv_rank,decile
ACH,12328688.760000002,79,9
GPRE,12281096.805,80,9
XIFR,12266502.295,81,9
HE,11923129.835,82,9
BJRI,11854766.969999999,83,9
PHR,11742157.0,84,9
OMCL,11683527.5,85,9
CRTO,11675499.0,86,9
NSP,11196381.579999998,87,9
NXH,11170495.5,88,9
UPBD,11051196.965,89,8
EPAC,11040825.879999999,90,8
TROX,10964769.615000002,91,8
GBX,10799951.43,92,8
OPK,10702389.0,93,8
AHCO,10588992.0,94,8
CNMD,10520493.44,95,8
SSTK,10413489.254999999,96,8
GOGO,9947422.5,97,8
MNRO,9883079.195,98,8
PRGS,9858638.02,99,8
JELD,9797100.0,100,8
INVA,9720765.0,101,8
IMCR,9574166.0,102,8
MTW,9543777.0,103,8
STRA,9541330.315,104,8
EBS,9505803.0,105,8
EAF,9437175.0,106,8
GCO,9409828.5,107,8
NTGR,9387373.1408,108,8
MNKD,9364577.0,109,8
VITL,9342336.0,110,8
VISN,9237797.65,111,8
EVTC,9070362.1,112,8
ICHR,8847803.0,113,8
HLMN,8796238.0,114,8
MLKN,8668300.16,115,8
CARS,8535768.0,116,8
YEXT,8499589.5,117,8
SVV,8497583.0,118,8
SWBI,8399568.567499999,119,8
WTI,8353150.300000001,120,8
CRON,8119547.0,121,8
XHR,8089556.625,122,8
LZB,8087299.875,123,8
BZH,7998493.0,124,8
PLTK,7869623.75,125,8
XPEL,7860133.999999999,126,8
LNN,7828010.85,127,8
ONT,7815757.0,128,8
CMRC,7777814.000000001,129,8
BGS,7720034.4,130,8
CRSR,7697659.0,131,8
ADTN,7539125.76,132,8
THRM,7479985.0,133,7
ZUMZ,7470987.000000001,134,7
FWRG,7438473.000000001,135,7
OXM,7256092.654999999,136,7
WNC,7223633.765000001,137,7
KROS,7181775.0,138,7
WS,7148489.12,139,7
JBI,7142850.0,140,7
EMBC,7096205.279999999,141,7
DLX,7052022.465,142,7
CSTL,7042770.0,143,7
LOVE,6989685.999999999,144,7
RGR,6870672.525,145,7
UIS,6864607.5,146,7
RRGB,6768710.0,147,7
COLL,6406496.0,148,7
DFIN,6233195.0,149,7
EGHT,6145500.5,150,7
ROCK,6116182.5,151,7
ACDC,6038505.0,152,7
AIN,5995615.965,153,7
INGN,5955743.5,154,7
PSFE,5807500.0,155,7
KRNT,5793354.0,156,7
MED,5782748.695,157,7
USNA,5747380.5,158,7
HTLD,5693948.72,159,7
VREX,5680839.0,160,7
NABL,5471583.5,161,7
APOG,5428463.65,162,7
HNST,5397236.5,163,7
CDRE,5376888.0,164,7
FET,5321997.0,165,7
OEC,5216981.4,166,7
UVV,5171076.225,167,7
EOLS,5160318.0,168,7
VTS,5144486.48,169,7
AMPH,5129769.0,170,7
FLNG,5085929.34,171,7
GDYN,5027750.0,172,7
SIBN,5008970.0,173,7
TCMD,4995620.0,174,7
SCL,4984085.42,175,7
MUX,4921389.6965,176,7
ICFI,4903727.8149999995,177,6
MEI,4868347.12,178,6
NAT,4838862.46,179,6
HZO,4826192.5,180,6
KLC,4800296.0,181,6
PLAB,4771907.5,182,6
DMC,4719837.029999999,183,6
TBPH,4698031.5,184,6
ATEN,4660725.73,185,6
SXC,4660446.959999999,186,6
TK,4655823.12,187,6
STOK,4654029.0,188,6
NPKI,4608129.0,189,6
CTKB,4579142.0,190,6
CLW,4571753.0,191,6
MGPI,4455692.71,192,6
HLIT,4408369.0,193,6
TWI,4365781.08,194,6
WEAV,4361496.0,195,6
ASTE,4344352.605,196,6
RYAM,4233758.76,197,6
SFL,4199640.27,198,6
CTEV,4190670.0,199,6
USPH,4143993.1,200,6
MATV,4124835.09,201,6
ECVT,4102039.2699999996,202,6
TRS,4095115.23,203,6
RDWR,3996150.0,204,6
TNC,3979774.9800000004,205,6
THRY,3974880.0,206,6
AKBA,3886400.0,207,6
OFIX,3848757.0,208,6
SCSC,3829122.5,209,6
SHOE,3817325.5349999997,210,6
FTK,3807463.0700000003,211,6
PNTG,3713966.0,212,6
CCSI,3701647.75,213,6
KIDS,3659580.0,214,6
LXU,3572422.0,215,6
KOP,3499384.745,216,6
WBTN,3475714.5,217,6
NX,3467143.3,218,6
GNK,3454030.08,219,6
XERS,3442926.0,220,6
MDXG,3441152.5,221,5
MATW,3438097.0749999997,222,5
ARDX,3425065.4,223,5
AGEN,3334925.5614,224,5
KFRC,3279643.27,225,5
QNST,3278880.0,226,5
CERS,3252940.5,227,5
ETD,3171796.1399999997,228,5
TITN,3170384.5,229,5
SWIM,3155489.9999999995,230,5
SD,2985994.71,231,5
SMP,2984707.045,232,5
BW,2983950.0,233,5
OSPN,2976872.075,234,5
AEBI,2963814.7,235,5
TLS,2913706.0,236,5
MLAB,2910106.71,237,5
APEI,2899073.0,238,5
LE,2848210.0,239,5
MITK,2835866.5,240,5
RIGL,2807908.0,241,5
HPK,2802246.0,242,5
RYZ,2801118.57,243,5
ACCO,2799855.2199999997,244,5
ANIK,2747033.0,245,5
ANGO,2732296.5,246,5
CGNT,2730880.0,247,5
XPER,2723490.0,248,5
MCFT,2704023.0,249,5
LMAT,2655710.75,250,5
WMK,2612713.29,251,5
CMCO,2580844.005,252,5
SRTA,2562448.0,253,5
HSTM,2504103.6550000003,254,5
CTS,2454950.01,255,5
LQDT,2403764.0,256,5
TH,2393795.0,257,5
MX,2383920.0,258,5
SHEN,2382756.5300000003,259,5
ALTO,2323080.0,260,5
RBBN,2313719.5,261,5
AVO,2302620.0,262,5
AORT,2290191.5,263,5
SPH,2285853.2649999997,264,5
MTRX,2243563.0,265,4
STRZ,2144505.0,266,4
CTRN,2106644.13,267,4
PLOW,2063999.58,268,4
EGY,2015606.56,269,4
NUTX,2015477.5,270,4
KRO,1996148.8199999998,271,4
NVGS,1990211.34,272,4
PACK,1970961.0,273,4
ASLE,1917160.0,274,4
VTOL,1916835.88,275,4
CSV,1913289.73,276,4
CODI,1852866.665,277,4
TUYA,1839746.37,278,4
MSEX,1836992.22,279,4
IMMR,1824905.5350000001,280,4
ATNI,1772975.37,281,4
WEST,1731378.0,282,4
DSX,1684693.41885,283,4
TBCH,1664105.0,284,4
BWMN,1658018.5,285,4
CYRX,1652861.0,286,4
HLLY,1630818.0,287,4
EVCM,1622985.0,288,4
RGP,1591973.3599999999,289,4
GRNT,1590990.7200000002,290,4
NPK,1575881.025,291,4
ADV,1565792.0,292,4
UTL,1563927.045,293,4
SMWB,1557401.9999999998,294,4
BLZE,1555711.5,295,4
JAKK,1506549.45,296,4
AOSL,1505181.0,297,4
CRAI,1477742.02,298,4
MYE,1468381.5750000002,299,4
MPAA,1454915.0,300,4
BXC,1401010.0,301,4
TEN,1400036.26,302,4
MPTI,1365300.0,303,4
RJET,1348719.6,304,4
RAIL,1337923.0,305,4
KE,1337084.0,306,4
SSTI,1324509.0,307,4
HCKT,1316443.1400000001,308,4
DAKT,1259462.1099999999,309,3
NNBR,1256974.6,310,3
JILL,1250238.0702,311,3
INSG,1243507.0,312,3
ALTG,1212063.09,313,3
ALLT,1209475.5,314,3
MG,1198095.0,315,3
IBEX,1174156.0,316,3
NGVC,1165768.56,317,3
AIRS,1163505.51,318,3
UFI,1148224.0,319,3
TXO,1125926.83,320,3
RICK,1118084.5050000001,321,3
WLDN,1116685.0,322,3
CVGI,1105809.0,323,3
PERI,1098337.345,324,3
MAMA,1097947.5,325,3
CVEO,1095038.7084000001,326,3
CCO,1094783.47,327,3
PAR,1087440.0,328,3
NRP,1082608.16,329,3
EBF,1076979.075,330,3
STIM,1072440.0,331,3
UAN,1067942.4,332,3
IRMD,1059012.8399999999,333,3
COOK,1032340.5,334,3
ALNT,1000738.2150000001,335,3
LXFR,963971.3500000001,336,3
DHX,962884.5,337,3
ORN,951946.0,338,3
VMD,950184.0,339,3
MEC,946808.0,340,3
FC,943822.0000000001,341,3
NRC,914153.51,342,3
CLFD,871209.0,343,3
WINA,870918.26,344,3
GLP,857193.715,345,3
ASMB,852698.88,346,3
CRMD,852480.0,347,3
LEGH,830400.0,348,3
NVEC,828340.8,349,3
SIGA,823674.01,350,3
RDVT,808241.0,351,3
UTI,794581.0,352,3
SPWR,791490.0,353,2
JFB,771116.0,354,2
NGS,760443.805,355,2
GIC,750362.9650000001,356,2
AUDC,750061.77,357,2
KRT,749533.5,358,2
YORW,740882.065,359,2
BALY,733362.5,360,2
SPOK,733330.6399999999,361,2
HSHP,708513.0,362,2
NPCE,695012.0,363,2
CWCO,677279.47,364,2
MRAM,675270.0,365,2
SILC,654953.0,366,2
ETON,621558.0,367,2
CURI,617270.2899999999,368,2
GHM,609071.8,369,2
RLGT,558540.0,370,2
NSSC,555698.8600000001,371,2
INSE,552903.0,372,2
FLXS,498973.135,373,2
TGLS,490922.485,374,2
UTMD,489094.595,375,2
PLPC,476930.57,376,2
LYTS,470090.23,377,2
SND,469928.89999999997,378,2
ITRN,464886.845,379,2
BBCP,463774.95999999996,380,2
DSGR,462024.0,381,2
HNRG,456732.39999999997,382,2
VATE,431472.5,383,2
TWIN,427499.8,384,2
EPM,426089.255,385,2
NAGE,425783.99999999994,386,2
LMB,422734.5,387,2
PMTS,421985.368,388,2
KVHI,404671.0,389,2
STLN,379566.0,390,2
INNV,375561.0,391,2
NATH,368381.16,392,2
OWLT,342271.08400000003,393,2
TRNS,306000.0,394,2
WLFC,304114.88,395,2
STRT,302610.0,396,2
GASS,290422.0,397,1
XGN,290273.0,398,1
PCYO,289440.0,399,1
NATR,288371.92000000004,400,1
LCUT,270917.4,401,1
III,245740.81999999998,402,1
GSL,241602.02300000002,403,1
GWRS,235859.72,404,1
GILT,210793.08000000002,405,1
EVI,210687.21000000002,406,1
WEYS,200820.14500000002,407,1
AIOT,182793.0,408,1
RDCM,177741.5,409,1
INFU,172840.0,410,1
OSS,169431.0,411,1
PSIX,168685.0,412,1
LTRX,168025.5,413,1
LWAY,152044.87,414,1
OESX,150763.0,415,1
PRTH,140915.5,416,1
CXDO,140761.41,417,1
TOYO,139193.5,418,1
TYGO,138980.0,419,1
ESEA,130600.62120000001,420,1
PANL,130378.845,421,1
INOD,126360.0,422,1
CLMB,111402.0,423,1
ACU,107823.225,424,1
OPTX,106491.00000000001,425,1
WYY,102660.0,426,1
IDN,91157.76,427,1
ALOT,75760.475,428,1
ELA,70620.0,429,1
PDEX,64652.5,430,1
FEIM,58318.44,431,1
REPX,55208.7,432,1
UAMY,54146.0,433,1
ESP,49106.4,434,1
TAYD,42711.5,435,1
LFMD,29700.0,436,1
TATT,25400.0,437,1
BDL,22286.824999999997,438,1
IDR,13846.42,439,1
