panel,key,sigma,klass,max_abs_d_rankpct,mean_abs_d_rankpct,frac_cells_moved,mean_xs_spearman,invariant
broad,COMP,0.1,RATIO,0.005333333333333357,3.092503162464643e-07,0.00019507696673051004,1.0,False
broad,VOL,0.1,RATIO,0.0,0.0,0.0,1.0,True
broad,MOM,0.1,RATIO,0.008000000000000007,1.2083090602068328e-07,2.5036616050974552e-05,1.0,True
broad,R6,0.1,RATIO,0.008130081300813052,3.9312792092557005e-07,8.658496384295365e-05,1.0,True
broad,R3,0.1,RATIO,0.016000000000000014,4.166364668770555e-07,9.075773318478274e-05,0.9999999402866806,True
broad,REBASED,0.1,RATIO,0.004132231404958775,9.438322260265035e-08,2.2950231380060008e-05,1.0,True
broad,DDTR,0.1,RATIO,0.008130081300813052,3.5572737900408216e-07,7.510984815292366e-05,1.0,True
broad,PRICE,0.1,LEVEL,0.2419354838709677,0.027131194253807278,0.8117220393158328,0.9912375372065144,False
broad,FROZEN,0.1,LEVEL,0.14049586776859507,0.02689017474105325,0.7489745419342455,0.9909499894651105,False
broad,PXTERM,0.1,LEVEL,0.1484375,0.02555583269262667,0.8169943333792338,0.9924602281264593,False
broad,FWDRET,0.1,FWD,0.0037037037037037646,4.014633016173316e-09,1.043192335457273e-06,1.0,True
broad,COMP,0.25,RATIO,0.002710027100271073,2.5767598394422844e-07,0.00017056194684726415,0.9999998745527806,False
broad,VOL,0.25,RATIO,0.0,0.0,0.0,1.0,True
broad,MOM,0.25,RATIO,0.007692307692307665,1.2523224586051923e-07,2.7123000721889095e-05,1.0,True
broad,R6,0.25,RATIO,0.008130081300812997,3.1364521563608883e-07,7.093707881109455e-05,1.0,True
broad,R3,0.25,RATIO,0.008000000000000007,3.3810612596558476e-07,7.876102132702409e-05,0.9999999701433403,True
broad,REBASED,0.25,RATIO,0.004132231404958678,5.9093277974196817e-08,1.4604692696401821e-05,1.0,True
broad,DDTR,0.25,RATIO,0.008130081300813052,3.448837615664562e-07,7.30234634820091e-05,1.0,True
broad,PRICE,0.25,LEVEL,0.40650406504065034,0.0633876488855824,0.8896083438695759,0.9546240258319761,False
broad,FROZEN,0.25,LEVEL,0.3388429752066116,0.06337253898704936,0.8710885503382029,0.9516162021092649,False
broad,PXTERM,0.25,LEVEL,0.2945736434108527,0.0605431531332623,0.897955968937905,0.960117130145897,False
broad,FWDRET,0.25,FWD,0.0037037037037037646,8.029266032346632e-09,2.086384670914546e-06,1.0,True
small,COMP,0.1,RATIO,0.001547987616099089,5.427550890215136e-07,0.0007637172873224376,0.9999999939672848,False
small,VOL,0.1,RATIO,0.0038610038610038602,8.1723210130593e-08,3.19720813283045e-05,1.0,True
small,MOM,0.1,RATIO,0.004132231404958775,3.6972111345359696e-07,0.00016889206803369892,1.0,False
small,R6,0.1,RATIO,0.004643962848297267,5.400815956864294e-07,0.00026173754714527245,0.9999999956372058,False
small,R3,0.1,RATIO,0.004081632653061273,7.196987868175635e-07,0.00036000202309215183,0.9999999806466094,False
small,REBASED,0.1,RATIO,0.006147540983606592,2.882121439721051e-07,0.00013728125316108148,1.0,False
small,DDTR,0.1,RATIO,0.004081632653061273,5.3940186369784e-07,0.00024186789208248435,0.999999995536257,False
small,PRICE,0.1,LEVEL,0.20066889632107027,0.02256492901169761,0.718850522391295,0.9939603462457693,False
small,FROZEN,0.1,LEVEL,0.16857142857142865,0.02405928284958882,0.7053189260270805,0.993068919647145,False
small,PXTERM,0.1,LEVEL,0.11818181818181817,0.02131602162133045,0.7243513460788139,0.9950151934628729,False
small,FWDRET,0.1,FWD,0.0026246719160105125,1.0385497133756126e-07,6.0692764555425495e-05,1.0,True
small,DVOL,0.1,LEVEL,0.14645308924485123,0.013231836896908178,0.6767915203537521,0.9979267743305157,False
small,DVOLT,0.1,LEVEL,0.15081206496519717,0.016230940153245565,0.6951633646912617,0.9968697539567998,False
small,VOLSH,0.1,RATIO,0.0,0.0,0.0,1.0,True
small,COMP,0.25,RATIO,0.002116402116402072,5.415389952635437e-07,0.0007572144911200705,0.9999999965522613,False
small,VOL,0.25,RATIO,0.0011363636363636363,6.369282732778972e-09,4.335197468244678e-06,1.0,True
small,MOM,0.25,RATIO,0.006349206349206438,3.4564828561348145e-07,0.00015227381107209433,0.9999999978815942,False
small,R6,0.25,RATIO,0.004643962848297267,5.037192519481085e-07,0.0002480094218291643,0.9999999955349552,False
small,R3,0.25,RATIO,0.004081632653061273,7.839947112844082e-07,0.0003885420730914293,0.9999999932720489,False
small,REBASED,0.25,RATIO,0.004149377593361037,2.95777629255747e-07,0.0001412551841736391,1.0,False
small,DDTR,0.25,RATIO,0.006122448979591799,6.117389443398348e-07,0.0002691435094868571,0.9999999973909729,False
small,PRICE,0.25,LEVEL,0.39591836734693875,0.054185352943079655,0.7503180951142324,0.9660174107331763,False
small,FROZEN,0.25,LEVEL,0.3486238532110092,0.05797246658583175,0.7445168783688096,0.9612111742370243,False
small,PXTERM,0.25,LEVEL,0.2820512820512821,0.0509838379096678,0.7542233855002095,0.9718313446430313,False
small,FWDRET,0.25,FWD,0.0031847133757961776,1.0230007513633828e-07,5.960896518836433e-05,1.0,True
small,DVOL,0.25,LEVEL,0.2752293577981651,0.03154043708110828,0.727659643646768,0.988500383866446,False
small,DVOLT,0.25,LEVEL,0.31350114416475977,0.03878510280704306,0.7357373809627029,0.9826995842136755,False
small,VOLSH,0.25,RATIO,0.0,0.0,0.0,1.0,True
