panel,theta,cad,family,con,CAGR,Sharpe,MaxDD,H1,H2,isCAGR,isSharpe,isMaxDD,oCAGR,oSharpe,oMaxDD,p4a,f4b,pass4b
U56,0.06,M,MA-THRESH,DEGROSS,0.06190133036925061,1.1024655342439886,-0.07691657559859899,1.1081443481723776,1.0996774552099102,0.05325505976902889,0.9877674675274737,-0.06100904251112704,0.06908118097584848,1.1921384538697142,-0.07691657559859899,False,CAGR,False
U56,0.06,M,QUANTILE-M,RESPREAD,0.15816455343577895,1.2393341160753624,-0.19738563076715954,1.313798498218396,1.1848577195559633,0.14477093962460463,1.2212207032622568,-0.10483424541189412,0.16932169903700922,1.2562698166939728,-0.19738563076715931,False,,True
U56,0.06,M,QUANTILE-M,DEGROSS,0.07000316883759417,1.2341688519252136,-0.09196132841261828,1.302785054934136,1.1847815814696527,0.0636732330425418,1.2089911320228848,-0.04902436142396038,0.07524880151342983,1.2563591027856413,-0.09196132841261817,True,CAGR,False
U56,0.06,M,QUANTILE-F,RESPREAD,0.15754891751098543,1.2290567343847707,-0.19728591226854886,1.3001509432693585,1.1779254744905725,0.14325378710422054,1.2068592110835488,-0.10693595680332002,0.1694656735245368,1.2491514237336754,-0.1972859122685492,False,,True
U56,0.06,M,QUANTILE-F,DEGROSS,0.0682840255955226,1.224167648358565,-0.09119547007330153,1.2936751274630933,1.1742423752936308,0.06210149790995656,1.2004056025683536,-0.04828095830938672,0.07340689708390968,1.2453894421871592,-0.09119547007330164,True,CAGR,False
U56,0.06,Q,MA-THRESH,RESPREAD,0.14128567426884708,1.0343303673500144,-0.2575498876096479,1.1729721028859168,0.9336317414169826,0.13621345371627114,1.084571875656337,-0.15617877695160198,0.14548336899486958,1.0038631254660317,-0.2575498876096477,False,DD,False
U56,0.06,Q,MA-THRESH,DEGROSS,0.05620336174684404,0.8672042880001349,-0.18014585727883126,1.0781724052283184,0.712170304351912,0.056605782452313624,0.9683492662655998,-0.10063450242811878,0.05587178976432727,0.8041277984023493,-0.18014585727883126,False,H2|OOS|CAGR,False
U56,0.06,Q,QUANTILE-M,RESPREAD,0.15282338347150715,1.1285882278719306,-0.2672802512760907,1.2772652865514798,1.0201283208805574,0.14730888384098195,1.1869980983530453,-0.14213168513276808,0.15738852023210548,1.093232237811116,-0.26728025127609034,False,DD,False
U56,0.06,Q,QUANTILE-M,DEGROSS,0.06832546386111304,1.1283179681165862,-0.12492374176654097,1.271485064512524,1.0237515487865605,0.06525830686670653,1.1802670841301472,-0.065836924905464,0.07086014467835078,1.097453902521189,-0.12492374176654053,False,CAGR,False
U56,0.06,Q,QUANTILE-F,RESPREAD,0.15471482748318377,1.1341286670154236,-0.2675576263930335,1.2758172173922793,1.0316711211229785,0.147779409618654,1.1844114671147854,-0.14621445515528464,0.16046270106147387,1.104702754181623,-0.2675576263930338,False,DD,False
