scheme,tol,tol_value,cls,rows,share
C2_TRANSFORM_vs_NOT,1e-04,0.0001,NOT_TRANSFORM,1090,0.007465344364692345
C3_T_V_X,1e-04,0.0001,RECOVERED,23,0.00015752561503479262
C3_T_V_X,1e-04,0.0001,TRANSFORM,144895,0.9923771300202728
C3_T_V_X,1e-04,0.0001,VINTAGE,1076,0.007369459207714646
C3_T_V_X,1e-04,0.0001,PHANTOM,14,9.588515697769985e-05
C4_T_Vname_Vgit_X,1e-04,0.0001,RECOVERED,23,0.00015752561503479262
C4_T_Vname_Vgit_X,1e-04,0.0001,TRANSFORM,144895,0.9923771300202728
C4_T_Vname_Vgit_X,1e-04,0.0001,VINTAGE_namedate,0,0.0
C4_T_Vname_Vgit_X,1e-04,0.0001,VINTAGE_gitonly,1076,0.007369459207714646
C4_T_Vname_Vgit_X,1e-04,0.0001,PHANTOM,14,9.588515697769985e-05
C2_TRANSFORM_vs_NOT,1e-02,0.01,RECOVERED,2016,0.01380746260478878
C2_TRANSFORM_vs_NOT,1e-02,0.01,TRANSFORM,142902,0.9787271930305189
C2_TRANSFORM_vs_NOT,1e-02,0.01,NOT_TRANSFORM,1090,0.007465344364692345
C3_T_V_X,1e-02,0.01,RECOVERED,2016,0.01380746260478878
C3_T_V_X,1e-02,0.01,TRANSFORM,142902,0.9787271930305189
C3_T_V_X,1e-02,0.01,VINTAGE,1076,0.007369459207714646
C3_T_V_X,1e-02,0.01,PHANTOM,14,9.588515697769985e-05
C4_T_Vname_Vgit_X,1e-02,0.01,RECOVERED,2016,0.01380746260478878
C4_T_Vname_Vgit_X,1e-02,0.01,TRANSFORM,142902,0.9787271930305189
C4_T_Vname_Vgit_X,1e-02,0.01,VINTAGE_namedate,0,0.0
C4_T_Vname_Vgit_X,1e-02,0.01,VINTAGE_gitonly,1076,0.007369459207714646
C4_T_Vname_Vgit_X,1e-02,0.01,PHANTOM,14,9.588515697769985e-05
C2_TRANSFORM_vs_NOT,5e-02,0.05,RECOVERED,3443,0.023580899676730042
C2_TRANSFORM_vs_NOT,5e-02,0.05,TRANSFORM,141475,0.9689537559585776
C2_TRANSFORM_vs_NOT,5e-02,0.05,NOT_TRANSFORM,1090,0.007465344364692345
C3_T_V_X,5e-02,0.05,RECOVERED,3443,0.023580899676730042
C3_T_V_X,5e-02,0.05,TRANSFORM,141475,0.9689537559585776
C3_T_V_X,5e-02,0.05,VINTAGE,1076,0.007369459207714646
C3_T_V_X,5e-02,0.05,PHANTOM,14,9.588515697769985e-05
C4_T_Vname_Vgit_X,5e-02,0.05,RECOVERED,3443,0.023580899676730042
C4_T_Vname_Vgit_X,5e-02,0.05,TRANSFORM,141475,0.9689537559585776
C4_T_Vname_Vgit_X,5e-02,0.05,VINTAGE_namedate,0,0.0
C4_T_Vname_Vgit_X,5e-02,0.05,VINTAGE_gitonly,1076,0.007369459207714646
C4_T_Vname_Vgit_X,5e-02,0.05,PHANTOM,14,9.588515697769985e-05
C2_TRANSFORM_vs_NOT,ANY,-1.0,RECOVERED,3455,0.0236630869541395
C2_TRANSFORM_vs_NOT,ANY,-1.0,TRANSFORM,141463,0.9688715686811682
C2_TRANSFORM_vs_NOT,ANY,-1.0,NOT_TRANSFORM,1090,0.007465344364692345
C3_T_V_X,ANY,-1.0,RECOVERED,3455,0.0236630869541395
C3_T_V_X,ANY,-1.0,TRANSFORM,141463,0.9688715686811682
C3_T_V_X,ANY,-1.0,VINTAGE,1076,0.007369459207714646
C3_T_V_X,ANY,-1.0,PHANTOM,14,9.588515697769985e-05
C4_T_Vname_Vgit_X,ANY,-1.0,RECOVERED,3455,0.0236630869541395
C4_T_Vname_Vgit_X,ANY,-1.0,TRANSFORM,141463,0.9688715686811682
C4_T_Vname_Vgit_X,ANY,-1.0,VINTAGE_namedate,0,0.0
C4_T_Vname_Vgit_X,ANY,-1.0,VINTAGE_gitonly,1076,0.007369459207714646
C4_T_Vname_Vgit_X,ANY,-1.0,PHANTOM,14,9.588515697769985e-05
