panel,kind,q,k,seed,arm,keep4a,keep4b,fails4b,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,OOS_CAGR,OOS_MaxDD
k20~q0.250~s05,k20q0.250,0.25,20,5,EWall,False,False,"H2,OOS,DD",0.1043719761422468,0.8454661990052685,-0.21199946384241153,0.9108614295280961,0.7899082665492516,0.8176349769570255,0.10239162187576034,-0.21199946384241208
k20~q0.250~s05,k20q0.250,0.25,20,5,CAND10,False,False,"H2,OOS,DD",0.11523359075811301,0.884041741553366,-0.2284590651145697,0.9777180542511577,0.8047365122600775,0.8365809198791714,0.1107556547964006,-0.22845906511456937
k20~q0.250~s05,k20q0.250,0.25,20,5,CAND20,False,False,"H2,OOS,DD",0.10200714647205777,0.8290371491791331,-0.21199946384241197,0.9116509670919191,0.7582988504939147,0.7911338419260565,0.09861420377080155,-0.2119994638424113
k20~q0.250~s06,k20q0.250,0.25,20,6,EWall,False,False,DD,0.13938090796886082,0.9869451025870921,-0.25226635959395505,1.0382198784899987,0.9464626932318806,0.9991192434231504,0.1439050529610404,-0.25226635959395494
k20~q0.250~s06,k20q0.250,0.25,20,6,CAND10,False,False,DD,0.1393809511342099,0.9647796910896286,-0.2502030405008675,0.9943086322744327,0.9429107067877707,0.9539513526007635,0.14020576425362719,-0.2502030405008674
k20~q0.250~s06,k20q0.250,0.25,20,6,CAND20,False,False,DD,0.13094742971755835,0.9417877776857243,-0.25226635959395494,1.012386080723927,0.88251257632579,0.9399339391265427,0.13237524000302425,-0.25226635959395516
k20~q0.250~s07,k20q0.250,0.25,20,7,EWall,False,False,"H2,OOS,DD,CAGR",0.09851593423757654,0.8188833307525036,-0.2609836030978311,1.039136982927566,0.6201468969856454,0.6880597213472356,0.08041375150204577,-0.2609836030978313
k20~q0.250~s07,k20q0.250,0.25,20,7,CAND10,False,False,"H2,OOS,DD,CAGR",0.09084329476847897,0.7392634288758609,-0.2746364417705529,0.9517789282093051,0.5420159092432616,0.5943322633259448,0.06957144386535274,-0.274636441770552
k20~q0.250~s07,k20q0.250,0.25,20,7,CAND20,False,False,"H2,OOS,DD",0.1003988283680679,0.8325436199246422,-0.24961598877527635,1.0489478441516709,0.6373408084028644,0.7026698693211693,0.08238063620924985,-0.2496159887752777
k20~q0.250~s08,k20q0.250,0.25,20,8,EWall,False,False,"H1,DD",0.11793020536322185,0.8825221874837351,-0.3179153823273363,0.8653398270448499,0.9156290493938147,0.9958528109688605,0.14696571602083242,-0.3179153823273365
k20~q0.250~s08,k20q0.250,0.25,20,8,CAND10,False,False,DD,0.12223577978067945,0.8878437343752466,-0.31606875303999493,0.9148646913050622,0.888853686875364,0.9785921876798921,0.14863595473701463,-0.31606875303999493
k20~q0.250~s08,k20q0.250,0.25,20,8,CAND20,False,False,"H1,DD",0.11795038510055766,0.8825224865701414,-0.3179153823273366,0.8587315931397436,0.920580096213364,0.9999797708145224,0.14779834572691053,-0.3179153823273365
k20~q0.250~s09,k20q0.250,0.25,20,9,EWall,False,False,"H1,H2,OOS,DD",0.10253596150291178,0.7778506020381538,-0.25733130336732213,0.7194514446137764,0.8326618679892025,0.8499661779589113,0.11793171121339241,-0.2573313033673219
k20~q0.250~s09,k20q0.250,0.25,20,9,CAND10,False,False,"H1,H2,OOS,DD",0.1033608935039525,0.7616962653518184,-0.25733130336732213,0.6584010109689832,0.8527483676931988,0.8694078720750912,0.12590292118627078,-0.25733130336732224
k20~q0.250~s09,k20q0.250,0.25,20,9,CAND20,False,False,"H1,H2,OOS,DD",0.103314122381573,0.7826187097423863,-0.25733130336732246,0.7255814295629078,0.836438566052612,0.8530885824177614,0.11861814337674992,-0.25733130336732224
k20~q0.250~s10,k20q0.250,0.25,20,10,EWall,False,False,"H2,DD",0.15869885014747465,1.047972309918979,-0.3925784897323482,1.3729192475889165,0.7518983475031368,0.8980646661401251,0.1336230815158459,-0.3925784897323491
k20~q0.250~s10,k20q0.250,0.25,20,10,CAND10,False,False,"H2,DD",0.16204833019912113,1.0312432749505858,-0.39458324206904083,1.32685664886031,0.7685950875008158,0.915292066808219,0.14331438222377768,-0.3945832420690413
k20~q0.250~s10,k20q0.250,0.25,20,10,CAND20,False,False,"H2,DD",0.15725067482635624,1.0397030389951571,-0.3925784897323483,1.3555785500072002,0.7518983475031368,0.9056682382571185,0.13493388489639946,-0.392578489732348
k20~q0.250~s11,k20q0.250,0.25,20,11,EWall,False,False,"H2,DD",0.10301892269032531,0.8430248723681143,-0.2670753249269826,0.9171661930698721,0.7864705606667158,0.9409808643376028,0.12162046667759308,-0.26707532492698294
k20~q0.250~s11,k20q0.250,0.25,20,11,CAND10,False,False,"H1,H2,DD",0.1014544539424953,0.7955209206599894,-0.26488154378479745,0.8881004558780281,0.72115875998096,0.9321745843452451,0.12708085423110616,-0.2648815437847971
k20~q0.250~s11,k20q0.250,0.25,20,11,CAND20,False,False,"H2,DD",0.1039821354122914,0.8499171470750423,-0.2670753249269827,0.9322958663140907,0.7864705606667158,0.9409808643376028,0.12162046667759308,-0.26707532492698294
k20~q0.250~s12,k20q0.250,0.25,20,12,EWall,False,False,"H1,H2,OOS,DD,CAGR",0.08634913765283314,0.7288560613551636,-0.24197032416571485,0.797139735132422,0.679795104713694,0.7172693868908749,0.08883281002533305,-0.24197032416571396
k20~q0.250~s12,k20q0.250,0.25,20,12,CAND10,False,False,"H1,H2,OOS,DD,CAGR",0.0901583832986208,0.7245546306257632,-0.2607601642479984,0.8132929213487738,0.6602286153527146,0.7127887096200788,0.09332141441942765,-0.26076016424799797
k20~q0.250~s12,k20q0.250,0.25,20,12,CAND20,False,False,"H1,H2,OOS,DD,CAGR",0.0862981801123015,0.7284168235794465,-0.24197032416571396,0.7961200392118,0.679795104713694,0.7172693868908749,0.08883281002533305,-0.24197032416571396
k20~q0.250~s13,k20q0.250,0.25,20,13,EWall,False,False,"H2,OOS,DD",0.10930202408271028,0.9108011845884232,-0.27571940381858473,1.1296241500446516,0.7245606740521979,0.8373497562792964,0.10265493576762008,-0.27571940381858495
k20~q0.250~s13,k20q0.250,0.25,20,13,CAND10,False,False,"H2,OOS,DD",0.10564472256252788,0.8546001312018431,-0.2761154480273028,1.1868742921821522,0.566666363090347,0.750800152308256,0.09431389285224778,-0.2761154480273029
k20~q0.250~s13,k20q0.250,0.25,20,13,CAND20,False,False,"H2,OOS,DD",0.10878430088747115,0.9077136127177873,-0.27571940381858495,1.1312791703614613,0.7179274712582445,0.8318026141385514,0.10188881583646414,-0.27571940381858495
k20~q0.250~s14,k20q0.250,0.25,20,14,EWall,False,False,"H2,OOS,DD",0.10272893485042234,0.8436406378369066,-0.2462950160839137,1.004635098140811,0.7120563911195879,0.8216333466801844,0.10312656614211768,-0.24629501608391402
k20~q0.250~s14,k20q0.250,0.25,20,14,CAND10,False,False,"H2,OOS,DD",0.1019164753461328,0.7993281271114835,-0.2530223038405929,0.9269725497837666,0.6966471345577211,0.8047698519234233,0.10648536373455886,-0.25302230384059277
k20~q0.250~s14,k20q0.250,0.25,20,14,CAND20,False,False,"H2,OOS,DD",0.10334561009172738,0.8484469312054754,-0.2462950160839138,1.0145765156775541,0.7123219302795655,0.8219674760524879,0.10309492516672059,-0.24629501608391402
k20~q0.250~s15,k20q0.250,0.25,20,15,EWall,False,False,"H1,H2,OOS,DD,CAGR",0.09743076570925768,0.7758222600645159,-0.24165934501541442,0.8255488276612806,0.735563862777488,0.8497669208636117,0.111055191721811,-0.2416593450154133
k20~q0.250~s15,k20q0.250,0.25,20,15,CAND10,False,False,"H1,H2,OOS,DD",0.102830348749966,0.7846788336568566,-0.24395774861894248,0.7962766718152923,0.778451731619169,0.8701786920241963,0.11928560660241794,-0.24395774861894237
k20~q0.250~s15,k20q0.250,0.25,20,15,CAND20,False,False,"H1,H2,OOS,DD,CAGR",0.0979615451215834,0.7786774149695426,-0.24165934501541464,0.8255488276612806,0.7411255277693455,0.8541548493373546,0.11192456884986046,-0.24165934501541364
k20~q0.250~s16,k20q0.250,0.25,20,16,EWall,False,False,"H1,H2,DD,CAGR",0.09372821624259609,0.8516610368598798,-0.2043062248193508,0.8794043889348344,0.8263439802696104,0.8826012821767488,0.09745806752941766,-0.2043062248193508
k20~q0.250~s16,k20q0.250,0.25,20,16,CAND10,False,False,"H1,OOS,DD,CAGR",0.0978374820933241,0.8361576042625478,-0.20949481276405013,0.7641752935617335,0.9049087010111502,0.8710688626154649,0.10232176746880395,-0.2094948127640498
k20~q0.250~s16,k20q0.250,0.25,20,16,CAND20,False,False,"H1,H2,DD,CAGR",0.09444462974310008,0.8570598208919856,-0.20430622481935068,0.890498172721552,0.8263439802696104,0.8826012821767488,0.09745806752941766,-0.2043062248193508
k20~q0.250~s17,k20q0.250,0.25,20,17,EWall,False,False,"H2,OOS,DD",0.10398991182055672,0.8178686863004306,-0.23425683706065992,0.9702292739793295,0.7197183659501644,0.7604362863740489,0.10222127643772705,-0.2342568370606597
k20~q0.250~s17,k20q0.250,0.25,20,17,CAND10,False,False,"H2,OOS,DD",0.1092825922075451,0.8138418607685773,-0.26348259030963506,1.0062941293981653,0.6812667889835096,0.7330979723913275,0.10329174092685078,-0.2634825903096354
k20~q0.250~s17,k20q0.250,0.25,20,17,CAND20,False,False,"H2,OOS,DD",0.10437353272245109,0.8203603979159259,-0.23425683706066003,0.9759596429647782,0.7197183659501644,0.7604362863740489,0.10222127643772705,-0.2342568370606597
k20~q0.250~s18,k20q0.250,0.25,20,18,EWall,False,False,"H1,H2,OOS,CAGR",0.08338583893758789,0.6998642957501358,-0.1998413569933466,0.8312886477028446,0.5877654700056868,0.6984318566566802,0.08429647375985527,-0.1998413569933465
k20~q0.250~s18,k20q0.250,0.25,20,18,CAND10,False,False,"H1,H2,OOS,CAGR",0.08620637363173378,0.6922343793822173,-0.20201103136618626,0.8181425606735203,0.5887473211960911,0.6518352712398122,0.08237539709404351,-0.20201103136618592
k20~q0.250~s18,k20q0.250,0.25,20,18,CAND20,False,False,"H1,H2,OOS,CAGR",0.08452839892689834,0.7060137369902494,-0.1998413569933466,0.8312886477028446,0.6003465281826057,0.708292115150648,0.08614683311565074,-0.19984135699334682
k20~q0.250~s19,k20q0.250,0.25,20,19,EWall,False,True,-,0.12165683403026728,0.9414176693102309,-0.19464456182285872,0.9828731492815825,0.9103240932381742,0.9556970371756983,0.12718466825946995,-0.19464456182285983
k20~q0.250~s19,k20q0.250,0.25,20,19,CAND10,False,False,"H2,OOS,DD",0.1155320180633217,0.8578348492840842,-0.21024737334825838,0.8995760525336891,0.8274949570814472,0.8650171069700268,0.12060747873189692,-0.21024737334825838
k20~q0.250~s19,k20q0.250,0.25,20,19,CAND20,False,True,-,0.12158532737035488,0.9406452061723819,-0.19464456182286005,0.9828731492815825,0.9089432085857616,0.9544885234175116,0.1270684314196926,-0.1946445618228596
k20~q0.250~s20,k20q0.250,0.25,20,20,EWall,False,False,"H1,H2,OOS,DD,CAGR",0.08407750172081929,0.6712614670974896,-0.3005888894276484,0.8634942173738235,0.5023635187297354,0.5508026136662547,0.06673220059102225,-0.3005888894276483
k20~q0.250~s20,k20q0.250,0.25,20,20,CAND10,False,False,"H1,H2,OOS,DD,CAGR",0.08172054787876903,0.6306745594880225,-0.3090652420732878,0.8638169059186078,0.4236418217873909,0.44126239470934736,0.053300005212144175,-0.30906524207328734
k20~q0.250~s20,k20q0.250,0.25,20,20,CAND20,False,False,"H1,H2,OOS,DD,CAGR",0.08407750172081929,0.6712614670974896,-0.3005888894276484,0.8634942173738235,0.5023635187297354,0.5508026136662547,0.06673220059102225,-0.3005888894276483
k20~q0.250~s21,k20q0.250,0.25,20,21,EWall,False,False,"H2,OOS,DD",0.10754969898068101,0.8208825410468632,-0.2652359977410831,1.183505557705444,0.4968647560205536,0.640325098153983,0.08142810509706067,-0.2652359977410834
k20~q0.250~s21,k20q0.250,0.25,20,21,CAND10,False,False,"H2,OOS,DD",0.12140167357050813,0.8805623371581497,-0.274921598356771,1.1510692534676885,0.6293078067274281,0.7555054833893696,0.10205226397539202,-0.27492159835677055
k20~q0.250~s21,k20q0.250,0.25,20,21,CAND20,False,False,"H2,OOS,DD",0.10692985107270392,0.8164090973354962,-0.2652359977410834,1.1735745663341686,0.4968647560205536,0.640325098153983,0.08142810509706067,-0.2652359977410834
k20~q0.250~s22,k20q0.250,0.25,20,22,EWall,False,False,DD,0.11638789725840182,0.9528855575083557,-0.2703599810522894,1.053928261465322,0.8781664377082016,0.9886928979625358,0.12551251059241153,-0.2703599810522893
k20~q0.250~s22,k20q0.250,0.25,20,22,CAND10,False,False,"H2,DD",0.11680706946714015,0.91597426115938,-0.2693196463974149,1.0447465279722925,0.8158032129022352,0.912997207556648,0.12027911696324378,-0.2693196463974148
k20~q0.250~s22,k20q0.250,0.25,20,22,CAND20,False,False,DD,0.11638716973924734,0.9529940334313679,-0.2703599810522892,1.0551643724719304,0.8771923259438117,0.9879349372890018,0.12534491169635742,-0.2703599810522893
k20~q0.250~s23,k20q0.250,0.25,20,23,EWall,False,False,"H2,OOS,DD,CAGR",0.06632803233391726,0.5753166304478081,-0.32692200186178655,0.9247505898350551,0.32223515666030084,0.45664070866572104,0.053462329551456245,-0.32692200186178677
k20~q0.250~s23,k20q0.250,0.25,20,23,CAND10,False,False,"H1,H2,OOS,DD,CAGR",0.06470159295053746,0.544064403925204,-0.3288550215919793,0.8633124537320497,0.3065155749920639,0.46751958540759475,0.05700243185112863,-0.3288550215919791
k20~q0.250~s23,k20q0.250,0.25,20,23,CAND20,False,False,"H2,OOS,DD,CAGR",0.06644668667227438,0.5759217839761256,-0.32692200186178655,0.9247505898350551,0.3236273774575528,0.45769743522316797,0.05365195538961376,-0.32692200186178677
k20~q0.250~s24,k20q0.250,0.25,20,24,EWall,False,False,DD,0.12109573806037477,0.9051479567613081,-0.2722091402903255,0.9273764428794384,0.8944931820415609,0.9723813190216614,0.13843203375433832,-0.27220914029032406
k20~q0.250~s24,k20q0.250,0.25,20,24,CAND10,False,False,"H1,DD",0.12151641055529483,0.8746564761492537,-0.2891490592060364,0.8206826167549749,0.9268720827305927,0.9635849911489935,0.14428905954147164,-0.2891490592060376
k20~q0.250~s24,k20q0.250,0.25,20,24,CAND20,False,False,DD,0.11915214988635103,0.892573368283582,-0.2722091402903246,0.9074258861557855,0.8879752866076321,0.9668927196579169,0.13756386010732613,-0.27220914029032406
k20~q0.250~s25,k20q0.250,0.25,20,25,EWall,False,False,"H1,H2,OOS,DD,CAGR",0.0854472573667564,0.645765379864362,-0.34373771210256776,0.8208657031394633,0.5110679304065393,0.6204546561765297,0.08429540545870884,-0.3437377121025682
k20~q0.250~s25,k20q0.250,0.25,20,25,CAND10,False,False,"H1,H2,OOS,DD,CAGR",0.08933438405524519,0.6571168839164421,-0.3406812313394977,0.8547856604210406,0.5049042960233355,0.6123104414367446,0.0853343633749355,-0.34068123133949746
k20~q0.250~s25,k20q0.250,0.25,20,25,CAND20,False,False,"H1,H2,OOS,DD,CAGR",0.0839295223900487,0.6355876267482062,-0.35585897753714113,0.8173735799557575,0.49525415851225046,0.6069299631811623,0.0822028467489242,-0.3558589775371399
k20~q0.250~s26,k20q0.250,0.25,20,26,EWall,False,False,"H2,DD",0.09988301235997987,0.8435410482508041,-0.2412326955536278,0.9077423284463597,0.7925944928567361,0.8987571262822838,0.11039076705348538,-0.24123269555362903
k20~q0.250~s26,k20q0.250,0.25,20,26,CAND10,False,False,"H2,DD",0.10871553147839186,0.8759560547810078,-0.24089554205409536,0.9490923707348222,0.8162267945550382,0.9022804548352382,0.11634194955328181,-0.24089554205409658
k20~q0.250~s26,k20q0.250,0.25,20,26,CAND20,False,False,"H2,DD",0.1011358333846668,0.8527918415485147,-0.24123269555362858,0.9277572371456844,0.7925944928567361,0.8987571262822838,0.11039076705348538,-0.24123269555362903
k20~q0.250~s27,k20q0.250,0.25,20,27,EWall,False,False,H1,0.10864060718386326,0.878965890057922,-0.18158211019807846,0.8682248614356862,0.8897219541396283,0.8877743277607564,0.1095595980237305,-0.18158211019807868
k20~q0.250~s27,k20q0.250,0.25,20,27,CAND10,False,False,"H1,OOS",0.11101761476148209,0.8612761640032797,-0.1800305262002161,0.8465574305950581,0.8756878442653222,0.8288494924889671,0.10608015405366045,-0.18003052620021665
k20~q0.250~s27,k20q0.250,0.25,20,27,CAND20,False,False,H1,0.10958831203319286,0.8836462391464908,-0.18158211019807857,0.8716851116986811,0.8955894603635488,0.8925938181075298,0.11059218333757093,-0.18158211019807868
k20~q0.250~s28,k20q0.250,0.25,20,28,EWall,False,True,-,0.12685466319266903,1.0644031857304634,-0.16863346163198456,1.0910686134478302,1.0441771597134253,1.1754160482853115,0.14441956649414633,-0.16682289807581863
k20~q0.250~s28,k20q0.250,0.25,20,28,CAND10,False,True,-,0.13182404032117034,1.0367865234396132,-0.17906560304797658,1.0508397421770754,1.0283954991833169,1.1425700928865303,0.15186504258296374,-0.17906560304797647
k20~q0.250~s28,k20q0.250,0.25,20,28,CAND20,False,True,-,0.12658447716873256,1.061718974572864,-0.16863346163198456,1.0881028961158472,1.041813894283872,1.1732584416115477,0.1442653580331148,-0.16682289807581852
k20~q0.250~s29,k20q0.250,0.25,20,29,EWall,False,False,"H2,OOS,DD,CAGR",0.09305793932619988,0.7588447366062008,-0.3475183465460848,1.0740719502682325,0.49046450409974734,0.5773490561067873,0.06902557604617554,-0.3475183465460847
k20~q0.250~s29,k20q0.250,0.25,20,29,CAND10,False,False,"H2,OOS,DD",0.10289694274395567,0.7995282644549837,-0.35360216188372084,1.115031851846063,0.5256697012215746,0.6563008119671684,0.08327110336579291,-0.35360216188372084
k20~q0.250~s29,k20q0.250,0.25,20,29,CAND20,False,False,"H2,OOS,DD,CAGR",0.09297791452878967,0.7582146830343592,-0.3475183465460846,1.0726262502251995,0.49046450409974734,0.5773490561067873,0.06902557604617554,-0.3475183465460847
k20~q0.250~s30,k20q0.250,0.25,20,30,EWall,False,False,"H2,OOS,DD",0.11356316665653354,0.8747371138635848,-0.2888161564205983,0.9973848108890923,0.7763516980442488,0.8520441161951938,0.11363619225770427,-0.28881615642059844
k20~q0.250~s30,k20q0.250,0.25,20,30,CAND10,False,False,"H2,OOS,DD",0.11211336349712053,0.8356327103311891,-0.29400236192214235,1.0807363913773695,0.6310933451523638,0.7626238104889688,0.10433557712903285,-0.29400236192214213
k20~q0.250~s30,k20q0.250,0.25,20,30,CAND20,False,False,"H2,OOS,DD",0.1141848887574406,0.8790252006489154,-0.28881615642059877,1.0041483590774822,0.778465837329061,0.8538698571910016,0.11387801946270915,-0.28881615642059844
k20~q0.250~s31,k20q0.250,0.25,20,31,EWall,False,False,H2,0.11860073986070563,0.9275681311293783,-0.19106709481856343,1.1031207746825413,0.7852443311032327,0.9470986652581286,0.12604404687328685,-0.19106709481856343
k20~q0.250~s31,k20q0.250,0.25,20,31,CAND10,False,False,H2,0.13138669239453593,0.9726364050847123,-0.1910807159266138,1.189460443425379,0.7864348912519394,0.9766859818872599,0.13678621894446197,-0.1910807159266138
k20~q0.250~s31,k20q0.250,0.25,20,31,CAND20,False,False,H2,0.11850997926252238,0.9271388588671908,-0.19106709481856365,1.1023305677239343,0.7852443311032327,0.9475390926530233,0.12619090365691243,-0.19106709481856343
k20~q0.250~s32,k20q0.250,0.25,20,32,EWall,False,False,"H2,OOS,DD",0.11195505916354076,0.8936850193837026,-0.2392195353963077,1.043641900958114,0.762684926811689,0.8541791159005825,0.10745992267277482,-0.2392195353963077
k20~q0.250~s32,k20q0.250,0.25,20,32,CAND10,False,False,"H2,DD",0.12175177393129277,0.9135545424215802,-0.25656440630274013,1.012029125758505,0.8280002392508344,0.9137158346327097,0.12359866041660728,-0.2565644063027389
k20~q0.250~s32,k20q0.250,0.25,20,32,CAND20,False,False,"H2,OOS,DD",0.11205174146606778,0.8955500006682987,-0.23921953539630758,1.0392750483639626,0.7702704368218696,0.8607119297329409,0.10829170170183988,-0.2392195353963078
k20~q0.250~s33,k20q0.250,0.25,20,33,EWall,False,False,"H1,H2,OOS,DD,CAGR",0.09164249779679623,0.7214884029090113,-0.21552321273159358,0.6529067094524321,0.7850154368984952,0.7590206393905882,0.09715247271136396,-0.21552321273159458
k20~q0.250~s33,k20q0.250,0.25,20,33,CAND10,False,False,"H1,H2,OOS,DD,CAGR",0.09588250117394925,0.7259097891857166,-0.22194661518834535,0.7669763281311847,0.6910508451942833,0.7303956862433278,0.09706393783464318,-0.22194661518834546
k20~q0.250~s33,k20q0.250,0.25,20,33,CAND20,False,False,"H1,H2,OOS,DD,CAGR",0.09201701493826375,0.7245316630543692,-0.21552321273159458,0.6592830507648683,0.7850154368984952,0.7639959700894114,0.09776141346756062,-0.21552321273159392
