panel,family,depth,bps,arm,thr,n_pool,empty,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,sd_across_draws,d_vs_S0,d_vs_SPY
U56,DDCTL,0.5,25,S2_Q95_K200,,0.7625,False,0.9891068784782294,,,0.04059716434845074,-0.07265077793399899,0.10709589388854623
U56,DDCTL,0.5,25,S2_Q95_K400,,0.8125,False,0.9843428930399347,,,0.03723542281329964,-0.0774147633722937,0.10233190845025153
U56,DDCTL,0.5,25,S3_EXACT_Q95,0.03,1.0,False,0.9664779476463282,0.09386996592299202,-0.14246604498610427,0.0,-0.0952797087659002,0.08446696305664503
U56,DDCTL,0.5,25,ORACLE_OOS,0.15,5.0,False,1.0617576564122284,0.1289245657348439,-0.18334964014435562,0.0,0.0,0.17974667182254522
U56,DDCTL,1.0,10,S0_do_nothing,,0.0,True,1.1774914098378444,0.14486780221909457,-0.1820705506780067,0.0,0.0,0.2954804252481612
U56,DDCTL,1.0,10,S1_IS_argmax,0.15,5.0,False,1.1774914098378444,0.14486780221909457,-0.1820705506780067,0.0,0.0,0.2954804252481612
U56,DDCTL,1.0,10,S2_MAX_K20,,0.4,False,1.0378981593907046,,,0.1719584905397469,-0.13959325044713977,0.15588717480102143
U56,DDCTL,1.0,10,S2_MAX_K50,,0.1075,False,1.1402442909466786,,,0.10807013109733879,-0.03724711889116583,0.2582333063569954
U56,DDCTL,1.0,10,S2_MAX_K100,,0.015,False,1.1722131115136711,,,0.042826241926648724,-0.005278298324173258,0.29020212692398795
U56,DDCTL,1.0,10,S2_MAX_K200,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,DDCTL,1.0,10,S2_MAX_K400,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,DDCTL,1.0,10,S3_EXACT_MAX,0.03,1.0,False,0.825604854892938,0.0718494368532705,-0.13520717115667413,0.0,-0.3518865549449064,-0.05640612969674519
U56,DDCTL,1.0,10,S2_Q95_K20,,0.8375,False,0.9142021247355274,,,0.14680256616305892,-0.26328928510231697,0.03219114014584423
U56,DDCTL,1.0,10,S2_Q95_K50,,0.6325,False,0.9549231638351909,,,0.16986549063768208,-0.22256824600265346,0.07291217924550775
U56,DDCTL,1.0,10,S2_Q95_K100,,0.73,False,0.9206142247280628,,,0.15641901019113366,-0.25687718510978164,0.03860324013837957
U56,DDCTL,1.0,10,S2_Q95_K200,,0.7775,False,0.9038996133681795,,,0.1465417682779382,-0.2735917964696649,0.02188862877849629
U56,DDCTL,1.0,10,S2_Q95_K400,,0.8625,False,0.8739892561978625,,,0.12133249331263006,-0.3035021536399819,-0.008021728391820693
U56,DDCTL,1.0,10,S3_EXACT_Q95,0.03,1.0,False,0.825604854892938,0.0718494368532705,-0.13520717115667413,0.0,-0.3518865549449064,-0.05640612969674519
U56,DDCTL,1.0,10,ORACLE_OOS,0.15,5.0,False,1.1774914098378444,0.14486780221909457,-0.1820705506780067,0.0,0.0,0.2954804252481612
U56,DDCTL,1.0,25,S0_do_nothing,,0.0,True,1.0617576564122284,0.1289245657348439,-0.18334964014435562,0.0,0.0,0.17974667182254522
U56,DDCTL,1.0,25,S1_IS_argmax,0.15,5.0,False,1.0617576564122284,0.1289245657348439,-0.18334964014435562,0.0,0.0,0.17974667182254522
U56,DDCTL,1.0,25,S2_MAX_K20,,0.425,False,0.9021087629300274,,,0.18872338893866347,-0.15964889348220102,0.020097778340344208
U56,DDCTL,1.0,25,S2_MAX_K50,,0.1525,False,1.0033206405306927,,,0.13793246886697907,-0.058437015881535714,0.12130965594100951
U56,DDCTL,1.0,25,S2_MAX_K100,,0.01,False,1.0579257209445865,,,0.03817502514407466,-0.0038319354676419337,0.1759147363549033
U56,DDCTL,1.0,25,S2_MAX_K200,,0.0,True,1.0617576564122282,,,2.223226821848096e-16,-2.220446049250313e-16,0.179746671822545
U56,DDCTL,1.0,25,S2_MAX_K400,,0.0,True,1.0617576564122282,,,2.223226821848096e-16,-2.220446049250313e-16,0.179746671822545
U56,DDCTL,1.0,25,S3_EXACT_MAX,0.03,1.0,False,0.6785641096480604,0.05798572339502717,-0.1437409180800735,0.0,-0.38319354676416806,-0.20344687494162284
U56,DDCTL,1.0,25,S2_Q95_K20,,0.8525,False,0.7622199273703552,,,0.15346764898416937,-0.29953772904187326,-0.11979105721932803
U56,DDCTL,1.0,25,S2_Q95_K50,,0.61,False,0.828009592886086,,,0.1871366951356221,-0.2337480635261424,-0.05400139170359719
U56,DDCTL,1.0,25,S2_Q95_K100,,0.79,False,0.7590347544685355,,,0.15627335192745137,-0.3027229019436929,-0.12297623012114767
U56,DDCTL,1.0,25,S2_Q95_K200,,0.8375,False,0.7408330609972376,,,0.14154053244375486,-0.32092459541499085,-0.14117792359244563
U56,DDCTL,1.0,25,S2_Q95_K400,,0.9275,False,0.7063456417884625,,,0.09949189363764396,-0.3554120146237659,-0.1756653428012207
U56,DDCTL,1.0,25,S3_EXACT_Q95,0.03,1.0,False,0.6785641096480604,0.05798572339502717,-0.1437409180800735,0.0,-0.38319354676416806,-0.20344687494162284
U56,DDCTL,1.0,25,ORACLE_OOS,0.15,5.0,False,1.0617576564122284,0.1289245657348439,-0.18334964014435562,0.0,0.0,0.17974667182254522
U56,BUDGET,skip,10,S0_do_nothing,,0.0,True,1.1774914098378444,0.14486780221909457,-0.1820705506780067,0.0,0.0,0.2954804252481612
U56,BUDGET,skip,10,S1_IS_argmax,0.5,5.0,False,1.102572058035907,0.13948547785571264,-0.20899347242016297,0.0,-0.07491935180193732,0.2205610734462239
U56,BUDGET,skip,10,S2_MAX_K20,,1.8775,False,1.1206694432471316,,,0.011204575148297062,-0.056821966590712814,0.2386584586574484
U56,BUDGET,skip,10,S2_MAX_K50,,1.3675,False,1.1246854318672368,,,0.01431484536661014,-0.0528059779706076,0.2426744472775536
U56,BUDGET,skip,10,S2_MAX_K100,,1.04,False,1.1293631226262808,,,0.016409749318922646,-0.04812828721156359,0.2473521380365976
U56,BUDGET,skip,10,S2_MAX_K200,,0.8,False,1.1359326915438521,,,0.021776601030984027,-0.04155871829399227,0.25392170695416894
U56,BUDGET,skip,10,S2_MAX_K400,,0.57,False,1.1473150156625889,,,0.026242650212974734,-0.030176394175255528,0.2653040310729057
U56,BUDGET,skip,10,S3_EXACT_MAX,0.3,2.0,False,1.1245503674251152,0.1429236946061201,-0.20761918795424694,0.0,-0.05294104241272923,0.24253938283543197
U56,BUDGET,skip,10,S2_Q95_K20,,2.59,False,1.112956809222308,,,0.010986262431178607,-0.06453460061553629,0.23094582463262492
U56,BUDGET,skip,10,S2_Q95_K50,,2.195,False,1.1193305189451783,,,0.009364607112381414,-0.05816089089266607,0.23731953435549513
U56,BUDGET,skip,10,S2_Q95_K100,,2.165,False,1.12081405482895,,,0.008266112989606795,-0.05667735500889437,0.23880307023926683
U56,BUDGET,skip,10,S2_Q95_K200,,2.07,False,1.1230118857678706,,,0.005614722862700081,-0.054479524069973806,0.2410009011781874
U56,BUDGET,skip,10,S2_Q95_K400,,2.005,False,1.1244404758781692,,,0.0015521524438569156,-0.053050933959675195,0.242429491288486
U56,BUDGET,skip,10,S3_EXACT_Q95,0.3,2.0,False,1.1245503674251152,0.1429236946061201,-0.20761918795424694,0.0,-0.05294104241272923,0.24253938283543197
U56,BUDGET,skip,10,ORACLE_OOS,0.3,5.0,False,1.1245503674251152,0.1429236946061201,-0.20761918795424694,0.0,-0.05294104241272923,0.24253938283543197
U56,BUDGET,skip,25,S0_do_nothing,,0.0,True,1.0617576564122284,0.1289245657348439,-0.18334964014435562,0.0,0.0,0.17974667182254522
U56,BUDGET,skip,25,S1_IS_argmax,0.5,5.0,False,0.9920574324394549,0.12379134866508035,-0.21123989817912603,0.0,-0.06970022397277353,0.11004644784977169
U56,BUDGET,skip,25,S2_MAX_K20,,1.2475,False,1.0135818777975434,,,0.014852123638862187,-0.04817577861468503,0.1315708932078602
U56,BUDGET,skip,25,S2_MAX_K50,,0.915,False,1.0235453723037629,,,0.01342918689400354,-0.038212284108465555,0.14153438771407967
U56,BUDGET,skip,25,S2_MAX_K100,,0.78,False,1.028968822835666,,,0.017435465799755127,-0.03278883357656248,0.14695783824598274
U56,BUDGET,skip,25,S2_MAX_K200,,0.585,False,1.0371660312298066,,,0.0207384786532669,-0.02459162518242186,0.15515504664012336
