panel,signal,brake,look,undefined,gap_dropped,S_min,S_max,S_mean,u_mean,armed_share
B135,COMPOSITE3,VOL,126,27,0,0.0,0.24816194796056634,0.13826244317815453,0.3804101954958668,0.6275787187839305
B135,COMPOSITE3,CORR,252,53,0,0.10676859951295642,0.56639276586134,0.3382108423916055,0.13835106076853138,0.2985884907709012
B135,COMPOSITE3,VOL,252,53,0,0.0,0.20996228541354617,0.14242646268129197,0.3517618713996881,0.6210640608034745
B135,M12_1,CORR,20,53,0,0.03343465929711423,0.8102283652618483,0.32953191963845296,0.26551752071886175,0.5222584147665581
B135,M12_1,VOL,20,5,0,0.0,0.5339928884985429,0.12872028951974804,0.3600871611303421,0.6188925081433225
B135,M12_1,CORR,60,53,0,0.07285306692177279,0.6298123370987868,0.3298233858156602,0.2603541678953687,0.5494028230184582
B135,M12_1,VOL,60,13,0,0.0,0.3335915901922584,0.13627386622202675,0.3747601860511431,0.6351791530944625
B135,M12_1,CORR,126,53,0,0.09806367780281436,0.5514701712900046,0.3334215148537042,0.25655070905668964,0.5298588490770901
B135,M12_1,VOL,126,27,0,0.0,0.25008215902092107,0.1407547245495055,0.39356150079485214,0.6634093376764386
B135,M12_1,CORR,252,53,0,0.10994557132210382,0.5825409023972824,0.3352403083218602,0.21691937500746217,0.44408251900108575
B135,M12_1,VOL,252,53,0,0.0,0.22846659874366543,0.14551734932401794,0.3817246772385248,0.6547231270358306
SMALL663,COMPOSITE3,CORR,20,53,0,0.010103903853734298,0.58134926311923,0.20176988786898753,0.20865212483062937,0.43451652386780903
SMALL663,COMPOSITE3,VOL,20,5,0,0.0,0.768836495190217,0.15302914011445054,0.3287950025810904,0.6450428396572827
SMALL663,COMPOSITE3,CORR,60,53,0,0.03645874458533291,0.4854755305410267,0.18598288864793372,0.20315308886460232,0.42105263157894735
SMALL663,COMPOSITE3,VOL,60,13,0,0.0,0.5288081151496016,0.16089886994658945,0.3328383971305431,0.6119951040391677
SMALL663,COMPOSITE3,CORR,126,53,0,0.054967654817781986,0.4042246241116248,0.17781634585072878,0.20807566862445337,0.4700122399020808
SMALL663,COMPOSITE3,VOL,126,26,0,0.0,0.39133341603282495,0.16602349565477545,0.33667256192934597,0.6119951040391677
SMALL663,COMPOSITE3,CORR,252,53,0,0.058949509476948256,0.3657074310934547,0.17367017285007733,0.24312279249490115,0.5507955936352509
SMALL663,COMPOSITE3,VOL,252,52,0,0.0,0.30557749831310205,0.17241963124824503,0.3110139068354757,0.6193390452876377
SMALL663,M12_1,CORR,20,53,0,-0.008356715151528103,0.6692079797331048,0.19845545910092818,0.22624505623911964,0.4847001223990208
SMALL663,M12_1,VOL,20,5,0,0.0,0.7800731678387384,0.15566690043795492,0.362761846386837,0.6976744186046512
SMALL663,M12_1,CORR,60,53,0,0.025442930110587774,0.5803053605333074,0.18343174524493935,0.2376770638357521,0.45777233782129745
SMALL663,M12_1,VOL,60,13,0,0.0,0.5327123547974791,0.1638640215830757,0.3652233238015772,0.7209302325581395
SMALL663,M12_1,CORR,126,53,0,0.08424924364757168,0.497644762016263,0.17655179793772652,0.23201726015901677,0.4749082007343941
SMALL663,M12_1,VOL,126,26,0,0.0,0.39295379020193993,0.16949988379476094,0.3652194522660759,0.7099143206854345
SMALL663,M12_1,CORR,252,53,0,0.06709337767783127,0.3848856542214999,0.1661138225277029,0.1916204791499132,0.47123623011015914
SMALL663,M12_1,VOL,252,52,0,0.0,0.30321090238424414,0.17662409477823468,0.31229978961509486,0.6266829865361077
