panel,family,carried_n,cost,narrow_pick,n_pass4a,n_pass4b,n_fail4b,wide_pick,w_pass4a,w_pass4b,w_fail4b,w_OOS_Sharpe,w_OOS_CAGR,w_OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD
small484,gross,20.0,25,0.75,False,False,H1|H2|OOS|DD|CAGR,0.75,False,False,H1|H2|OOS|DD|CAGR,0.20319123610249193,0.020882319390815196,-0.43190229112584244,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small484,max_vol,5.0,10,0.4,True,False,H1|H2|OOS|DD,0.3,False,False,H1|H2|OOS|DD,0.4865673069833001,0.1416112959020137,-0.39576852182868527,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small484,max_vol,5.0,25,0.4,True,False,H1|H2|OOS|DD|CAGR,0.3,False,False,H1|H2|OOS|DD|CAGR,0.3570327756830707,0.08809986798219627,-0.48212482618586794,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small484,max_vol,20.0,10,0.8,False,False,H1|H2|OOS|DD|CAGR,0.8,False,False,H1|H2|OOS|DD|CAGR,0.4614323027232151,0.06615167981067582,-0.35251468260252505,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small484,max_vol,20.0,25,0.8,False,False,H1|H2|OOS|DD|CAGR,1.0,False,False,H1|H2|OOS|DD|CAGR,0.2303563367537863,0.025595943623045292,-0.43190229112584266,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small484,n,,10,20.0,False,False,H1|H2|OOS|DD|CAGR,40.0,False,False,H1|H2|OOS|DD|CAGR,0.5900616980866739,0.07905641340413916,-0.31844586465327784,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small484,n,,25,20.0,False,False,H1|H2|OOS|DD|CAGR,40.0,False,False,H1|H2|OOS|DD|CAGR,0.37405036289078863,0.04534436232450134,-0.33081627650025547,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,gross,5.0,10,1.0,False,False,H1|H2|OOS|CAGR,1.0,False,False,H1|H2|OOS|CAGR,0.7486405338707192,0.10188348237911637,-0.18244790082009277,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,gross,5.0,25,1.0,False,False,H1|H2|OOS|DD|CAGR,1.0,False,False,H1|H2|OOS|DD|CAGR,0.399488289233577,0.04813040339293018,-0.18773259232813844,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,gross,20.0,10,1.0,False,False,DD,1.0,False,False,DD,0.9918747410163562,0.14326298998353537,-0.22794402893557986,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,gross,20.0,25,1.0,False,False,H1|H2|OOS|DD,1.0,False,False,H1|H2|OOS|DD,0.8242325869986696,0.11571551440714778,-0.2296055724128565,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,max_vol,5.0,10,0.4,False,False,H1|H2|OOS|CAGR,0.3,False,False,H1|H2|OOS|CAGR,0.5817611438233142,0.0560746534861305,-0.1886616124676186,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,max_vol,5.0,25,0.4,False,False,H1|H2|OOS|CAGR,0.3,False,False,H1|H2|OOS|DD|CAGR,0.21252552203819347,0.016718671638831006,-0.22743280754734096,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,max_vol,20.0,10,0.8,False,False,CAGR,0.8,False,False,CAGR,0.987237966655738,0.10873412105641345,-0.17298031459456686,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,max_vol,20.0,25,0.8,False,False,H1|H2|OOS|CAGR,0.8,False,False,H1|H2|OOS|CAGR,0.8227848624215269,0.08876835766359359,-0.17439697859808634,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,n,,10,20.0,False,False,CAGR,56.0,False,False,CAGR,1.1132841948586054,0.11341323151490479,-0.15874704847794496,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,n,,25,20.0,False,False,H1|H2|OOS|CAGR,56.0,False,False,H1|CAGR,0.9885868688153712,0.09952982594970528,-0.16113530298864676,0.8820107671822842,0.15450717694493266,-0.33717235283398284
