panel,cost,kind,rule,cell,band,gross,oos_CAGR,oos_Sharpe,oos_MaxDD,oos_rank,keep4b_full,keep4b_oos,keep4a_full,keep4a_oos
SMALL,50,FITTED,IS_SHARPE,b0.08_g1.00,0.08,1.0,0.04280194092928058,0.48599145267630817,-0.20179592052379725,1,False,False,False,False
SMALL,50,FITTED,IS_MINMARG,b0.08_g1.00,0.08,1.0,0.04280194092928058,0.48599145267630817,-0.20179592052379725,1,False,False,False,False
SMALL,50,FITTED,IS_CALMAR,b0.08_g1.00,0.08,1.0,0.04280194092928058,0.48599145267630817,-0.20179592052379725,1,False,False,False,False
SMALL,50,FITTED,IS_CAGRSLACK,b0.08_g1.00,0.08,1.0,0.04280194092928058,0.48599145267630817,-0.20179592052379725,1,False,False,False,False
SMALL,50,FITTED,IS_LEGS,b0.08_g1.00,0.08,1.0,0.04280194092928058,0.48599145267630817,-0.20179592052379725,1,False,False,False,False
SMALL,50,FITTED,IS_DD,b0.08_g0.50,0.08,0.5,0.022294479163400105,0.48517281174551463,-0.10511231670645826,5,False,False,True,True
SMALL,50,FITTED,CELL_ALPHA,b0.00_g0.50,0.0,0.5,0.013406760345143098,0.3104487913557412,-0.10811238426692638,25,False,False,False,False
SMALL,50,ZEROPARAM,MAXGROSS_b0.00,b0.00_g1.00,0.0,1.0,0.024849816443184514,0.31100319018163763,-0.20639346093521171,21,False,False,False,False
SMALL,50,ZEROPARAM,MAXGROSS_b0.02,b0.02_g1.00,0.02,1.0,0.03010208364654421,0.3652665411284687,-0.2047313364498382,16,False,False,False,False
SMALL,50,ZEROPARAM,MAXGROSS_b0.03,b0.03_g1.00,0.03,1.0,0.03292247738502896,0.39401796835151714,-0.2026120183027602,11,False,False,False,False
SMALL,50,ZEROPARAM,MAXGROSS_b0.05,b0.05_g1.00,0.05,1.0,0.03906516974107599,0.45394842090513216,-0.2002236936109545,6,False,False,False,False
SMALL,50,ZEROPARAM,MAXGROSS_b0.08,b0.08_g1.00,0.08,1.0,0.04280194092928058,0.48599145267630817,-0.20179592052379725,1,False,False,False,False
SMALL,50,ZEROPARAM,EWALL,EWALL,,1.0,0.10523082594357569,0.5563689055409449,-0.4502167290728317,-1,False,False,False,False
SMALL,50,ZEROPARAM,RANDCELL,MEAN-OF-25,,,0.0257292061944152,0.40173954738019546,-0.15323795550497377,13,False,False,False,False
