panel,kind,etf_share,width,seed,theta,cad,family,window,ident_max_err,c_bar,c_sd,gap0_pp,pred0_pp,resid0_pp,CAGR_rs0,CAGR_dg0
U56,anchor,0.6363636363636364,55,-1,0.2,M,MA-THRESH,OOS,8.673617379884035e-18,0.11053066508366621,0.07751226578012979,-21.317117205265944,-20.983421378411627,-0.3336958268543171,0.23633206009348173,0.02316088804082228
U56,anchor,0.6363636363636364,55,-1,0.2,M,QUANTILE-F,FULL,3.469446951953614e-18,0.10327616645927105,0.003583967853354918,-24.257127532896238,-24.20358952255355,-0.053538010342688125,0.268858531598007,0.0262872562690446
U56,anchor,0.6363636363636364,55,-1,0.2,M,QUANTILE-F,IS,3.469446951953614e-18,0.1031238264101802,0.0032145149426511814,-24.441131711790053,-24.41344314135172,-0.027688570438332505,0.2706650915839719,0.026253774466071356
U56,anchor,0.6363636363636364,55,-1,0.2,M,QUANTILE-F,OOS,3.469446951953614e-18,0.10340183291160372,0.0038583561244412193,-24.10553436134788,-24.03062097123354,-0.0749133901143395,0.267370220095833,0.0263148764823542
U56,anchor,0.6363636363636364,55,-1,0.2,Q,MA-THRESH,FULL,8.673617379884035e-18,0.09744861220883405,0.08047839235579583,-26.69968618919274,-26.43427872763311,-0.26540746155962935,0.29232752380887383,0.02533066191694644
U56,anchor,0.6363636363636364,55,-1,0.2,Q,MA-THRESH,IS,8.673617379884035e-18,0.08048990458332005,0.07481135243980823,-36.20912695190226,-35.868691343332216,-0.34043560857004707,0.3878268185284752,0.02573554900945263
U56,anchor,0.6363636363636364,55,-1,0.2,Q,MA-THRESH,OOS,8.673617379884035e-18,0.1114379776853678,0.08229335021972536,-19.35192370062544,-19.34053305452814,-0.01139064609730056,0.2185160248132536,0.02499678780699921
U56,anchor,0.6363636363636364,55,-1,0.2,Q,QUANTILE-F,FULL,3.469446951953614e-18,0.10540157220194848,0.0066104155361047245,-23.30488010373464,-23.23343517633112,-0.07144492740351893,0.2591142624963787,0.026065461459032324
U56,anchor,0.6363636363636364,55,-1,0.2,Q,QUANTILE-F,IS,3.469446951953614e-18,0.10529267103829394,0.006649191524529639,-27.38447403064437,-27.356249077111983,-0.028224953532387076,0.3036187609239285,0.029774020617484798
U56,anchor,0.6363636363636364,55,-1,0.2,Q,QUANTILE-F,OOS,3.469446951953614e-18,0.10549140559095575,0.006578267871630748,-20.053176874780675,-19.946820977247604,-0.10635589753307073,0.2235480667219638,0.02301629797415705
U56,anchor,0.6363636363636364,55,-1,0.12,W,MA-THRESH,FULL,1.5612511283791264e-17,0.231770052324682,0.14496164800466663,-17.201616196528956,-15.920006815504518,-1.2816093810244382,0.20635799635910912,0.03434183439381955
U56,anchor,0.6363636363636364,55,-1,0.12,W,MA-THRESH,IS,1.5612511283791264e-17,0.21132215929170323,0.15440295683270144,-16.40364584064642,-15.202648923617579,-1.2009969170288404,0.19234679085720607,0.028310332450741882
U56,anchor,0.6363636363636364,55,-1,0.12,W,MA-THRESH,OOS,1.5612511283791264e-17,0.24863767308801465,0.13439318174374557,-17.869590218828478,-16.48299258745338,-1.3865976313750963,0.21803978706652427,0.03934388487823948
U56,anchor,0.6363636363636364,55,-1,0.12,W,QUANTILE-F,FULL,5.204170427930421e-18,0.23230346728697873,0.002202034726513113,-13.516516760946828,-13.50466875098386,-0.011848009962967865,0.1752360949770091,0.04007092736754081
U56,anchor,0.6363636363636364,55,-1,0.12,W,QUANTILE-F,IS,5.204170427930421e-18,0.23222073705688895,0.0019883301355945607,-12.284822832024457,-12.280288874536648,-0.004533957487808493,0.15930370357632428,0.03645547525607973
U56,anchor,0.6363636363636364,55,-1,0.12,W,QUANTILE-F,OOS,5.204170427930421e-18,0.23237171207604174,0.002362050728149044,-14.54806899865584,-14.529957067028398,-0.01811193162744118,0.18854352178485856,0.04306283179830017
U56,anchor,0.6363636363636364,55,-1,0.12,M,MA-THRESH,FULL,1.0408340855860843e-17,0.2287265462181681,0.13981950698557866,-16.724154719172258,-16.088323793140024,-0.6358309260322343,0.20769880721163303,0.04045726001991046
U56,anchor,0.6363636363636364,55,-1,0.12,M,MA-THRESH,IS,1.0408340855860843e-17,0.21049713190097114,0.15022598980139254,-17.821006901851778,-17.185459587607156,-0.6355473142446222,0.21629092900877311,0.038080859990255345
U56,anchor,0.6363636363636364,55,-1,0.12,M,MA-THRESH,OOS,1.0408340855860843e-17,0.24376412720239102,0.12871451730273437,-15.823514135839577,-15.206929763885114,-0.6165843719544633,0.2006568058087601,0.04242166445036433
U56,anchor,0.6363636363636364,55,-1,0.12,M,QUANTILE-F,FULL,6.938893903907228e-18,0.23339607589627795,0.005145732426298189,-14.72260571134143,-14.65489093409027,-0.06771477725115993,0.19018064124544254,0.04295458413202824
U56,anchor,0.6363636363636364,55,-1,0.12,M,QUANTILE-F,IS,6.938893903907228e-18,0.2331446839055908,0.004594057004092923,-13.753727366717627,-13.69012531721301,-0.06360204950461679,0.17746307392993232,0.03992580026275605
U56,anchor,0.6363636363636364,55,-1,0.12,M,QUANTILE-F,OOS,6.938893903907228e-18,0.23360345104026034,0.00555214211075941,-15.531509349918448,-15.459912128079978,-0.07159722183846995,0.20077478282735206,0.045459689328167574
U56,anchor,0.6363636363636364,55,-1,0.12,Q,MA-THRESH,FULL,8.673617379884035e-18,0.2225183610379308,0.14177321532455192,-15.142380177760927,-14.807806819853742,-0.33457335790718545,0.1903392117515077,0.03891540997389842
U56,anchor,0.6363636363636364,55,-1,0.12,Q,MA-THRESH,IS,8.673617379884035e-18,0.21162954243676554,0.14795677918886035,-18.154715212544236,-17.513140955307783,-0.6415742572364529,0.22057378204686606,0.039026629921423694
U56,anchor,0.6363636363636364,55,-1,0.12,Q,MA-THRESH,OOS,8.673617379884035e-18,0.2315006294031337,0.13583667708067546,-12.713935064500559,-12.673353713934098,-0.04058135056646073,0.1659630234086631,0.0388236727636575
U56,anchor,0.6363636363636364,55,-1,0.12,Q,QUANTILE-F,FULL,6.938893903907228e-18,0.23620931945187573,0.008852787351314733,-13.542730764584832,-13.446419071881643,-0.09631169270318907,0.1759209622487805,0.040493654602932194
U56,anchor,0.6363636363636364,55,-1,0.12,Q,QUANTILE-F,IS,6.938893903907228e-18,0.2352660205507155,0.008109002655444774,-13.458219097540812,-13.397719587540236,-0.06049951000057696,0.17437779485756066,0.03979560388215253
U56,anchor,0.6363636363636364,55,-1,0.12,Q,QUANTILE-F,OOS,6.938893903907228e-18,0.23698745381053934,0.009352543550760348,-13.612562419150965,-13.48623320613893,-0.1263292130120348,0.177195458800405,0.04106983460889535
U56,anchor,0.6363636363636364,55,-1,0.06,W,MA-THRESH,FULL,1.3877787807814457e-17,0.4406713570281005,0.19328813225554478,-9.36526593999847,-8.59985794897764,-0.7654079910208296,0.15299053642501081,0.05933787702502613
U56,anchor,0.6363636363636364,55,-1,0.06,W,MA-THRESH,IS,1.3877787807814457e-17,0.4288475296580612,0.2046921695296889,-9.041233908528845,-8.071280841115392,-0.9699530674134529,0.1407377964081169,0.05032545732282845
U56,anchor,0.6363636363636364,55,-1,0.06,W,MA-THRESH,OOS,1.3877787807814457e-17,0.4504249211594891,0.18281558247223592,-9.636644383130033,-9.021864787387667,-0.6147795957423661,0.16319691155771743,0.0668304677264171
U56,anchor,0.6363636363636364,55,-1,0.06,W,QUANTILE-F,FULL,2.42861286636753e-17,0.44111203479218025,0.0025748630258589935,-8.717827262178734,-8.704985750402528,-0.012841511776205294,0.15445030947148175,0.0672720368496944
U56,anchor,0.6363636363636364,55,-1,0.06,W,QUANTILE-F,IS,2.42861286636753e-17,0.4410399472117118,0.0023822371782501422,-8.067568492912592,-8.058443666488134,-0.009124826424457666,0.14298124167665205,0.062305556747526136
U56,anchor,0.6363636363636364,55,-1,0.06,W,QUANTILE-F,OOS,2.42861286636753e-17,0.44117150037952113,0.002722577218445577,-9.261140642209797,-9.245089405629269,-0.01605123658052854,0.1639978021884636,0.07138639576636563
U56,anchor,0.6363636363636364,55,-1,0.06,M,MA-THRESH,FULL,1.734723475976807e-17,0.43610084160303514,0.19082228862428674,-9.216123628033523,-8.844403138402622,-0.371720489630901,0.1560179826384065,0.06385674635807126
U56,anchor,0.6363636363636364,55,-1,0.06,M,MA-THRESH,IS,1.734723475976807e-17,0.42642925695892264,0.20250124149667903,-7.876378182558352,-7.684420188917618,-0.19195799364073451,0.1337731391778767,0.055009357352293176
U56,anchor,0.6363636363636364,55,-1,0.06,M,MA-THRESH,OOS,1.734723475976807e-17,0.4440790045215447,0.18027278680007006,-10.348521478238993,-9.79543583490534,-0.5530856433336524,0.17469605735296834,0.07121084257057841
