panel,theta,cad,family,ident_max_err,window,c_bar,c_sd,gap0_pp,pred0_pp,resid0_pp,share,CAGR_rs0,CAGR_dg0
U56,0.2,M,MA-THRESH,3.469446951953614e-18,OOS,0.11053066508366621,0.07751226578012979,-21.317117205265944,-20.983421378411627,-0.3336958268543171,0.9843461091084171,0.23633206009348173,0.02316088804082228
U56,0.2,M,QUANTILE-M,6.071532165918825e-18,FULL,0.11421884652889433,0.005253101833619817,-22.839028381985415,-22.773301562352955,-0.06572681963245941,0.9971221709376962,0.25607079590292003,0.027680512083065878
U56,0.2,M,QUANTILE-M,6.071532165918825e-18,IS,0.11760042387633228,0.00418771638228004,-22.313338405774562,-22.258977924708255,-0.05436048106630764,0.997563767461518,0.2508202374080091,0.02768685335026344
U56,0.2,M,QUANTILE-M,6.071532165918825e-18,OOS,0.11142935794019397,0.004322211947406366,-23.274332534435583,-23.203135410785002,-0.07119712365058106,0.9969409595937825,0.2604186064978664,0.02767528115351059
U56,0.2,M,QUANTILE-F,3.469446951953614e-18,FULL,0.10327616645927105,0.003583967853354919,-24.257127532896238,-24.20358952255355,-0.053538010342688125,0.9977928957058051,0.268858531598007,0.0262872562690446
U56,0.2,M,QUANTILE-F,3.469446951953614e-18,IS,0.1031238264101802,0.0032145149426511823,-24.441131711790053,-24.41344314135172,-0.027688570438332505,0.9988671322275565,0.2706650915839719,0.026253774466071356
U56,0.2,M,QUANTILE-F,3.469446951953614e-18,OOS,0.10340183291160372,0.0038583561244412198,-24.105534361347924,-24.030620971233564,-0.07491339011436082,0.9968922742391274,0.26737022009583344,0.0263148764823542
U56,0.2,Q,MA-THRESH,4.336808689942018e-18,FULL,0.09744861220883407,0.08047839235579585,-26.69968618919274,-26.43427872763313,-0.26540746155960804,0.9900595288019888,0.29232752380887406,0.025330661916946662
U56,0.2,Q,MA-THRESH,4.336808689942018e-18,IS,0.08048990458332005,0.07481135243980824,-36.20912695190233,-35.86869134333228,-0.34043560857004707,0.9905980718888291,0.3878268185284759,0.02573554900945263
U56,0.2,Q,MA-THRESH,4.336808689942018e-18,OOS,0.11143797768536783,0.08229335021972536,-19.35192370062544,-19.340533054528166,-0.011390646097275692,0.999411394635826,0.21851602481325383,0.024996787806999432
U56,0.2,Q,QUANTILE-M,6.071532165918825e-18,FULL,0.11647080915724303,0.007810736127380251,-22.087117474618335,-22.018047353871207,-0.06907012074712782,0.9968728322821436,0.24864618798824156,0.027775013242058222
U56,0.2,Q,QUANTILE-M,6.071532165918825e-18,IS,0.11983635975751321,0.007182037969969055,-25.34356456888156,-25.296708428525537,-0.0468561403560237,0.998151162192332,0.2853035599778384,0.0318679142890228
U56,0.2,Q,QUANTILE-M,6.071532165918825e-18,OOS,0.1136945411528278,0.0071936902887737575,-19.47845208798753,-19.378133972127575,-0.10031811585995598,0.9948497901472457,0.2191954916255987,0.024410970745723404
U56,0.2,Q,QUANTILE-F,3.903127820947816e-18,FULL,0.10540157220194848,0.006610415536104724,-23.30488010373466,-23.23343517633114,-0.07144492740351893,0.9969343361954448,0.2591142624963789,0.026065461459032324
U56,0.2,Q,QUANTILE-F,3.903127820947816e-18,IS,0.10529267103829391,0.006649191524529644,-27.38447403064439,-27.356249077112004,-0.028224953532387076,0.9989693081743763,0.3036187609239287,0.029774020617484798
