panel,n,freq,cstar_bps,d0,to_yr,ew_to_yr
SMALL439,3,W,,-0.10124190347479944,24.645642578482207,1.7409003477225007
SMALL439,5,W,9.648847579956055,0.05342938632593952,21.541563812279648,1.7409003477225007
SMALL439,8,W,4.170370101928711,0.02609447307223489,19.760178379613265,1.7409003477225007
SMALL439,10,W,13.373899459838867,0.0873607477153332,19.02920036231405,1.7409003477225007
SMALL439,15,W,25.52943229675293,0.16588413160954107,16.829804386623977,1.7409003477225007
SMALL439,20,W,20.274877548217773,0.13923197120880726,16.339214119950935,1.7409003477225007
SMALL439,25,W,7.97114372253418,0.05513634250835053,15.646617211744223,1.7409003477225007
SMALL439,30,W,8.549356460571289,0.0594737307450518,15.060637150933864,1.7409003477225007
SMALL439,40,W,,-0.005385169014966107,14.087278177100487,1.7409003477225007
SMALL439,50,W,,-0.03866570144140069,13.327983482778857,1.7409003477225007
SMALL439,3,M,23.998117446899414,0.04874528288589097,10.436408811869727,0.8862315721152746
SMALL439,5,M,37.05782890319824,0.08599066213627704,9.585155776492458,0.8862315721152746
SMALL439,8,M,,-0.021379385006336293,8.887799002807704,0.8862315721152746
SMALL439,10,M,27.060270309448242,0.07768833525081587,8.672627876680565,0.8862315721152746
SMALL439,15,M,20.444536209106445,0.06129380241955107,8.085460123511117,0.8862315721152746
SMALL439,20,M,33.25638771057129,0.10070661418382865,7.527643830602477,0.8862315721152746
SMALL439,25,M,16.906309127807617,0.051084735457074815,7.207911392735586,0.8862315721152746
SMALL439,30,M,0.5677700042724609,0.0017317575540221064,7.003915389573825,0.8862315721152746
SMALL439,40,M,,-0.03483977783013603,6.588991285200179,0.8862315721152746
SMALL439,50,M,,-0.06204179900929652,6.256574321803219,0.8862315721152746
SMALL439,3,Q,,-0.5810404935654476,5.542892320280949,0.5385635656034318
SMALL439,5,Q,,-0.5004456640696848,5.0852121165195046,0.5385635656034318
SMALL439,8,Q,,-0.3141509923871797,4.880279316517244,0.5385635656034318
SMALL439,10,Q,,-0.21409220308599608,4.691403481993738,0.5385635656034318
SMALL439,15,Q,,-0.12482878231636085,4.440993213389921,0.5385635656034318
SMALL439,20,Q,,-0.19389482347125758,4.271035035315796,0.5385635656034318
SMALL439,25,Q,,-0.18494450496605852,4.134040826767301,0.5385635656034318
SMALL439,30,Q,,-0.22911659475973128,4.065492453412718,0.5385635656034318
SMALL439,40,Q,,-0.29377396126147837,3.88789025794533,0.5385635656034318
SMALL439,50,Q,,-0.26562480633681274,3.6773861437386723,0.5385635656034318
