panel,char,flavour,level,seed,n_from_B,n_from_S,cvol,mrho,beta,tpers,plevel,breadth,reach_lo,reach_hi,feasible,bandwidth,n_pool
cvol~BONLY~L0.247206~3,cvol,BONLY,0.247206,3,36,0,0.24826649301466114,0.3397518975530596,0.8289304578720618,0.9649454801954871,1.8099862791148094,0.6945097486690519,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.247206~4,cvol,BONLY,0.247206,4,36,0,0.25348497726324615,0.4387384137910687,0.9479964942524456,0.9672194587595118,1.8502141029194534,0.7044074679625467,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.247206~5,cvol,BONLY,0.247206,5,36,0,0.2588697127481521,0.2890667340594866,0.8439546833788776,0.9669256738683885,1.8216344992523414,0.6721459017740996,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.378049~0,cvol,BONLY,0.378049,0,36,0,0.29972532967295196,0.3842565782161789,1.0744943530743911,0.9696761727038283,1.7900479864602927,0.6935398914265783,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.378049~1,cvol,BONLY,0.378049,1,36,0,0.31966627342666354,0.35732910536132595,1.0702371559208965,0.9677730098150162,1.7558477153282124,0.6514227559746893,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.378049~2,cvol,BONLY,0.378049,2,36,0,0.29764756180304874,0.3488946729670922,1.0006414552082235,0.9673594525675066,1.8405145312245201,0.681740804305781,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.378049~3,cvol,BONLY,0.378049,3,36,0,0.2950502923397422,0.40097291143070196,1.0636588022492934,0.9681572775782679,1.7779228378616336,0.6803112999654278,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.378049~4,cvol,BONLY,0.378049,4,36,0,0.30846270145517307,0.3326260525285788,1.0148936160280684,0.9683250575065517,1.7782030948281298,0.6566997198150947,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.378049~5,cvol,BONLY,0.378049,5,36,0,0.31700028733682284,0.3416197487054372,1.0301022319055377,0.9675212908984909,1.7993269874317244,0.6524747460580165,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~SONLY~L0.378049~0,cvol,SONLY,0.378049,0,0,36,0.41390011200206367,0.19472891857732294,0.8883027021687665,0.960370322156023,1.2650573357011412,0.5235407683097423,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.378049~1,cvol,SONLY,0.378049,1,0,36,0.442541862638574,0.19892098146710382,0.9899065383342003,0.9615925136950345,1.2422924354483906,0.508637209853697,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.378049~2,cvol,SONLY,0.378049,2,0,36,0.42715977440166036,0.19587707857576617,0.9629550422662896,0.9626658786173583,1.2415557991078137,0.5310518043999408,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.378049~3,cvol,SONLY,0.378049,3,0,36,0.43600250550961195,0.21216422049294145,0.960229155962666,0.961673007056689,1.2320544134865439,0.52528797082168,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.378049~4,cvol,SONLY,0.378049,4,0,36,0.39636611651435577,0.2445419088626978,0.9749262303795413,0.9611463899791541,1.3395674836793008,0.5240613295747458,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.378049~5,cvol,SONLY,0.378049,5,0,36,0.4340233600342968,0.22733327177738288,1.0271043496621521,0.9599677815632821,1.256409786914304,0.5241818485162045,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.472186~0,cvol,SONLY,0.472186,0,0,36,0.49369295282216746,0.18429910364062138,1.0662849099928269,0.9620900091208264,1.2037812045228267,0.475355372876882,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.472186~1,cvol,SONLY,0.472186,1,0,36,0.4650789888020298,0.25138779949632384,1.1441367732539292,0.9618911200904923,1.2877463573019456,0.5064927661413109,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.472186~2,cvol,SONLY,0.472186,2,0,36,0.47708733781686224,0.21594491799203333,1.0588465869497319,0.9633408066829587,1.260930878005019,0.48909432832460925,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.472186~3,cvol,SONLY,0.472186,3,0,36,0.4903081028426048,0.19468631777017353,1.0355455919218874,0.9633020652622553,1.2085037007993822,0.49037440468882804,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.472186~4,cvol,SONLY,0.472186,4,0,36,0.4705276944370565,0.21543214190179055,1.044059128875336,0.9619926185387927,1.2549935646243833,0.5045263888669147,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.472186~5,cvol,SONLY,0.472186,5,0,36,0.48973676769965707,0.21583957774839932,1.1222148743984353,0.962929671316159,1.3170439482606044,0.5098567905989233,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.571754~0,cvol,SONLY,0.571754,0,0,36,0.5599574637656842,0.18697454681070053,1.1281795021246634,0.9661266079350551,1.1453973020610289,0.46286886507094394,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.571754~1,cvol,SONLY,0.571754,1,0,36,0.5426204571159225,0.17068229082093245,1.01730034210196,0.9679782531007489,1.2598204245217388,0.4740182638974983,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.571754~2,cvol,SONLY,0.571754,2,0,36,0.5340920684310659,0.19156335294163881,1.138741151990499,0.9673135800554498,1.1592967985924645,0.48898750766662813,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.571754~3,cvol,SONLY,0.571754,3,0,36,0.5442093080390562,0.16138604828153877,1.0556977342640923,0.9653839782519391,1.0409621433552116,0.46720351484177486,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.571754~4,cvol,SONLY,0.571754,4,0,36,0.5430449103241726,0.2093613065251362,1.1929313485069342,0.9649475807283372,1.1526021938330007,0.4613496562084672,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.571754~5,cvol,SONLY,0.571754,5,0,36,0.5647479056930179,0.1768969132448604,1.041667842579815,0.9655473093328296,1.1312583921583999,0.4539651211297008,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.763602~0,cvol,SONLY,0.763602,0,0,36,0.712685534977098,0.1428541886988825,1.1978749628394347,0.9687239237452585,1.094576034111831,0.42459698578491006,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.763602~1,cvol,SONLY,0.763602,1,0,36,0.7115281069807552,0.15993734898916628,1.2326950599362476,0.9662211323954235,1.235052199291166,0.41560909063364354,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.763602~2,cvol,SONLY,0.763602,2,0,36,0.7300594900317844,0.14169189833891999,1.2014282034270114,0.9672171066741151,1.0519508423677604,0.4011670162999561,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.763602~3,cvol,SONLY,0.763602,3,0,36,0.6933291015541436,0.1459446178106738,1.1660906871057994,0.9679380464274652,1.2542436538446917,0.42058399002038616,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.763602~4,cvol,SONLY,0.763602,4,0,36,0.704238173516077,0.14036954063093376,1.1295969411452305,0.9692374920494515,1.1622426394489627,0.40010116539265517,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.763602~5,cvol,SONLY,0.763602,5,0,36,0.6985960015999946,0.1323174528023665,1.0923999739156938,0.9690091338606661,1.15929158035591,0.4052090558999588,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
mrho~POOL~L0.114289~0,mrho,POOL,0.114289,0,2,34,0.6343127081019602,0.11062070054267255,0.91184636004151,0.9639630023494361,1.203677039969663,0.44897212219698285,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.114289~1,mrho,POOL,0.114289,1,3,33,0.6155113810236655,0.0963382082499599,0.8434172464103679,0.968290980523807,1.248250660914514,0.46757933389870504,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.114289~2,mrho,POOL,0.114289,2,2,34,0.6655240134206709,0.10577586720666254,0.8865743281232705,0.9626066680959907,1.0314762998238722,0.4729265808796257,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.114289~3,mrho,POOL,0.114289,3,2,34,0.6176648771839115,0.1026428765714151,0.8312055788565563,0.966025461980094,1.1236412452614144,0.4681779949313227,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.114289~4,mrho,POOL,0.114289,4,2,34,0.6138118373227521,0.10703210573723836,0.8578069937011216,0.9646052694435951,1.1191222009214494,0.46553907425090796,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.114289~5,mrho,POOL,0.114289,5,3,33,0.5933733310346638,0.11131459990939305,0.8812064447619352,0.9659966545436482,1.155948235041702,0.46263971379701546,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.163402~0,mrho,POOL,0.163402,0,4,32,0.5332384203624799,0.15835193399055683,0.9634361285759933,0.9664438630907731,1.3502486466684895,0.5154075432036719,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.163402~1,mrho,POOL,0.163402,1,4,32,0.5553674072045696,0.14338850393846264,0.9390243136234151,0.9626322392960882,1.1285896408012253,0.5226264691894768,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.163402~2,mrho,POOL,0.163402,2,6,30,0.4691303641839622,0.17447941176583984,0.9627464219150639,0.9658588237980111,1.2339029976700053,0.5195431282254522,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.163402~3,mrho,POOL,0.163402,3,6,30,0.5056514611662758,0.15491649368949054,0.9310070787382893,0.9647675158914688,1.28987592773115,0.5184868579661928,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.163402~4,mrho,POOL,0.163402,4,6,30,0.5412369746730312,0.1503367157799476,0.993820785648521,0.9665220874303009,1.296753125946892,0.5142553656037651,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.163402~5,mrho,POOL,0.163402,5,2,34,0.5459012091516583,0.1533813074569333,0.9305752380657131,0.9613815060252632,1.1744081250745562,0.49030448025098605,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.194679~0,mrho,POOL,0.194679,0,4,32,0.47725597972137035,0.18226667708471242,0.9587833431605318,0.9641583640769205,1.3332872552182353,0.5214216368133019,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.194679~1,mrho,POOL,0.194679,1,4,32,0.5347420088206568,0.1790709248544231,1.0574302449057105,0.9676366341716659,1.24581031394653,0.5037191021523645,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.194679~2,mrho,POOL,0.194679,2,9,27,0.501500047376685,0.20248739444440347,1.1033832143413411,0.9679320449138142,1.3310267327838012,0.5425632854841438,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.194679~3,mrho,POOL,0.194679,3,3,33,0.5035541795960555,0.1779571700926819,1.0304045569722438,0.9652284947825294,1.2648534727537124,0.47076110983472075,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.194679~4,mrho,POOL,0.194679,4,10,26,0.4827151190275937,0.20124893935532112,1.083009877599303,0.9631718424880086,1.361109783323072,0.5459990072522997,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.194679~5,mrho,POOL,0.194679,5,4,32,0.515870787595183,0.1973923943134238,1.091884635012648,0.9620184300411453,1.3118586324646986,0.5181435678597176,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.226987~0,mrho,POOL,0.226987,0,6,30,0.46340036570321214,0.25203754453215726,1.1484297150896847,0.9653576468460545,1.2698858132457322,0.5112343614496636,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.226987~1,mrho,POOL,0.226987,1,13,23,0.44364864861011344,0.24154859757130798,1.100978530135066,0.9659387640779344,1.4441085038850583,0.5609090761234992,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.226987~2,mrho,POOL,0.226987,2,8,28,0.42951655577136916,0.2712351334718406,1.1190017899680222,0.9673806983341624,1.491622173453139,0.5496795483288025,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.226987~3,mrho,POOL,0.226987,3,8,28,0.4780863904147689,0.2413186614397752,1.1215805123561697,0.9672484316821913,1.4631125645558565,0.5297694334235304,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.226987~4,mrho,POOL,0.226987,4,7,29,0.4551499696071954,0.2553097642363139,1.167715991727012,0.9641484057847857,1.3337041123491757,0.5472691756661221,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.226987~5,mrho,POOL,0.226987,5,6,30,0.508467512834891,0.22885084515624238,1.170848742093325,0.9659524497309084,1.3234056276723274,0.5253152184936486,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.278135~0,mrho,POOL,0.278135,0,13,23,0.43305898378681645,0.3271898677825653,1.2164951827713093,0.9662823471668168,1.528514411528632,0.560360290522308,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.278135~1,mrho,POOL,0.278135,1,14,22,0.384270723409075,0.3622525905943597,1.1764516006357775,0.9638141379216923,1.5167956992267055,0.6102932400449201,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.278135~2,mrho,POOL,0.278135,2,14,22,0.3930261829810272,0.35394223727717133,1.1852126276814647,0.9647863058708768,1.575948405406887,0.5925467373710329,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.278135~3,mrho,POOL,0.278135,3,16,20,0.37943038220061975,0.36576845026647237,1.1841931294970405,0.9650532370599973,1.5710833988805692,0.5822801397821038,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.278135~4,mrho,POOL,0.278135,4,15,21,0.38518926120174846,0.32663805861655165,1.1077062288861725,0.9645052814258747,1.4827810711938012,0.6111181007790738,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~POOL~L0.278135~5,mrho,POOL,0.278135,5,14,22,0.38611819773788586,0.35739399890686757,1.1760524909994279,0.9630324998265366,1.538353142710921,0.5920823847493708,0.05430449838202463,0.3369089418829099,True,0.03428311468350165,573
mrho~BONLY~L0.163402~0,mrho,BONLY,0.163402,0,36,0,0.2791671854249081,0.2596623405789855,0.7512658230371193,0.9660852426837183,1.7180041266066606,0.6692994733767266,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.163402~1,mrho,BONLY,0.163402,1,36,0,0.2966771814245334,0.26163174867561223,0.8248996313663539,0.9673863508810625,1.7996844156542684,0.67171198142123,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.163402~2,mrho,BONLY,0.163402,2,36,0,0.2766476600296884,0.26315922541742987,0.7673231846122114,0.9656775042953618,1.6517280192310346,0.67514863736567,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.163402~3,mrho,BONLY,0.163402,3,36,0,0.29084341898312105,0.27231617281624965,0.7774524094735313,0.9655774722809638,1.757668074561559,0.6663768346339325,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.163402~4,mrho,BONLY,0.163402,4,36,0,0.2855914075404128,0.2489495473943924,0.766145125618154,0.96746226483532,1.6968739809765099,0.6690940193732795,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.163402~5,mrho,BONLY,0.163402,5,36,0,0.29020281940492093,0.27301269971388303,0.803648553510669,0.9660841010675925,1.7978689394473402,0.6765451866817364,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.194679~0,mrho,BONLY,0.194679,0,36,0,0.2685315347261036,0.30910994391971647,0.8215016491875992,0.9671193279334658,1.749797756397498,0.6878333512853416,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.194679~1,mrho,BONLY,0.194679,1,36,0,0.33292533627275384,0.2692717903098316,0.9660119463027158,0.9680159464838813,1.7012163019496738,0.6687035002991334,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.194679~2,mrho,BONLY,0.194679,2,36,0,0.3096171643714928,0.2809386607838442,0.911691117229524,0.9662229324664247,1.7179296754535873,0.6682393778200287,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.194679~3,mrho,BONLY,0.194679,3,36,0,0.29996707201780937,0.2839078646688094,0.8652398480609106,0.9661868138961108,1.7187982453836688,0.6695296008802037,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.194679~4,mrho,BONLY,0.194679,4,36,0,0.29937408543459165,0.29275392534801886,0.8900867077070249,0.9670549715493176,1.696386229885803,0.6925934083677984,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.194679~5,mrho,BONLY,0.194679,5,36,0,0.284360926071759,0.30279321614322896,0.8688755018413659,0.9680413199981319,1.7527001053482398,0.6915350288390064,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.226987~0,mrho,BONLY,0.226987,0,36,0,0.30311478570844724,0.32439146551045916,0.9992920417014938,0.9675707162375393,1.7549349762338884,0.6875765826046011,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.226987~1,mrho,BONLY,0.226987,1,36,0,0.27801853642216195,0.34561631848507124,0.9164665166673441,0.9659688859443192,1.8179956696727493,0.6950428939657248,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.226987~2,mrho,BONLY,0.226987,2,36,0,0.2875677916724924,0.361199947116194,0.9653851436359,0.966443956626458,1.792543959947451,0.6882577317245014,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.226987~3,mrho,BONLY,0.226987,3,36,0,0.31494047307877143,0.3288719679055546,1.0236174393186095,0.9675624728289319,1.734174552040475,0.6889155329224651,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.226987~4,mrho,BONLY,0.226987,4,36,0,0.3074217735823482,0.3363363967478851,1.008673209816287,0.9677344583477345,1.7719149107863064,0.6770618297081539,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.226987~5,mrho,BONLY,0.226987,5,36,0,0.32300801344860336,0.3361930015005416,1.0664959271620442,0.9692767253809463,1.786201102285652,0.6816298403076783,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
mrho~BONLY~L0.278135~0,mrho,BONLY,0.278135,0,36,0,0.30729113400876007,0.41568855878915884,1.126276508253803,0.9692867768373392,1.787149882150033,0.6941496166102746,0.12511868545803045,0.33667589628411193,True,0.03428311468350165,134
