panel,book,lam,cost,base_to,ann_to,drag_bps,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,IS_Sharpe,IS_m_min,OOS_CAGR,OOS_MaxDD,m_H1,m_H2,m_OOS,m_DD,m_CAGR,m_min,pass4b,pass4a
u56,EWall,0.7,25.0,0.8288095753693416,0.8286612766944508,20.71653191736127,0.1309982317814864,1.1113431883189104,-0.22547613958803303,1.1835740674908588,1.0538807623433302,1.1208303065138214,1.1001200489464025,0.006473325878551456,0.13608685894569095,-0.2254761395880327,0.22488014569993064,0.2282220701293548,0.24505192638485063,-0.02317272788764327,0.024918526791640958,-0.02317272788764327,False,False
u56,EWall,0.7,50.0,0.8288095753693416,0.8286612766944508,41.43306383472254,0.12865747794791127,1.09355053258167,-0.22583815653911055,1.1655678667458784,1.0361787031345346,1.1029806567839604,1.082381092699246,0.006111086045779063,0.13365439166733695,-0.2258381565391101,0.20687394495495026,0.21052001092055928,0.2272022766549896,-0.023534744838720784,0.02257777295806583,-0.023534744838720784,False,False
u56,EWall,0.5,0.0,0.8288095753693416,0.8285346276416395,0.0,0.13337637978930483,1.1293579531859068,-0.2251139932507702,1.2021263007462444,1.0715236709616347,1.1386216184801972,1.1184438759852704,0.006835685380104067,0.13851908322147022,-0.2251139932507703,0.24343237895531622,0.24586497874765934,0.26284323835122636,-0.022810581550380432,0.027296674799459394,-0.022810581550380432,False,False
u56,EWall,0.5,5.0,0.8288095753693416,0.8285346276416395,4.142673138208198,0.13290695638625172,1.1258010244567656,-0.22518643287069395,1.1985260173101795,1.0679853391421503,1.1350538837375974,1.1148968729135957,0.006763203904873755,0.13803125029288132,-0.22518643287069395,0.23983209551925133,0.24232664692817496,0.2592755036086266,-0.02288302117030419,0.02682725139640628,-0.02288302117030419,False,False
u56,EWall,0.5,10.0,0.8288095753693416,0.8285346276416395,8.285346276416396,0.1324377231414955,1.1222439361333092,-0.22525886731411926,1.1949256354354336,1.0644468044713808,1.131485924231324,1.111349800321525,0.0066907272173396815,0.13754362180454405,-0.22525886731411882,0.23623171364450546,0.23878811225740548,0.2557075441023532,-0.022955455613729497,0.02635801815165005,-0.022955455613729497,False,False
u56,EWall,0.5,15.0,0.8288095753693416,0.8285346276416395,12.428019414624593,0.1319686799797204,1.11868669063568,-0.22533129658130913,1.1913251576141242,1.0609080693176896,1.127917742408679,1.1078026605851503,0.006618255317265592,0.1370561976726914,-0.22533129658130924,0.232631235823196,0.23524937710371419,0.25213936227970823,-0.023027884880919364,0.025888974989874955,-0.023027884880919364,False,False
u56,EWall,0.5,25.0,0.8288095753693416,0.8285346276416395,20.713365691040988,0.13103116360400024,1.1115717377990888,-0.22547613958803303,1.1841239240994175,1.0538300070366318,1.1207807216053836,1.1007081891827224,0.006473325878551456,0.13608196214352697,-0.22547613958803336,0.2254300023084893,0.2281713148226564,0.24500234147641275,-0.02317272788764327,0.024951458614154806,-0.02317272788764327,False,False
u56,EWall,0.5,50.0,0.8288095753693416,0.8285346276416395,41.426731382081975,0.1286906938504122,1.0937817745913365,-0.22583815653911044,1.1661193356609643,1.0361315087295624,1.1029344504433232,1.0829710019323666,0.006111086045779063,0.1336499437017007,-0.22583815653911044,0.2074254138700361,0.21047281651558702,0.22715607031435237,-0.023534744838720673,0.02261098886056677,-0.023534744838720673,False,False
u56,EWall,0.35,0.0,0.8288095753693416,0.8283089790553254,0.0,0.1334052853853709,1.129552504251709,-0.22511399325076964,1.2026336239155146,1.0714474482884582,1.1385471581320403,1.1189864835432775,0.006835685380103845,0.13851173681264983,-0.22511399325076997,0.2439397021245865,0.2457887560744828,0.2627687780030695,-0.022810581550379877,0.027325580395525448,-0.022810581550379877,False,False
u56,EWall,0.35,5.0,0.8288095753693416,0.8283089790553254,4.141544895276627,0.13293597698237747,1.1259965605472477,-0.2251864328706934,1.1990344095429888,1.0679100127446994,1.134980276702511,1.1154406275055924,0.006763203904873866,0.1380240135595523,-0.22518643287069362,0.24034048775206063,0.24225132053072407,0.2592018965735402,-0.022883021170303636,0.02685627199253203,-0.022883021170303636,False,False
u56,EWall,0.35,10.0,0.8288095753693416,0.8283089790553254,8.283089790553253,0.1324668586458193,1.1224404581541765,-0.22525886731411893,1.1954350983551556,1.064372374747293,1.1314131709273842,1.1118947035229503,0.0066907272173396815,0.1375364946604487,-0.22525886731411915,0.23674117656422744,0.2387136825333177,0.25563479079841345,-0.022955455613729164,0.02638715365597387,-0.022955455613729164,False,False
u56,EWall,0.35,15.0,0.8288095753693416,0.8283089790553254,12.424634685829881,0.1319979303004335,1.1188841994862844,-0.2253312965813088,1.1918356928353453,1.0608345366599603,1.1278458432493506,1.108348713962578,0.006618255317265481,0.1370491800316218,-0.22533129658130846,0.23314177104441713,0.23517584444598494,0.25206746312037975,-0.02302788488091903,0.02591822531058806,-0.02302788488091903,False,False
u56,EWall,0.35,25.0,0.8288095753693416,0.8283089790553254,20.707724476383135,0.13106064328226985,1.1117712229817938,-0.2254761395880327,1.1846366087322262,1.0537582696720287,1.1207105319572266,1.1012565475763962,0.006473325878551234,0.13607516325008717,-0.2254761395880327,0.22594268694129804,0.22809957745805332,0.24493215182825578,-0.023172727887642935,0.024980938292424412,-0.023172727887642935,False,False
