parent,arm,gross,cadence,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,fail4b,keep4b
B136,EWall,0.5,W,0.09416055879554985,1.1233359088670403,-0.17479227981668488,1.2310147037131458,1.0264876528356202,0.09279451387061721,1.1050757751728948,-0.17479227981668521,False,CAGR,False
B136,MA-RS,0.5,W,0.07760834878325351,1.0580713647497209,-0.13729006346930606,1.1585807074458685,0.9711547181247613,0.07970431849723103,1.0665751646664003,-0.1372900634693066,False,CAGR,False
B136,EWall,0.5,M,0.09307139975402512,1.1239576497813966,-0.170829799552625,1.222261634901935,1.033719488089268,0.09189947359237616,1.1143783759677122,-0.170829799552625,False,CAGR,False
B136,MA-RS,0.5,M,0.08250218645102936,1.095103877308985,-0.14881664393832994,1.1948420288987673,1.012049325301551,0.08535666182108126,1.1026156241659588,-0.14881664393832972,False,CAGR,False
B136,EWall,0.75,W,0.14178077774478903,1.1237184720356246,-0.2536484248157904,1.2333188917394562,1.0254052355515195,0.13950449235670392,1.1038155359718695,-0.2536484248157903,False,DD,False
B136,MA-RS,0.75,W,0.11659734787379539,1.0585329145142401,-0.20116704846935785,1.1603438392888514,0.9706900214487699,0.11971563331408408,1.0659505550392185,-0.20116704846935807,False,-,True
B136,EWall,0.75,M,0.14051143389732923,1.124085126647221,-0.24989934048374207,1.2263848317759976,1.0310143579281126,0.1385771400166922,1.1108871415787471,-0.24989934048374207,False,DD,False
B136,MA-RS,0.75,M,0.12452107215452846,1.0965065982009379,-0.21784582165082433,1.1981615187456383,1.0122230895745765,0.1287539993856448,1.1021577111383531,-0.21784582165082422,False,DD,False
B136,EWall,1.0,W,0.18952378323674135,1.1237724524902892,-0.3271396216573823,1.2353712591167294,1.0239713880108943,0.18616068774981387,1.1021764558468699,-0.3271396216573824,False,DD,False
B136,MA-RS,1.0,W,0.15557083250772208,1.0589153782896805,-0.26194522611585735,1.162054047241032,0.9701542503491374,0.15967640542349537,1.0652281411171494,-0.2619452261158576,False,DD,False
B136,EWall,1.0,M,0.1884214214967297,1.1237993336337333,-0.3249685278931973,1.2301800356514911,1.0279872677817694,0.18559002959188975,1.106959638998298,-0.3249685278931973,False,DD,False
B136,MA-RS,1.0,M,0.16697378830310883,1.0978154842342016,-0.2834895475381357,1.2014448461847138,1.0123384406560731,0.17253600843505512,1.101561412642663,-0.2834895475381357,False,DD,False
SMALL439,EWall,0.5,W,0.06994207130721075,0.6790598275986033,-0.25214413642471223,0.7969956676819625,0.6154181993905303,0.06990874938782499,0.6380414257814951,-0.2521441364247128,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,MA-RS,0.5,W,0.04509993082258035,0.5027471716794911,-0.2699489133168226,0.4955551571232714,0.5181443829108625,0.051433398045268364,0.5357275317094526,-0.26994891331682214,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,EWall,0.5,M,0.06693602567193913,0.6624547612602079,-0.2363882248926631,0.7763110763282024,0.5992491238730144,0.06728248476101473,0.6269942883096565,-0.23638822489266342,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,MA-RS,0.5,M,0.058891933193619295,0.6306605756340735,-0.27499710259953936,0.6731358567554921,0.6130859412047659,0.0633212721140266,0.6355776495867385,-0.2749971025995398,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,EWall,0.75,W,0.1018177783174512,0.678135269658678,-0.3616637358208413,0.7970199840580422,0.6139801956312066,0.10089643214031607,0.6366624355474833,-0.36166373582084044,False,"H1,H2,OOS,DD",False
SMALL439,MA-RS,0.75,W,0.06478682046825734,0.5033872943946726,-0.38239943767382534,0.49768164644656343,0.5177740654303229,0.07382991597741184,0.535474046054103,-0.3823994376738248,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,EWall,0.75,M,0.09756071669611144,0.6606192319497557,-0.3476061094999652,0.7766615946286013,0.5963665514200113,0.09714188049160621,0.6238458517363085,-0.3476061094999645,False,"H1,H2,OOS,DD,CAGR",False
